observation_date,CPALTT01JPA659N
1956-01-01,0.39557670000000000
1957-01-01,3.09841500000000014
1958-01-01,-0.47772079999999989
1959-01-01,1.08221300000000009
1960-01-01,3.57451200000000036
1961-01-01,5.36845600000000012
1962-01-01,6.83544299999999971
1963-01-01,6.70690299999999961
1964-01-01,3.80038700000000018
1965-01-01,6.65600300000000011
1966-01-01,5.04082600000000003
1967-01-01,3.98984700000000014
1968-01-01,5.33943600000000007
1969-01-01,5.24981900000000046
1970-01-01,6.76414399999999993
1971-01-01,6.29999999999999982
1972-01-01,4.90000000000000036
1973-01-01,11.69999999999999929
1974-01-01,23.19999999999999929
1975-01-01,11.69999999999999929
1976-01-01,9.40000000000000036
1977-01-01,8.09999999999999964
1978-01-01,4.20000000000000018
1979-01-01,3.70000000000000018
1980-01-01,7.70000000000000018
1981-01-01,4.90000000000000036
1982-01-01,2.79999999999999982
1983-01-01,1.89999999999999991
1984-01-01,2.29999999999999982
1985-01-01,2.00000000000000000
1986-01-01,0.59999999999999998
1987-01-01,0.10000000000000001
1988-01-01,0.69999999999999996
1989-01-01,2.29999999999999982
1990-01-01,3.10000000000000009
1991-01-01,3.29999999999999982
1992-01-01,1.60000000000000009
1993-01-01,1.30000000000000004
1994-01-01,0.69999999999999996
1995-01-01,-0.10000000000000001
1996-01-01,0.10000000000000001
1997-01-01,1.80000000000000004
1998-01-01,0.59999999999999998
1999-01-01,-0.29999999999999999
2000-01-01,-0.69999999999999996
2001-01-01,-0.69999999999999996
2002-01-01,-0.90000000000000002
2003-01-01,-0.29999999999999999
2004-01-01,0.00000000000000000
2005-01-01,-0.29999999999999999
2006-01-01,0.29999999999999999
2007-01-01,0.00000000000000000
2008-01-01,1.39999999999999991
2009-01-01,-1.39999999999999991
2010-01-01,-0.69999999999999996
2011-01-01,-0.29999999999999999
2012-01-01,0.00000000000000000
2013-01-01,0.40000000000000002
2014-01-01,2.70000000000000018
2015-01-01,0.80000000000000004
2016-01-01,-0.10000000000000001
2017-01-01,0.48419979999999990
2018-01-01,0.98909460000000005
2019-01-01,0.46877619999999998
2020-01-01,-0.02499583000000000
