observation_date,CANPROINDMISMEI
1961-01-01,22.04980
1961-02-01,22.07201
1961-03-01,21.98650
1961-04-01,22.44758
1961-05-01,22.56096
1961-06-01,22.93323
1961-07-01,23.15858
1961-08-01,23.03338
1961-09-01,23.58045
1961-10-01,23.78926
1961-11-01,23.88705
1961-12-01,24.03445
1962-01-01,24.13365
1962-02-01,24.36656
1962-03-01,24.70623
1962-04-01,24.79504
1962-05-01,25.20747
1962-06-01,25.50084
1962-07-01,25.80461
1962-08-01,25.28683
1962-09-01,25.88303
1962-10-01,25.71343
1962-11-01,25.73564
1962-12-01,25.71343
1963-01-01,25.73705
1963-02-01,25.95153
1963-03-01,26.23829
1963-04-01,26.27939
1963-05-01,26.63891
1963-06-01,27.00645
1963-07-01,26.48159
1963-08-01,26.49198
1963-09-01,27.58706
1963-10-01,27.56816
1963-11-01,28.03916
1963-12-01,28.33443
1964-01-01,28.55552
1964-02-01,29.03833
1964-03-01,28.85929
1964-04-01,29.06715
1964-05-01,29.40116
1964-06-01,29.42808
1964-07-01,29.21786
1964-08-01,29.46918
1964-09-01,30.12065
1964-10-01,30.06774
1964-11-01,30.59874
1964-12-01,30.60583
1965-01-01,31.04943
1965-02-01,30.87653
1965-03-01,31.52233
1965-04-01,31.48831
1965-05-01,31.69051
1965-06-01,31.74248
1965-07-01,32.56969
1965-08-01,31.84168
1965-09-01,32.53567
1965-10-01,33.26414
1965-11-01,33.41768
1965-12-01,33.91703
1966-01-01,33.89624
1966-02-01,34.07718
1966-03-01,33.97183
1966-04-01,34.18962
1966-05-01,34.20285
1966-06-01,34.22883
1966-07-01,34.08332
1966-08-01,33.53673
1966-09-01,34.39512
1966-10-01,34.78251
1966-11-01,34.63842
1966-12-01,34.68094
1967-01-01,34.93699
1967-02-01,34.62236
1967-03-01,34.67290
1967-04-01,35.01777
1967-05-01,34.89778
1967-06-01,35.06454
1967-07-01,35.19635
1967-08-01,35.79207
1967-09-01,35.67775
1967-10-01,35.43587
1967-11-01,35.97396
1967-12-01,36.37740
1968-01-01,36.18796
1968-02-01,36.04623
1968-03-01,36.24985
1968-04-01,37.18902
1968-05-01,37.66003
1968-06-01,37.95624
1968-07-01,37.80553
1968-08-01,38.31339
1968-09-01,38.72959
1968-10-01,38.97667
1968-11-01,39.45428
1968-12-01,39.39807
1969-01-01,39.54216
1969-02-01,40.08733
1969-03-01,40.77612
1969-04-01,40.39110
1969-05-01,40.35661
1969-06-01,40.41803
1969-07-01,40.76431
1969-08-01,40.01883
1969-09-01,40.14355
1969-10-01,39.82891
1969-11-01,40.31173
1969-12-01,40.67691
1970-01-01,40.41944
1970-02-01,40.79171
1970-03-01,40.11331
1970-04-01,39.53460
1970-05-01,39.61963
1970-06-01,39.50105
1970-07-01,39.51523
1970-08-01,39.82513
1970-09-01,39.29366
1970-10-01,39.27996
1970-11-01,39.73821
1970-12-01,40.00324
1971-01-01,40.37976
1971-02-01,40.63817
1971-03-01,40.79266
1971-04-01,40.85927
1971-05-01,41.43657
1971-06-01,41.70963
1971-07-01,41.84190
1971-08-01,42.99981
1971-09-01,43.26909
1971-10-01,43.45995
1971-11-01,43.17366
1971-12-01,43.78167
1972-01-01,44.04622
1972-02-01,43.50294
1972-03-01,44.00748
