observation_date,CANPROINDMISMEI
1972-04-01,45.15075
1972-05-01,44.82950
1972-06-01,45.28491
1972-07-01,45.48616
1972-08-01,45.56978
1972-09-01,46.69462
1972-10-01,47.57521
1972-11-01,48.15629
1972-12-01,48.40998
1973-01-01,48.83327
1973-02-01,50.28266
1973-03-01,50.89067
1973-04-01,50.49478
1973-05-01,50.61713
1973-06-01,50.99318
1973-07-01,51.93661
1973-08-01,50.51084
1973-09-01,51.01113
1973-10-01,51.56434
1973-11-01,52.19172
1973-12-01,52.02495
1974-01-01,52.74870
1974-02-01,52.75012
1974-03-01,52.98680
1974-04-01,52.04951
1974-05-01,52.67973
1974-06-01,51.95834
1974-07-01,51.70512
1974-08-01,51.64654
1974-09-01,50.98326
1974-10-01,50.91098
1974-11-01,49.99448
1974-12-01,49.87779
1975-01-01,48.18652
1975-02-01,48.21912
1975-03-01,47.39144
1975-04-01,47.82465
1975-05-01,46.70596
1975-06-01,47.35601
1975-07-01,48.01126
1975-08-01,47.64655
1975-09-01,47.87992
1975-10-01,47.42215
1975-11-01,48.49643
1975-12-01,49.39640
1976-01-01,49.33120
1976-02-01,49.65339
1976-03-01,50.42627
1976-04-01,51.04893
1976-05-01,51.71882
1976-06-01,50.98562
1976-07-01,51.01917
1976-08-01,51.54213
1976-09-01,51.67110
1976-10-01,50.79523
1976-11-01,51.81189
1976-12-01,51.96542
1977-01-01,52.93956
1977-02-01,52.25219
1977-03-01,52.33958
1977-04-01,51.96920
1977-05-01,52.58997
1977-06-01,53.12616
1977-07-01,52.82287
1977-08-01,52.96979
1977-09-01,52.74067
1977-10-01,53.10065
1977-11-01,53.25986
1977-12-01,53.39544
1978-01-01,53.49607
1978-02-01,53.89338
1978-03-01,53.69780
1978-04-01,54.70264
1978-05-01,54.04550
1978-06-01,55.13206
1978-07-01,54.31619
1978-08-01,54.57697
1978-09-01,55.94794
1978-10-01,56.13502
1978-11-01,56.66980
1978-12-01,57.55417
1979-01-01,57.46535
1979-02-01,57.55653
1979-03-01,57.43134
1979-04-01,57.06332
1979-05-01,58.03604
1979-06-01,57.64771
1979-07-01,58.28501
1979-08-01,58.25761
1979-09-01,58.13761
1979-10-01,58.05021
1979-11-01,57.56126
1979-12-01,56.81342
1980-01-01,57.57779
1980-02-01,56.55122
1980-03-01,57.20789
1980-04-01,55.93707
1980-05-01,54.55807
1980-06-01,54.21368
1980-07-01,54.70027
1980-08-01,54.44611
1980-09-01,55.69944
1980-10-01,56.34383
1980-11-01,56.45343
1980-12-01,56.90412
1981-01-01,56.28052
1981-02-01,56.62114
1981-03-01,56.49925
1981-04-01,57.67889
1981-05-01,56.78223
1981-06-01,57.12521
1981-07-01,57.18143
1981-08-01,55.02861
1981-09-01,56.38729
1981-10-01,55.56480
1981-11-01,54.52406
1981-12-01,54.84814
1982-01-01,54.06439
1982-02-01,54.13762
1982-03-01,53.48095
1982-04-01,51.99235
1982-05-01,52.39816
1982-06-01,51.49064
1982-07-01,50.46218
1982-08-01,51.41458
1982-09-01,50.80658
1982-10-01,49.85464
1982-11-01,50.67949
1982-12-01,50.32045
1983-01-01,51.24971
1983-02-01,51.29459
1983-03-01,51.64276
1983-04-01,52.48792
1983-05-01,52.82003
1983-06-01,54.44422
1983-07-01,54.44233
1983-08-01,55.82133
1983-09-01,56.95184
1983-10-01,56.44445
1983-11-01,57.20552
1983-12-01,58.93979
1984-01-01,58.56562
1984-02-01,58.36768
1984-03-01,59.20340
1984-04-01,60.97734
1984-05-01,61.72660
1984-06-01,61.73652
1984-07-01,62.64168
1984-08-01,62.70498
1984-09-01,61.65148
1984-10-01,62.91049
1984-11-01,62.71065
1984-12-01,62.78907
1985-01-01,63.31535
1985-02-01,64.10288
1985-03-01,64.42507
1985-04-01,63.93328
1985-05-01,64.38775
1985-06-01,64.31405
1985-07-01,64.49735
1985-08-01,64.69104
1985-09-01,64.93245
1985-10-01,65.52251
1985-11-01,65.60423
1985-12-01,65.68218
1986-01-01,66.04075
1986-02-01,65.64486
1986-03-01,64.49404
1986-04-01,65.02599
1986-05-01,63.66258
1986-06-01,63.41834
1986-07-01,63.87848
1986-08-01,63.30449
1986-09-01,63.58983
1986-10-01,63.51519
1986-11-01,63.37866
1986-12-01,64.50018
1987-01-01,65.16724
1987-02-01,65.30850
1987-03-01,65.73793
1987-04-01,65.42613
1987-05-01,65.46912
1987-06-01,66.23681
1987-07-01,66.95678
1987-08-01,67.71313
1987-09-01,68.08540
1987-10-01,68.78033
1987-11-01,69.34203
1987-12-01,70.03461
1988-01-01,70.59821
1988-02-01,70.80937
1988-03-01,71.40227
1988-04-01,71.27377
1988-05-01,71.79012
1988-06-01,71.40085
1988-07-01,70.98512
1988-08-01,71.02007
1988-09-01,71.49155
1988-10-01,70.85378
1988-11-01,70.39034
1988-12-01,71.35361
1989-01-01,71.11645
1989-02-01,71.84728
1989-03-01,71.44195
1989-04-01,71.87185
1989-05-01,71.18211
1989-06-01,70.64119
1989-07-01,70.07618
1989-08-01,70.19665
1989-09-01,70.38609
1989-10-01,69.53526
1989-11-01,70.24908
1989-12-01,71.02102
1990-01-01,69.42423
1990-02-01,69.78564
1990-03-01,70.12625
1990-04-01,69.58864
1990-05-01,69.73650
1990-06-01,69.83949
1990-07-01,69.90327
1990-08-01,68.84032
1990-09-01,67.63801
1990-10-01,67.67014
1990-11-01,66.90056
1990-12-01,66.36436
1991-01-01,66.70356
1991-02-01,65.54471
1991-03-01,65.59007
1991-04-01,65.62644
1991-05-01,66.11823
1991-06-01,66.45932
1991-07-01,66.64262
1991-08-01,66.55522
1991-09-01,66.82592
1991-10-01,66.53585
1991-11-01,66.19807
1991-12-01,65.49747
1992-01-01,66.41869
1992-02-01,66.35302
1992-03-01,66.29775
1992-04-01,66.90245
1992-05-01,66.55522
1992-06-01,66.79285
1992-07-01,66.12862
1992-08-01,66.57884
1992-09-01,66.94969
1992-10-01,67.75423
1992-11-01,67.93327
1992-12-01,68.09295
1993-01-01,68.21956
1993-02-01,69.21212
1993-03-01,69.91981
1993-04-01,69.60612
1993-05-01,69.24188
1993-06-01,69.63541
1993-07-01,69.18188
1993-08-01,70.12011
1993-09-01,71.03000
1993-10-01,71.04889
1993-11-01,71.25109
1993-12-01,70.61710
1994-01-01,71.35077
1994-02-01,71.54729
1994-03-01,72.54080
1994-04-01,73.04913
1994-05-01,73.74925
1994-06-01,74.70686
1994-07-01,74.68938
1994-08-01,75.34084
1994-09-01,75.99798
1994-10-01,75.74287
1994-11-01,76.63953
1994-12-01,77.83948
1995-01-01,78.67034
1995-02-01,78.68018
1995-03-01,78.11946
1995-04-01,77.95197
1995-05-01,77.87333
1995-06-01,77.73061
1995-07-01,77.48484
1995-08-01,77.65669
1995-09-01,77.41093
1995-10-01,77.37160
1995-11-01,77.56821
1995-12-01,77.20412
1996-01-01,77.95707
1996-02-01,77.93741
1996-03-01,77.44552
1996-04-01,77.83874
1996-05-01,78.23233
1996-06-01,78.42421
1996-07-01,79.22122
1996-08-01,79.49174
1996-09-01,79.47208
1996-10-01,79.22122
1996-11-01,80.46098
1996-12-01,79.11782
1997-01-01,80.64236
1997-02-01,81.53017
1997-03-01,81.04134
1997-04-01,82.15816
1997-05-01,82.29134
1997-06-01,81.59661
1997-07-01,83.61976
1997-08-01,83.43552
1997-09-01,83.29949
1997-10-01,84.27513
1997-11-01,84.37580
1997-12-01,84.65187
1998-01-01,84.02958
1998-02-01,85.06425
1998-03-01,85.90243
1998-04-01,85.52570
1998-05-01,84.84266
1998-06-01,84.79047
1998-07-01,83.46661
1998-08-01,85.61011
1998-09-01,85.85310
1998-10-01,86.02706
1998-11-01,86.26890
1998-12-01,87.63554
1999-01-01,88.61232
1999-02-01,88.52818
1999-03-01,88.19736
1999-04-01,88.73580
1999-05-01,88.57040
1999-06-01,89.78616
1999-07-01,90.29751
1999-08-01,91.15993
1999-09-01,92.37370
1999-10-01,91.86008
1999-11-01,93.03791
1999-12-01,94.48897
2000-01-01,94.85088
2000-02-01,94.48497
2000-03-01,95.57754
2000-04-01,95.30861
2000-05-01,96.75567
2000-06-01,97.08250
2000-07-01,97.08734
2000-08-01,98.07182
2000-09-01,98.03304
2000-10-01,98.25035
2000-11-01,98.24294
2000-12-01,98.34047
2001-01-01,95.82423
2001-02-01,95.59893
2001-03-01,94.87511
2001-04-01,95.19567
2001-05-01,95.32287
2001-06-01,94.38544
2001-07-01,93.07128
2001-08-01,93.56438
2001-09-01,92.12987
2001-10-01,92.40365
2001-11-01,92.48635
2001-12-01,90.68423
2002-01-01,93.87352
2002-02-01,95.14234
2002-03-01,94.98776
2002-04-01,96.34328
2002-05-01,96.28510
2002-06-01,95.59865
2002-07-01,96.59054
2002-08-01,96.39119
2002-09-01,95.51366
2002-10-01,96.15961
2002-11-01,95.55415
2002-12-01,94.48725
2003-01-01,95.52393
2003-02-01,95.67650
2003-03-01,95.32201
2003-04-01,94.97864
2003-05-01,95.04024
2003-06-01,94.59335
2003-07-01,95.62859
2003-08-01,94.34466
2003-09-01,96.22236
2003-10-01,96.76593
2003-11-01,96.84579
2003-12-01,97.04057
2004-01-01,96.63817
2004-02-01,96.30535
2004-03-01,97.48262
2004-04-01,97.30380
2004-05-01,96.88714
2004-06-01,98.30312
2004-07-01,97.63833
2004-08-01,98.16451
2004-09-01,98.65989
2004-10-01,98.56549
2004-11-01,98.57661
2004-12-01,98.63080
2005-01-01,99.89876
2005-02-01,98.89004
2005-03-01,97.86107
2005-04-01,99.10022
2005-05-01,99.93954
2005-06-01,99.27932
2005-07-01,99.56680
2005-08-01,100.42550
2005-09-01,100.60230
2005-10-01,100.68560
2005-11-01,101.45620
2005-12-01,102.13690
2006-01-01,101.70660
2006-02-01,101.46820
2006-03-01,101.62050
2006-04-01,100.96850
2006-05-01,100.62170
2006-06-01,100.08580
2006-07-01,100.12490
2006-08-01,99.41279
2006-09-01,97.78236
2006-10-01,97.58928
2006-11-01,97.51170
2006-12-01,98.51159
2007-01-01,98.08437
2007-02-01,99.13815
2007-03-01,99.32182
2007-04-01,98.88148
2007-05-01,99.10194
2007-06-01,99.37600
2007-07-01,98.33163
2007-08-01,98.94622
2007-09-01,98.41719
2007-10-01,97.72588
2007-11-01,97.39107
2007-12-01,95.62745
2008-01-01,95.38846
2008-02-01,95.54075
2008-03-01,94.67605
2008-04-01,95.67992
2008-05-01,95.40329
2008-06-01,96.08775
2008-07-01,97.60953
2008-08-01,96.46905
2008-09-01,95.51252
2008-10-01,95.13464
2008-11-01,93.35932
2008-12-01,90.39704
2009-01-01,88.65282
2009-02-01,87.57422
2009-03-01,85.79862
2009-04-01,84.18415
2009-05-01,83.43752
2009-06-01,83.07533
2009-07-01,83.16716
2009-08-01,82.91876
2009-09-01,84.34158
2009-10-01,84.34615
2009-11-01,85.65403
2009-12-01,85.15380
2010-01-01,86.09237
2010-02-01,87.22543
2010-03-01,88.34338
2010-04-01,88.16998
2010-05-01,90.35541
2010-06-01,90.93634
2010-07-01,90.96571
2010-08-01,90.98967
2010-09-01,90.55390
2010-10-01,91.31650
2010-11-01,91.34473
2010-12-01,93.07299
2011-01-01,92.85825
2011-02-01,92.48236
2011-03-01,93.53471
2011-04-01,93.89805
2011-05-01,92.25392
2011-06-01,92.82830
2011-07-01,94.47385
2011-08-01,95.47288
2011-09-01,96.11541
2011-10-01,95.47972
2011-11-01,95.23417
2011-12-01,96.14821
2012-01-01,96.15933
2012-02-01,94.07145
2012-03-01,94.23629
2012-04-01,95.08273
2012-05-01,95.02769
2012-06-01,94.48126
2012-07-01,94.12335
2012-08-01,93.17595
2012-09-01,92.86166
2012-10-01,92.83657
2012-11-01,93.78397
2012-12-01,93.37473
2013-01-01,94.09569
2013-02-01,95.09557
2013-03-01,95.68649
2013-04-01,95.02256
2013-05-01,94.82378
2013-06-01,94.53516
2013-07-01,94.92160
2013-08-01,95.75151
2013-09-01,96.54491
2013-10-01,97.89358
2013-11-01,97.56447
2013-12-01,96.72771
2014-01-01,97.08991
2014-02-01,98.90002
2014-03-01,99.21972
2014-04-01,100.51880
2014-05-01,100.78630
2014-06-01,101.63670
2014-07-01,101.04670
2014-08-01,99.36431
2014-09-01,101.26820
2014-10-01,102.07880
2014-11-01,101.70340
2014-12-01,102.10930
2015-01-01,101.41770
2015-02-01,100.76920
2015-03-01,100.15910
2015-04-01,99.28503
2015-05-01,98.35815
2015-06-01,99.15469
2015-07-01,100.61060
2015-08-01,101.69570
2015-09-01,99.53628
2015-10-01,99.31012
2015-11-01,99.62583
2015-12-01,100.06990
2016-01-01,100.67500
2016-02-01,99.74361
2016-03-01,98.71379
2016-04-01,98.94821
2016-05-01,95.13350
2016-06-01,97.57616
2016-07-01,100.09410
2016-08-01,100.45550
2016-09-01,101.58510
2016-10-01,100.98590
2016-11-01,102.18660
2016-12-01,102.34170
2017-01-01,102.73980
2017-02-01,102.53110
2017-03-01,103.17500
2017-04-01,103.62250
2017-05-01,104.76700
2017-06-01,104.47950
2017-07-01,104.57420
2017-08-01,103.08630
2017-09-01,103.31190
2017-10-01,102.55840
2017-11-01,103.67780
2017-12-01,104.04290
2018-01-01,104.50090
2018-02-01,105.49710
2018-03-01,107.01910
2018-04-01,107.03030
2018-05-01,106.77530
2018-06-01,107.61460
2018-07-01,108.28650
2018-08-01,108.07490
2018-09-01,107.98220
2018-10-01,108.13570
2018-11-01,107.35620
2018-12-01,106.21000
2019-01-01,106.24740
2019-02-01,106.12220
2019-03-01,107.29520
2019-04-01,108.51380
2019-05-01,109.16920
2019-06-01,108.31130
2019-07-01,106.57420
2019-08-01,106.56850
2019-09-01,106.65120
2019-10-01,106.49950
2019-11-01,106.03150
2019-12-01,105.58490
2020-01-01,106.47580
2020-02-01,107.68420
2020-03-01,100.24670
2020-04-01,84.85007
2020-05-01,89.49384
2020-06-01,94.83833
2020-07-01,97.95603
2020-08-01,98.30112
2020-09-01,99.38113
2020-10-01,100.24700
2020-11-01,101.79010
2020-12-01,102.96230
2021-01-01,103.89800
2021-02-01,102.94550
2021-03-01,103.47250
2021-04-01,101.44710
2021-05-01,101.50750
2021-06-01,103.41720
2021-07-01,103.27880
2021-08-01,103.57060
2021-09-01,103.31140
2021-10-01,105.16510
2021-11-01,104.78150
2021-12-01,105.39150
2022-01-01,106.11680
2022-02-01,106.38940
2022-03-01,107.39130
2022-04-01,108.34300
2022-05-01,107.97590
2022-06-01,108.82440
2022-07-01,108.30020
2022-08-01,108.25310
2022-09-01,108.32730
2022-10-01,107.08360
2022-11-01,107.24760
2022-12-01,106.16780
2023-01-01,107.20420
2023-02-01,107.70330
2023-03-01,108.15390
2023-04-01,107.97510
2023-05-01,107.77290
2023-06-01,107.93140
2023-07-01,107.44830
2023-08-01,107.12010
2023-09-01,106.68570
2023-10-01,106.73250
2023-11-01,108.28250
2023-12-01,107.82790
2024-01-01,107.55980
2024-02-01,107.71440
