observation_date,ULQECU01ITQ657S
1980-04-01,3.83796893684003981
1980-07-01,4.76181181767315032
1980-10-01,4.71429192465580016
1981-01-01,5.52985552629704991
1981-04-01,6.32643197554179082
1981-07-01,4.74964718567811062
1981-10-01,3.97014819935511021
1982-01-01,2.54359442263173996
1982-04-01,3.87338608912951043
1982-07-01,3.60319311802874021
1982-10-01,5.45342598293605985
1983-01-01,2.14613395612646007
1983-04-01,4.08164098544047960
1983-07-01,4.21774418157639985
1983-10-01,2.96904112167122980
1984-01-01,2.97774187298719983
1984-04-01,2.31267016673234016
1984-07-01,1.70874042411457006
1984-10-01,1.71960334164538997
1985-01-01,3.07354371373955981
1985-04-01,2.47368677913161017
1985-07-01,2.69178747642544014
1985-10-01,2.34575000927539978
1986-01-01,1.27785682565865999
1986-04-01,1.26799760181116006
1986-07-01,1.91279042367689001
1986-10-01,1.60954687599351010
1987-01-01,1.82241222867901009
1987-04-01,2.74545078692865996
1987-07-01,1.91815161418372004
1987-10-01,1.72519120624664990
1988-01-01,2.73363334067617991
1988-04-01,1.15252662425845998
1988-07-01,1.85407166452582994
1988-10-01,2.30048809494312989
1989-01-01,2.49482313905473996
1989-04-01,1.37146853940017999
1989-07-01,2.36759906759905014
1989-10-01,2.35473873808229017
1990-01-01,2.52592892515651979
1990-04-01,2.63251542794650017
1990-07-01,2.61911608003654006
1990-10-01,1.59733153127907990
1991-01-01,1.78210392902408010
1991-04-01,1.55086638521020004
1991-07-01,1.79577278265320994
1991-10-01,1.63284186180977997
1992-01-01,2.27109811462444000
1992-04-01,0.21861753613032900
1992-07-01,1.95716006416553001
1992-10-01,0.49033218099825598
1993-01-01,0.58437184541236098
1993-04-01,1.71169117026605000
1993-07-01,1.08026625385902997
1993-10-01,0.29931179243058798
1994-01-01,0.66247534216286097
1994-04-01,1.70487368679582008
1994-07-01,0.93261658132420500
1994-10-01,1.24328777925114009
1995-01-01,0.60127415578981303
1995-04-01,1.25662957328190994
1995-07-01,0.64522396909892299
1995-10-01,2.57000868763460000
1996-01-01,1.82104053896179008
1996-04-01,0.94945332332568200
1996-07-01,1.40778591803648001
1996-10-01,0.73692977062399501
1997-01-01,2.09618175047015010
1997-04-01,0.66460418892862305
1997-07-01,0.86274686694180702
1997-10-01,-0.24015276757057599
1998-01-01,-2.58901514019474011
1998-04-01,0.78173177518768699
1998-07-01,-0.06210215804999110
1998-10-01,0.96668463874597899
1999-01-01,-0.07059664726264960
1999-04-01,0.94844464437477005
1999-07-01,0.72809000861327200
1999-10-01,0.86608620779240297
2000-01-01,0.43948021823886602
2000-04-01,0.28633183133677598
2000-07-01,0.69581328474426996
2000-10-01,0.44751364379713499
2001-01-01,0.93495611975875303
2001-04-01,0.83455346165790700
2001-07-01,1.16077714441442992
2001-10-01,0.35245949942893601
2002-01-01,0.21671714078784399
2002-04-01,0.88173579177641603
2002-07-01,0.54460867833514204
2002-10-01,0.86269266848777604
2003-01-01,0.54479897667797705
2003-04-01,0.78218564397057999
2003-07-01,2.45215729550776995
2003-10-01,-1.95683328494998010
2004-01-01,1.45809663658384991
2004-04-01,2.52566135854329010
2004-07-01,-0.69861526314637901
2004-10-01,0.78745059788396199
2005-01-01,0.33215793266756399
2005-04-01,0.49357315926584300
2005-07-01,0.81381650071668699
2005-10-01,3.31330830732611981
2006-01-01,-1.51970245644992996
2006-04-01,0.40554295967963799
2006-07-01,1.40939156471961002
2006-10-01,-0.51402697236157302
2007-01-01,0.49887044723900997
2007-04-01,0.56924581347023195
2007-07-01,0.33047424695263000
2007-10-01,2.23798147977651007
2008-01-01,0.63676758101783004
2008-04-01,-0.46036612647235198
2008-07-01,0.94237852697021895
2008-10-01,0.11132190662787200
2009-01-01,-0.49828462270478002
2009-04-01,0.26821194390136699
2009-07-01,0.09104198490296750
2009-10-01,1.20145815995218008
2010-01-01,-0.37179457481061101
2010-04-01,2.35895230012671986
2010-07-01,0.00374803653994810
2010-10-01,-0.46519340279435101
2011-01-01,0.87414622123739005
2011-04-01,0.48639287649353702
2011-07-01,-0.67348898362036003
2011-10-01,-0.15140937650163400
2012-01-01,-0.45264687187868002
2012-04-01,-0.70748370678136596
2012-07-01,0.00780848989547290
2012-10-01,-0.10414334349505600
2013-01-01,0.54896046932901998
2013-04-01,0.20187840655521699
2013-07-01,0.62609092464775795
2013-10-01,0.31087096020806398
2014-01-01,-0.50747078369763798
2014-04-01,-0.10053505094912300
2014-07-01,0.15601457803857299
2014-10-01,0.44290439010101601
2015-01-01,0.29558777317848600
2015-04-01,0.37360826694225702
2015-07-01,-0.16674002479205599
2015-10-01,0.10392262937748500
2016-01-01,-0.08089460444222510
2016-04-01,0.37387822476996602
2016-07-01,0.00448102956134790
2016-10-01,0.41111604002277102
2017-01-01,0.02510146570247290
2017-04-01,-0.49219986459764697
2017-07-01,0.48880599524308699
2017-10-01,0.85752368842264004
2018-01-01,-0.28001941998820801
2018-04-01,1.32428958479123993
2018-07-01,0.51596266330425600
2018-10-01,0.44525701641866200
2019-01-01,0.42897331519293702
2019-04-01,-0.48759056641249099
2019-07-01,0.20013559322034699
2019-10-01,0.67433854414756700
2020-01-01,-3.68482572700223043
2020-04-01,-7.63574572225409920
2020-07-01,10.65877745409710009
2020-10-01,-0.83378028092704304
2021-01-01,1.41347115558316005
2021-04-01,1.61643502326571009
2021-07-01,2.38009726898616014
2021-10-01,0.14397322244227301
2022-01-01,1.24051810057592005
2022-04-01,1.58110174596716990
2022-07-01,0.35430113467600199
2022-10-01,1.86222655018870009
2023-01-01,0.07169923213394530
2023-04-01,0.73639731166918199
2023-07-01,1.25268928800146995
