observation_date,CHELOLITOAASTSAM
1967-02-01,98.3178080507121
1967-03-01,98.3468799925488
1967-04-01,98.4576015389183
1967-05-01,98.6558196294153
1967-06-01,98.9157860349937
1967-07-01,99.2202039435863
1967-08-01,99.5320994508357
1967-09-01,99.8532864507152
1967-10-01,100.1194764226020
1967-11-01,100.3230743668970
1967-12-01,100.4765184575970
1968-01-01,100.5874018173750
1968-02-01,100.6646562513660
1968-03-01,100.7595870573750
1968-04-01,100.9611208333650
1968-05-01,101.2051518895170
1968-06-01,101.4393314914280
1968-07-01,101.6239108318340
1968-08-01,101.7585988714800
1968-09-01,101.8659760686150
1968-10-01,101.9704829649240
1968-11-01,102.0546171268880
1968-12-01,102.1394598304190
1969-01-01,102.2170583827990
1969-02-01,102.2023299319240
1969-03-01,102.0797010815470
1969-04-01,101.8423132618190
1969-05-01,101.4791696445830
1969-06-01,101.0711063724160
1969-07-01,100.7228173042350
1969-08-01,100.4251870288920
1969-09-01,100.2069553788730
1969-10-01,100.1357880714800
1969-11-01,100.0748937111580
1969-12-01,99.9655380220701
1970-01-01,99.7620799403042
1970-02-01,99.5244725052114
1970-03-01,99.2853715783670
1970-04-01,99.0174132235297
1970-05-01,98.7417900828663
1970-06-01,98.4447858030169
1970-07-01,98.2539558519177
1970-08-01,98.2408668365440
1970-09-01,98.3811578522885
1970-10-01,98.6127882910744
1970-11-01,98.9367351938267
1970-12-01,99.2934146604201
1971-01-01,99.6414908687891
1971-02-01,99.9650656681692
1971-03-01,100.1953976432940
1971-04-01,100.2931908928330
1971-05-01,100.2794999881290
1971-06-01,100.1511751707570
1971-07-01,99.8993630474833
1971-08-01,99.6228773520117
1971-09-01,99.4459444713250
1971-10-01,99.4483190005850
1971-11-01,99.6914597707751
1971-12-01,100.2314224584490
1972-01-01,100.9653796710180
1972-02-01,101.7818337407790
1972-03-01,102.5745619684690
1972-04-01,103.1748031294260
1972-05-01,103.5226961079230
1972-06-01,103.7675775363750
1972-07-01,103.9650530855140
1972-08-01,104.0852474861260
1972-09-01,104.0620957972380
1972-10-01,103.8094188349880
1972-11-01,103.3347785271920
1972-12-01,102.7846529789470
1973-01-01,102.2419627759650
1973-02-01,101.6879930369470
1973-03-01,101.1525659157370
1973-04-01,100.7047606676120
1973-05-01,100.3875883261820
1973-06-01,100.1822422571860
1973-07-01,100.0297319784230
1973-08-01,99.8746325282413
1973-09-01,99.6788978707038
1973-10-01,99.4622471636569
1973-11-01,99.2277292599878
1973-12-01,98.9535903963613
1974-01-01,98.6561923641188
1974-02-01,98.3915883491267
1974-03-01,98.1391539001146
1974-04-01,97.9168021666841
1974-05-01,97.7065969123709
1974-06-01,97.5567568297131
1974-07-01,97.5107594560512
1974-08-01,97.5039328824058
1974-09-01,97.4744994141558
1974-10-01,97.3968187260905
1974-11-01,97.2755306764352
1974-12-01,97.1757195774891
1975-01-01,97.1759884940853
1975-02-01,97.3155535439542
1975-03-01,97.6125628815052
1975-04-01,98.0634531888683
1975-05-01,98.6450741709753
1975-06-01,99.2367643731905
1975-07-01,99.7838190578905
1975-08-01,100.2155707397660
1975-09-01,100.5401602430950
1975-10-01,100.8628979087750
1975-11-01,101.1838937018290
1975-12-01,101.4750463218350
1976-01-01,101.7374663168820
1976-02-01,101.9310696594620
1976-03-01,102.0432236111850
1976-04-01,102.0663262306490
1976-05-01,101.9733568045930
1976-06-01,101.8348999950280
1976-07-01,101.6625757823350
1976-08-01,101.4578470172670
1976-09-01,101.2475821085750
1976-10-01,101.0450858972950
1976-11-01,100.7924955143040
1976-12-01,100.5645114057960
1977-01-01,100.3354254395670
1977-02-01,100.1754625251310
1977-03-01,100.1513858436780
1977-04-01,100.1973044184060
1977-05-01,100.3423367784230
1977-06-01,100.5426137592500
1977-07-01,100.7223728578990
1977-08-01,100.8635285953640
1977-09-01,100.9386257788700
1977-10-01,100.8961352424870
1977-11-01,100.8198500099370
1977-12-01,100.7212990019400
1978-01-01,100.5772987432220
1978-02-01,100.3955306210140
1978-03-01,100.1901320740910
1978-04-01,99.9991797369035
1978-05-01,99.8427179764577
1978-06-01,99.6895461614625
1978-07-01,99.5321070669923
1978-08-01,99.3990196278699
1978-09-01,99.3461145584160
1978-10-01,99.4017500601973
1978-11-01,99.6088990654193
1978-12-01,99.9784624371133
1979-01-01,100.3823168813650
1979-02-01,100.7122781401810
1979-03-01,100.9242712418140
1979-04-01,100.9931609951860
1979-05-01,100.9542093273490
1979-06-01,100.8411848507790
1979-07-01,100.7085802821820
1979-08-01,100.6319577847000
1979-09-01,100.6059810246320
1979-10-01,100.6440658347920
1979-11-01,100.6913429592010
1979-12-01,100.6731330239800
1980-01-01,100.5844365019110
1980-02-01,100.4148059580190
1980-03-01,100.1385880223750
1980-04-01,99.8467252701027
1980-05-01,99.6051436166056
1980-06-01,99.4527707706366
1980-07-01,99.4518145668733
1980-08-01,99.5500258771827
1980-09-01,99.6672356094882
1980-10-01,99.7961864113218
1980-11-01,99.9100144834269
1980-12-01,100.0051774871610
1981-01-01,100.1070900326060
1981-02-01,100.1687392797110
1981-03-01,100.1629088640950
1981-04-01,100.0791619649900
1981-05-01,99.9458507337738
1981-06-01,99.8040651392657
1981-07-01,99.6513981320649
1981-08-01,99.4713737230925
1981-09-01,99.2753634229527
1981-10-01,99.0950128998740
1981-11-01,98.9546423628905
1981-12-01,98.8451128005414
1982-01-01,98.7333638768647
1982-02-01,98.5891214091868
1982-03-01,98.4631686712715
1982-04-01,98.3884874775328
1982-05-01,98.3328459414041
1982-06-01,98.2766792994139
1982-07-01,98.2226331262112
1982-08-01,98.1755066248372
