observation_date,CSCICP03FRM665S
1973-01-01,106.04900
1973-02-01,105.91950
1973-03-01,105.74850
1973-04-01,105.58180
1973-05-01,105.46030
1973-06-01,105.32250
1973-07-01,105.12560
1973-08-01,104.98360
1973-09-01,104.83620
1973-10-01,104.59070
1973-11-01,104.26940
1973-12-01,103.72700
1974-01-01,102.97180
1974-02-01,102.44440
1974-03-01,102.18840
1974-04-01,102.11420
1974-05-01,101.99050
1974-06-01,101.78290
1974-07-01,101.51340
1974-08-01,101.20420
1974-09-01,100.88280
1974-10-01,100.62730
1974-11-01,100.62400
1974-12-01,100.89480
1975-01-01,101.30030
1975-02-01,101.53310
1975-03-01,101.50430
1975-04-01,101.37510
1975-05-01,101.32120
1975-06-01,101.39780
1975-07-01,101.59420
1975-08-01,101.75640
1975-09-01,101.91930
1975-10-01,102.14450
1975-11-01,102.35680
1975-12-01,102.64800
1976-01-01,103.06360
1976-02-01,103.31230
1976-03-01,103.40620
1976-04-01,103.41230
1976-05-01,103.35840
1976-06-01,103.22710
1976-07-01,103.00950
1976-08-01,102.83680
1976-09-01,102.66970
1976-10-01,102.47080
1976-11-01,102.37240
1976-12-01,102.34670
1977-01-01,102.30460
1977-02-01,102.12110
1977-03-01,101.67800
1977-04-01,101.04630
1977-05-01,100.66660
1977-06-01,100.65950
1977-07-01,100.94220
1977-08-01,101.23490
1977-09-01,101.57050
1977-10-01,102.00210
1977-11-01,102.26670
1977-12-01,102.41050
1978-01-01,102.52400
1978-02-01,102.59810
1978-03-01,102.67470
1978-04-01,102.77240
1978-05-01,102.81040
1978-06-01,102.77420
1978-07-01,102.67810
1978-08-01,102.60130
1978-09-01,102.51950
1978-10-01,102.38240
1978-11-01,102.19510
1978-12-01,101.89110
1979-01-01,101.52010
1979-02-01,101.28720
1979-03-01,101.13270
1979-04-01,100.96440
1979-05-01,100.81210
1979-06-01,100.73230
1979-07-01,100.69600
1979-08-01,100.66880
1979-09-01,100.64710
1979-10-01,100.68540
1979-11-01,100.65380
1979-12-01,100.46370
1980-01-01,100.09970
1980-02-01,99.80946
1980-03-01,99.67564
1980-04-01,99.64217
1980-05-01,99.64811
1980-06-01,99.66103
1980-07-01,99.67113
1980-08-01,99.67831
1980-09-01,99.68205
1980-10-01,99.67425
1980-11-01,99.63547
1980-12-01,99.54276
1981-01-01,99.40840
1981-02-01,99.37270
1981-03-01,99.57418
1981-04-01,99.92142
1981-05-01,100.15550
1981-06-01,100.29480
1981-07-01,100.40100
1981-08-01,100.43980
1981-09-01,100.43870
1981-10-01,100.44800
1981-11-01,100.54210
1981-12-01,100.81040
1982-01-01,101.26280
1982-02-01,101.56160
1982-03-01,101.62540
1982-04-01,101.59390
1982-05-01,101.50030
1982-06-01,101.30290
1982-07-01,100.97840
1982-08-01,100.71970
1982-09-01,100.46790
1982-10-01,100.17120
1982-11-01,100.03700
1982-12-01,100.03600
1983-01-01,100.03660
1983-02-01,99.80598
1983-03-01,99.27355
1983-04-01,98.49744
1983-05-01,97.93297
1983-06-01,97.62458
1983-07-01,97.50631
1983-08-01,97.44617
1983-09-01,97.36439
1983-10-01,97.29356
1983-11-01,97.19640
1983-12-01,97.03661
1984-01-01,96.87597
1984-02-01,96.77018
1984-03-01,96.66543
1984-04-01,96.50417
1984-05-01,96.32993
1984-06-01,96.18446
1984-07-01,96.01805
1984-08-01,95.83493
1984-09-01,95.59566
1984-10-01,95.40031
1984-11-01,95.46362
1984-12-01,96.04639
1985-01-01,97.12808
1985-02-01,97.82414
1985-03-01,98.12930
1985-04-01,98.24789
1985-05-01,98.10397
1985-06-01,97.75065
1985-07-01,97.30290
1985-08-01,97.29085
1985-09-01,97.86656
1985-10-01,98.94819
1985-11-01,99.72340
1985-12-01,100.20800
1986-01-01,100.57640
1986-02-01,100.67690
1986-03-01,100.53460
1986-04-01,100.25100
1986-05-01,99.98770
1986-06-01,99.80148
1986-07-01,99.88087
1986-08-01,100.04600
1986-09-01,100.19740
1986-10-01,100.25620
1986-11-01,100.17140
1986-12-01,99.99300
1987-01-01,99.74567
1987-02-01,99.55412
1987-03-01,99.44180
1987-04-01,99.36391
1987-05-01,99.21416
1987-06-01,99.16669
1987-07-01,99.32413
1987-08-01,99.60669
1987-09-01,99.96434
1987-10-01,100.22630
1987-11-01,100.37690
1987-12-01,100.50520
1988-01-01,100.60100
1988-02-01,100.66490
1988-03-01,100.71730
1988-04-01,100.81450
1988-05-01,100.94300
1988-06-01,101.00140
1988-07-01,101.06850
1988-08-01,101.15960
1988-09-01,101.26510
1988-10-01,101.36490
1988-11-01,101.42890
1988-12-01,101.36970
1989-01-01,101.32190
1989-02-01,101.19950
1989-03-01,101.03440
1989-04-01,100.91400
1989-05-01,100.80280
1989-06-01,100.76830
1989-07-01,100.85530
1989-08-01,100.98760
1989-09-01,101.11890
1989-10-01,101.23260
1989-11-01,101.34240
1989-12-01,101.40530
1990-01-01,101.42250
1990-02-01,101.37700
1990-03-01,101.32180
1990-04-01,101.18770
1990-05-01,101.02350
1990-06-01,100.94510
1990-07-01,100.85110
1990-08-01,100.60650
1990-09-01,100.16310
1990-10-01,99.93661
1990-11-01,99.82370
1990-12-01,99.69286
1991-01-01,99.57645
1991-02-01,99.77510
1991-03-01,100.12920
1991-04-01,100.11090
1991-05-01,99.86898
1991-06-01,99.53448
1991-07-01,99.38345
1991-08-01,99.43217
1991-09-01,99.56171
1991-10-01,99.60132
1991-11-01,99.59484
1991-12-01,99.54993
1992-01-01,99.62934
1992-02-01,99.87897
1992-03-01,100.12210
1992-04-01,100.21140
1992-05-01,100.07620
1992-06-01,99.79141
1992-07-01,99.60764
1992-08-01,99.65460
1992-09-01,99.83476
1992-10-01,99.90826
1992-11-01,99.76164
1992-12-01,99.57196
1993-01-01,99.50454
1993-02-01,99.71787
1993-03-01,100.03500
1993-04-01,100.07340
1993-05-01,99.53506
1993-06-01,99.03957
1993-07-01,98.76122
1993-08-01,98.81900
1993-09-01,99.10614
1993-10-01,99.36428
1993-11-01,99.50362
1993-12-01,99.68800
1994-01-01,99.90511
1994-02-01,100.12540
1994-03-01,100.34890
1994-04-01,100.59630
1994-05-01,100.76440
1994-06-01,100.77510
1994-07-01,100.77660
1994-08-01,100.92160
1994-09-01,101.15450
1994-10-01,101.19890
1994-11-01,101.11580
1994-12-01,101.02280
1995-01-01,100.91200
1995-02-01,100.92860
1995-03-01,101.08570
1995-04-01,101.35260
1995-05-01,101.60400
1995-06-01,101.59040
1995-07-01,101.21470
1995-08-01,100.67820
1995-09-01,99.90529
1995-10-01,99.21215
1995-11-01,98.78609
1995-12-01,98.63933
1996-01-01,98.82383
1996-02-01,99.05003
1996-03-01,99.16239
1996-04-01,99.09805
1996-05-01,98.95924
1996-06-01,98.83996
1996-07-01,98.75370
1996-08-01,98.72620
1996-09-01,98.72335
1996-10-01,98.73148
1996-11-01,98.81302
1996-12-01,99.01917
1997-01-01,99.20274
1997-02-01,99.31365
1997-03-01,99.34739
1997-04-01,99.49807
1997-05-01,99.88712
1997-06-01,100.46540
1997-07-01,100.78260
1997-08-01,100.91360
1997-09-01,100.90440
1997-10-01,100.77210
1997-11-01,100.59420
1997-12-01,100.40270
1998-01-01,100.25680
1998-02-01,100.38130
1998-03-01,100.62610
1998-04-01,100.79070
1998-05-01,100.96000
1998-06-01,101.12860
1998-07-01,101.40130
1998-08-01,101.61310
1998-09-01,101.69010
1998-10-01,101.59620
1998-11-01,101.41480
1998-12-01,101.28360
1999-01-01,101.25980
1999-02-01,101.21350
1999-03-01,101.08890
1999-04-01,101.00370
1999-05-01,101.05660
1999-06-01,101.25440
1999-07-01,101.53820
1999-08-01,101.79660
1999-09-01,102.00430
1999-10-01,102.12280
1999-11-01,102.15590
1999-12-01,102.08420
2000-01-01,101.99080
2000-02-01,101.97420
2000-03-01,102.08360
2000-04-01,102.22950
2000-05-01,102.31250
2000-06-01,102.34060
2000-07-01,102.29420
2000-08-01,102.07120
2000-09-01,101.90300
2000-10-01,102.02330
2000-11-01,102.25530
2000-12-01,102.52500
2001-01-01,102.62910
2001-02-01,102.46750
2001-03-01,102.14950
2001-04-01,101.76020
2001-05-01,101.33480
2001-06-01,101.06340
2001-07-01,100.87110
2001-08-01,100.66340
2001-09-01,100.54470
2001-10-01,100.65660
2001-11-01,100.90020
2001-12-01,101.11480
2002-01-01,101.23040
2002-02-01,101.26430
2002-03-01,101.25840
2002-04-01,101.27150
2002-05-01,101.41140
2002-06-01,101.37360
2002-07-01,101.17210
2002-08-01,100.93980
2002-09-01,100.81330
2002-10-01,100.87430
2002-11-01,100.93350
2002-12-01,100.83870
2003-01-01,100.46860
2003-02-01,99.98627
2003-03-01,99.62807
2003-04-01,99.55245
2003-05-01,99.59089
2003-06-01,99.64032
2003-07-01,99.65112
2003-08-01,99.60408
2003-09-01,99.57878
2003-10-01,99.66866
2003-11-01,99.84783
2003-12-01,100.11890
2004-01-01,100.38670
2004-02-01,100.42440
2004-03-01,100.29280
2004-04-01,100.09070
2004-05-01,100.06090
2004-06-01,100.10500
2004-07-01,100.21000
2004-08-01,100.32470
2004-09-01,100.41280
2004-10-01,100.44430
2004-11-01,100.38630
2004-12-01,100.35630
2005-01-01,100.28450
2005-02-01,100.20730
2005-03-01,100.02300
2005-04-01,99.67373
2005-05-01,99.43609
2005-06-01,99.53075
2005-07-01,99.62100
2005-08-01,99.77409
2005-09-01,99.73737
2005-10-01,99.36607
2005-11-01,99.18800
2005-12-01,99.40199
2006-01-01,99.65994
2006-02-01,99.75042
2006-03-01,99.73683
