observation_date,CPALTT01JPM659N
1956-01-01,-1.60944200000000004
1956-02-01,-0.75107290000000004
1956-03-01,0.10799140000000000
1956-04-01,-0.53533190000000008
1956-05-01,0.00000000000000000
1956-06-01,1.94384399999999991
1956-07-01,0.32537959999999999
1956-08-01,0.21551719999999999
1956-09-01,0.64377680000000004
1956-10-01,0.53304900000000000
1956-11-01,1.20087300000000008
1956-12-01,2.74122800000000000
1957-01-01,3.27153800000000006
1957-02-01,2.16216199999999992
1957-03-01,2.26537200000000016
1957-04-01,2.69106600000000018
1957-05-01,4.00000000000000000
1957-06-01,1.58898300000000003
1957-07-01,4.86486499999999999
1957-08-01,5.05376300000000001
1957-09-01,3.62473299999999998
1957-10-01,2.75715800000000000
1957-11-01,3.12837100000000001
1957-12-01,1.81430099999999994
1958-01-01,0.95036960000000004
1958-02-01,0.31746029999999997
1958-03-01,-0.42194090000000001
1958-04-01,-0.62893080000000012
1958-05-01,-1.55925200000000008
1958-06-01,-0.10427529999999990
1958-07-01,-1.64948500000000009
1958-08-01,-1.33060399999999990
1958-09-01,-1.33744900000000011
1958-10-01,-0.20639839999999990
1958-11-01,0.10460250000000000
1958-12-01,0.20964360000000001
1959-01-01,0.10460250000000000
1959-02-01,0.52742619999999996
1959-03-01,1.27118599999999993
1959-04-01,1.37130799999999997
1959-05-01,0.73917630000000012
1959-06-01,0.31315240000000000
1959-07-01,0.83857440000000005
1959-08-01,1.34854800000000008
1959-09-01,0.93847760000000002
1959-10-01,1.44777700000000009
1959-11-01,1.98537100000000000
1959-12-01,2.09204999999999997
1960-01-01,3.23929000000000000
1960-02-01,3.77754399999999979
1960-03-01,3.13807500000000017
1960-04-01,3.22580599999999995
1960-05-01,4.92662499999999959
1960-06-01,3.74609799999999993
1960-07-01,3.53430299999999997
1960-08-01,2.76356199999999985
1960-09-01,4.54545500000000047
1960-10-01,3.66972500000000013
1960-11-01,2.76639299999999988
1960-12-01,3.58606600000000020
1961-01-01,3.74493900000000002
1961-02-01,4.14560199999999934
1961-03-01,4.25963500000000028
1961-04-01,4.63709699999999980
1961-05-01,3.19680300000000006
1961-06-01,3.61083199999999982
1961-07-01,5.42168700000000037
1961-08-01,5.37848599999999966
1961-09-01,5.13834000000000035
1961-10-01,6.88298900000000025
1961-11-01,8.87338000000000093
1961-12-01,9.00098900000000057
1962-01-01,8.19512199999999957
1962-02-01,7.28155299999999972
1962-03-01,7.68482500000000002
1962-04-01,7.80346799999999963
1962-05-01,8.90609800000000007
1962-06-01,8.51887699999999981
1962-07-01,7.80952400000000146
1962-08-01,6.99432899999999957
1962-09-01,6.01503799999999966
1962-10-01,4.59981600000000057
1962-11-01,3.75457900000000011
1962-12-01,4.90018099999999990
1963-01-01,5.95130699999999990
1963-02-01,6.81599500000000003
1963-03-01,7.10329600000000028
1963-04-01,6.42986799999999992
