observation_date,ULQEUL01JPQ661S
1980-01-01,117.1423198677850
1980-04-01,119.8386244761690
1980-07-01,120.4066376439390
1980-10-01,119.9958430553430
1981-01-01,120.5447185983060
1981-04-01,121.7269063850330
1981-07-01,123.9978972691790
1981-10-01,125.9893868610190
1982-01-01,123.9575247085570
1982-04-01,124.6034872365270
1982-07-01,126.2106108078190
1982-10-01,126.2330353952850
1983-01-01,127.7480376176830
1983-04-01,126.9321582282830
1983-07-01,125.9154027487300
1983-10-01,126.2534905252550
1984-01-01,126.2132175998160
1984-04-01,126.7121397161450
1984-07-01,125.8247092720280
1984-10-01,128.1191989682240
1985-01-01,125.3347892014990
1985-04-01,124.1886031784860
1985-07-01,124.5102559582680
1985-10-01,123.4183888955780
1986-01-01,125.0775085711840
1986-04-01,124.7980015339010
1986-07-01,125.6110192375550
1986-10-01,125.5480467775390
1987-01-01,127.1736324678770
1987-04-01,124.8694241471630
1987-07-01,123.3552733025460
1987-10-01,121.5759865779860
1988-01-01,120.9750952092650
1988-04-01,122.2897746543430
1988-07-01,121.2699599779880
1988-10-01,121.4020848223570
1989-01-01,119.4929188241470
1989-04-01,123.7876892929830
1989-07-01,123.4502371713980
1989-10-01,121.8651972542380
1990-01-01,124.1577316054880
1990-04-01,122.4298228528350
1990-07-01,121.9474171635460
1990-10-01,125.0902362229130
1991-01-01,125.3228409181470
1991-04-01,126.2472710081870
1991-07-01,128.1695930487040
1991-10-01,129.0293260365390
1992-01-01,128.5593723532100
1992-04-01,128.1763553507370
1992-07-01,128.3828457075790
1992-10-01,130.0290109214660
1993-01-01,127.9207820289060
1993-04-01,128.8656676486890
1993-07-01,131.6010216935590
1993-10-01,130.6188682430880
1994-01-01,130.5811882627350
1994-04-01,133.7981824117230
1994-07-01,130.1163886439530
1994-10-01,132.8553934170350
1995-01-01,131.1647654982860
1995-04-01,130.1150624183060
1995-07-01,129.4248128384240
1995-10-01,129.6751375153960
1996-01-01,127.6441500284380
1996-04-01,126.8209031361300
1996-07-01,128.3063639852110
1996-10-01,127.2774772752620
1997-01-01,128.3962619841900
1997-04-01,130.2498641767990
1997-07-01,130.5279810841070
1997-10-01,130.1427228485250
1998-01-01,130.7336115699610
1998-04-01,130.7294648855360
1998-07-01,129.0157598422760
1998-10-01,127.3747234900010
1999-01-01,128.1822367840930
1999-04-01,127.1738709868050
1999-07-01,126.5229168566550
1999-10-01,126.3752303150140
2000-01-01,124.0087041175120
2000-04-01,122.9202287994170
2000-07-01,122.9404938881480
2000-10-01,122.2744351986910
2001-01-01,121.5368967049600
2001-04-01,120.1747558447340
2001-07-01,120.4075980805780
2001-10-01,119.0866906402840
2002-01-01,118.9782586621810
2002-04-01,114.5143083430470
2002-07-01,114.5398816826340
2002-10-01,113.5422527002330
2003-01-01,115.1931366401490
2003-04-01,112.6993880972890
2003-07-01,110.8894454625560
2003-10-01,109.9663366756450
2004-01-01,109.3900396803660
2004-04-01,110.1915921488510
2004-07-01,109.8611103007520
2004-10-01,109.9135298036890
2005-01-01,110.0483790857260
2005-04-01,109.5672764625930
2005-07-01,109.1661182061950
2005-10-01,109.1632715338150
2006-01-01,108.5213399595780
2006-04-01,108.6778090746240
2006-07-01,109.4724321104460
2006-10-01,108.7752698136390
2007-01-01,106.8215265989610
2007-04-01,107.4952209604760
2007-07-01,107.6394413566470
2007-10-01,107.7106298133530
2008-01-01,107.3781063007830
2008-04-01,108.3549664710680
2008-07-01,108.1356099266760
2008-10-01,110.1243823327320
2009-01-01,113.7364094955520
2009-04-01,108.2831334300250
2009-07-01,107.9631741770490
2009-10-01,106.1661295954420
2010-01-01,105.3059470180810
2010-04-01,103.7158545876650
2010-07-01,101.5210426408130
2010-10-01,101.7248966530800
2011-01-01,103.2394263125890
2011-04-01,104.2159405510520
2011-07-01,101.6821682236850
2011-10-01,101.9937847333510
2012-01-01,100.9438630406460
2012-04-01,101.0529596931940
2012-07-01,101.5811168597380
2012-10-01,101.1843732360080
2013-01-01,100.4920492702920
2013-04-01,99.9177534120358
2013-07-01,98.3739722612265
2013-10-01,99.2882505460851
2014-01-01,98.6375833798700
2014-04-01,101.7178765582600
2014-07-01,101.6113460102310
2014-10-01,101.2333842011410
2015-01-01,99.7154641681886
2015-04-01,99.5642551992568
2015-07-01,100.0521870653100
2015-10-01,100.6680935672450
2016-01-01,100.6288982737460
2016-04-01,100.8460214422110
2016-07-01,101.8472782828610
2016-10-01,101.8821451909200
2017-01-01,101.1673006980090
2017-04-01,101.0262940816420
2017-07-01,101.2184646552800
2017-10-01,101.2328833115060
2018-01-01,102.9391075683330
2018-04-01,103.6061951222200
2018-07-01,104.1466822748210
2018-10-01,105.1023653726290
2019-01-01,104.7554130985890
2019-04-01,105.3974699329270
2019-07-01,105.1948068254900
2019-10-01,109.4111892435290
2020-01-01,107.9121610621780
2020-04-01,113.9977689770720
2020-07-01,108.5715177444530
2020-10-01,107.2112789068490
2021-01-01,109.0562449338630
2021-04-01,108.0688479194300
2021-07-01,109.0601239931690
2021-10-01,107.3920488887180
2022-01-01,109.8143388672670
2022-04-01,108.6015583903330
2022-07-01,109.5251430888940
2022-10-01,109.9155925937450
2023-01-01,108.9098859979860
2023-04-01,108.5045755385850
2023-07-01,109.1267547945340
