observation_date,ULQECU01GBQ657S
1992-07-01,0.39736055058197201
1992-10-01,1.30062280203915992
1993-01-01,0.32367210034570398
1993-04-01,1.03738386129195992
1993-07-01,0.96542802251377402
1993-10-01,1.38624606764134994
1994-01-01,-2.86709280090915009
1994-04-01,-0.12137012304502399
1994-07-01,1.61035135601500001
1994-10-01,1.05599525459889998
1995-01-01,1.03327926738366993
1995-04-01,0.73118463493163799
1995-07-01,0.49652144793361802
1995-10-01,0.87284888748456202
1996-01-01,0.78278401011650600
1996-04-01,1.13021144814209995
1996-07-01,1.31218929299293996
1996-10-01,0.21428414790200800
1997-01-01,2.27182788466306995
1997-04-01,1.89224607519029009
1997-07-01,1.73490420795756006
1997-10-01,0.37430047303727598
1998-01-01,-0.09470786615922901
1998-04-01,1.49893943148233011
1998-07-01,1.11233599950143991
1998-10-01,0.14684082015305500
1999-01-01,2.70348542773117018
1999-04-01,2.00129467268844996
1999-07-01,1.22272711025146008
1999-10-01,0.93823090163311595
2000-01-01,1.10072095845170992
2000-04-01,1.59991489880442006
2000-07-01,1.92120617567601992
2000-10-01,2.45712563560813013
2001-01-01,2.35814402341038010
2001-04-01,-0.75569675438350403
2001-07-01,0.79954692579426900
2001-10-01,0.51129378689595495
2002-01-01,0.67501013782458896
2002-04-01,-0.30395172387691999
2002-07-01,0.84808053580948795
2002-10-01,0.69574887699868804
2003-01-01,1.78480892976203998
2003-04-01,0.86710212236132400
2003-07-01,2.88984696914006012
2003-10-01,1.30198822109712009
2004-01-01,1.44034036520233011
2004-04-01,0.57069033551044102
2004-07-01,1.59684776506089010
2004-10-01,1.51177234035583008
2005-01-01,1.56328561384319009
2005-04-01,-0.03492101759873920
2005-07-01,1.46478644136735991
2005-10-01,0.62649889949829196
2006-01-01,2.71620316794095995
2006-04-01,-0.48139902663653800
2006-07-01,1.59629711967075005
2006-10-01,2.60790363220390997
2007-01-01,2.47232207732561005
2007-04-01,0.00640086412838830
2007-07-01,1.95322280003232995
2007-10-01,-0.66178267715748795
2008-01-01,1.77826931867364002
2008-04-01,-1.32317998657234992
2008-07-01,-0.13208698932825100
2008-10-01,-0.29866912992632400
2009-01-01,-0.73658080760529099
2009-04-01,2.56591160962548992
2009-07-01,-0.17775050598264500
2009-10-01,1.42007568174214005
2010-01-01,1.18000590282258999
2010-04-01,-0.59019035766244399
2010-07-01,0.65276300678790000
2010-10-01,0.11773661826678999
2011-01-01,1.87060106348344002
2011-04-01,-0.80891126759464704
2011-07-01,0.69485010466146302
2011-10-01,-0.00988535159851570
2012-01-01,1.20590485925119006
2012-04-01,0.02798107612709290
2012-07-01,-0.17922823717755099
2012-10-01,0.10698304995133399
2013-01-01,0.31051456558013801
2013-04-01,3.07245008347531989
2013-07-01,-0.24591261840356099
2013-10-01,0.80700191103515595
2014-01-01,0.72389027286127505
2014-04-01,-0.95189244571483200
2014-07-01,-0.93278845895280005
2014-10-01,0.57775938243041902
2015-01-01,0.67383581594391495
2015-04-01,0.78358595206995796
2015-07-01,0.44618960824016901
2015-10-01,0.20312587999959800
2016-01-01,1.03272008503964008
2016-04-01,1.46156225340163992
2016-07-01,0.64655783447125204
2016-10-01,0.01696438475153950
2017-01-01,1.07239703167682010
2017-04-01,0.98856989792960903
2017-07-01,0.39266884595836199
2017-10-01,0.32763426224328801
2018-01-01,1.28585612404382998
2018-04-01,-0.26664903210863000
2018-07-01,1.42632751653838996
2018-10-01,0.92700360150274497
2019-01-01,1.14125038226367992
2019-04-01,1.56404325339486006
2019-07-01,0.36248933822433999
2019-10-01,-0.41486554135077902
2020-01-01,-0.07742333076829490
2020-04-01,-2.52589662024149986
2020-07-01,2.83226280463604008
2020-10-01,2.72989930288570992
2021-01-01,-0.34613052257619398
2021-04-01,2.33924825926263980
2021-07-01,0.21809468529526599
2021-10-01,0.83867215697876796
2022-01-01,2.44066722583700990
2022-04-01,1.13249057610300996
2022-07-01,1.90402532656843992
2022-10-01,1.76577459812957005
2023-01-01,1.18611890551901000
2023-04-01,2.01744276034032000
