observation_date,FRAPIEAMP01GPM
1995-02-01,0.1226993865
1995-03-01,0.1225490196
1995-04-01,0.1223990208
1995-05-01,0.1222493888
1995-06-01,0.2442002442
1995-07-01,0.1218026797
1995-08-01,0.1216545012
1995-09-01,0.1215066829
1995-10-01,-0.1213592233
1995-11-01,-0.1215066829
1995-12-01,-0.2433090024
1996-01-01,0.0000000000
1996-02-01,0.0000000000
1996-03-01,-0.2439024390
1996-04-01,-0.2444987775
1996-05-01,-0.1225490196
1996-06-01,-0.1226993865
1996-07-01,0.0000000000
1996-08-01,0.0000000000
1996-09-01,0.0000000000
1996-10-01,-0.3685503686
1996-11-01,0.0000000000
1996-12-01,-0.1233045623
1997-01-01,0.0000000000
1997-02-01,0.1234567901
1997-03-01,-0.2466091245
1997-04-01,0.1236093943
1997-05-01,0.1234567901
1997-06-01,-0.1233045623
1997-07-01,0.1234567901
1997-08-01,0.2466091245
1997-09-01,-0.1230012300
1997-10-01,0.1231527094
1997-11-01,0.1230012300
1997-12-01,-0.3685503686
1998-01-01,-0.2466091245
1998-02-01,0.0000000000
1998-03-01,-0.2472187886
1998-04-01,0.0000000000
1998-05-01,-0.1239157373
1998-06-01,-0.2481389578
1998-07-01,-0.1243781095
1998-08-01,-0.2490660025
1998-09-01,0.0000000000
1998-10-01,-0.2496878901
1998-11-01,-0.1251564456
1998-12-01,-0.2506265664
1999-01-01,-0.1256281407
1999-02-01,0.0000000000
1999-03-01,0.2515723270
1999-04-01,0.3764115433
1999-05-01,0.1250000000
1999-06-01,0.0000000000
1999-07-01,0.6242197253
1999-08-01,0.1240694789
1999-09-01,0.1239157373
1999-10-01,0.3712871287
1999-11-01,0.4932182491
1999-12-01,0.6134969325
2000-01-01,0.7317073171
2000-02-01,0.6053268765
2000-03-01,0.4813477738
2000-04-01,0.3592814371
2000-05-01,0.5966587112
2000-06-01,0.4744958482
2000-07-01,0.3541912633
2000-08-01,0.3529411765
2000-09-01,0.9378663540
2000-10-01,0.8130081301
2000-11-01,0.1152073733
2000-12-01,-0.4602991945
2001-01-01,-0.1156069364
2001-02-01,0.2314814815
2001-03-01,-0.1154734411
2001-04-01,0.3468208092
2001-05-01,0.2304147465
2001-06-01,0.3448275862
2001-07-01,-0.2290950745
2001-08-01,-0.2296211251
2001-09-01,-0.2301495972
2001-10-01,-0.3460207612
2001-11-01,-0.3472222222
2001-12-01,0.1161440186
2002-01-01,0.1160092807
2002-02-01,0.1158748552
2002-03-01,0.4629629630
2002-04-01,0.4608294931
2002-05-01,0.0000000000
2002-06-01,-0.2293577982
2002-07-01,0.2298850575
2002-08-01,0.0000000000
2002-09-01,0.1146788991
2002-10-01,0.1145475372
2002-11-01,-0.4576659039
2002-12-01,0.3448275862
2003-01-01,0.2290950745
2003-02-01,0.4571428571
2003-03-01,0.2275312856
2003-04-01,-0.7945516459
2003-05-01,-0.5720823799
2003-06-01,-0.1150747986
2003-07-01,0.3456221198
2003-08-01,0.2296211251
2003-09-01,0.0000000000
2003-10-01,0.0000000000
2003-11-01,0.2290950745
2003-12-01,-0.2285714286
2004-01-01,0.2290950745
2004-02-01,0.1142857143
2004-03-01,0.4566210046
2004-04-01,0.4545454545
2004-05-01,0.5656108597
2004-06-01,0.2249718785
2004-07-01,0.4489337823
2004-08-01,0.4469273743
2004-09-01,0.1112347052
2004-10-01,0.5555555556
2004-11-01,-0.2209944751
2004-12-01,-0.4429678848
2005-01-01,0.4449388209
2005-02-01,-0.2214839424
2005-03-01,0.9988901221
2005-04-01,0.3296703297
2005-05-01,-0.3285870756
2005-06-01,0.7692307692
2005-07-01,0.1090512541
2005-08-01,1.0893246187
2005-09-01,-0.2155172414
2005-10-01,-0.2159827214
2005-11-01,-0.3246753247
2005-12-01,0.4343105320
2006-01-01,0.3243243243
2006-02-01,0.2155172414
2006-03-01,0.4301075269
2006-04-01,0.8565310493
2006-05-01,0.5307855626
2006-06-01,0.5279831045
2006-07-01,0.1050420168
2006-08-01,0.1049317943
2006-09-01,-0.9433962264
2006-10-01,0.0000000000
2006-11-01,-0.2116402116
2006-12-01,0.1060445387
2007-01-01,0.1059322034
2007-02-01,0.6349206349
2007-03-01,0.4206098843
2007-04-01,0.3141361257
2007-05-01,0.4175365344
2007-06-01,0.1039501040
2007-07-01,0.3115264798
2007-08-01,0.2070393375
2007-09-01,0.4132231405
2007-10-01,0.1028806584
2007-11-01,0.7194244604
2007-12-01,0.4081632653
2008-01-01,0.4065040650
2008-02-01,0.4048582996
2008-03-01,0.5040322581
2008-04-01,0.6018054162
2008-05-01,1.2961116650
2008-06-01,0.6889763780
2008-07-01,0.5865102639
2008-08-01,-0.3887269193
2008-09-01,-0.3902439024
2008-10-01,-1.2732615083
2008-11-01,-1.6865079365
2008-12-01,-1.6145307770
2009-01-01,-1.7435897436
2009-02-01,-0.3131524008
2009-03-01,-0.5235602094
2009-04-01,0.0000000000
2009-05-01,0.1052631579
2009-06-01,0.4206098843
2009-07-01,-0.1047120419
2009-08-01,0.4192872117
2009-09-01,-0.4175365344
2009-10-01,0.0000000000
2009-11-01,0.2096436059
2009-12-01,0.0000000000
2010-01-01,0.6276150628
2010-02-01,0.0000000000
2010-03-01,0.3118503119
2010-04-01,0.5181347150
2010-05-01,0.3092783505
2010-06-01,0.4110996917
2010-07-01,-0.1023541453
2010-08-01,0.0000000000
2010-09-01,0.4098360656
2010-10-01,0.2040816327
2010-11-01,0.4073319756
2010-12-01,0.5070993915
2011-01-01,0.9081735621
2011-02-01,0.6000000000
2011-03-01,0.7952286282
2011-04-01,0.6903353057
2011-05-01,-0.1958863859
2011-06-01,-0.0981354269
2011-07-01,0.3929273084
2011-08-01,-0.0978473581
2011-09-01,0.0979431929
2011-10-01,0.0000000000
2011-11-01,0.1956947162
2011-12-01,-0.0976562500
2012-01-01,0.7820136852
2012-02-01,0.4849660524
2012-03-01,0.2895752896
2012-04-01,0.0000000000
2012-05-01,-0.3849855630
2012-06-01,-0.5797101449
2012-07-01,0.2915451895
2012-08-01,0.6782945736
2012-09-01,0.1924927815
2012-10-01,-0.0960614793
2012-11-01,-0.2884615385
2012-12-01,-0.1928640309
2013-01-01,0.1932367150
2013-02-01,0.2892960463
2013-03-01,0.0000000000
2013-04-01,-0.4807692308
2013-05-01,-0.3864734300
2013-06-01,0.0000000000
2013-07-01,0.3879728419
2013-08-01,0.0000000000
2013-09-01,-0.0966183575
2013-10-01,-0.6769825919
2013-11-01,-0.0973709834
2013-12-01,0.0974658869
2014-01-01,-0.0973709834
2014-02-01,-0.0974658869
2014-03-01,-0.0975609756
2014-04-01,0.0000000000
2014-05-01,0.0976562500
2014-06-01,0.1951219512
2014-07-01,0.0000000000
2014-08-01,-0.1947419669
2014-09-01,-0.0975609756
2014-10-01,-0.5859375000
2014-11-01,-0.5893909627
2014-12-01,-0.9881422925
