observation_date,FRAPIEAMP01GPM
2015-01-01,-0.9980039920
2015-02-01,1.0080645161
2015-03-01,0.3992015968
2015-04-01,0.4970178926
2015-05-01,0.1978239367
2015-06-01,-0.0987166831
2015-07-01,-0.2964426877
2015-08-01,-1.0901883053
2015-09-01,-0.4008016032
2015-10-01,-0.3018108652
2015-11-01,0.0000000000
2015-12-01,-0.9081735621
2016-01-01,-0.8146639511
2016-02-01,-0.4106776181
2016-03-01,0.4123711340
2016-04-01,0.1026694045
2016-05-01,0.6153846154
2016-06-01,0.3058103976
2016-07-01,-0.2032520325
2016-08-01,-0.1018329939
2016-09-01,0.1019367992
2016-10-01,0.6109979633
2016-11-01,-0.1012145749
2016-12-01,0.8105369807
2017-01-01,0.5025125628
2017-02-01,0.4000000000
2017-03-01,-0.1992031873
2017-04-01,0.3992015968
2017-05-01,-0.3976143141
2017-06-01,-0.4990019960
2017-07-01,-0.1003009027
2017-08-01,0.2008032129
2017-09-01,0.4008016032
2017-10-01,0.1996007984
2017-11-01,0.4980079681
2017-12-01,0.0000000000
2018-01-01,0.2973240833
2018-02-01,-0.1976284585
2018-03-01,0.2970297030
2018-04-01,0.4935834156
2018-05-01,0.7858546169
2018-06-01,0.0974658869
2018-07-01,0.0973709834
2018-08-01,0.0972762646
2018-09-01,0.1943634597
2018-10-01,0.3879728419
2018-11-01,-0.7729468599
2018-12-01,-0.8763388510
2019-01-01,0.0982318271
2019-02-01,0.4906771344
2019-03-01,0.2929687500
2019-04-01,0.4868549172
2019-05-01,0.0000000000
2019-06-01,-0.6782945736
2019-07-01,0.1951219512
2019-08-01,-0.2921129503
2019-09-01,0.3906250000
2019-10-01,-0.1945525292
2019-11-01,0.0974658869
2019-12-01,0.1947419669
2020-01-01,-0.0971817298
2020-02-01,-0.3891050584
2020-03-01,-1.6601562500
2020-04-01,-1.0923535253
2020-05-01,0.1004016064
2020-06-01,0.6018054162
2020-07-01,0.1994017946
2020-08-01,-0.2985074627
2020-09-01,-0.0998003992
2020-10-01,0.1998001998
2020-11-01,0.0997008973
2020-12-01,0.5976095618
2021-01-01,0.8910891089
2021-02-01,0.9813542689
2021-03-01,0.8746355685
2021-04-01,0.6743737958
2021-05-01,0.5741626794
2021-06-01,0.8563273073
2021-07-01,0.9433962264
2021-08-01,0.6542056075
2021-09-01,0.6499535747
2021-10-01,1.3837638376
2021-11-01,0.6369426752
2021-12-01,0.4520795660
2022-01-01,2.6102610261
2022-02-01,1.3157894737
2022-03-01,3.6363636364
2022-04-01,2.0885547201
2022-05-01,1.8003273322
2022-06-01,1.6077170418
2022-07-01,-0.2373417722
2022-08-01,-0.2379064235
2022-09-01,0.1589825119
2022-10-01,1.2698412698
2022-11-01,-0.7053291536
2022-12-01,-0.9471191792
