observation_date,JPNCPICORMINMEI
1955-01-01,16.623839999999998
1955-02-01,16.611390000000000
1955-03-01,16.550249999999998
1955-04-01,16.690860000000001
1955-05-01,16.581679999999999
1955-06-01,16.596900000000002
1955-07-01,16.558949999999999
1955-08-01,16.642600000000002
1955-09-01,16.709879999999998
1955-10-01,16.791910000000001
1955-11-01,16.419029999999999
1955-12-01,16.344500000000000
1956-01-01,16.436629999999997
1956-02-01,16.537849999999999
1956-03-01,16.593190000000000
1956-04-01,16.665410000000001
1956-05-01,16.613389999999999
1956-06-01,16.904900000000001
1956-07-01,16.639160000000000
1956-08-01,16.713210000000000
1956-09-01,16.865839999999999
1956-10-01,16.894870000000001
1956-11-01,16.611270000000001
1956-12-01,16.724000000000000
1957-01-01,16.809770000000000
1957-02-01,16.744800000000001
1957-03-01,16.823799999999999
1957-04-01,16.971740000000000
1957-05-01,17.131610000000002
1957-06-01,17.054240000000000
1957-07-01,17.207500000000000
1957-08-01,17.322830000000000
1957-09-01,17.215009999999999
1957-10-01,17.142830000000000
1957-11-01,16.922529999999998
1957-12-01,16.893710000000002
1958-01-01,16.991260000000000
1958-02-01,16.837440000000001
1958-03-01,16.795490000000001
1958-04-01,16.913239999999998
1958-05-01,16.934600000000000
1958-06-01,17.084599999999998
1958-07-01,17.041029999999999
1958-08-01,17.224100000000000
1958-09-01,17.099820000000001
1958-10-01,17.239999999999998
1958-11-01,17.045679999999997
1958-12-01,17.062600000000000
1959-01-01,17.081830000000000
1959-02-01,16.985220000000002
1959-03-01,17.068230000000000
1959-04-01,17.191310000000001
1959-05-01,17.144289999999998
1959-06-01,17.248780000000000
1959-07-01,17.282080000000001
1959-08-01,17.536390000000001
1959-09-01,17.364110000000000
1959-10-01,17.590789999999998
1959-11-01,17.466089999999998
1959-12-01,17.461649999999999
1960-01-01,17.624079999999999
1960-02-01,17.643310000000000
1960-03-01,17.595260000000000
1960-04-01,17.734760000000001
1960-05-01,17.872080000000000
1960-06-01,17.778289999999998
1960-07-01,17.768699999999999
1960-08-01,17.914510000000000
1960-09-01,18.007279999999998
1960-10-01,18.114979999999999
1960-11-01,17.857389999999999
1960-12-01,18.011199999999999
1961-01-01,18.205700000000000
1961-02-01,18.295020000000001
1961-03-01,18.250930000000000
1961-04-01,18.499490000000002
1961-05-01,18.454760000000000
1961-06-01,18.481280000000002
1961-07-01,18.779669999999999
1961-08-01,18.887709999999998
1961-09-01,19.006940000000000
1961-10-01,19.359220000000001
1961-11-01,19.414770000000001
1961-12-01,19.625109999999999
1962-01-01,19.721170000000001
1962-02-01,19.638639999999999
1962-03-01,19.702420000000000
1962-04-01,19.902509999999999
1962-05-01,20.056069999999998
1962-06-01,19.994430000000001
1962-07-01,20.196720000000003
1962-08-01,20.234500000000001
1962-09-01,20.179670000000002
1962-10-01,20.324999999999999
1962-11-01,20.301880000000001
1962-12-01,20.682310000000001
1963-01-01,20.921530000000001
1963-02-01,20.982559999999999
1963-03-01,21.043600000000001
1963-04-01,21.221969999999999
1963-05-01,21.435150000000000
1963-06-01,21.577230000000000
1963-07-01,21.455739999999999
1963-08-01,21.404039999999998
1963-09-01,21.847600000000000
1963-10-01,21.729109999999999
1963-11-01,21.632680000000001
1963-12-01,21.743500000000001
1964-01-01,21.797429999999999
1964-02-01,21.764389999999999
1964-03-01,21.822610000000001
1964-04-01,22.175190000000001
1964-05-01,22.271190000000001
1964-06-01,22.237259999999999
1964-07-01,22.146000000000001
1964-08-01,22.334150000000001
1964-09-01,22.659490000000002
1964-10-01,22.978459999999998
1964-11-01,22.842310000000001
1964-12-01,22.851949999999999
1965-01-01,23.250029999999999
1965-02-01,23.206779999999998
1965-03-01,23.317760000000000
1965-04-01,23.807839999999999
1965-05-01,23.758649999999999
1965-06-01,23.816720000000000
1965-07-01,23.725460000000002
1965-08-01,23.811090000000000
1965-09-01,24.111689999999999
1965-10-01,24.467250000000000
1965-11-01,24.286230000000000
1965-12-01,24.423870000000001
1966-01-01,24.596229999999998
1966-02-01,24.742010000000001
1966-03-01,24.924620000000001
1966-04-01,25.249949999999998
1966-05-01,25.190719999999999
1966-06-01,25.262899999999998
1966-07-01,25.344420000000000
1966-08-01,25.173070000000003
1966-09-01,25.447939999999999
1966-10-01,25.578289999999999
1966-11-01,25.432500000000001
1966-12-01,25.665009999999999
1967-01-01,25.884039999999999
1967-02-01,25.951360000000001
1967-03-01,26.013410000000000
1967-04-01,26.186689999999999
1967-05-01,26.103750000000002
1967-06-01,26.033210000000000
1967-07-01,26.003219999999999
1967-08-01,26.134630000000001
1967-09-01,26.527290000000001
1967-10-01,26.882050000000000
1967-11-01,26.882340000000003
1967-12-01,27.093120000000003
1968-01-01,27.242130000000000
1968-02-01,27.312500000000000
1968-03-01,27.378579999999999
1968-04-01,27.548800000000000
1968-05-01,27.662109999999998
1968-06-01,27.512590000000003
1968-07-01,27.513780000000001
1968-08-01,27.701930000000001
1968-09-01,28.250889999999998
1968-10-01,28.280190000000001
1968-11-01,28.398090000000003
1968-12-01,28.348370000000003
1969-01-01,28.406350000000000
1969-02-01,28.382650000000002
1969-03-01,28.592520000000000
1969-04-01,28.965260000000001
1969-05-01,29.072460000000000
1969-06-01,29.091130000000000
1969-07-01,29.397060000000000
1969-08-01,29.618250000000000
