report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,lev_money_positions_long,lev_money_positions_short,asset_mgr_positions_long,asset_mgr_positions_short,dealer_positions_long_all,dealer_positions_short_all,other_rept_positions_long,other_rept_positions_short,nonrept_positions_long_all,nonrept_positions_short_all
2006-06-20T00:00:00.000,232741,AUSTRALIAN DOLLAR,37629,14606,13651,1518,1246,3487,12858,1089,887,15470,7528
2006-06-27T00:00:00.000,090741,CANADIAN DOLLAR,89791,35128,12586,6073,6759,10516,51686,2190,2575,34569,14870
2006-06-27T00:00:00.000,092741,SWISS FRANC,63556,12664,29822,613,0,37218,19295,450,617,12346,13557
2006-06-27T00:00:00.000,096742,BRITISH POUND,78592,29961,13530,8544,2794,11499,43263,913,0,22557,13887
2006-06-27T00:00:00.000,097741,JAPANESE YEN,174066,16151,58957,25652,4939,61978,44398,5667,1552,32407,32009
2006-06-27T00:00:00.000,098662,USD INDEX,20784,10625,11424,0,667,3595,1847,2808,2004,1465,2551
2006-06-27T00:00:00.000,099741,EURO FX,148166,51142,11361,19283,14770,15291,86509,5954,2806,51554,27778
2006-06-27T00:00:00.000,232741,AUSTRALIAN DOLLAR,42014,15281,10449,1730,1246,4966,18149,1366,1913,17180,8766
2006-07-03T00:00:00.000,090741,CANADIAN DOLLAR,93841,39886,12297,6355,6771,8986,55981,2004,2334,35149,14997
2006-07-03T00:00:00.000,092741,SWISS FRANC,58809,19487,25411,613,407,26618,19680,450,617,11412,12465
2006-07-03T00:00:00.000,096742,BRITISH POUND,78658,33107,12140,8113,2931,9142,45344,957,17,22226,13113
2006-07-03T00:00:00.000,097741,JAPANESE YEN,168688,16417,49381,26277,4272,55063,52467,5880,1606,32611,28522
2006-07-03T00:00:00.000,098662,USD INDEX,18821,11033,9336,0,658,3199,1879,1315,1893,934,2715
2006-07-03T00:00:00.000,099741,EURO FX,162104,64455,11561,19703,14517,11627,98048,6002,1779,53130,29012
2006-07-03T00:00:00.000,232741,AUSTRALIAN DOLLAR,45680,17090,11015,2344,1246,6319,21168,1313,1917,17143,8863
2006-07-11T00:00:00.000,090741,CANADIAN DOLLAR,92978,33089,20426,5743,6293,10494,42027,3760,3678,37007,17669
