observation_date,ULQELP01NLQ661S
1996-01-01,82.9309746082978
1996-04-01,83.3680264743734
1996-07-01,84.0352480951116
1996-10-01,83.9667640389762
1997-01-01,84.2312524257962
1997-04-01,84.4377770514575
1997-07-01,84.9284517802790
1997-10-01,85.4950156272343
1998-01-01,86.2800032684412
1998-04-01,86.3744816456601
1998-07-01,86.6015872367373
1998-10-01,86.9072886237820
1999-01-01,87.3823361183176
1999-04-01,87.8379261740854
1999-07-01,88.6284293097461
1999-10-01,89.4542213960329
2000-01-01,89.8008804363369
2000-04-01,90.2265948971462
2000-07-01,90.4294935958981
2000-10-01,91.1397156456193
2001-01-01,90.7231426061733
2001-04-01,90.7890221232611
2001-07-01,90.5782076685800
2001-10-01,90.6650256368353
2002-01-01,89.9940248810083
2002-04-01,90.1896206565481
2002-07-01,90.2761322084448
2002-10-01,90.3897616080730
2003-01-01,90.6848916307479
2003-04-01,90.6087471656487
2003-07-01,90.9710845096317
2003-10-01,91.5676260903316
2004-01-01,93.2223765652769
2004-04-01,93.5538679958327
2004-07-01,93.5920168324720
2004-10-01,93.9658958592936
2005-01-01,93.9516985680142
2005-04-01,94.3175597001205
2005-07-01,95.3668825199681
2005-10-01,95.8649623107879
2006-01-01,95.5945498743693
2006-04-01,96.6478050374849
2006-07-01,96.5875942230302
2006-10-01,96.1997732518947
2007-01-01,96.8756256000654
2007-04-01,96.4813698854003
2007-07-01,96.9613200416726
2007-10-01,97.8621330664106
2008-01-01,97.6855861744939
2008-04-01,97.8914468980450
2008-07-01,97.6732784507589
2008-10-01,97.0831205441954
2009-01-01,93.8151900802811
2009-04-01,94.3904357240618
2009-07-01,95.1668437072294
2009-10-01,95.7836087675934
2010-01-01,96.2478295507936
2010-04-01,96.2958347802995
2010-07-01,96.5782485240945
2010-10-01,97.5014299430066
2011-01-01,97.8640737033481
2011-04-01,97.4342226216984
2011-07-01,97.3247298429106
2011-10-01,96.7702694421179
2012-01-01,96.5470451249157
2012-04-01,96.7162380242273
2012-07-01,96.5957653259249
2012-10-01,96.2470124405042
2013-01-01,96.9878761260801
2013-04-01,97.0231140073131
2013-07-01,97.7088738177436
2013-10-01,98.3966764038976
2014-01-01,98.4727187302106
2014-04-01,98.9015994933916
2014-07-01,99.0354523726840
2014-10-01,99.7624762527322
2015-01-01,100.0813024738010
2015-04-01,100.1043347700860
2015-07-01,100.0855923028210
2015-10-01,99.7287704532919
2016-01-01,100.4961391538820
2016-04-01,100.1913570159130
2016-07-01,100.8030662063610
2016-10-01,101.0720486997730
2017-01-01,101.0086205135540
2017-04-01,101.2729046228010
2017-07-01,101.2906767715970
2017-10-01,101.3296937879190
2018-01-01,101.0449819214350
2018-04-01,101.1066737482890
2018-07-01,100.5615079770390
2018-10-01,100.4029885808840
2019-01-01,100.5251976385510
2019-04-01,100.5405695258720
2019-07-01,100.3981880579330
2019-10-01,100.5646232100180
2020-01-01,98.9649255408249
2020-04-01,92.9582456642085
2020-07-01,97.4652217433048
2020-10-01,98.0763181010357
2021-01-01,99.4394623414295
2021-04-01,101.0188854615650
2021-07-01,101.5732437235720
2021-10-01,101.6858517353380
2022-01-01,101.1104528833780
2022-04-01,101.7847731497560
2022-07-01,101.3329111596840
2022-10-01,101.4204951688350
2023-01-01,100.7118052009070
2023-04-01,100.1520846526260
2023-07-01,99.7554286764856
