date,USD,EUR,GBP,JPY,CAD,AUD,CHF
2002-02-13 00:00:00+00:00,1118.510009765625,4973.77001953125,5153.89990234375,10081.08984375,7561.39990234375,3487.0,6421.60009765625
2002-02-14 00:00:00+00:00,1116.47998046875,4862.60009765625,5208.7998046875,10048.099609375,7526.39990234375,3480.39990234375,6414.39990234375
2002-02-15 00:00:00+00:00,1104.1800537109375,,5182.5,,7515.2998046875,,
2002-02-17 00:00:00+00:00,,4871.759765625,,10093.25,,3469.300048828125,6378.5
2002-02-18 00:00:00+00:00,,4764.0498046875,5154.2998046875,9847.16015625,7558.60009765625,3470.39990234375,6235.89990234375
2002-02-19 00:00:00+00:00,1083.3399658203125,4780.240234375,5092.5,9834.1298828125,7471.0,3437.699951171875,6199.39990234375
2002-02-20 00:00:00+00:00,1097.97998046875,4850.72998046875,5024.2001953125,10295.419921875,7431.7998046875,3434.300048828125,6226.89990234375
2002-02-21 00:00:00+00:00,1080.949951171875,4745.580078125,5073.2998046875,10356.7802734375,7418.10009765625,3422.10009765625,6186.5
2002-02-22 00:00:00+00:00,1089.8399658203125,,5050.7998046875,,7426.60009765625,,
2002-02-24 00:00:00+00:00,,4863.5400390625,,10296.4697265625,,3422.5,6236.2998046875
2002-02-25 00:00:00+00:00,1109.4300537109375,4897.75,5100.7001953125,10202.6298828125,7512.5,3434.800048828125,6210.2998046875
2002-02-26 00:00:00+00:00,1109.3800048828125,4960.22021484375,5139.0,10573.08984375,7567.5,3413.10009765625,6319.89990234375
2002-02-27 00:00:00+00:00,1109.8900146484375,5039.080078125,5178.39990234375,10587.830078125,7646.89990234375,3414.300048828125,6352.7998046875
2002-02-28 00:00:00+00:00,1106.72998046875,5097.41015625,5101.0,10812.0,7637.5,3417.300048828125,6349.0
2002-03-01 00:00:00+00:00,1131.780029296875,,5169.0,,7710.7998046875,,
2002-03-03 00:00:00+00:00,,5245.83984375,,11450.2197265625,,3424.300048828125,6440.7001953125
2002-03-04 00:00:00+00:00,1153.8399658203125,5228.669921875,5242.0,11348.4501953125,7861.7998046875,3435.60009765625,6412.5
2002-03-05 00:00:00+00:00,1146.1400146484375,5285.259765625,5214.0,11358.5302734375,7856.10009765625,3451.199951171875,6416.2998046875
2002-03-06 00:00:00+00:00,1162.77001953125,5289.43017578125,5245.5,11648.33984375,7944.2998046875,3497.60009765625,6440.60009765625
2002-03-07 00:00:00+00:00,1157.5400390625,5359.5498046875,5282.10009765625,11885.7900390625,7958.10009765625,3485.300048828125,6531.2001953125
2002-03-08 00:00:00+00:00,1164.31005859375,,5285.7001953125,,7910.2998046875,,
2002-03-10 00:00:00+00:00,,5340.669921875,,11919.2998046875,,3476.89990234375,6496.60009765625
2002-03-11 00:00:00+00:00,1168.260009765625,5275.81005859375,5258.89990234375,11607.330078125,7908.2001953125,3462.300048828125,6453.0
2002-03-12 00:00:00+00:00,1165.5799560546875,5245.990234375,5252.5,11415.3095703125,7866.10009765625,3450.0,6497.10009765625
2002-03-13 00:00:00+00:00,1154.0899658203125,5276.8701171875,5272.0,11568.8203125,7864.2001953125,3451.89990234375,6543.5
2002-03-14 00:00:00+00:00,1153.0400390625,5401.10986328125,5261.39990234375,11648.009765625,7828.60009765625,3407.699951171875,6571.2998046875
2002-03-15 00:00:00+00:00,1166.1600341796875,,5292.7001953125,,7871.7001953125,,
2002-03-17 00:00:00+00:00,,5426.0400390625,,11498.3798828125,,3453.10009765625,6622.60009765625
2002-03-18 00:00:00+00:00,1165.550048828125,5462.5498046875,5299.89990234375,11792.8203125,7917.7001953125,3460.300048828125,6630.0
2002-03-19 00:00:00+00:00,1170.2900390625,5364.7001953125,5316.10009765625,11526.7802734375,7936.89990234375,3467.300048828125,6612.10009765625
2002-03-20 00:00:00+00:00,1151.8499755859375,5348.68017578125,5266.89990234375,,7915.39990234375,3436.10009765625,6600.39990234375
2002-03-21 00:00:00+00:00,1153.5899658203125,5366.1298828125,5253.2998046875,11345.080078125,7856.2001953125,3433.800048828125,6615.7998046875
2002-03-22 00:00:00+00:00,1148.699951171875,,5250.5,,7856.10009765625,,
2002-03-24 00:00:00+00:00,,5317.3798828125,,11261.08984375,,3424.699951171875,6610.10009765625
2002-03-25 00:00:00+00:00,1131.8699951171875,5390.58984375,5203.60009765625,11207.919921875,7751.2998046875,3384.39990234375,6624.2998046875
2002-03-26 00:00:00+00:00,1138.489990234375,5348.0,5195.5,11323.6796875,7756.7001953125,3411.5,6631.7998046875
2002-03-27 00:00:00+00:00,1144.5799560546875,5397.2900390625,5214.7001953125,11333.1103515625,7835.89990234375,3414.800048828125,6655.2001953125
2002-03-28 00:00:00+00:00,1147.3900146484375,,5271.7998046875,11024.9404296875,7851.5,,
2002-03-31 00:00:00+00:00,,,,11028.7001953125,,,
2002-04-01 00:00:00+00:00,1146.5400390625,5311.080078125,5251.39990234375,11204.490234375,7888.5,3387.300048828125,6671.5
2002-04-02 00:00:00+00:00,1136.760009765625,5281.83984375,5247.7998046875,11400.7099609375,7893.39990234375,3377.800048828125,6694.10009765625
2002-04-03 00:00:00+00:00,1125.4000244140625,5254.9501953125,5209.5,11379.2001953125,7842.2998046875,3372.60009765625,6670.7001953125
2002-04-04 00:00:00+00:00,1126.3399658203125,5260.52978515625,5233.60009765625,11335.490234375,7784.5,3390.0,6662.10009765625
2002-04-05 00:00:00+00:00,1122.72998046875,,,,7782.10009765625,,
2002-04-07 00:00:00+00:00,,5180.330078125,5178.60009765625,11352.8896484375,,3389.0,6585.10009765625
2002-04-08 00:00:00+00:00,1125.2900390625,5170.25,5179.60009765625,11114.490234375,7747.60009765625,3363.39990234375,6641.10009765625
2002-04-09 00:00:00+00:00,1117.800048828125,5265.35986328125,5229.10009765625,11218.580078125,7722.10009765625,3377.39990234375,6680.7001953125
2002-04-10 00:00:00+00:00,1130.469970703125,5162.9599609375,5137.39990234375,11147.26953125,7800.10009765625,3367.39990234375,6595.89990234375
2002-04-11 00:00:00+00:00,1103.68994140625,5189.64990234375,5161.0,10962.98046875,7688.7001953125,3354.5,6593.0
2002-04-12 00:00:00+00:00,1111.010009765625,,,,7731.0,,
2002-04-14 00:00:00+00:00,,5244.2001953125,5201.39990234375,11137.2998046875,,3368.10009765625,6615.5
2002-04-15 00:00:00+00:00,1102.550048828125,5343.8798828125,5259.89990234375,11346.66015625,7761.2998046875,3386.60009765625,6679.39990234375
2002-04-16 00:00:00+00:00,1128.3699951171875,5318.5498046875,5263.89990234375,11543.7099609375,7841.60009765625,3401.300048828125,6691.2998046875
2002-04-17 00:00:00+00:00,1126.0699462890625,5262.8798828125,5229.39990234375,11575.73046875,7868.10009765625,3406.699951171875,6687.39990234375
2002-04-18 00:00:00+00:00,1124.469970703125,5284.5498046875,5243.60009765625,11512.009765625,7818.10009765625,3407.300048828125,6676.7001953125
2002-04-19 00:00:00+00:00,1125.1700439453125,,,,7899.60009765625,,
2002-04-21 00:00:00+00:00,,5205.47998046875,5221.5,11721.6396484375,,3414.10009765625,6685.2998046875
2002-04-22 00:00:00+00:00,1107.8299560546875,5192.10009765625,5191.0,11736.830078125,7814.2998046875,3403.89990234375,6675.0
2002-04-23 00:00:00+00:00,1100.9599609375,5160.14013671875,5218.2001953125,11672.8798828125,7717.7998046875,3373.60009765625,6679.7998046875
2002-04-24 00:00:00+00:00,1093.1400146484375,5054.41015625,5197.5,11648.7197265625,7713.39990234375,,6591.7998046875
2002-04-25 00:00:00+00:00,1091.47998046875,5000.3798828125,5159.0,11541.3896484375,7686.2998046875,3379.10009765625,6530.10009765625
2002-04-26 00:00:00+00:00,1076.3199462890625,,,,7629.60009765625,,
2002-04-28 00:00:00+00:00,,5008.0400390625,5153.89990234375,,,3352.800048828125,6566.7998046875
2002-04-29 00:00:00+00:00,1065.449951171875,5041.2001953125,5165.60009765625,11492.5400390625,7582.5,3350.0,6557.60009765625
2002-04-30 00:00:00+00:00,1076.9200439453125,,5125.5,11552.7900390625,7663.39990234375,3360.39990234375,
2002-05-01 00:00:00+00:00,1086.4599609375,4964.56005859375,5174.10009765625,11551.009765625,7647.2998046875,3362.300048828125,6552.2998046875
2002-05-02 00:00:00+00:00,1084.56005859375,4882.77001953125,5203.10009765625,,7670.5,3366.0,6598.7001953125
2002-05-03 00:00:00+00:00,1073.4300537109375,,,,7663.89990234375,,
2002-05-05 00:00:00+00:00,,4880.669921875,,,,3345.39990234375,6571.5
2002-05-06 00:00:00+00:00,1052.6700439453125,4872.41015625,5119.89990234375,11316.0400390625,7581.10009765625,3325.0,6478.10009765625
2002-05-07 00:00:00+00:00,1049.489990234375,5028.58984375,5209.10009765625,11520.75,7561.39990234375,3339.89990234375,6591.89990234375
2002-05-08 00:00:00+00:00,1088.8499755859375,4966.47998046875,5197.60009765625,11633.2998046875,7707.7998046875,3338.5,6595.10009765625
2002-05-09 00:00:00+00:00,1073.010009765625,4871.7001953125,5171.2001953125,11531.1103515625,7632.2998046875,3330.89990234375,6533.10009765625
2002-05-10 00:00:00+00:00,1054.989990234375,,,,7596.10009765625,,
2002-05-12 00:00:00+00:00,,4975.47998046875,5204.7998046875,11336.9501953125,,3302.5,6568.2998046875
2002-05-13 00:00:00+00:00,1074.56005859375,5049.080078125,5239.5,11356.1904296875,7661.39990234375,3314.300048828125,6622.2998046875
2002-05-14 00:00:00+00:00,1097.280029296875,5072.39013671875,5259.10009765625,11642.9697265625,7716.89990234375,3376.10009765625,6670.10009765625
2002-05-15 00:00:00+00:00,1091.0699462890625,5047.4501953125,5248.5,11738.6904296875,7707.0,3395.300048828125,6692.0
2002-05-16 00:00:00+00:00,1098.22998046875,5036.41015625,5218.0,11847.3203125,7738.10009765625,3412.60009765625,6642.60009765625
2002-05-17 00:00:00+00:00,1106.5899658203125,,,,7727.0,,
