observation_date,PIEAMP01AUQ661N
1968-07-01,9.99759673155492
1968-10-01,9.99759673155492
1969-01-01,9.99759673155492
1969-04-01,10.18985820716170
1969-07-01,10.28598894496520
1969-10-01,10.38211968276860
1970-01-01,10.57438115837540
1970-04-01,10.67051189617880
1970-07-01,10.76664263398220
1970-10-01,10.86277337178560
1971-01-01,10.95890410958900
1971-04-01,11.15116558519590
1971-07-01,11.24729632299930
1971-10-01,11.34342706080270
1972-01-01,11.53568853640950
1972-04-01,11.63181927421290
1972-07-01,11.82408074981980
1972-10-01,11.92021148762320
1973-01-01,12.20860370103340
1973-04-01,12.59312665224710
1973-07-01,12.97764960346070
1973-10-01,13.26604181687090
1974-01-01,13.74669550588800
1974-04-01,14.32347993270850
1974-07-01,15.18865657293920
1974-10-01,15.66931026195630
1975-01-01,16.24609468877670
1975-04-01,16.53448690218700
1975-07-01,17.11127132900750
1975-10-01,17.68805575582790
1976-01-01,18.07257870704160
1976-04-01,18.74549387166550
1976-07-01,19.03388608507570
1976-10-01,19.51453977409280
1977-01-01,20.18745493871670
1977-04-01,20.57197788993030
1977-07-01,20.95650084114400
1977-10-01,21.34102379235760
1978-01-01,21.72554674357130
1978-04-01,22.11006969478490
1978-07-01,22.68685412160540
1978-10-01,23.26363854842590
1979-01-01,24.22494592646000
1979-04-01,25.37851478010090
1979-07-01,26.33982215813510
1979-10-01,27.10886806056240
1980-01-01,28.35856765200670
1980-04-01,28.93535207882720
1980-07-01,29.80052871905790
1980-10-01,30.47344388368180
1981-01-01,31.05022831050230
1981-04-01,31.62701273732280
1981-07-01,32.20379716414320
1981-10-01,32.58832011535690
1982-01-01,33.45349675558760
1982-04-01,34.31867339581830
1982-07-01,35.27998077385240
1982-10-01,35.95289593847630
1983-01-01,36.43354962749340
1983-04-01,37.49098774333090
1983-07-01,37.87551069454460
1983-10-01,38.26003364575820
1984-01-01,38.74068733477530
1984-04-01,39.31747176159580
1984-07-01,39.89425618841630
1984-10-01,40.27877913962990
1985-01-01,40.75943282864700
1985-04-01,42.00913242009130
1985-07-01,42.77817832251860
1985-10-01,43.16270127373230
1986-01-01,43.83561643835620
1986-04-01,43.64335496274930
1986-07-01,44.70079307858690
1986-10-01,45.85436193222780
1987-01-01,46.62340783465510
1987-04-01,47.29632299927900
1987-07-01,48.16149963950970
1987-10-01,49.02667627974050
1988-01-01,50.08411439557800
1988-04-01,50.94929103580870
1988-07-01,51.71833693823600
1988-10-01,52.39125210285990
1989-01-01,53.25642874309060
1989-04-01,54.50612833453500
1989-07-01,55.27517423696230
1989-10-01,55.94808940158620
1990-01-01,56.81326604181690
1990-04-01,57.48618120644080
1990-07-01,58.15909637106460
1990-10-01,59.79331891372270
1991-01-01,58.83201153568860
1991-04-01,58.63975006008170
1991-07-01,58.83201153568860
1991-10-01,59.02427301129540
1992-01-01,59.12040374909880
1992-04-01,59.50492670031240
1992-07-01,60.17784186493630
