observation_date,BSCICP03JPM665S
1993-09-01,97.85617
1993-10-01,97.75829
1993-11-01,97.66003
1993-12-01,97.57915
1994-01-01,97.53442
1994-02-01,97.52552
1994-03-01,97.56423
1994-04-01,97.67001
1994-05-01,97.81776
1994-06-01,97.98751
1994-07-01,98.17203
1994-08-01,98.36251
1994-09-01,98.55297
1994-10-01,98.73866
1994-11-01,98.91451
1994-12-01,99.06877
1995-01-01,99.18639
1995-02-01,99.27406
1995-03-01,99.32991
1995-04-01,99.34312
1995-05-01,99.32531
1995-06-01,99.28101
1995-07-01,99.20895
1995-08-01,99.13004
1995-09-01,99.07079
1995-10-01,99.05375
1995-11-01,99.06816
1995-12-01,99.10634
1996-01-01,99.16851
1996-02-01,99.24401
1996-03-01,99.32550
1996-04-01,99.40998
1996-05-01,99.49375
1996-06-01,99.57279
1996-07-01,99.64392
1996-08-01,99.71066
1996-09-01,99.77813
1996-10-01,99.85250
1996-11-01,99.93950
1996-12-01,100.04940
1997-01-01,100.18910
1997-02-01,100.33170
1997-03-01,100.43690
1997-04-01,100.46840
1997-05-01,100.44880
1997-06-01,100.39710
1997-07-01,100.31700
1997-08-01,100.21750
1997-09-01,100.09490
1997-10-01,99.93353
1997-11-01,99.73038
1997-12-01,99.46590
1998-01-01,99.11644
1998-02-01,98.72823
1998-03-01,98.35595
1998-04-01,98.04015
1998-05-01,97.76871
1998-06-01,97.53142
1998-07-01,97.33019
1998-08-01,97.15519
1998-09-01,97.00985
1998-10-01,96.90965
1998-11-01,96.85124
1998-12-01,96.84750
1999-01-01,96.92066
1999-02-01,97.04100
1999-03-01,97.18431
1999-04-01,97.34237
1999-05-01,97.51036
1999-06-01,97.69106
1999-07-01,97.88904
1999-08-01,98.09216
1999-09-01,98.28468
1999-10-01,98.45500
1999-11-01,98.61425
1999-12-01,98.77657
2000-01-01,98.95052
2000-02-01,99.12746
2000-03-01,99.29269
2000-04-01,99.43372
2000-05-01,99.56012
2000-06-01,99.68197
2000-07-01,99.80305
2000-08-01,99.91841
2000-09-01,100.01230
2000-10-01,100.06140
2000-11-01,100.06040
2000-12-01,99.98339
2001-01-01,99.79662
2001-02-01,99.54634
2001-03-01,99.27623
2001-04-01,99.00816
2001-05-01,98.74281
2001-06-01,98.47340
2001-07-01,98.19669
2001-08-01,97.92792
2001-09-01,97.69626
2001-10-01,97.53229
2001-11-01,97.41833
2001-12-01,97.34772
2002-01-01,97.33412
2002-02-01,97.37743
2002-03-01,97.50211
2002-04-01,97.73861
2002-05-01,98.02347
2002-06-01,98.28046
2002-07-01,98.45356
2002-08-01,98.56763
2002-09-01,98.65128
2002-10-01,98.71884
2002-11-01,98.78254
2002-12-01,98.84916
2003-01-01,98.92035
2003-02-01,98.99016
2003-03-01,99.04945
2003-04-01,99.09166
2003-05-01,99.12924
2003-06-01,99.18177
2003-07-01,99.26889
2003-08-01,99.38817
2003-09-01,99.54488
2003-10-01,99.74963
2003-11-01,99.97854
2003-12-01,100.20640
2004-01-01,100.41550
2004-02-01,100.60590
2004-03-01,100.77500
2004-04-01,100.91640
2004-05-01,101.03930
2004-06-01,101.14740
2004-07-01,101.23510
2004-08-01,101.29970
2004-09-01,101.32550
