observation_date,ULQECU01FRQ657S
1960-01-01,1.6207737887765901
1960-04-01,1.8092951466300800
1960-07-01,2.2347623459389601
1960-10-01,2.6307840175751900
1961-01-01,2.4509672758408398
1961-04-01,2.8885580715087902
1961-07-01,2.8810762787155801
1961-10-01,2.9681717246483998
1962-01-01,3.1198332255050101
1962-04-01,2.7187173231090900
1962-07-01,2.7598687931229500
1962-10-01,2.9785360484314700
1963-01-01,3.4952328017444199
1963-04-01,3.2036849606510600
1963-07-01,2.2956528700664500
1963-10-01,2.3419616129600298
1964-01-01,2.3399862353750902
1964-04-01,1.9110065007845600
1964-07-01,1.7211987902117301
1964-10-01,2.0272461887771600
1965-01-01,1.5436514244334800
1965-04-01,1.5880194110587400
1965-07-01,1.4810122247714399
1965-10-01,1.3868502302981101
1966-01-01,1.3479107383555500
1966-04-01,1.5828448516493401
1966-07-01,1.5355520713789299
1966-10-01,1.8418580957384201
1967-01-01,2.2180885984931300
1967-04-01,1.2356062575505100
1967-07-01,1.6827540369480800
1967-10-01,1.5657728589467499
1968-01-01,2.9326156591437602
1968-04-01,1.1254156364566399
1968-07-01,9.7616839502009416
1968-10-01,1.9305365304110800
1969-01-01,1.3162356664699000
1969-04-01,1.9449850624155400
1969-07-01,1.9431406405797800
1969-10-01,2.8376830955675301
1970-01-01,2.9391637186104500
1970-04-01,2.5893249501402802
1970-07-01,2.1098992827880001
1970-10-01,3.1849668703209701
1971-01-01,3.0407905847032799
1971-04-01,2.2428828683001800
1971-07-01,2.7260223820785101
1971-10-01,2.7230345412163599
1972-01-01,1.8116179849031799
1972-04-01,2.6257863083341801
1972-07-01,2.4194995871773699
1972-10-01,3.0344187024639799
1973-01-01,3.1270463571653502
1973-04-01,2.7963781501517202
1973-07-01,3.3596726966427402
1973-10-01,3.4879659740924902
1974-01-01,4.3041316363800100
1974-04-01,5.7285225344416002
1974-07-01,4.2150935440653399
1974-10-01,3.4403325480778699
1975-01-01,5.2860017790338896
1975-04-01,4.5023128729956996
1975-07-01,3.6369161611412495
1975-10-01,3.0600445922245698
1976-01-01,3.3771741464462099
1976-04-01,3.6838360916233506
1976-07-01,3.5769914606966702
1976-10-01,3.1275537094972501
1977-01-01,2.7630992849607199
1977-04-01,2.4387684333479500
1977-07-01,2.5294749079117902
1977-10-01,3.0743900743727002
1978-01-01,2.5030661401194401
1978-04-01,2.9550837143514999
1978-07-01,3.1011002615867000
1978-10-01,3.0403625658506401
1979-01-01,2.5480340890721598
1979-04-01,3.1313808942508299
1979-07-01,3.2111869021679298
1979-10-01,3.3857619600293400
1980-01-01,4.1399894734738094
1980-04-01,3.5790827261037399
1980-07-01,3.1855001837491601
1980-10-01,2.8336615528273699
1981-01-01,2.7258916046263901
1981-04-01,3.3737533998186700
1981-07-01,3.7687602091715400
1981-10-01,4.0045533900834300
1982-01-01,4.1022802014317694
1982-04-01,2.6711551831387901
1982-07-01,1.9245161980113299
1982-10-01,2.1142930405492000
1983-01-01,2.8539795231192300
1983-04-01,2.1031745151001999
1983-07-01,2.4893866309590900
1983-10-01,2.1080204036183399
1984-01-01,1.8499285453155700
1984-04-01,2.0115024575286098
1984-07-01,0.6435515890866040
1984-10-01,1.8436191429683899
1985-01-01,1.4170273438490399
1985-04-01,1.3953050054042899
1985-07-01,1.2198105888891100
1985-10-01,1.2795046885189501
1986-01-01,0.8973637857280300
1986-04-01,1.5172686962932000
1986-07-01,0.0859832802260171
1986-10-01,0.3625882556779650
1987-01-01,1.2501775820429000
1987-04-01,0.4221777409139510
1987-07-01,0.9665552430979220
1987-10-01,1.1708342456755001
1988-01-01,1.3392571148575201
1988-04-01,0.8050654884553879
1988-07-01,1.0860906499255900
1988-10-01,0.8898181464553100
1989-01-01,0.8013680759022910
1989-04-01,1.2307453882082500
1989-07-01,0.9757201860562050
1989-10-01,1.5856477187866500
1990-01-01,1.3432195989393900
1990-04-01,1.4364943834307400
1990-07-01,1.1163641249870599
1990-10-01,0.9088312430214740
1991-01-01,0.3207510327154020
1991-04-01,1.3000259522358100
1991-07-01,0.6470332393963349
1991-10-01,1.3527872656559801
1992-01-01,1.2406969630156399
