observation_date,PIEAMP01DEM661N
1995-01-01,82.5346470948220
1995-02-01,82.6983721203808
1995-03-01,82.6983721203808
1995-04-01,82.9482682120230
1995-05-01,82.9482682120230
1995-06-01,83.0344392781066
1995-07-01,83.0344392781066
1995-08-01,83.1981643036654
1995-09-01,83.1981643036654
1995-10-01,83.1119932375818
1995-11-01,82.9482682120230
1995-12-01,82.9482682120230
1996-01-01,83.0344392781066
1996-02-01,83.1119932375818
1996-03-01,83.0344392781066
1996-04-01,83.1981643036654
1996-05-01,83.1119932375818
1996-06-01,83.0344392781066
1996-07-01,82.9482682120230
1996-08-01,82.8707142525478
1996-09-01,83.0344392781066
1996-10-01,83.1981643036654
1996-11-01,83.1119932375818
1996-12-01,83.1981643036654
1997-01-01,83.3618893292241
1997-02-01,83.4480603953076
1997-03-01,83.3618893292241
1997-04-01,83.5342314613912
1997-05-01,83.7755104464251
1997-06-01,83.8616815125086
1997-07-01,83.9478525785922
1997-08-01,84.1115776041509
1997-09-01,84.1977486702345
1997-10-01,84.1977486702345
1997-11-01,84.1977486702345
1997-12-01,84.1115776041509
1998-01-01,84.1977486702345
1998-02-01,84.1115776041509
1998-03-01,84.1115776041509
1998-04-01,84.1115776041509
1998-05-01,84.0254065380674
1998-06-01,83.9478525785922
1998-07-01,83.9478525785922
1998-08-01,83.6979564869499
1998-09-01,83.6117854208664
1998-10-01,83.3618893292241
1998-11-01,83.2843353697489
1998-12-01,83.0344392781066
1999-01-01,82.8707142525478
1999-02-01,82.7845431864643
1999-03-01,82.8707142525478
1999-04-01,83.1981643036654
1999-05-01,83.1119932375818
1999-06-01,83.2843353697489
1999-07-01,83.5342314613912
1999-08-01,83.6979564869499
1999-09-01,83.9478525785922
1999-10-01,84.1115776041509
1999-11-01,84.2753026297097
1999-12-01,84.4390276552684
2000-01-01,84.9646711583780
2000-02-01,85.2231843566287
2000-03-01,85.3955264887958
2000-04-01,85.5678686209629
2000-05-01,85.9125528852971
2000-06-01,86.0848950174642
2000-07-01,86.3434082157148
2000-08-01,86.5157503478819
2000-09-01,87.0327767443832
2000-10-01,87.1189478104668
2000-11-01,87.1189478104668
2000-12-01,86.8604346122161
2001-01-01,86.8604346122161
2001-02-01,87.0327767443832
2001-03-01,87.2051188765503
2001-04-01,87.3774610087174
2001-05-01,87.5498031408845
2001-06-01,87.5498031408845
2001-07-01,87.2912899426339
2001-08-01,87.2051188765503
2001-09-01,87.2912899426339
2001-10-01,87.0327767443832
2001-11-01,86.8604346122161
2001-12-01,86.6880924800490
2002-01-01,86.9466056782997
2002-02-01,86.9466056782997
2002-03-01,87.2051188765503
2002-04-01,87.3774610087174
2002-05-01,87.3774610087174
2002-06-01,87.2912899426339
2002-07-01,87.2912899426339
2002-08-01,87.3774610087174
2002-09-01,87.4636320748010
2002-10-01,87.5498031408845
2002-11-01,87.2912899426339
2002-12-01,87.3774610087174
2003-01-01,87.6359742069681
2003-02-01,87.8944874052187
2003-03-01,87.9806584713022
2003-04-01,87.7221452730516
2003-05-01,87.4636320748010
2003-06-01,87.3774610087174
2003-07-01,87.2912899426339
2003-08-01,87.2912899426339
2003-09-01,87.3774610087174
2003-10-01,87.3774610087174
2003-11-01,87.3774610087174
2003-12-01,87.2912899426339
2004-01-01,87.2912899426339
2004-02-01,87.3774610087174
2004-03-01,87.8083163391352
2004-04-01,88.2391716695529
2004-05-01,88.4976848678036
2004-06-01,88.4115138017200
2004-07-01,88.7561980660542
2004-08-01,88.9285401982212
2004-09-01,89.1008823303884
2004-10-01,89.5317376608061
2004-11-01,89.3593955286390
2004-12-01,89.3593955286390
2005-01-01,89.5317376608061
2005-02-01,89.7118820021759
2005-03-01,89.8920263435458
2005-04-01,89.8920263435458
2005-05-01,89.7118820021759
2005-06-01,89.9820985142307
2005-07-01,89.9820985142307
2005-08-01,90.1622428556005
2005-09-01,90.5225315383402
2005-10-01,90.7026758797100
2005-11-01,90.5225315383402
2005-12-01,90.5225315383402
2006-01-01,90.6126037090251
2006-02-01,90.8828202210799
2006-03-01,91.0629645624496
2006-04-01,91.6033975865592
2006-05-01,91.8736140986139
2006-06-01,91.8736140986139
2006-07-01,92.3239749520385
2006-08-01,92.3239749520385
2006-09-01,92.0537584399837
2006-10-01,92.4140471227234
2006-11-01,92.3239749520385
2006-12-01,92.3239749520385
2007-01-01,92.4140471227234
2007-02-01,92.5941914640932
2007-03-01,92.8644079761480
2007-04-01,93.2246966588876
2007-05-01,93.4048410002575
2007-06-01,93.5849853416273
2007-07-01,93.6750575123122
2007-08-01,93.6750575123122
2007-09-01,93.7651296829971
2007-10-01,93.9452740243670
2007-11-01,94.2154905364217
2007-12-01,94.0353461950519
2008-01-01,94.4857070484765
2008-02-01,94.9360679019010
2008-03-01,95.2963565846407
2008-04-01,95.5665730966954
2008-05-01,96.1070061208049
2008-06-01,96.5573669742295
2008-07-01,97.1878721690240
2008-08-01,96.9176556569692
2008-09-01,96.9176556569692
2008-10-01,96.1970782914899
2008-11-01,95.0261400725860
2008-12-01,93.8552018536820
2009-01-01,93.5849853416273
2009-02-01,93.3147688295726
2009-03-01,92.9544801468329
2009-04-01,92.9544801468329
2009-05-01,92.8644079761480
2009-06-01,93.0445523175178
2009-07-01,92.8644079761480
2009-08-01,93.2246966588876
2009-09-01,93.1346244882027
2009-10-01,93.1346244882027
2009-11-01,93.2246966588876
2009-12-01,93.3147688295726
2010-01-01,93.7651296829971
2010-02-01,93.9562920268972
2010-03-01,94.4341978866475
2010-04-01,95.0076849183478
2010-05-01,95.5811719500480
2010-06-01,95.8679154658982
2010-07-01,95.8679154658982
2010-08-01,96.1546589817483
2010-09-01,96.3458213256484
2010-10-01,96.3458213256484
2010-11-01,96.5369836695485
2010-12-01,97.1104707012488
2011-01-01,97.7795389048991
2011-02-01,98.1618635926994
2011-03-01,98.6397694524496
2011-04-01,98.9265129682997
2011-05-01,99.0220941402498
2011-06-01,99.1176753121998
2011-07-01,99.3088376560999
2011-08-01,99.2132564841499
2011-09-01,99.3088376560999
2011-10-01,99.2132564841499
2011-11-01,99.3088376560999
2011-12-01,99.3088376560999
2012-01-01,99.7867435158501
2012-02-01,100.1690682036500
2012-03-01,100.4558117195000
2012-04-01,100.6469740634010
2012-05-01,100.5513928914510
2012-06-01,100.3602305475500
2012-07-01,100.3602305475500
2012-08-01,100.6469740634010
2012-09-01,100.8381364073010
2012-10-01,100.7425552353510
2012-11-01,100.6469740634010
2012-12-01,100.4558117195000
2013-01-01,100.4558117195000
2013-02-01,100.5513928914510
2013-03-01,100.5513928914510
2013-04-01,100.3602305475500
2013-05-01,100.2646493756000
2013-06-01,100.1690682036500
2013-07-01,100.1690682036500
2013-08-01,100.1690682036500
2013-09-01,100.1690682036500
2013-10-01,100.0734870317000
2013-11-01,99.9779058597502
2013-12-01,99.8823246878002
2014-01-01,99.9779058597502
2014-02-01,100.0734870317000
2014-03-01,99.9779058597502
2014-04-01,99.9779058597502
2014-05-01,100.0734870317000
2014-06-01,100.1690682036500
2014-07-01,100.2646493756000
2014-08-01,100.1690682036500
2014-09-01,100.1690682036500
2014-10-01,100.0734870317000
2014-11-01,99.8823246878002
2014-12-01,99.4044188280500
2015-01-01,99.5000000000000
2015-02-01,99.9000000000000
2015-03-01,100.3000000000000
2015-04-01,100.6000000000000
2015-05-01,100.5000000000000
2015-06-01,100.4000000000000
2015-07-01,100.5000000000000
2015-08-01,100.1000000000000
2015-09-01,99.8000000000000
2015-10-01,99.6000000000000
2015-11-01,99.7000000000000
2015-12-01,99.3000000000000
2016-01-01,99.1000000000000
2016-02-01,98.8000000000000
2016-03-01,98.9000000000000
2016-04-01,98.9000000000000
2016-05-01,99.1000000000000
2016-06-01,99.3000000000000
2016-07-01,99.4000000000000
2016-08-01,99.3000000000000
2016-09-01,99.4000000000000
2016-10-01,99.6000000000000
2016-11-01,99.9000000000000
2016-12-01,100.4000000000000
2017-01-01,100.8000000000000
2017-02-01,101.1000000000000
2017-03-01,101.2000000000000
2017-04-01,101.5000000000000
2017-05-01,101.3000000000000
2017-06-01,101.2000000000000
2017-07-01,101.2000000000000
2017-08-01,101.1000000000000
2017-09-01,101.3000000000000
2017-10-01,101.4000000000000
2017-11-01,101.5000000000000
2017-12-01,101.6000000000000
2018-01-01,102.0000000000000
2018-02-01,101.9000000000000
2018-03-01,102.0000000000000
2018-04-01,102.3000000000000
2018-05-01,102.7000000000000
2018-06-01,103.0000000000000
2018-07-01,103.0000000000000
2018-08-01,103.2000000000000
2018-09-01,103.2000000000000
2018-10-01,103.4000000000000
2018-11-01,103.4000000000000
2018-12-01,103.0000000000000
2019-01-01,103.2000000000000
2019-02-01,103.3000000000000
2019-03-01,103.5000000000000
2019-04-01,103.8000000000000
2019-05-01,103.8000000000000
