observation_date,CSCICP03GBM665S
1997-01-01,102.23940
1997-02-01,102.52220
1997-03-01,102.68030
1997-04-01,102.78000
1997-05-01,102.91960
1997-06-01,102.92810
1997-07-01,102.85490
1997-08-01,102.86150
1997-09-01,102.96620
1997-10-01,103.01300
1997-11-01,102.86880
1997-12-01,102.72950
1998-01-01,102.55880
1998-02-01,102.55480
1998-03-01,102.64090
1998-04-01,102.69620
1998-05-01,102.54530
1998-06-01,102.10410
1998-07-01,101.55650
1998-08-01,101.16510
1998-09-01,101.06410
1998-10-01,101.09580
1998-11-01,101.31500
1998-12-01,101.50390
1999-01-01,101.75910
1999-02-01,102.10060
1999-03-01,102.39350
1999-04-01,102.50990
1999-05-01,102.51500
1999-06-01,102.52470
1999-07-01,102.55010
1999-08-01,102.61350
1999-09-01,102.62200
1999-10-01,102.73270
1999-11-01,102.86530
1999-12-01,103.09550
2000-01-01,103.09370
2000-02-01,102.82720
2000-03-01,102.48620
2000-04-01,102.27200
2000-05-01,102.20880
2000-06-01,102.15620
2000-07-01,102.12500
2000-08-01,102.10220
2000-09-01,102.00770
2000-10-01,102.24500
2000-11-01,102.48650
2000-12-01,102.72080
2001-01-01,102.80930
2001-02-01,102.83180
2001-03-01,102.84610
2001-04-01,102.79070
2001-05-01,102.79740
2001-06-01,102.86940
2001-07-01,102.79860
2001-08-01,102.49670
2001-09-01,102.21700
2001-10-01,101.97520
2001-11-01,102.13080
2001-12-01,102.47070
2002-01-01,102.68320
2002-02-01,102.79860
2002-03-01,102.87640
2002-04-01,102.91470
2002-05-01,102.82290
2002-06-01,102.73610
2002-07-01,102.77950
2002-08-01,102.92850
2002-09-01,103.09110
2002-10-01,102.98420
2002-11-01,102.65090
2002-12-01,102.03870
2003-01-01,101.38300
2003-02-01,100.98810
2003-03-01,100.97640
2003-04-01,101.17940
2003-05-01,101.22520
2003-06-01,101.26690
2003-07-01,101.28260
2003-08-01,101.28480
2003-09-01,101.33070
2003-10-01,101.26740
2003-11-01,101.21530
2003-12-01,101.22860
2004-01-01,101.29660
2004-02-01,101.35590
2004-03-01,101.39830
2004-04-01,101.26100
2004-05-01,101.03720
2004-06-01,100.88590
2004-07-01,100.85300
2004-08-01,100.84580
2004-09-01,100.89320
2004-10-01,101.07690
2004-11-01,101.28290
2004-12-01,101.39500
2005-01-01,101.51740
2005-02-01,101.66120
2005-03-01,101.72240
2005-04-01,101.61530
2005-05-01,101.43820
2005-06-01,101.32820
2005-07-01,101.33640
2005-08-01,101.31100
2005-09-01,101.19150
2005-10-01,101.00910
2005-11-01,100.87970
2005-12-01,100.85940
2006-01-01,100.97280
2006-02-01,101.03200
2006-03-01,100.97660
2006-04-01,101.01560
2006-05-01,100.97820
2006-06-01,100.92920
2006-07-01,100.85370
2006-08-01,100.85760
2006-09-01,100.96600
2006-10-01,101.11910
2006-11-01,101.03860
2006-12-01,100.83050
2007-01-01,100.58670
2007-02-01,100.56800
2007-03-01,100.69250
2007-04-01,100.93170
