observation_date,LCEAMN01DEM661N
1981-04-01,0.40999999999999998
1981-05-01,
1981-06-01,
1981-07-01,0.41999999999999998
1981-08-01,
1981-09-01,
1981-10-01,0.42199999999999999
1981-11-01,
1981-12-01,
1982-01-01,0.42499999999999999
1982-02-01,
1982-03-01,
1982-04-01,0.43500000000000000
1982-05-01,
1982-06-01,
1982-07-01,0.43900000000000000
1982-08-01,
1982-09-01,
1982-10-01,0.43900000000000000
1982-11-01,
1982-12-01,
1983-01-01,0.44000000000000000
1983-02-01,
1983-03-01,
1983-04-01,0.45000000000000001
1983-05-01,
1983-06-01,
1983-07-01,0.45200000000000001
1983-08-01,
1983-09-01,
1983-10-01,0.45299999999999990
1983-11-01,
1983-12-01,
1984-01-01,0.45200000000000001
1984-02-01,
1984-03-01,
1984-04-01,0.45600000000000002
1984-05-01,
1984-06-01,
1984-07-01,0.46399999999999991
1984-08-01,
1984-09-01,
1984-10-01,0.46500000000000002
1984-11-01,
1984-12-01,
1985-01-01,0.46700000000000003
1985-02-01,
1985-03-01,
1985-04-01,0.48199999999999998
1985-05-01,
1985-06-01,
1985-07-01,0.48499999999999999
1985-08-01,
1985-09-01,
1985-10-01,0.48599999999999999
1985-11-01,
1985-12-01,
1986-01-01,0.48799999999999999
1986-02-01,
1986-03-01,
1986-04-01,0.48999999999999999
1986-05-01,
1986-06-01,
1986-07-01,0.50400000000000000
1986-08-01,
1986-09-01,
1986-10-01,0.50600000000000001
1986-11-01,
1986-12-01,
1987-01-01,0.50900000000000001
1987-02-01,
1987-03-01,
1987-04-01,0.51500000000000001
1987-05-01,
1987-06-01,
1987-07-01,0.52200000000000002
1987-08-01,
1987-09-01,
1987-10-01,0.52500000000000002
1987-11-01,
1987-12-01,
1988-01-01,0.52800000000000002
1988-02-01,
1988-03-01,
1988-04-01,0.54000000000000004
1988-05-01,
1988-06-01,
1988-07-01,0.54500000000000004
1988-08-01,
1988-09-01,
1988-10-01,0.54700000000000004
1988-11-01,
1988-12-01,
1989-01-01,0.54799999999999993
1989-02-01,
1989-03-01,
1989-04-01,0.56200000000000006
1989-05-01,
1989-06-01,
1989-07-01,0.56899999999999995
1989-08-01,
1989-09-01,
1989-10-01,0.57200000000000006
1989-11-01,
1989-12-01,
1990-01-01,0.57399999999999995
1990-02-01,
1990-03-01,
1990-04-01,0.58100000000000007
1990-05-01,
1990-06-01,
1990-07-01,0.60099999999999998
1990-08-01,
1990-09-01,
1990-10-01,0.60499999999999998
1990-11-01,
1990-12-01,
1991-01-01,0.60899999999999999
1991-02-01,
1991-03-01,
1991-04-01,0.61399999999999999
1991-05-01,
1991-06-01,
1991-07-01,0.63700000000000001
1991-08-01,
1991-09-01,
1991-10-01,0.64300000000000002
1991-11-01,
1991-12-01,
1992-01-01,0.64300000000000002
1992-02-01,
1992-03-01,
1992-04-01,0.65000000000000002
1992-05-01,
1992-06-01,
1992-07-01,0.66900000000000004
1992-08-01,
1992-09-01,
1992-10-01,0.67500000000000004
1992-11-01,
1992-12-01,
1993-01-01,0.67700000000000005
1993-02-01,
1993-03-01,
1993-04-01,0.69400000000000006
1993-05-01,
1993-06-01,
1993-07-01,0.69900000000000007
1993-08-01,
1993-09-01,
1993-10-01,0.70400000000000007
1993-11-01,
1993-12-01,
1994-01-01,0.70999999999999996
1994-02-01,
1994-03-01,
1994-04-01,0.71499999999999997
1994-05-01,
1994-06-01,
1994-07-01,0.72400000000000009
1994-08-01,
1994-09-01,
1994-10-01,0.72599999999999998
1994-11-01,
1994-12-01,
1995-01-01,0.72799999999999998
1995-02-01,
1995-03-01,
1995-04-01,0.74400000000000011
1995-05-01,
1995-06-01,
1995-07-01,0.75200000000000000
1995-08-01,
1995-09-01,
1995-10-01,0.75700000000000001
1995-11-01,
1995-12-01,
1996-01-01,0.76400000000000012
1996-02-01,
1996-03-01,
1996-04-01,0.77300000000000002
1996-05-01,
1996-06-01,
1996-07-01,0.77200000000000002
1996-08-01,
1996-09-01,
1996-10-01,0.77500000000000002
1996-11-01,
1996-12-01,
1997-01-01,0.77599999999999991
1997-02-01,
1997-03-01,
1997-04-01,0.78500000000000003
1997-05-01,
1997-06-01,
1997-07-01,0.78300000000000003
1997-08-01,
1997-09-01,
1997-10-01,0.78800000000000003
1997-11-01,
1997-12-01,
1998-01-01,0.78700000000000003
1998-02-01,
1998-03-01,
1998-04-01,0.79900000000000004
1998-05-01,
1998-06-01,
1998-07-01,0.79900000000000004
1998-08-01,
1998-09-01,
1998-10-01,0.80500000000000005
1998-11-01,
1998-12-01,
1999-01-01,0.80599999999999994
1999-02-01,
1999-03-01,
1999-04-01,0.81799999999999995
1999-05-01,
1999-06-01,
1999-07-01,0.82099999999999995
1999-08-01,
1999-09-01,
1999-10-01,0.82900000000000007
1999-11-01,
1999-12-01,
2000-01-01,0.82900000000000007
2000-02-01,
2000-03-01,
2000-04-01,0.83799999999999997
2000-05-01,
2000-06-01,
2000-07-01,0.84700000000000009
2000-08-01,
2000-09-01,
2000-10-01,0.84799999999999998
2000-11-01,
2000-12-01,
2001-01-01,0.84499999999999997
2001-02-01,
2001-03-01,
2001-04-01,0.85400000000000009
2001-05-01,
2001-06-01,
2001-07-01,0.85700000000000010
2001-08-01,
2001-09-01,
2001-10-01,0.85700000000000010
2001-11-01,
2001-12-01,
2002-01-01,0.85400000000000009
2002-02-01,
2002-03-01,
2002-04-01,0.86299999999999999
2002-05-01,
2002-06-01,
2002-07-01,0.87500000000000000
2002-08-01,
2002-09-01,
2002-10-01,0.87900000000000011
2002-11-01,
2002-12-01,
2003-01-01,0.87800000000000000
2003-02-01,
2003-03-01,
2003-04-01,0.88700000000000001
2003-05-01,
2003-06-01,
2003-07-01,0.89300000000000002
2003-08-01,
2003-09-01,
2003-10-01,0.89599999999999991
2003-11-01,
2003-12-01,
2004-01-01,0.89700000000000002
2004-02-01,
2004-03-01,
2004-04-01,0.90800000000000003
2004-05-01,
2004-06-01,
2004-07-01,0.90700000000000003
2004-08-01,
2004-09-01,
2004-10-01,0.91300000000000003
2004-11-01,
2004-12-01,
2005-01-01,0.91100000000000003
2005-02-01,
2005-03-01,
2005-04-01,0.91700000000000004
2005-05-01,
2005-06-01,
2005-07-01,0.91700000000000004
2005-08-01,
2005-09-01,
2005-10-01,0.92100000000000004
2005-11-01,
2005-12-01,
2006-01-01,0.91500000000000004
2006-02-01,
2006-03-01,
2006-04-01,0.92300000000000004
2006-05-01,
2006-06-01,
2006-07-01,0.92900000000000005
2006-08-01,
2006-09-01,
2006-10-01,0.92900000000000005
2006-11-01,
2006-12-01,
2007-01-01,0.91900000000000004
2007-02-01,
2007-03-01,
2007-04-01,0.93600000000000005
2007-05-01,
2007-06-01,
2007-07-01,0.94099999999999995
2007-08-01,
2007-09-01,
2007-10-01,0.94899999999999995
2007-11-01,
2007-12-01,
2008-01-01,0.95099999999999996
2008-02-01,
2008-03-01,
2008-04-01,0.96499999999999997
2008-05-01,
2008-06-01,
2008-07-01,0.96499999999999997
2008-08-01,
2008-09-01,
2008-10-01,0.96899999999999997
2008-11-01,
2008-12-01,
2009-01-01,0.96699999999999997
2009-02-01,
2009-03-01,
2009-04-01,0.97999999999999998
2009-05-01,
2009-06-01,
2009-07-01,0.98099999999999998
2009-08-01,
2009-09-01,
2009-10-01,0.98799999999999999
2009-11-01,
2009-12-01,
2010-01-01,0.99099999999999999
2010-02-01,
2010-03-01,
2010-04-01,1.00299999999999989
2010-05-01,
2010-06-01,
2010-07-01,0.99900000000000000
2010-08-01,
2010-09-01,
2010-10-01,1.00699999999999990
2010-11-01,
2010-12-01,
2011-01-01,1.00899999999999990
2011-02-01,
2011-03-01,
2011-04-01,1.02899999999999991
2011-05-01,
2011-06-01,
2011-07-01,1.02699999999999991
2011-08-01,
2011-09-01,
2011-10-01,1.03400000000000003
2011-11-01,
2011-12-01,
2012-01-01,1.03600000000000003
2012-02-01,
2012-03-01,
2012-04-01,1.05499999999999994
2012-05-01,
2012-06-01,
2012-07-01,1.06200000000000006
2012-08-01,
2012-09-01,
2012-10-01,1.06699999999999995
2012-11-01,
2012-12-01,
2013-01-01,1.06499999999999995
2013-02-01,
2013-03-01,
2013-04-01,1.07699999999999996
2013-05-01,
2013-06-01,
2013-07-01,1.08499999999999996
2013-08-01,
2013-09-01,
2013-10-01,1.09600000000000009
2013-11-01,
2013-12-01,
