observation_date,LFEMTTTTEZQ647S
2005-01-01,138663018.53754902
2005-04-01,139177190.86588600
2005-07-01,139757280.77279899
2005-10-01,140384509.82376602
2006-01-01,141142385.07132900
2006-04-01,141890753.62035999
2006-07-01,142570831.46013600
2006-10-01,143348829.84817499
2007-01-01,144081973.22440201
2007-04-01,144892653.37427700
2007-07-01,145571770.26184100
2007-10-01,146075203.13947999
2008-01-01,147035427.74441800
2008-04-01,146834708.21679300
2008-07-01,146716030.99544501
2008-10-01,145871833.04334399
2009-01-01,144631568.34395501
2009-04-01,143847617.51818702
2009-07-01,143025788.70659003
2009-10-01,143133225.43126798
2010-01-01,142159670.14173701
2010-04-01,142112242.98287499
2010-07-01,142106531.09393802
2010-10-01,142251255.78145000
2011-01-01,142256519.75559199
2011-04-01,142720913.82953200
2011-07-01,142319441.19843200
2011-10-01,142024425.21644402
2012-01-01,141708033.58615801
2012-04-01,141718504.07170197
2012-07-01,141534845.86648598
2012-10-01,141032716.47565398
2013-01-01,140437316.82427698
2013-04-01,140833555.13079500
2013-07-01,140861469.26004300
2013-10-01,140780358.78488499
2014-01-01,141437599.72859201
2014-04-01,142081903.65055501
2014-07-01,142408235.95313001
2014-10-01,142622360.66772300
2015-01-01,142939925.39282900
2015-04-01,143413460.00639200
2015-07-01,143947522.14895299
2015-10-01,144375792.45182601
2016-01-01,145487072.58366200
2016-04-01,146022335.97289500
2016-07-01,146542217.63987699
2016-10-01,146616473.80356699
2017-01-01,147310600.84625700
2017-04-01,148080314.66298202
2017-07-01,148701155.43150899
2017-10-01,148909629.05925202
2018-01-01,149561321.70052397
2018-04-01,150149029.93723100
2018-07-01,150531401.32208401
2018-10-01,150738947.04016101
2019-01-01,151488736.84958100
2019-04-01,152043695.34559399
2019-07-01,151870701.36152002
2019-10-01,152701266.44330400
2020-01-01,152217740.89176899
2020-04-01,148193708.51243901
2020-07-01,149125918.08398500
2020-10-01,150176732.51180699
2021-01-01,150125997.96447200
2021-04-01,152269187.62241900
2021-07-01,154014916.81927800
2021-10-01,154831497.59383199
2022-01-01,156173667.00851399
2022-04-01,157417574.91871402
2022-07-01,157193044.07442400
2022-10-01,157562413.99834701
