observation_date,PIEAMP01NZQ661N
1960-01-01,5.76555983032606
1960-04-01,5.77684323969850
1960-07-01,5.78812599152961
1960-10-01,5.79940874336072
1961-01-01,5.82761595170916
1961-04-01,5.85018211291271
1961-07-01,5.87274761657493
1961-10-01,5.86146486474382
1962-01-01,5.87838932126115
1962-04-01,5.87274761657493
1962-07-01,5.86710591188870
1962-10-01,5.88403036840604
1963-01-01,5.91787928144070
1963-04-01,5.96865199345135
1963-07-01,6.01942536300335
1963-10-01,6.05327427603801
1964-01-01,6.14353694822821
1964-04-01,6.15482035760066
1964-07-01,6.17738586126287
1964-10-01,6.25636578162197
1965-01-01,6.18866861309398
1965-04-01,6.22251752612864
1965-07-01,6.29021469465663
1965-10-01,6.31278085586018
1966-01-01,6.31842190300507
1966-04-01,6.32406360769129
1966-07-01,6.36919527255706
1966-10-01,6.39176077621928
1967-01-01,6.49894856246815
1967-04-01,6.52715577081658
1967-07-01,6.54972127447880
1967-10-01,6.53279681796147
1968-01-01,6.76409618943521
1968-04-01,6.88256672751518
1968-07-01,6.98411280907783
1968-10-01,7.12514885082003
1969-01-01,7.16463946854092
1969-04-01,7.27746830193467
1969-07-01,7.39593884001465
1969-10-01,7.40157988715954
1970-01-01,7.49748492157730
1970-04-01,7.63852096331950
1970-07-01,7.93187645617633
1970-10-01,8.16317582765006
1971-01-01,8.21959024434694
1971-04-01,8.49602128068645
1971-07-01,8.64834007425975
1971-10-01,8.75552786050862
1972-01-01,8.94733661426148
1972-04-01,9.07708990417256
1972-07-01,9.24069210711831
1972-10-01,9.48327423042316
1973-01-01,9.73149805841422
1973-04-01,9.83304413997687
1973-07-01,10.17153129769950
1973-10-01,10.25051121805860
1974-01-01,10.38590621265590
1974-04-01,10.54386671091540
1974-07-01,10.99518270203180
1974-10-01,11.44085698846190
1975-01-01,12.05577518252400
1975-04-01,12.66505101435860
1975-07-01,13.27996920842070
1975-10-01,13.95130181917970
1976-01-01,14.53237044266580
1976-04-01,15.32781463864960
1976-07-01,16.22480491619610
1976-10-01,16.61970649061560
1977-01-01,17.30796290035060
1977-04-01,18.11469050570690
1977-07-01,18.84807858030770
1977-10-01,19.37837449178310
1978-01-01,19.84345545328430
1978-04-01,20.34729321637230
1978-07-01,21.23869899532900
1978-10-01,21.78129290246260
1979-01-01,22.63394187983250
1979-04-01,23.64161740600850
1979-07-01,24.88183308416440
1979-10-01,26.08329261827480
1980-01-01,27.16848109008320
1980-04-01,28.56372463212800
1980-07-01,29.76518350869710
1980-10-01,30.73410223328620
1981-01-01,31.93556176739660
1981-04-01,32.94323729357260
1981-07-01,34.45474992529540
1981-10-01,35.50118225305830
1982-01-01,36.58637138240800
1982-04-01,37.74907411493160
1982-07-01,38.56296563317320
1982-10-01,38.75674964110760
1983-01-01,38.98928979308750
1983-04-01,39.10556019784810
1983-07-01,39.68691156410990
1983-10-01,39.95820851767660
1984-01-01,40.38453267759090
1984-04-01,41.08215444861330
1984-07-01,42.94247829461790
1984-10-01,44.91907254538300
1985-01-01,46.77939639138760
1985-04-01,48.48469368858600
1985-07-01,49.10480119889330
1985-10-01,49.41485561158830
1986-01-01,49.91869337467630
1986-04-01,50.65507128974420
1986-07-01,50.73258489291800
1986-10-01,51.89528762544150
1987-01-01,53.01923289883680
1987-04-01,54.06566522659970
1987-07-01,54.45323324246850
1987-10-01,55.07334075277580
1988-01-01,55.30588156229700
1988-04-01,55.77096252379810
1988-07-01,56.46858363727920
1988-10-01,57.28247581306220
1989-01-01,58.01885372813010
1989-04-01,58.87150204795860
1989-07-01,61.00312350507130
1989-10-01,61.77825887926740
1990-01-01,62.28209598481410
1990-04-01,63.05723135901020
1990-07-01,62.28209598481410
1990-10-01,62.12706943600800
1991-01-01,62.66966400068280
1991-04-01,62.97971775583650
1991-07-01,62.66966400068280
1991-10-01,62.82469054948900
1992-01-01,63.56106912209820
1992-04-01,64.14242048836000
1992-07-01,64.91755520501481
1992-10-01,65.38263616651599
1993-01-01,65.96398753277769
1993-04-01,66.46782529586569
1993-07-01,67.04917666212749
1993-10-01,67.20420321093360
1994-01-01,67.08793346371441
1994-04-01,62.88694396868120
1994-07-01,62.70905485686320
1994-10-01,62.57505632493270
1995-01-01,62.42542138487890
1995-04-01,62.17973104966970
1995-07-01,62.45934142402740
1995-10-01,62.71845617812580
1996-01-01,62.40749371176900
1996-04-01,62.24388725226330
1996-07-01,62.18938859799360
1996-10-01,62.14985730364570
1997-01-01,61.87913109860530
1997-04-01,62.14000665524840
1997-07-01,61.18656129190120
1997-10-01,61.66928133104970
1998-01-01,61.43781600195740
1998-04-01,61.99652870075850
1998-07-01,62.38106278443850
1998-10-01,62.26988754587720
1999-01-01,61.74977313432840
1999-04-01,61.98699955957920
1999-07-01,63.05858879373620
1999-10-01,64.40840039148520
2000-01-01,65.39482622950820
2000-04-01,66.62330022021040
2000-07-01,69.06776941521900
2000-10-01,71.56896364081230
2001-01-01,71.24558434059210
2001-04-01,72.29715683875700
2001-07-01,72.25489150966480
2001-10-01,71.85837425984830
2002-01-01,71.83215248348419
2002-04-01,72.83004276975780
2002-07-01,71.79032307315880
2002-10-01,71.14211490090530
2003-01-01,71.02496011744560
2003-04-01,70.90458204061660
2003-07-01,70.48021218497681
2003-10-01,70.33943645705899
2004-01-01,70.64366273550280
2004-04-01,72.83620220210420
2004-07-01,73.39557748960119
2004-10-01,73.68691098605341
2005-01-01,74.90165167604600
2005-04-01,76.35668167359920
2005-07-01,78.21265563983360
2005-10-01,77.43852938585761
2006-01-01,78.64965011010520
2006-04-01,82.86944614631760
2006-07-01,83.34280019574260
2006-10-01,81.97359080009790
2007-01-01,82.35622686567160
2007-04-01,83.27715096647910
2007-07-01,85.57314597504281
2007-10-01,88.69048230976270
2008-01-01,92.26573848788840
2008-04-01,95.80377460239779
2008-07-01,100.16081125519899
2008-10-01,102.39969522877399
2009-01-01,97.31611813065820
2009-04-01,93.02020543185709
2009-07-01,91.16285774406660
2009-10-01,90.51080225103991
2010-01-01,94.79473207731830
2010-04-01,96.90463381453390
2010-07-01,98.38063733790069
2010-10-01,97.87129924149740
2011-01-01,100.70956691950100
2011-04-01,103.54783459750401
2011-07-01,102.86273550281400
2011-10-01,102.96060680205500
2012-01-01,101.49253731343300
2012-04-01,101.39466601419100
2012-07-01,99.53511132860289
2012-10-01,99.14362613163691
2013-01-01,99.82872522632741
2013-04-01,102.37337900660600
2013-07-01,106.19035967702500
2013-10-01,105.70100318081700
2014-01-01,105.89674577930001
2014-04-01,104.91803278688499
2014-07-01,103.35209199902100
2014-10-01,102.37337900660600
2015-01-01,99.82872522632741
2015-04-01,100.02446782481000
2015-07-01,101.49253731343300
2015-10-01,98.65426963542940
2016-01-01,97.77342794225591
2016-04-01,96.50110105211650
2016-07-01,96.30535845363350
2016-10-01,99.43724002936140
2017-01-01,103.15634940053801
2017-04-01,105.40738928309300
2017-07-01,105.21164668461000
2017-10-01,108.24565696109600
2018-01-01,106.97333007095700
2018-04-01,109.61585515047700
2018-07-01,112.74773672620501
2018-10-01,111.37753853682401
2019-01-01,108.34352826033800
2019-04-01,111.37753853682401
2019-07-01,113.82432101786200
2019-10-01,114.11793491558601
2020-01-01,113.43283582089600
2020-04-01,113.23709322241299
2020-07-01,108.83288475654500
2020-10-01,107.95204306337200
2021-01-01,108.73501345730401
2021-04-01,114.80303401027599
2021-07-01,119.40298507462700
2021-10-01,122.04551015414700
2022-01-01,127.72204551015400
2022-04-01,131.44115488133099
2022-07-01,137.11769023733800
