observation_date,NZLB6BLTT02STSAQ
1987-04-01,-3.59675800000000034
1987-07-01,-3.39214700000000002
1987-10-01,-3.70866600000000091
1988-01-01,-0.70698669999999997
1988-04-01,-1.04554299999999989
1988-07-01,0.04466778000000000
1988-10-01,0.63906800000000008
1989-01-01,0.10499559999999999
1989-04-01,-2.86598300000000039
1989-07-01,-4.35659699999999983
1989-10-01,-4.57221700000000020
1990-01-01,-1.52177300000000004
1990-04-01,-3.69585900000000001
1990-07-01,-3.73695900000000014
1990-10-01,-2.23113300000000025
1991-01-01,-2.17274099999999981
1991-04-01,-3.17835299999999998
1991-07-01,-2.10449200000000003
1991-10-01,-2.00684800000000019
1992-01-01,-3.92614500000000000
1992-04-01,-1.63514300000000001
1992-07-01,-3.98458900000000016
1992-10-01,-5.06270799999999976
1993-01-01,-1.84865699999999999
1993-04-01,-2.77967399999999998
1993-07-01,-3.70034000000000018
1993-10-01,-4.93546999999999958
1994-01-01,-1.44437299999999991
1994-04-01,-3.68573800000000018
1994-07-01,-2.62980700000000001
1994-10-01,-4.55022299999999991
1995-01-01,-4.09647900000000043
1995-04-01,-3.40654199999999996
1995-07-01,-3.51961700000000022
1995-10-01,-4.61202100000000037
1996-01-01,-5.21753300000000042
1996-04-01,-4.78000000000000025
1996-07-01,-3.93638800000000000
1996-10-01,-5.07223600000000019
1997-01-01,-6.22497100000000003
1997-04-01,-7.59547100000000164
1997-07-01,-3.64811700000000005
1997-10-01,-3.35732300000000050
1998-01-01,-1.87037199999999992
1998-04-01,-4.98053599999999985
1998-07-01,-2.52751400000000004
1998-10-01,-1.30397800000000008
1999-01-01,-3.30998899999999985
1999-04-01,-3.92766700000000002
1999-07-01,-4.69743800000000000
1999-10-01,-7.53482800000000008
2000-01-01,-4.56418700000000044
2000-04-01,-3.21407700000000007
2000-07-01,-3.22286699999999993
2000-10-01,-2.00940599999999980
2001-01-01,-1.00107999999999997
2001-04-01,0.11699600000000000
2001-07-01,-0.33886500000000003
2001-10-01,-1.99125899999999989
2002-01-01,-3.30543399999999954
2002-04-01,-0.94537499999999997
2002-07-01,-2.13783700000000021
2002-10-01,-2.28571400000000002
2003-01-01,-2.12407900000000005
2003-04-01,-3.05398100000000028
2003-07-01,-2.16788500000000006
2003-10-01,-2.44907999999999992
2004-01-01,-3.61928200000000011
2004-04-01,-3.15631700000000004
2004-07-01,-5.90244499999999928
2004-10-01,-5.53368899999999986
2005-01-01,-5.92742500000000039
2005-04-01,-7.11660700000000102
2005-07-01,-7.58151099999999989
2005-10-01,-7.63520099999999857
2006-01-01,-8.91560500000000111
2006-04-01,-6.48396300000000014
2006-07-01,-6.29906400000000044
2006-10-01,-6.91393099999999983
2007-01-01,-7.30260800000000021
2007-04-01,-7.24516000000000027
2007-07-01,-7.00141799999999925
2007-10-01,-5.69188399999999994
2008-01-01,-6.71583699999999961
2008-04-01,-8.95192800000000055
2008-07-01,-8.34787100000000137
2008-10-01,-6.67520600000000019
2009-01-01,-4.06975500000000068
2009-04-01,-0.67004140000000012
2009-07-01,0.69252080000000005
2009-10-01,-4.98974999999999991
2010-01-01,-0.96113409999999999
2010-04-01,-1.78081099999999992
2010-07-01,-1.94783400000000007
2010-10-01,-4.20925300000000036
2011-01-01,-3.16241500000000020
2011-04-01,-2.39155199999999990
2011-07-01,-3.21607300000000018
2011-10-01,-2.43925200000000020
2012-01-01,-4.63634199999999996
2012-04-01,-4.10177399999999981
2012-07-01,-3.28976600000000019
2012-10-01,-3.64264099999999980
2013-01-01,-3.55138800000000021
2013-04-01,-3.86857199999999990
2013-07-01,-3.60070900000000016
2013-10-01,-1.43118400000000001
2014-01-01,-1.28277899999999989
2014-04-01,-3.62785000000000002
2014-07-01,-3.79937699999999978
2014-10-01,-3.72056299999999984
2015-01-01,-2.67401299999999997
2015-04-01,-3.39082600000000012
2015-07-01,-2.08284199999999986
2015-10-01,-2.68112100000000009
2016-01-01,-1.48333000000000004
2016-04-01,-2.03336600000000001
2016-07-01,-2.63753300000000035
2016-10-01,-2.08498500000000009
2017-01-01,-3.49137500000000012
2017-04-01,-2.29081299999999999
2017-07-01,-2.47293500000000011
2017-10-01,-3.10308399999999995
2018-01-01,-4.46342199999999956
2018-04-01,-4.53531900000000032
2018-07-01,-3.92926799999999998
2018-10-01,-3.84770499999999993
2019-01-01,-3.11861999999999995
2019-04-01,-3.39920199999999983
2019-07-01,-2.83180800000000010
2019-10-01,-2.00335300000000016
2020-01-01,-1.21283900000000000
2020-04-01,-0.33000159999999990
2020-07-01,-1.21573299999999995
2020-10-01,-2.48671800000000021
2021-01-01,-6.13184199999999979
2021-04-01,-3.75381499999999990
2021-07-01,-6.06784899999999983
2021-10-01,-7.42769999999999975
2022-01-01,-9.47884200000000021
2022-04-01,-9.51725500000000046
2022-07-01,-7.52421999999999969
2022-10-01,-9.43331799999999987
2023-01-01,-7.82043800000000022
2023-04-01,-6.87680500000000006
2023-07-01,-6.51623300000000061
2023-10-01,-6.51901699999999984
2024-01-01,-6.58222899999999900
2024-04-01,-6.68548699999999929
2024-07-01,-6.00263200000000019
2024-10-01,-5.45786999999999978
