observation_date,OECDULQECU01IXOBSAQ
1995-01-01,58.4028745758904
1995-04-01,58.9296953554635
1995-07-01,59.4618091781387
1995-10-01,60.0310979452432
1996-01-01,60.4175601948116
1996-04-01,60.8915236491742
1996-07-01,61.4445882604007
1996-10-01,61.9798722924818
1997-01-01,62.6219969492731
1997-04-01,63.1002129994206
1997-07-01,63.6374222455687
1997-10-01,64.1223261064207
1998-01-01,64.5308898444917
1998-04-01,65.1709424070552
1998-07-01,65.5700259554584
1998-10-01,66.0564338153139
1999-01-01,66.5393356061724
1999-04-01,67.1574397219144
1999-07-01,67.6487097039847
1999-10-01,68.5796038422352
2000-01-01,69.3967233853645
2000-04-01,69.8080163662714
2000-07-01,70.7258534285743
2000-10-01,71.0550921756134
2001-01-01,71.9573300274027
2001-04-01,72.1582578862955
2001-07-01,72.3158223537364
2001-10-01,72.6240709389533
2002-01-01,73.0196011319782
2002-04-01,73.3940459537387
2002-07-01,73.7406084676206
2002-10-01,74.2589334788161
2003-01-01,74.5633471788231
2003-04-01,75.0137252983050
2003-07-01,75.9032387150535
2003-10-01,76.4714527670005
2004-01-01,76.9093887505316
2004-04-01,77.7651112630867
2004-07-01,78.6356148789944
2004-10-01,79.0653278067792
2005-01-01,79.5952709796909
2005-04-01,79.9501455211243
2005-07-01,80.5787125017460
2005-10-01,81.3161712082988
2006-01-01,82.1996820455249
2006-04-01,82.5216299085445
2006-07-01,82.9692281928224
2006-10-01,83.9540741386921
2007-01-01,84.9012308792130
2007-04-01,85.4496176105692
2007-07-01,85.9241119308691
2007-10-01,86.6274779785720
2008-01-01,87.3696057208771
2008-04-01,87.7081708365780
2008-07-01,88.0813365753206
2008-10-01,88.1803360116002
2009-01-01,87.3440527147181
2009-04-01,87.8443194714941
2009-07-01,88.1912003796866
2009-10-01,89.0340056830451
2010-01-01,89.2271233631541
2010-04-01,89.9619660110782
2010-07-01,90.4128466100938
2010-10-01,90.9052269972907
2011-01-01,91.7712255870450
2011-04-01,92.1590194835070
2011-07-01,92.6194616911643
2011-10-01,92.4871048417936
2012-01-01,93.5682347448440
2012-04-01,93.7614274109377
2012-07-01,94.0699457979820
2012-10-01,94.8936710858631
2013-01-01,95.0162821167844
2013-04-01,95.6692604038071
2013-07-01,95.8423846075428
2013-10-01,96.3987852790431
2014-01-01,97.2081012852935
2014-04-01,97.4548975321456
2014-07-01,97.9523022119718
2014-10-01,98.6418622858306
2015-01-01,99.1987276546184
2015-04-01,99.8433256734326
2015-07-01,100.3419752748720
2015-10-01,100.6159713969260
2016-01-01,101.0006939636090
2016-04-01,101.3775305646060
2016-07-01,101.9228963861840
2016-10-01,102.5880421469840
2017-01-01,103.1568890592330
2017-04-01,103.7462713613530
2017-07-01,104.5467952596760
2017-10-01,105.7897756272410
2018-01-01,106.6101552212430
2018-04-01,107.2371433049100
2018-07-01,108.2711479287900
2018-10-01,108.8997586573840
2019-01-01,110.2317002523310
2019-04-01,110.9866581842740
2019-07-01,111.4488224140250
2019-10-01,112.1046745988880
2020-01-01,112.8803006835480
2020-04-01,114.8222383847190
2020-07-01,116.3662523817790
2020-10-01,117.2408510954780
2021-01-01,118.0965996668330
2021-04-01,119.8391127547010
2021-07-01,121.5777830935620
2021-10-01,123.1176307571540
2022-01-01,124.4713160803460
2022-04-01,125.7823225207640
2022-07-01,128.7699176973980
2022-10-01,130.4950424841070
2023-01-01,132.2785219607090
