observation_date,CSCICP03JPM665S
2001-07-01,98.02536
2001-08-01,97.86849
2001-09-01,97.84060
2001-10-01,97.90193
2001-11-01,98.04391
2001-12-01,98.22787
2002-01-01,98.42595
2002-02-01,98.62011
2002-03-01,98.78705
2002-04-01,98.88696
2002-05-01,98.87953
2002-06-01,98.80704
2002-07-01,98.71026
2002-08-01,98.60949
2002-09-01,98.50987
2002-10-01,98.41066
2002-11-01,98.31338
2002-12-01,98.22955
2003-01-01,98.18649
2003-02-01,98.21970
2003-03-01,98.32440
2003-04-01,98.51387
2003-05-01,98.80611
2003-06-01,99.12596
2003-07-01,99.37868
2003-08-01,99.49607
2003-09-01,99.54961
2003-10-01,99.63310
2003-11-01,99.80911
2003-12-01,100.02550
2004-01-01,100.21380
2004-02-01,100.34720
2004-03-01,100.52720
2004-04-01,100.84920
2004-05-01,101.14120
2004-06-01,101.29970
2004-07-01,101.60190
2004-08-01,101.72350
2004-09-01,101.64440
2004-10-01,101.63690
2004-11-01,101.54830
2004-12-01,101.38550
2005-01-01,101.40310
2005-02-01,101.36090
2005-03-01,101.24690
2005-04-01,101.31990
2005-05-01,101.39990
2005-06-01,101.45360
2005-07-01,101.56980
2005-08-01,101.57610
2005-09-01,101.49890
2005-10-01,101.61190
2005-11-01,101.74540
2005-12-01,101.85870
2006-01-01,102.04440
2006-02-01,102.08570
2006-03-01,101.98390
2006-04-01,101.94490
2006-05-01,101.82220
2006-06-01,101.64980
2006-07-01,101.60040
2006-08-01,101.52650
2006-09-01,101.50360
2006-10-01,101.65750
2006-11-01,101.77510
2006-12-01,101.78230
2007-01-01,101.84550
2007-02-01,101.78790
2007-03-01,101.57580
2007-04-01,101.37570
2007-05-01,101.13540
2007-06-01,100.86640
2007-07-01,100.69190
2007-08-01,100.56720
2007-09-01,100.39930
2007-10-01,100.11670
2007-11-01,99.72733
2007-12-01,99.38180
2008-01-01,99.10415
2008-02-01,98.83541
2008-03-01,98.51923
2008-04-01,98.09614
2008-05-01,97.65507
2008-06-01,97.28018
2008-07-01,96.99793
2008-08-01,96.82265
2008-09-01,96.73692
2008-10-01,96.56494
2008-11-01,96.36020
2008-12-01,96.16579
2009-01-01,96.10934
2009-02-01,96.26816
2009-03-01,96.69819
2009-04-01,97.33012
2009-05-01,98.00591
2009-06-01,98.58769
2009-07-01,99.05057
2009-08-01,99.33977
2009-09-01,99.48415
2009-10-01,99.52654
2009-11-01,99.48909
2009-12-01,99.44068
2010-01-01,99.53438
2010-02-01,99.69907
2010-03-01,99.87508
2010-04-01,100.01410
2010-05-01,100.09550
2010-06-01,100.12410
2010-07-01,100.07660
2010-08-01,99.95497
2010-09-01,99.83427
2010-10-01,99.81947
2010-11-01,99.89174
2010-12-01,99.95073
2011-01-01,99.87949
2011-02-01,99.54037
2011-03-01,98.90112
2011-04-01,98.23683
2011-05-01,98.02821
2011-06-01,98.17141
2011-07-01,98.46101
2011-08-01,98.72131
2011-09-01,98.95585
2011-10-01,99.11446
2011-11-01,99.21555
2011-12-01,99.32465
2012-01-01,99.42599
2012-02-01,99.47792
2012-03-01,99.50378
2012-04-01,99.51244
2012-05-01,99.52742
2012-06-01,99.52325
2012-07-01,99.52034
2012-08-01,99.53421
2012-09-01,99.52354
2012-10-01,99.51353
2012-11-01,99.57906
2012-12-01,99.79987
2013-01-01,100.22250
2013-02-01,100.58460
2013-03-01,100.79760
2013-04-01,100.85980
2013-05-01,100.80710
2013-06-01,100.65150
2013-07-01,100.54330
2013-08-01,100.51510
2013-09-01,100.53520
2013-10-01,100.34340
2013-11-01,100.17210
2013-12-01,99.89519
2014-01-01,99.52866
2014-02-01,99.15080
2014-03-01,98.91194
2014-04-01,98.94579
2014-05-01,99.22411
2014-06-01,99.55025
2014-07-01,99.74742
2014-08-01,99.71674
2014-09-01,99.54192
2014-10-01,99.32784
2014-11-01,99.18331
2014-12-01,99.21556
2015-01-01,99.37292
2015-02-01,99.63211
2015-03-01,99.84087
2015-04-01,99.95273
2015-05-01,99.95552
2015-06-01,99.92416
2015-07-01,99.88058
2015-08-01,99.88007
2015-09-01,99.89014
2015-10-01,99.98310
2015-11-01,100.07910
2015-12-01,100.07260
2016-01-01,99.95610
2016-02-01,99.79889
2016-03-01,99.78150
2016-04-01,99.80393
2016-05-01,99.85983
2016-06-01,99.95914
2016-07-01,100.04480
2016-08-01,100.14050
2016-09-01,100.18240
2016-10-01,100.11590
2016-11-01,100.04560
2016-12-01,100.13740
2017-01-01,100.24920
2017-02-01,100.36120
2017-03-01,100.46350
2017-04-01,100.49950
2017-05-01,100.51020
2017-06-01,100.51600
2017-07-01,100.56080
2017-08-01,100.59670
2017-09-01,100.65820
2017-10-01,100.71730
2017-11-01,100.73090
2017-12-01,100.71970
2018-01-01,100.69910
2018-02-01,100.66340
2018-03-01,100.63370
2018-04-01,100.61100
2018-05-01,100.60650
2018-06-01,100.58150
2018-07-01,100.56160
2018-08-01,100.52500
2018-09-01,100.44930
2018-10-01,100.34850
2018-11-01,100.23840
2018-12-01,100.12840
2019-01-01,99.99363
2019-02-01,99.85791
2019-03-01,99.70890
2019-04-01,99.57893
2019-05-01,99.39214
2019-06-01,99.14935
2019-07-01,98.92268
2019-08-01,98.71428
2019-09-01,98.57306
2019-10-01,98.69344
2019-11-01,99.00764
2019-12-01,99.20259
2020-01-01,99.03683
2020-02-01,98.28284
2020-03-01,96.92022
2020-04-01,95.69758
2020-05-01,95.46436
2020-06-01,95.89619
2020-07-01,96.44160
2020-08-01,96.90560
2020-09-01,97.31589
2020-10-01,97.51375
2020-11-01,97.48475
2020-12-01,97.32553
2021-01-01,97.32765
2021-02-01,97.69778
2021-03-01,98.06157
2021-04-01,98.21864
2021-05-01,98.32776
2021-06-01,98.55759
2021-07-01,98.73059
2021-08-01,98.83421
2021-09-01,98.98501
2021-10-01,99.16047
2021-11-01,99.21279
2021-12-01,99.05021
2022-01-01,98.66702
2022-02-01,98.19636
2022-03-01,97.74454
2022-04-01,97.50500
2022-05-01,97.38676
2022-06-01,97.22652
2022-07-01,97.09911
2022-08-01,97.09336
2022-09-01,97.00058
2022-10-01,96.89653
2022-11-01,96.85000
2022-12-01,96.94454
2023-01-01,97.10548
2023-02-01,97.36208
2023-03-01,97.76901
2023-04-01,98.14967
2023-05-01,98.40277
2023-06-01,98.53342
2023-07-01,98.56457
2023-08-01,98.46131
2023-09-01,98.34671
2023-10-01,98.35806
2023-11-01,98.48705
2023-12-01,98.70564
2024-01-01,98.94688
