observation_date,CSCICP03DEM665S
1989-04-01,100.92250
1989-05-01,101.06700
1989-06-01,101.26350
1989-07-01,101.37570
1989-08-01,101.38480
1989-09-01,101.41120
1989-10-01,101.41770
1989-11-01,101.45170
1989-12-01,101.54280
1990-01-01,101.55350
1990-02-01,101.43380
1990-03-01,101.32590
1990-04-01,101.37680
1990-05-01,101.46130
1990-06-01,101.53510
1990-07-01,101.55000
1990-08-01,101.39960
1990-09-01,101.11540
1990-10-01,100.92140
1990-11-01,100.84580
1990-12-01,100.72260
1991-01-01,100.42130
1991-02-01,100.08530
1991-03-01,99.87550
1991-04-01,99.94212
1991-05-01,99.98056
1991-06-01,99.72223
1991-07-01,99.24191
1991-08-01,99.02395
1991-09-01,99.13608
1991-10-01,99.33208
1991-11-01,99.47767
1991-12-01,99.56575
1992-01-01,99.47488
1992-02-01,99.28458
1992-03-01,98.90512
1992-04-01,98.55603
1992-05-01,98.45385
1992-06-01,98.64248
1992-07-01,98.86478
1992-08-01,98.89275
1992-09-01,98.67021
1992-10-01,98.28490
1992-11-01,97.80669
1992-12-01,97.44238
1993-01-01,97.26457
1993-02-01,97.23011
1993-03-01,97.22345
1993-04-01,97.37931
1993-05-01,97.45525
1993-06-01,97.42516
1993-07-01,97.40336
1993-08-01,97.50169
1993-09-01,97.52474
1993-10-01,97.35182
1993-11-01,97.25979
1993-12-01,97.23133
1994-01-01,97.23914
1994-02-01,97.42810
1994-03-01,97.87688
1994-04-01,98.52428
1994-05-01,99.21999
1994-06-01,99.78809
1994-07-01,100.09990
1994-08-01,100.25510
1994-09-01,100.34690
1994-10-01,100.38380
1994-11-01,100.21660
1994-12-01,99.96313
1995-01-01,99.79076
1995-02-01,99.72816
1995-03-01,99.83762
1995-04-01,99.95103
1995-05-01,100.02150
1995-06-01,100.06760
1995-07-01,100.04550
1995-08-01,99.91757
1995-09-01,99.77113
1995-10-01,99.58101
1995-11-01,99.29850
1995-12-01,98.90688
1996-01-01,98.49263
1996-02-01,98.27199
1996-03-01,98.27510
1996-04-01,98.27845
1996-05-01,98.24368
1996-06-01,98.23736
1996-07-01,98.29282
1996-08-01,98.39731
1996-09-01,98.43652
1996-10-01,98.35905
1996-11-01,98.23331
1996-12-01,98.11357
1997-01-01,98.05053
1997-02-01,97.98038
1997-03-01,98.05695
1997-04-01,98.20297
1997-05-01,98.32180
1997-06-01,98.34351
1997-07-01,98.41346
1997-08-01,98.58237
1997-09-01,98.77482
1997-10-01,98.92777
1997-11-01,98.95181
1997-12-01,98.92399
1998-01-01,98.91016
1998-02-01,98.97355
1998-03-01,99.16932
1998-04-01,99.34677
1998-05-01,99.56837
1998-06-01,99.89385
1998-07-01,100.25470
1998-08-01,100.43600
1998-09-01,100.58050
1998-10-01,100.73780
1998-11-01,100.77800
1998-12-01,100.69530
1999-01-01,100.60600
1999-02-01,100.50520
1999-03-01,100.29760
1999-04-01,100.07210
1999-05-01,99.92445
1999-06-01,99.87560
1999-07-01,99.92336
1999-08-01,99.97590
1999-09-01,100.05370
1999-10-01,100.17950
1999-11-01,100.30030
1999-12-01,100.43100
2000-01-01,100.55200
2000-02-01,100.67160
2000-03-01,100.74260
2000-04-01,100.79290
2000-05-01,100.87370
2000-06-01,100.79750
2000-07-01,100.78820
2000-08-01,100.71080
2000-09-01,100.48530
2000-10-01,100.35540
2000-11-01,100.42300
2000-12-01,100.52780
2001-01-01,100.62170
2001-02-01,100.62570
2001-03-01,100.58600
2001-04-01,100.41950
2001-05-01,100.10780
2001-06-01,99.74865
2001-07-01,99.50173
2001-08-01,99.35291
2001-09-01,99.30328
2001-10-01,99.22974
2001-11-01,99.06922
2001-12-01,98.91137
2002-01-01,98.77483
2002-02-01,98.68822
2002-03-01,98.65378
2002-04-01,98.59946
2002-05-01,98.56711
2002-06-01,98.57458
2002-07-01,98.62899
2002-08-01,98.56541
2002-09-01,98.35760
2002-10-01,97.85496
2002-11-01,97.22082
2002-12-01,96.87800
2003-01-01,96.85558
2003-02-01,96.92044
2003-03-01,97.09912
2003-04-01,97.36331
2003-05-01,97.66243
2003-06-01,97.98610
2003-07-01,98.21873
2003-08-01,98.21931
2003-09-01,98.18441
2003-10-01,98.20568
2003-11-01,98.24712
2003-12-01,98.18146
2004-01-01,98.13295
2004-02-01,98.21647
2004-03-01,98.22088
2004-04-01,98.17886
2004-05-01,98.15106
2004-06-01,98.17213
2004-07-01,98.18243
2004-08-01,98.23745
2004-09-01,98.30550
2004-10-01,98.28944
2004-11-01,98.32377
2004-12-01,98.48319
2005-01-01,98.69070
2005-02-01,98.75025
2005-03-01,98.71570
2005-04-01,98.67751
2005-05-01,98.66279
2005-06-01,98.63512
2005-07-01,98.64375
2005-08-01,98.75512
2005-09-01,98.89063
2005-10-01,99.04185
2005-11-01,99.21187
2005-12-01,99.49458
2006-01-01,99.82793
2006-02-01,99.98006
2006-03-01,100.04220
2006-04-01,100.12290
2006-05-01,100.20880
2006-06-01,100.14180
2006-07-01,99.99416
2006-08-01,99.84746
2006-09-01,99.72872
2006-10-01,99.66113
2006-11-01,99.74432
2006-12-01,99.93372
2007-01-01,100.16880
2007-02-01,100.47190
2007-03-01,100.78970
2007-04-01,101.13250
2007-05-01,101.39040
2007-06-01,101.41380
2007-07-01,101.23510
2007-08-01,100.89230
2007-09-01,100.56880
2007-10-01,100.32150
2007-11-01,100.09700
2007-12-01,99.99822
2008-01-01,99.95128
2008-02-01,99.90070
2008-03-01,99.87547
2008-04-01,99.80901
2008-05-01,99.54525
2008-06-01,99.15482
2008-07-01,98.75691
2008-08-01,98.52550
2008-09-01,98.41470
2008-10-01,98.21732
2008-11-01,98.00227
2008-12-01,97.73553
2009-01-01,97.57207
2009-02-01,97.46934
2009-03-01,97.42757
2009-04-01,97.55405
2009-05-01,97.79756
2009-06-01,98.16766
2009-07-01,98.66412
2009-08-01,99.17582
2009-09-01,99.56067
2009-10-01,99.72952
2009-11-01,99.68405
2009-12-01,99.61685
2010-01-01,99.51500
2010-02-01,99.55390
2010-03-01,99.75724
2010-04-01,99.95805
2010-05-01,99.97967
2010-06-01,100.20340
2010-07-01,100.70170
2010-08-01,101.18710
2010-09-01,101.53210
2010-10-01,101.72640
2010-11-01,101.85750
2010-12-01,101.85970
2011-01-01,101.80510
2011-02-01,101.72860
2011-03-01,101.60590
2011-04-01,101.50660
2011-05-01,101.46710
2011-06-01,101.45570
2011-07-01,101.29620
2011-08-01,100.96830
2011-09-01,100.70910
2011-10-01,100.51450
2011-11-01,100.49520
2011-12-01,100.60930
2012-01-01,100.70160
2012-02-01,100.73470
2012-03-01,100.75490
2012-04-01,100.78190
2012-05-01,100.76970
2012-06-01,100.69430
2012-07-01,100.50900
2012-08-01,100.29590
2012-09-01,100.14450
2012-10-01,100.11470
2012-11-01,100.17650
2012-12-01,100.27890
2013-01-01,100.44130
2013-02-01,100.57440
2013-03-01,100.64480
2013-04-01,100.67550
2013-05-01,100.69580
2013-06-01,100.72900
2013-07-01,100.77230
2013-08-01,100.82130
2013-09-01,100.92310
2013-10-01,101.04970
2013-11-01,101.20840
