observation_date,ULQELP01NLQ659S
1997-01-01,1.5679036977919800
1997-04-01,1.2831664875897999
1997-07-01,1.0628917096269701
1997-10-01,1.8200672679832399
1998-01-01,2.4322929834740799
1998-04-01,2.2936470639466799
1998-07-01,1.9700529344239901
1998-10-01,1.6518775816187301
1999-01-01,1.2776226334238101
1999-04-01,1.6943019518528799
1999-07-01,2.3404213914326299
1999-10-01,2.9306319557114300
2000-01-01,2.7677725561657800
2000-04-01,2.7194047344956802
2000-07-01,2.0321518729137402
2000-10-01,1.8841975518676799
2001-01-01,1.0270079372887699
2001-04-01,0.6233497193992400
2001-07-01,0.1644530636724710
2001-10-01,-0.5208377110037160
2002-01-01,-0.8036733563452900
2002-04-01,-0.6602135948762580
2002-07-01,-0.3334968398143800
2002-10-01,-0.3036055268597830
2003-01-01,0.7676806884157210
2003-04-01,0.4647170107263710
2003-07-01,0.7698073501667300
2003-10-01,1.3030950201701701
2004-01-01,2.7981341642455999
2004-04-01,3.2503714291511701
2004-07-01,2.8810608744174901
2004-10-01,2.6191241068062299
2005-01-01,0.7823465026410440
2005-04-01,0.8163122708318060
2005-07-01,1.8963857683216201
2005-10-01,2.0210167041220699
2006-01-01,1.7486126716120900
2006-04-01,2.4706378587119402
2006-07-01,1.2800163650169900
2006-10-01,0.3492526706695480
2007-01-01,1.3401137694352501
2007-04-01,-0.1722078965167410
2007-07-01,0.3869294205417340
2007-10-01,1.7280288282625800
2008-01-01,0.8360829356316219
2008-04-01,1.4615018571146601
2008-07-01,0.7342705408510070
2008-10-01,-0.7960305971325410
2009-01-01,-3.9620953774072598
2009-04-01,-3.5764219295170401
2009-07-01,-2.5661417158154398
2009-10-01,-1.3385558368104400
2010-01-01,2.5930123559210800
2010-04-01,2.0186357247124200
2010-07-01,1.4830846142246601
2010-10-01,1.7934396057066699
2011-01-01,1.6792525713024400
2011-04-01,1.1821776549278000
2011-07-01,0.7729290292831980
2011-10-01,-0.7498972079855740
2012-01-01,-1.3457733043329401
2012-04-01,-0.7368915953265390
2012-07-01,-0.7490023534226840
2012-10-01,-0.5407208274094640
2013-01-01,0.4565970927375550
2013-04-01,0.3172952022895530
2013-07-01,1.1523367386374801
2013-10-01,2.2334864313032998
2014-01-01,1.5309569231109501
2014-04-01,1.9361216193667901
2014-07-01,1.3576848274957400
2014-10-01,1.3880548599307001
2015-01-01,1.6335323776302799
2015-04-01,1.2160928466827701
2015-07-01,1.0603676814492999
2015-10-01,-0.0337860493306960
2016-01-01,0.4144996815858640
2016-04-01,0.0869315459989666
2016-07-01,0.7168603262788660
2016-10-01,1.3469315227449199
2017-01-01,0.5099512916479390
2017-04-01,1.0794819424558499
2017-07-01,0.4837259257945760
2017-10-01,0.2549123041040660
2018-01-01,0.0359983214265800
2018-04-01,-0.1641415096480380
2018-07-01,-0.7198775028448660
2018-10-01,-0.9145445647698200
2019-01-01,-0.5144088038807531
2019-04-01,-0.5599078690164220
2019-07-01,-0.1624079853132150
2019-10-01,0.1609858744432140
2020-01-01,-1.5521203980483700
2020-04-01,-7.5415565054185292
2020-07-01,-2.9213339118589299
2020-10-01,-2.4743344424266702
2021-01-01,0.4794999824547920
2021-04-01,8.6712477626502888
2021-07-01,4.2148593178047804
2021-10-01,3.6803315052914702
2022-01-01,1.6804098720998599
2022-04-01,0.7581628768633740
2022-07-01,-0.2366101101800550
2022-10-01,-0.2609572147689070
2023-01-01,-0.3942695053801560
2023-04-01,-1.6040596708190600
2023-07-01,-1.5567326203747500
