observation_date,ULQEUL01USQ661S
1960-01-01,18.3173017202230
1960-04-01,18.5876744991015
1960-07-01,18.5422083537741
1960-10-01,18.8123811329248
1961-01-01,18.7952413957012
1961-04-01,18.5951500052060
1961-07-01,18.5136385078818
1961-10-01,18.5513430253812
1962-01-01,18.6133933727288
1962-04-01,18.7366297001246
1962-07-01,18.5495536040495
1962-10-01,18.5986006149308
1963-01-01,18.6559493842420
1963-04-01,18.6812978138421
1963-07-01,18.5463248808282
1963-10-01,18.7500253703653
1964-01-01,18.6797809549326
1964-04-01,18.7912759587397
1964-07-01,18.8928798206533
1964-10-01,19.1116549625699
1965-01-01,18.9235477538831
1965-04-01,19.0763492662785
1965-07-01,18.9106065326344
1965-10-01,18.9678504496088
1966-01-01,19.0523269811376
1966-04-01,19.4379737502925
1966-07-01,19.6990062646334
1966-10-01,19.8555429630663
1967-01-01,19.6577857961236
1967-04-01,19.8929483571191
1967-07-01,20.0916117691662
1967-10-01,20.3887212705667
1968-01-01,20.5371663814919
1968-04-01,20.7256777240678
1968-07-01,21.0693631411716
1968-10-01,21.5053506145760
1969-01-01,21.5790503955819
1969-04-01,22.0717600019371
1969-07-01,22.5106960907111
1969-10-01,23.0015968121970
1970-01-01,23.4000472871093
1970-04-01,23.5650429282563
1970-07-01,23.6510522096605
1970-10-01,23.9825474259319
1971-01-01,24.0246808332080
1971-04-01,24.3330561182707
1971-07-01,24.4425176487033
1971-10-01,24.8737676715217
1972-01-01,25.3502633990968
1972-04-01,25.2103887562805
1972-07-01,25.4194737170955
1972-10-01,25.7610089486877
1973-01-01,25.9978456026848
1973-04-01,26.3016649000907
1973-07-01,27.0224526995106
1973-10-01,27.4043727386687
1974-01-01,28.1954378187837
1974-04-01,28.8176039766780
1974-07-01,29.8043741324504
1974-10-01,30.3434781112309
1975-01-01,30.9254416134481
1975-04-01,31.1289563931149
1975-07-01,31.3783609174703
1975-10-01,31.8782054539825
1976-01-01,32.0975750448734
1976-04-01,32.4592719612223
1976-07-01,32.9604483477287
1976-10-01,33.5414486808164
1977-01-01,34.0504254648064
1977-04-01,34.5577244519260
1977-07-01,34.8374234955051
1977-10-01,35.8452233535416
1978-01-01,36.7801573649637
1978-04-01,36.7380678562950
1978-07-01,37.3782936441360
1978-10-01,38.0587066237522
1979-01-01,39.2078705787214
1979-04-01,40.0502300473193
1979-07-01,40.9744505898755
1979-10-01,41.8576941176565
1980-01-01,42.8082456229793
1980-04-01,44.4267593578529
1980-07-01,45.3679642663230
1980-10-01,46.1807072887210
1981-01-01,46.6327501091593
1981-04-01,47.8633037682464
1981-07-01,48.3943562245540
1981-10-01,49.6682968344305
1982-01-01,51.1701406211390
1982-04-01,51.5564209490399
1982-07-01,52.2725646390200
1982-10-01,52.6501860007411
1983-01-01,52.7768416775053
1983-04-01,52.6726961804929
1983-07-01,52.6920528150376
1983-10-01,53.1048822286097
1984-01-01,53.4595405235118
1984-04-01,53.7632895268558
1984-07-01,54.2889562199687
1984-10-01,54.7372038830143
1985-01-01,55.1661016725530
1985-04-01,55.5847284704407
1985-07-01,55.6962556479555
1985-10-01,56.4086928930745
1986-01-01,56.5803255001165
1986-04-01,56.9410451007667
1986-07-01,57.3408889110540
1986-10-01,58.1508787949638
1987-01-01,58.6150999826150
1987-04-01,59.0157582135264
1987-07-01,59.4986890602877
1987-10-01,59.9731521001354
1988-01-01,60.6282117240842
1988-04-01,61.4269351959012
1988-07-01,62.0418936653487
1988-10-01,62.4648873518711
1989-01-01,62.6738749169041
1989-04-01,62.8938344165568
1989-07-01,63.2633094537654
1989-10-01,64.2028242817586
1990-01-01,64.6479993036246
1990-04-01,65.7230171931365
1990-07-01,66.4152355771805
1990-10-01,67.2945868732366
1991-01-01,67.7471209525500
1991-04-01,68.1227730133788
1991-07-01,68.5943058352485
1991-10-01,69.2894489201437
1992-01-01,69.7406835350370
1992-04-01,70.0208264236907
1992-07-01,70.0924800003939
1992-10-01,70.2939716504740
1993-01-01,70.4358211701502
1993-04-01,71.0835802222966
1993-07-01,71.2956790195869
1993-10-01,71.3131056985032
1994-01-01,71.2503447902203
1994-04-01,71.5928856161104
