observation_date,BSCICP03AUM665S
1983-09-01,100.72400
1983-10-01,100.66890
1983-11-01,100.64810
1983-12-01,100.72270
1984-01-01,100.82240
1984-02-01,100.83770
1984-03-01,100.68620
1984-04-01,100.46390
1984-05-01,100.29870
1984-06-01,100.27470
1984-07-01,100.29900
1984-08-01,100.23480
1984-09-01,99.98558
1984-10-01,99.66790
1984-11-01,99.45332
1984-12-01,99.47866
1985-01-01,99.65321
1985-02-01,99.86679
1985-03-01,100.04860
1985-04-01,100.18690
1985-05-01,100.27640
1985-06-01,100.30800
1985-07-01,100.30850
1985-08-01,100.29970
1985-09-01,100.28830
1985-10-01,100.26590
1985-11-01,100.20490
1985-12-01,100.06630
1986-01-01,99.84482
1986-02-01,99.51103
1986-03-01,99.03474
1986-04-01,98.52170
1986-05-01,98.11692
1986-06-01,97.94488
1986-07-01,97.94139
1986-08-01,98.05386
1986-09-01,98.27292
1986-10-01,98.54812
1986-11-01,98.84392
1986-12-01,99.13942
1987-01-01,99.40759
1987-02-01,99.61096
1987-03-01,99.72475
1987-04-01,99.82461
1987-05-01,100.00890
1987-06-01,100.33510
1987-07-01,100.67090
1987-08-01,100.81680
1987-09-01,100.61750
1987-10-01,100.26420
1987-11-01,100.01300
1987-12-01,100.05770
1988-01-01,100.30010
1988-02-01,100.61840
1988-03-01,100.93810
1988-04-01,101.22610
1988-05-01,101.45760
1988-06-01,101.61420
1988-07-01,101.73840
1988-08-01,101.87080
1988-09-01,102.01950
1988-10-01,102.12100
1988-11-01,102.05770
1988-12-01,101.72160
1989-01-01,101.24380
1989-02-01,100.78000
1989-03-01,100.43840
1989-04-01,100.19220
1989-05-01,100.00070
1989-06-01,99.83375
1989-07-01,99.64200
1989-08-01,99.36141
1989-09-01,98.94273
1989-10-01,98.46964
1989-11-01,98.05708
1989-12-01,97.80395
1990-01-01,97.68525
1990-02-01,97.68708
1990-03-01,97.80713
1990-04-01,97.93472
1990-05-01,97.92687
1990-06-01,97.67684
1990-07-01,97.31805
1990-08-01,97.02801
1990-09-01,96.94084
1990-10-01,96.99129
1990-11-01,97.10219
1990-12-01,97.23447
1991-01-01,97.37669
1991-02-01,97.53951
1991-03-01,97.74028
1991-04-01,97.96695
1991-05-01,98.20708
1991-06-01,98.45094
1991-07-01,98.68109
1991-08-01,98.86944
1991-09-01,98.98789
1991-10-01,99.06091
1991-11-01,99.10719
1991-12-01,99.12677
1992-01-01,99.11493
1992-02-01,99.05579
1992-03-01,98.94729
1992-04-01,98.87354
1992-05-01,98.96430
1992-06-01,99.31963
1992-07-01,99.77019
1992-08-01,100.08920
1992-09-01,100.10930
1992-10-01,99.97092
1992-11-01,99.86095
1992-12-01,99.91023
1993-01-01,100.06230
1993-02-01,100.22840
1993-03-01,100.33900
1993-04-01,100.38220
1993-05-01,100.34130
1993-06-01,100.20020
1993-07-01,100.03200
1993-08-01,99.93241
1993-09-01,99.97925
1993-10-01,100.12360
1993-11-01,100.31230
1993-12-01,100.51230
1994-01-01,100.69120
1994-02-01,100.81170
1994-03-01,100.84720
1994-04-01,100.85510
1994-05-01,100.90480
1994-06-01,101.03310
1994-07-01,101.15710
1994-08-01,101.14440
1994-09-01,100.88710
1994-10-01,100.51260
1994-11-01,100.17850
1994-12-01,99.98456
1995-01-01,99.84479
1995-02-01,99.62975
1995-03-01,99.25519
1995-04-01,98.84576
1995-05-01,98.59038
1995-06-01,98.63246
1995-07-01,98.80612
1995-08-01,98.89490
1995-09-01,98.75895
1995-10-01,98.54707
1995-11-01,98.48782
1995-12-01,98.75651
1996-01-01,99.18958
1996-02-01,99.56667
1996-03-01,99.72814
1996-04-01,99.74872
1996-05-01,99.72711
1996-06-01,99.71645
1996-07-01,99.69701
1996-08-01,99.61980
1996-09-01,99.45895
1996-10-01,99.32191
1996-11-01,99.37416
1996-12-01,99.74004
1997-01-01,100.21450
1997-02-01,100.51660
1997-03-01,100.43520
1997-04-01,100.14620
1997-05-01,99.87981
1997-06-01,99.79604
1997-07-01,99.83701
1997-08-01,99.91151
1997-09-01,99.95496
1997-10-01,99.95557
1997-11-01,99.90170
1997-12-01,99.77178
1998-01-01,99.57893
1998-02-01,99.32643
1998-03-01,99.02621
1998-04-01,98.77696
1998-05-01,98.73630
1998-06-01,99.04192
1998-07-01,99.52420
1998-08-01,99.97472
1998-09-01,100.23820
1998-10-01,100.33610
1998-11-01,100.28770
1998-12-01,100.09620
1999-01-01,99.88210
1999-02-01,99.79287
1999-03-01,99.93600
1999-04-01,100.18700
1999-05-01,100.38350
1999-06-01,100.41230
1999-07-01,100.35010
1999-08-01,100.30800
1999-09-01,100.36740
1999-10-01,100.49530
1999-11-01,100.63990
1999-12-01,100.75700
2000-01-01,100.82020
2000-02-01,100.78870
2000-03-01,100.62760
2000-04-01,100.42470
2000-05-01,100.28350
2000-06-01,100.25980
2000-07-01,100.23480
2000-08-01,100.02380
2000-09-01,99.48524
2000-10-01,98.81649
2000-11-01,98.29034
2000-12-01,98.12225
2001-01-01,98.19483
2001-02-01,98.38062
2001-03-01,98.62419
2001-04-01,98.91112
2001-05-01,99.26345
2001-06-01,99.69193
2001-07-01,100.08270
2001-08-01,100.26110
2001-09-01,100.09320
2001-10-01,99.79942
2001-11-01,99.67280
2001-12-01,99.92232
2002-01-01,100.34970
2002-02-01,100.67630
2002-03-01,100.69270
2002-04-01,100.50850
2002-05-01,100.26880
2002-06-01,100.07110
2002-07-01,99.93804
2002-08-01,99.88802
2002-09-01,99.94204
2002-10-01,100.04710
2002-11-01,100.14850
2002-12-01,100.21190
2003-01-01,100.24800
2003-02-01,100.27730
2003-03-01,100.32250
2003-04-01,100.40710
2003-05-01,100.56610
2003-06-01,100.81840
2003-07-01,101.06340
2003-08-01,101.15260
2003-09-01,100.96760
2003-10-01,100.65520
2003-11-01,100.40350
2003-12-01,100.34730
2004-01-01,100.41140
2004-02-01,100.49370
2004-03-01,100.52780
2004-04-01,100.52660
2004-05-01,100.52080
2004-06-01,100.53160
2004-07-01,100.54820
2004-08-01,100.54580
2004-09-01,100.49620
2004-10-01,100.39920
2004-11-01,100.24730
2004-12-01,100.03870
2005-01-01,99.84445
2005-02-01,99.76394
2005-03-01,99.86615
2005-04-01,100.01690
2005-05-01,100.02990
2005-06-01,99.76884
2005-07-01,99.38815
2005-08-01,99.10123
2005-09-01,99.06920
2005-10-01,99.19541
2005-11-01,99.35448
2005-12-01,99.46291
2006-01-01,99.51695
2006-02-01,99.52640
2006-03-01,99.50267
2006-04-01,99.49162
2006-05-01,99.55503
2006-06-01,99.73948
2006-07-01,99.97074
2006-08-01,100.15060
2006-09-01,100.20700
2006-10-01,100.19520
2006-11-01,100.18530
2006-12-01,100.21800
2007-01-01,100.25780
2007-02-01,100.24500
2007-03-01,100.14040
2007-04-01,100.02180
2007-05-01,100.00650
2007-06-01,100.18700
2007-07-01,100.46300
2007-08-01,100.69860
2007-09-01,100.78420
2007-10-01,100.73810
2007-11-01,100.56480
2007-12-01,100.24460
2008-01-01,99.85101
2008-02-01,99.46268
2008-03-01,99.14948
2008-04-01,98.95273
2008-05-01,98.94538
2008-06-01,99.17558
2008-07-01,99.42080
2008-08-01,99.36561
2008-09-01,98.76421
2008-10-01,97.90356
2008-11-01,97.16402
2008-12-01,96.83918
2009-01-01,96.83472
2009-02-01,97.06350
2009-03-01,97.52038
2009-04-01,98.12376
2009-05-01,98.83533
2009-06-01,99.63333
2009-07-01,100.37760
2009-08-01,100.85550
2009-09-01,100.88140
2009-10-01,100.66270
2009-11-01,100.43620
2009-12-01,100.34970
2010-01-01,100.35070
2010-02-01,100.34300
2010-03-01,100.25620
2010-04-01,100.12410
2010-05-01,100.00190
2010-06-01,99.93050
2010-07-01,99.88917
2010-08-01,99.85320
2010-09-01,99.82114
2010-10-01,99.83669
2010-11-01,99.97859
2010-12-01,100.30280
2011-01-01,100.65860
2011-02-01,100.82800
2011-03-01,100.63500
2011-04-01,100.23910
2011-05-01,99.83723
2011-06-01,99.56639
2011-07-01,99.41399
2011-08-01,99.36174
2011-09-01,99.41164
2011-10-01,99.51156
