observation_date,EA19B6BLTT02STSAQ
1999-01-01,-0.35330033629900498
1999-04-01,0.11249895813433600
1999-07-01,-0.75107961654670796
1999-10-01,-1.14732956468483005
2000-01-01,-1.12259597265513000
2000-04-01,-1.33932240488668008
2000-07-01,-1.73009748892150994
2000-10-01,-1.71314583168187995
2001-01-01,-0.76559460250132705
2001-04-01,-0.79224850238169897
2001-07-01,-0.22646529412144800
2001-10-01,0.21892365551679499
2002-01-01,0.91431925471324305
2002-04-01,0.14174864710271001
2002-07-01,0.89170867711016000
2002-10-01,0.50459753386452599
2003-01-01,0.21176199451861499
2003-04-01,-0.11092602262508899
2003-07-01,0.30597390151840798
2003-10-01,0.55763641675264297
2004-01-01,0.91026934352368805
2004-04-01,0.67217146662482197
2004-07-01,0.40708722473040199
2004-10-01,0.69643114045146004
2005-01-01,0.18366058247932701
2005-04-01,0.22275669964028799
2005-07-01,-0.01568245412909980
2005-10-01,-0.12815682486574101
2006-01-01,-0.32038679818712001
2006-04-01,-0.20355949944673599
2006-07-01,-0.18611236429935399
2006-10-01,0.05334064360355960
2007-01-01,0.37143135323235899
2007-04-01,0.38933458685811001
2007-07-01,0.16870390518274700
2007-10-01,-0.73421805168368903
2008-01-01,-1.86084061771147002
2008-04-01,-1.31388143750790998
2008-07-01,-1.80926971964712990
2008-10-01,-2.48600885887963985
2009-01-01,-0.81240055257892396
2009-04-01,-0.39842018978971200
2009-07-01,0.20229858114124000
2009-10-01,-0.29702352327669701
2010-01-01,-0.17909078118962299
2010-04-01,-0.40558764210885201
2010-07-01,-0.32406230232501698
2010-10-01,-0.51783121295136403
2011-01-01,-0.75686147400570203
2011-04-01,-0.26057893376719499
2011-07-01,-0.46103436107975798
2011-10-01,0.00490704240842770
2012-01-01,0.21781685938112599
2012-04-01,1.13033424016209993
2012-07-01,1.21283990209087000
2012-10-01,1.30148653024419003
2013-01-01,2.04655256407054020
2013-04-01,2.15291228797853984
2013-07-01,1.74048969950547994
2013-10-01,2.34254907499304998
2014-01-01,2.27541299045444978
2014-04-01,1.79328006238280002
2014-07-01,2.31026717635776002
2014-10-01,2.98078773149901011
2015-01-01,3.23529524359279996
2015-04-01,1.85353935252868007
2015-07-01,2.88673196461967008
2015-10-01,2.85731933155696005
2016-01-01,2.95121036057006991
2016-04-01,3.27240118516081013
2016-07-01,2.83304388885506997
2016-10-01,3.00035669574371999
2017-01-01,2.98145952414378979
2017-04-01,1.61600497568468993
2017-07-01,3.82632933246949980
2017-10-01,3.98827523571695997
2018-01-01,3.25500146535530011
2018-04-01,3.12382303108384995
2018-07-01,2.63946775571604997
2018-10-01,2.60509958366370009
2019-01-01,3.24339274423007007
2019-04-01,1.51026085944474997
2019-07-01,2.96436047661214985
2019-10-01,1.67391667562562008
2020-01-01,0.33060773860348303
2020-04-01,1.07003247373483990
2020-07-01,1.93706466164753999
2020-10-01,2.96208113339478984
2021-01-01,3.23690608223507015
2021-04-01,2.83979607025053982
2021-07-01,2.08939305119125018
2021-10-01,1.03963235311827007
2022-01-01,0.34482934514036800
2022-04-01,-1.17905238215863006
2022-07-01,-3.14244984497773983
2022-10-01,0.81316435228321804
