observation_date,BSCICP03FRM665S
1975-12-01,102.33250
1976-01-01,101.95990
1976-02-01,101.67430
1976-03-01,101.85060
1976-04-01,102.23310
1976-05-01,102.39080
1976-06-01,102.42260
1976-07-01,102.22780
1976-08-01,101.81760
1976-09-01,101.22340
1976-10-01,100.61880
1976-11-01,100.22720
1976-12-01,100.06580
1977-01-01,99.87852
1977-02-01,99.58429
1977-03-01,99.12067
1977-04-01,98.68124
1977-05-01,98.43470
1977-06-01,98.27650
1977-07-01,98.19060
1977-08-01,98.12054
1977-09-01,98.05535
1977-10-01,97.98432
1977-11-01,97.96229
1977-12-01,98.12386
1978-01-01,98.41833
1978-02-01,98.90720
1978-03-01,99.41291
1978-04-01,99.71787
1978-05-01,99.91837
1978-06-01,100.06300
1978-07-01,100.29570
1978-08-01,100.54000
1978-09-01,100.72440
1978-10-01,100.82580
1978-11-01,100.85690
1978-12-01,100.76500
1979-01-01,100.62930
1979-02-01,100.58090
1979-03-01,100.71020
1979-04-01,100.94280
1979-05-01,101.19760
1979-06-01,101.49820
1979-07-01,101.66140
1979-08-01,101.68390
1979-09-01,101.63660
1979-10-01,101.64130
1979-11-01,101.57460
1979-12-01,101.35030
1980-01-01,101.10130
1980-02-01,100.77270
1980-03-01,100.37100
1980-04-01,99.89170
1980-05-01,99.32079
1980-06-01,98.71316
1980-07-01,98.13259
1980-08-01,97.62833
1980-09-01,97.24298
1980-10-01,96.94432
1980-11-01,96.83862
1980-12-01,97.01020
1981-01-01,96.99615
1981-02-01,96.93351
1981-03-01,96.88559
1981-04-01,96.96131
1981-05-01,97.19118
1981-06-01,97.50836
1981-07-01,97.91936
1981-08-01,98.35886
1981-09-01,98.79452
1981-10-01,99.13142
1981-11-01,99.29217
1981-12-01,99.28069
1982-01-01,99.19342
1982-02-01,99.17400
1982-03-01,99.32861
1982-04-01,99.45831
1982-05-01,99.42015
1982-06-01,99.16952
1982-07-01,98.79826
1982-08-01,98.44141
1982-09-01,98.30457
1982-10-01,98.33298
1982-11-01,98.52026
1982-12-01,98.70812
1983-01-01,98.79969
1983-02-01,98.62837
1983-03-01,98.21019
1983-04-01,97.68642
1983-05-01,97.28271
1983-06-01,97.02977
1983-07-01,97.05195
1983-08-01,97.30431
1983-09-01,97.72243
1983-10-01,97.91327
1983-11-01,97.99738
1983-12-01,98.01753
1984-01-01,98.02644
1984-02-01,98.12341
1984-03-01,98.27351
1984-04-01,98.43922
1984-05-01,98.54560
1984-06-01,98.65841
1984-07-01,98.76257
1984-08-01,98.76457
1984-09-01,98.61694
1984-10-01,98.37304
1984-11-01,98.10596
1984-12-01,97.86536
1985-01-01,97.77247
1985-02-01,97.91174
1985-03-01,98.04543
1985-04-01,98.16207
1985-05-01,98.23969
1985-06-01,98.36983
1985-07-01,98.45645
1985-08-01,98.54999
1985-09-01,98.70921
1985-10-01,98.92481
1985-11-01,99.06342
1985-12-01,99.04742
1986-01-01,98.95710
1986-02-01,99.14981
1986-03-01,99.38737
1986-04-01,99.43436
1986-05-01,99.31915
1986-06-01,99.20092
1986-07-01,99.31302
1986-08-01,99.53089
1986-09-01,99.63828
1986-10-01,99.50481
1986-11-01,99.35693
1986-12-01,99.29229
1987-01-01,99.30737
1987-02-01,99.37924
1987-03-01,99.62243
1987-04-01,99.89037
1987-05-01,99.92771
1987-06-01,99.94485
1987-07-01,100.13360
1987-08-01,100.44370
1987-09-01,100.80660
1987-10-01,101.13530
1987-11-01,101.27020
1987-12-01,101.33900
1988-01-01,101.32900
1988-02-01,101.34520
1988-03-01,101.43080
1988-04-01,101.58600
1988-05-01,101.71640
1988-06-01,101.95910
1988-07-01,102.36370
1988-08-01,102.68350
1988-09-01,102.96810
1988-10-01,103.26150
1988-11-01,103.28210
1988-12-01,103.23070
1989-01-01,103.13310
1989-02-01,103.06370
1989-03-01,102.93330
1989-04-01,102.86840
1989-05-01,102.94610
1989-06-01,103.12100
1989-07-01,103.13090
1989-08-01,102.95760
1989-09-01,102.73140
1989-10-01,102.54300
1989-11-01,102.37750
1989-12-01,102.02800
1990-01-01,101.72480
1990-02-01,101.50500
1990-03-01,101.27550
1990-04-01,101.04910
1990-05-01,100.98560
1990-06-01,100.96440
1990-07-01,100.78580
1990-08-01,100.27810
1990-09-01,99.63061
1990-10-01,99.07670
1990-11-01,98.73254
1990-12-01,98.56670
1991-01-01,98.43465
1991-02-01,98.14154
