observation_date,ULQEUL01AUQ661S
1976-07-01,22.4840088370157
1976-10-01,22.9726374311846
1977-01-01,23.4456627425722
1977-04-01,23.9787253740060
1977-07-01,24.4340302147004
1977-10-01,25.1992264566398
1978-01-01,25.7012131530047
1978-04-01,25.7020226806029
1978-07-01,25.7983651212184
1978-10-01,25.8944018759164
1979-01-01,26.4226543959090
1979-04-01,27.0521204177645
1979-07-01,27.5182267774621
1979-10-01,27.7956862854818
1980-01-01,28.6064353354870
1980-04-01,29.4892737256299
1980-07-01,30.5683039728092
1980-10-01,31.1633828269647
1981-01-01,32.0918950441418
1981-04-01,33.0105834016760
1981-07-01,33.1325872527883
1981-10-01,34.3674683457098
1982-01-01,36.5011274517652
1982-04-01,37.6044646443543
1982-07-01,39.5298808544318
1982-10-01,40.3393327489939
1983-01-01,40.7690706684118
1983-04-01,39.8943788167270
1983-07-01,40.0415867476971
1983-10-01,40.3092931914540
1984-01-01,40.8629847511226
1984-04-01,41.6848995582080
1984-07-01,42.2415466111056
1984-10-01,42.1133676809989
1985-01-01,42.1198074026244
1985-04-01,42.5370262807297
1985-07-01,42.7490845349584
1985-10-01,44.2558881646975
1986-01-01,45.4971825142565
1986-04-01,46.3398461492844
1986-07-01,47.4676589694581
1986-10-01,47.2239056358563
1987-01-01,47.4788078641735
1987-04-01,47.7543780782332
1987-07-01,48.4912527489233
1987-10-01,48.3538610955669
1988-01-01,49.2430483474845
1988-04-01,50.7268960715263
1988-07-01,50.9311137150566
1988-10-01,52.4720226049168
1989-01-01,53.8422739746143
1989-04-01,54.1304680709127
1989-07-01,55.0647823639890
1989-10-01,56.1750189710262
1990-01-01,57.4453213936924
1990-04-01,58.8656279292330
1990-07-01,59.9592534786455
1990-10-01,59.1889195602572
1991-01-01,59.8630335709625
1991-04-01,59.6373900314602
1991-07-01,59.8200258455474
1991-10-01,60.6772348739598
1992-01-01,60.3875808921736
1992-04-01,60.5960003904305
1992-07-01,61.0425909976831
1992-10-01,60.2107471730205
1993-01-01,60.2594555178944
1993-04-01,60.6777968272391
1993-07-01,60.4837541840601
1993-10-01,60.1680306464815
1994-01-01,60.7356804070389
1994-04-01,61.3915175871851
1994-07-01,60.6757233099801
1994-10-01,60.7301508362913
1995-01-01,62.3157028700695
1995-04-01,62.6317239195385
1995-07-01,62.6789360886420
1995-10-01,64.1589974530757
1996-01-01,63.8076256014119
