month,GPRC_ARG,GPRC_AUS,GPRC_BEL,GPRC_BRA,GPRC_CAN,GPRC_CHE,GPRC_CHL,GPRC_CHN,GPRC_COL,GPRC_DEU,GPRC_DNK,GPRC_EGY,GPRC_ESP,GPRC_FIN,GPRC_FRA,GPRC_GBR,GPRC_HKG,GPRC_HUN,GPRC_IDN,GPRC_IND,GPRC_ISR,GPRC_ITA,GPRC_JPN,GPRC_KOR,GPRC_MEX,GPRC_MYS,GPRC_NLD,GPRC_NOR,GPRC_PER,GPRC_PHL,GPRC_POL,GPRC_PRT,GPRC_RUS,GPRC_SAU,GPRC_SWE,GPRC_THA,GPRC_TUN,GPRC_TUR,GPRC_TWN,GPRC_UKR,GPRC_USA,GPRC_VEN,GPRC_VNM,GPRC_ZAF
1985-01-01 00:00:00+00:00,0.09495856612920761,0.06042817607522011,0.16401933133602142,0.05179557949304581,0.40573203563690186,0.11222375929355621,0.025897789746522903,0.28487569093704224,0.034530386328697205,0.26761049032211304,0.017265193164348602,0.07769337296485901,0.07769337296485901,0.09495856612920761,0.37120166420936584,0.5006905794143677,0.008632596582174301,0.06042817607522011,0.008632596582174301,0.17265193164348602,0.36256906390190125,0.07769337296485901,0.12948894500732422,0.10359115898609161,0.06906077265739441,0.008632596582174301,0.11222375929355621,0.07769337296485901,0.043162982910871506,0.034530386328697205,0.09495856612920761,0.06042817607522011,1.4071133136749268,0.05179557949304581,0.07769337296485901,0.25034528970718384,0.008632596582174301,0.05179557949304581,0.025897789746522903,0.008632596582174301,2.5725138187408447,0.008632596582174301,0.36256906390190125,0.16401933133602142
1985-02-01 00:00:00+00:00,0.02772899530827999,0.35123392939567566,0.17561696469783783,0.01848599687218666,0.45290693640708923,0.05545799061655998,0.06470099091529846,0.17561696469783783,0.05545799061655998,0.49912190437316895,0.03697199374437332,0.11091598123311996,0.092429980635643,0.05545799061655998,0.5730658769607544,0.545336902141571,0.0462149903178215,0.00924299843609333,0.05545799061655998,0.11091598123311996,0.6285238862037659,0.17561696469783783,0.24956095218658447,0.12015897780656815,0.092429980635643,0.0462149903178215,0.092429980635643,0.05545799061655998,0.06470099091529846,0.092429980635643,0.17561696469783783,0.10167298465967178,1.3679637908935547,0.12015897780656815,0.10167298465967178,0.15713097155094147,0.02772899530827999,0.01848599687218666,0.00924299843609333,0.00924299843609333,2.856086492538452,0.0462149903178215,0.30501896142959595,0.08318698406219482
1985-03-01 00:00:00+00:00,0.0813603475689888,0.1220405176281929,0.17085672914981842,0.02440810389816761,0.5939305424690247,0.2034008651971817,0.08949638158082962,0.11390448361635208,0.05695224180817604,0.3254413902759552,0.05695224180817604,0.17085672914981842,0.13017655909061432,0.0406801737844944,0.3579855263233185,0.6346107125282288,0.02440810389816761,0.01627206988632679,0.01627206988632679,0.2522170841693878,0.5613864064216614,0.18712879717350006,0.19526483118534088,0.05695224180817604,0.11390448361635208,0.008136034943163395,0.07322431355714798,0.01627206988632679,0.07322431355714798,0.02440810389816761,0.06508827954530716,0.07322431355714798,1.5051664113998413,0.05695224180817604,0.01627206988632679,0.14644862711429596,0.0406801737844944,0.23594500124454498,0.0,0.03254413977265358,2.945244550704956,0.0406801737844944,0.2847612202167511,0.14644862711429596
1985-04-01 00:00:00+00:00,0.031210986897349358,0.07022471725940704,0.07802746444940567,0.031210986897349358,0.3433208465576172,0.02340823970735073,0.04681647941470146,0.19506865739822388,0.1404494345188141,0.3433208465576172,0.0,0.12484394758939743,0.10143570601940155,0.007802746724337339,0.21067415177822113,0.2574906349182129,0.015605493448674679,0.04681647941470146,0.031210986897349358,0.16385768353939056,0.42134830355644226,0.1170412003993988,0.13264669477939606,0.07022471725940704,0.16385768353939056,0.0,0.05461922660470009,0.04681647941470146,0.07802746444940567,0.04681647941470146,0.1170412003993988,0.007802746724337339,0.9051185846328735,0.10143570601940155,0.031210986897349358,0.05461922660470009,0.0,0.1170412003993988,0.02340823970735073,0.031210986897349358,1.9975031614303589,0.12484394758939743,0.18726591765880585,0.1404494345188141
1985-05-01 00:00:00+00:00,0.07219695299863815,0.04331817105412483,0.10107573121786118,0.07219695299863815,0.42596203088760376,0.05775756388902664,0.05053786560893059,0.1299545168876648,0.08663634210824966,0.5270377397537231,0.03609847649931908,0.04331817105412483,0.1299545168876648,0.07941664755344391,0.4837195873260498,0.34654536843299866,0.00721969548612833,0.00721969548612833,0.00721969548612833,0.24546964466571808,0.41152262687683105,0.18771207332611084,0.16605299711227417,0.07941664755344391,0.16605299711227417,0.00721969548612833,0.03609847649931908,0.05053786560893059,0.04331817105412483,0.02887878194451332,0.1299545168876648,0.05775756388902664,1.1623709201812744,0.09385603666305542,0.07941664755344391,0.0649772584438324,0.021659085527062416,0.021659085527062416,0.01443939097225666,0.01443939097225666,2.389719247817993,0.10829543322324753,0.17327268421649933,0.15883329510688782
1985-06-01 00:00:00+00:00,0.023082248866558075,0.030776333063840866,0.0923289954662323,0.03847041726112366,0.5001153945922852,0.23082250356674194,0.03847041726112366,0.11541125178337097,0.06155266612768173,0.40778639912605286,0.023082248866558075,0.20004616677761078,0.1769639104604721,0.14618758857250214,0.6770793199539185,0.5924444198608398,0.0076940832659602165,0.023082248866558075,0.0076940832659602165,0.5231976509094238,1.3849350214004517,0.5693621635437012,0.23082250356674194,0.11541125178337097,0.1769639104604721,0.015388166531920433,0.06155266612768173,0.04616449773311615,0.030776333063840866,0.03847041726112366,0.10002308338880539,0.06155266612768173,1.2387473583221436,0.0923289954662323,0.06924674659967422,0.023082248866558075,0.04616449773311615,0.06924674659967422,0.015388166531920433,0.0076940832659602165,3.8085711002349854,0.04616449773311615,0.13079941272735596,0.2615988254547119
1985-07-01 00:00:00+00:00,0.02552757039666176,0.15316541492938995,0.07658270746469498,0.05956432968378067,0.5190606117248535,0.05956432968378067,0.02552757039666176,0.15316541492938995,0.017018379643559456,0.47651463747024536,0.06807351857423782,0.10211028158664703,0.18720218539237976,0.05105514079332352,0.510551393032074,0.748808741569519,0.008509189821779728,0.02552757039666176,0.02552757039666176,0.5871341228485107,0.9275016784667969,0.3233492076396942,0.3233492076396942,0.21272975206375122,0.05105514079332352,0.042545948177576065,0.05956432968378067,0.02552757039666176,0.03403675928711891,0.11061947047710419,0.05956432968378067,0.07658270746469498,1.0806671380996704,0.1276378482580185,0.06807351857423782,0.06807351857423782,0.02552757039666176,0.1276378482580185,0.017018379643559456,0.008509189821779728,3.114363431930542,0.02552757039666176,0.18720218539237976,0.39142274856567383
1985-08-01 00:00:00+00:00,0.050331346690654755,0.12582837045192719,0.06710846722126007,0.05871990695595741,0.41942790150642395,0.10066269338130951,0.025165673345327377,0.13421693444252014,0.033554233610630035,0.16777116060256958,0.008388558402657509,0.05871990695595741,0.11743981391191483,0.033554233610630035,0.4110393524169922,0.41942790150642395,0.025165673345327377,0.016777116805315018,0.008388558402657509,0.4278164505958557,0.29359951615333557,0.033554233610630035,0.16777116060256958,0.050331346690654755,0.050331346690654755,0.016777116805315018,0.050331346690654755,0.025165673345327377,0.050331346690654755,0.05871990695595741,0.033554233610630035,0.05871990695595741,0.7298045754432678,0.033554233610630035,0.050331346690654755,0.06710846722126007,0.033554233610630035,0.041942790150642395,0.033554233610630035,0.016777116805315018,1.8287056684494019,0.016777116805315018,0.12582837045192719,0.4110393524169922
1985-09-01 00:00:00+00:00,0.0396951399743557,0.14290250837802887,0.04763416945934296,0.0793902799487114,0.3096221089363098,0.02381708472967148,0.007939028553664684,0.11114639788866043,0.03175611421465874,0.28580501675605774,0.07145125418901443,0.08732931315898895,0.11908542364835739,0.01587805710732937,0.4684026539325714,0.5636709928512573,0.03175611421465874,0.02381708472967148,0.01587805710732937,0.32550016045570374,0.28580501675605774,0.15084153413772583,0.2540489137172699,0.0793902799487114,0.16671960055828094,0.01587805710732937,0.10320736467838287,0.055573198944330215,0.055573198944330215,0.02381708472967148,0.055573198944330215,0.09526833891868591,0.8891711831092834,0.09526833891868591,0.04763416945934296,0.055573198944330215,0.0,0.0396951399743557,0.0396951399743557,0.0,2.4928548336029053,0.01587805710732937,0.1349634826183319,0.6113051772117615
1985-10-01 00:00:00+00:00,0.05970149114727974,0.13432836532592773,0.14179104566574097,0.06716418266296387,0.26119402050971985,0.1268656700849533,0.03731343150138855,0.11940298229455948,0.0,0.35820895433425903,0.02985074557363987,0.7164179086685181,0.08208955079317093,0.03731343150138855,0.5373134613037109,0.6865671873092651,0.014925372786819935,0.02238805964589119,0.0,0.16417910158634186,1.1567164659500122,0.7313432693481445,0.18656715750694275,0.08208955079317093,0.06716418266296387,0.007462686393409967,0.13432836532592773,0.0746268630027771,0.03731343150138855,0.14179104566574097,0.11194030195474625,0.0746268630027771,1.2388060092926025,0.10447761416435242,0.03731343150138855,0.03731343150138855,0.6791045069694519,0.06716418266296387,0.02985074557363987,0.014925372786819935,2.8208954334259033,0.014925372786819935,0.14179104566574097,0.3283582031726837
