known_date,report_date,AUD_lev_net,CAD_lev_net,CHF_lev_net,DX_lev_net,EUR_lev_net,GBP_lev_net,JPY_lev_net,NZD_lev_net,AUD_lev_net_oi,CAD_lev_net_oi,CHF_lev_net_oi,DX_lev_net_oi,EUR_lev_net_oi,GBP_lev_net_oi,JPY_lev_net_oi,NZD_lev_net_oi,AUD_am_net,CAD_am_net,CHF_am_net,DX_am_net,EUR_am_net,GBP_am_net,JPY_am_net,NZD_am_net,AUD_am_net_oi,CAD_am_net_oi,CHF_am_net_oi,DX_am_net_oi,EUR_am_net_oi,GBP_am_net_oi,JPY_am_net_oi,NZD_am_net_oi,AUD_oi,CAD_oi,CHF_oi,DX_oi,EUR_oi,GBP_oi,JPY_oi,NZD_oi,AUD_nc_net,CAD_nc_net,CHF_nc_net,DX_nc_net,EUR_nc_net,GBP_nc_net,JPY_nc_net,NZD_nc_net,AUD_nc_net_oi,CAD_nc_net_oi,CHF_nc_net_oi,DX_nc_net_oi,EUR_nc_net_oi,GBP_nc_net_oi,JPY_nc_net_oi,NZD_nc_net_oi
1986-01-18 00:00:00+00:00,1986-01-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7975.0,7145.0,,-54.0,,6953.0,,,-0.5081883642388326,0.28265685576390537,,-0.048868778280542986,,0.29929835134088073,
1986-02-03 00:00:00+00:00,1986-01-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8988.0,9704.0,,55.0,,13178.0,,,-0.4750026424268048,0.3299333605331157,,0.03824756606397774,,0.41529055842682466,
1986-02-17 00:00:00+00:00,1986-02-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-803.0,9400.0,,35.0,,10317.0,,,-0.05776562837205956,0.2773352215731398,,0.027365129007036748,,0.2994601184256357,
1986-03-03 00:00:00+00:00,1986-02-28 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2209.0,4472.0,,0.0,,10081.0,,,-0.14653399668325043,0.11422441316952313,,0.0,,0.29832504734848486,
1986-03-17 00:00:00+00:00,1986-03-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-372.0,6096.0,,37.0,,14621.0,,,-0.026319513230507994,0.19108519842016175,,0.03616813294232649,,0.3089683445331981,
1986-04-03 00:00:00+00:00,1986-03-31 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,3732.0,,,,14669.0,,,0.07837505129257284,0.13085095193015672,,,,0.46858329340360966,
1986-04-18 00:00:00+00:00,1986-04-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.0,-164.0,,,,6493.0,,,0.07056359828826368,-0.005677490826005677,,,,0.22630790143250495,
1986-05-03 00:00:00+00:00,1986-04-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.0,7947.0,,,,17991.0,,,0.1351865398683248,0.22800172141730024,,,,0.4691509335558569,
1986-05-18 00:00:00+00:00,1986-05-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.0,4006.0,,,,11251.0,,,0.0748982170433806,0.11735067522043531,,,,0.2716123892523477,
1986-06-02 00:00:00+00:00,1986-05-30 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108.0,-4302.0,,,,14331.0,,,0.14074914869466515,-0.13982968211662225,,,,0.37356306858170635,
