observation_date,GBRPROINDMISMEI
1965-09-01,50.76356
1965-10-01,51.07952
1965-11-01,51.39547
1965-12-01,51.71143
1966-01-01,51.92207
1966-02-01,51.92207
1966-03-01,51.92207
1966-04-01,51.81675
1966-05-01,51.81675
1966-06-01,52.02738
1966-07-01,52.23802
1966-08-01,52.13270
1966-09-01,51.60611
1966-10-01,50.97420
1966-11-01,50.55292
1966-12-01,50.55292
1967-01-01,50.97420
1967-02-01,51.39547
1967-03-01,51.81675
1967-04-01,51.92207
1967-05-01,51.92207
1967-06-01,51.81675
1967-07-01,51.71143
1967-08-01,51.71143
1967-09-01,51.92207
1967-10-01,52.34334
1967-11-01,52.97525
1967-12-01,53.81780
1968-01-01,54.34439
1968-02-01,55.08162
1968-03-01,55.50290
1968-04-01,55.29226
1968-05-01,55.92417
1968-06-01,56.02949
1968-07-01,56.02949
1968-08-01,56.34544
1968-09-01,56.24013
1968-10-01,55.92417
1968-11-01,56.24013
1968-12-01,56.87204
1969-01-01,56.97736
1969-02-01,57.29331
1969-03-01,57.18799
1969-04-01,58.13586
1969-05-01,58.13586
1969-06-01,58.55714
1969-07-01,58.34650
1969-08-01,57.50395
1969-09-01,57.60927
1969-10-01,56.66140
1969-11-01,57.81990
1969-12-01,58.34650
1970-01-01,56.87204
1970-02-01,57.92522
1970-03-01,58.55714
1970-04-01,58.24118
1970-05-01,57.71459
1970-06-01,57.81990
1970-07-01,58.13586
1970-08-01,58.13586
1970-09-01,57.92522
1970-10-01,58.76777
1970-11-01,57.81990
1970-12-01,58.45182
1971-01-01,58.76777
1971-02-01,57.60927
1971-03-01,56.87204
1971-04-01,57.71459
1971-05-01,58.03054
1971-06-01,57.81990
1971-07-01,57.60927
1971-08-01,57.92522
1971-09-01,57.39863
1971-10-01,57.50395
1971-11-01,57.39863
1971-12-01,57.71459
1972-01-01,56.13481
1972-02-01,51.60611
1972-03-01,56.66140
1972-04-01,58.13586
1972-05-01,59.18905
1972-06-01,59.50500
1972-07-01,58.87309
1972-08-01,59.39968
1972-09-01,60.34755
1972-10-01,61.08478
1972-11-01,61.61137
1972-12-01,62.03265
1973-01-01,63.92838
1973-02-01,63.40179
1973-03-01,64.13902
1973-04-01,63.50711
1973-05-01,63.50711
1973-06-01,64.66561
1973-07-01,64.34966
1973-08-01,64.34966
1973-09-01,64.13902
1973-10-01,64.66561
1973-11-01,64.03370
1973-12-01,63.40179
1974-01-01,58.87309
1974-02-01,58.87309
1974-03-01,60.87415
1974-04-01,64.13902
1974-05-01,64.77094
1974-06-01,65.08689
1974-07-01,64.77094
1974-08-01,64.98157
1974-09-01,63.92838
1974-10-01,62.55924
1974-11-01,62.45392
1974-12-01,61.50605
1975-01-01,61.92733
1975-02-01,61.61137
1975-03-01,60.34755
1975-04-01,59.29436
1975-05-01,58.45182
1975-06-01,58.87309
1975-07-01,58.13586
1975-08-01,57.39863
1975-09-01,58.45182
1975-10-01,59.08373
1975-11-01,59.18905
1975-12-01,58.87309
1976-01-01,59.29436
1976-02-01,60.03160
1976-03-01,60.24223
1976-04-01,60.76883
1976-05-01,61.61137
1976-06-01,60.45287
1976-07-01,60.66351
1976-08-01,60.55819
1976-09-01,61.61137
1976-10-01,62.87520
1976-11-01,63.40179
1976-12-01,63.82306
1977-01-01,64.98157
1977-02-01,64.77094
1977-03-01,64.77094
1977-04-01,64.24434
1977-05-01,65.92944
1977-06-01,63.29647
1977-07-01,63.61243
1977-08-01,64.24434
1977-09-01,64.34966
1977-10-01,64.24434
1977-11-01,63.71775
1977-12-01,64.87625
1978-01-01,64.77094
1978-02-01,64.77094
1978-03-01,64.13902
1978-04-01,68.03580
1978-05-01,65.71880
1978-06-01,65.71880
1978-07-01,66.77199
1978-08-01,67.19326
1978-09-01,67.19326
1978-10-01,65.92944
1978-11-01,66.35071
1978-12-01,68.45708
1979-01-01,63.71775
1979-02-01,68.45708
1979-03-01,69.40495
1979-04-01,69.29963
1979-05-01,70.24750
1979-06-01,71.40601
1979-07-01,70.56345
1979-08-01,68.14113
1979-09-01,67.93049
1979-10-01,68.14113
1979-11-01,69.08900
1979-12-01,69.51027
1980-01-01,68.98367
1980-02-01,67.40390
1980-03-01,66.98262
1980-04-01,65.08689
1980-05-01,65.19221
1980-06-01,65.29752
1980-07-01,63.92838
1980-08-01,62.87520
1980-09-01,61.71669
1980-10-01,61.61137
1980-11-01,61.61137
1980-12-01,61.19010
1981-01-01,61.08478
1981-02-01,61.61137
1981-03-01,61.61137
1981-04-01,61.82201
1981-05-01,60.97946
1981-06-01,62.24329
1981-07-01,62.45392
1981-08-01,62.66456
1981-09-01,62.76988
1981-10-01,64.24434
1981-11-01,63.40179
1981-12-01,62.45392
1982-01-01,62.45392
1982-02-01,62.87520
1982-03-01,62.98051
1982-04-01,63.82306
1982-05-01,64.34966
1982-06-01,63.50711
1982-07-01,63.50711
1982-08-01,64.13902
1982-09-01,64.13902
1982-10-01,63.71775
1982-11-01,62.66456
1982-12-01,63.50711
1983-01-01,64.24434
1983-02-01,65.29752
1983-03-01,64.34966
1983-04-01,65.08689
1983-05-01,65.92944
1983-06-01,64.87625
1983-07-01,66.03475
1983-08-01,66.03475
1983-09-01,66.35071
1983-10-01,66.98262
1983-11-01,66.98262
1983-12-01,67.19326
1984-01-01,68.24644
1984-02-01,67.61453
1984-03-01,66.77199
1984-04-01,65.50816
1984-05-01,64.98157
1984-06-01,65.50816
1984-07-01,64.56030
1984-08-01,64.24434
1984-09-01,65.40285
1984-10-01,65.50816
1984-11-01,65.08689
1984-12-01,66.24539
1985-01-01,67.29858
1985-02-01,67.29858
1985-03-01,69.08900
1985-04-01,69.72091
1985-05-01,70.24750
1985-06-01,71.82728
1985-07-01,69.08900
1985-08-01,69.72091
1985-09-01,70.87941
1985-10-01,69.51027
1985-11-01,70.24750
1985-12-01,68.45708
1986-01-01,69.29963
1986-02-01,69.82623
1986-03-01,70.45814
1986-04-01,71.40601
1986-05-01,70.14218
1986-06-01,71.19537
1986-07-01,70.56345
1986-08-01,70.56345
1986-09-01,72.45919
1986-10-01,72.56451
1986-11-01,72.35387
1986-12-01,72.56451
1987-01-01,71.19537
1987-02-01,73.51237
1987-03-01,73.19642
1987-04-01,72.56451
1987-05-01,73.93365
1987-06-01,73.61769
1987-07-01,74.98683
1987-08-01,74.77620
1987-09-01,74.24960
1987-10-01,75.19747
1987-11-01,75.09216
1987-12-01,75.72407
1988-01-01,76.46130
1988-02-01,75.51343
1988-03-01,76.77725
1988-04-01,76.14534
1988-05-01,76.98789
1988-06-01,77.30384
1988-07-01,77.72512
1988-08-01,78.46235
1988-09-01,79.30490
1988-10-01,78.35703
1988-11-01,79.19958
1988-12-01,78.67299
1989-01-01,79.09426
1989-02-01,79.30490
1989-03-01,78.25171
1989-04-01,80.25276
1989-05-01,78.14639
1989-06-01,78.14639
1989-07-01,78.35703
1989-08-01,80.04213
1989-09-01,79.62085
1989-10-01,79.19958
1989-11-01,79.83149
1989-12-01,79.72617
1990-01-01,78.88362
1990-02-01,78.35703
1990-03-01,79.51553
1990-04-01,80.04213
1990-05-01,79.51553
1990-06-01,80.67404
1990-07-01,78.77831
1990-08-01,78.88362
1990-09-01,78.46235
1990-10-01,78.35703
1990-11-01,77.93575
1990-12-01,77.61980
1991-01-01,77.40916
1991-02-01,77.40916
1991-03-01,76.56661
1991-04-01,75.51343
1991-05-01,76.46130
1991-06-01,76.67194
1991-07-01,76.04002
1991-08-01,75.19747
1991-09-01,75.30279
1991-10-01,76.25066
1991-11-01,76.46130
1991-12-01,76.14534
1992-01-01,76.14534
1992-02-01,76.56661
1992-03-01,76.25066
1992-04-01,76.77725
1992-05-01,75.19747
1992-06-01,75.93470
1992-07-01,76.67194
1992-08-01,76.56661
1992-09-01,77.09321
1992-10-01,77.93575
1992-11-01,76.88257
1992-12-01,76.77725
1993-01-01,76.88257
1993-02-01,77.93575
1993-03-01,77.30384
1993-04-01,77.40916
1993-05-01,77.93575
1993-06-01,77.51448
1993-07-01,78.14639
1993-08-01,78.35703
1993-09-01,78.67299
1993-10-01,78.88362
1993-11-01,79.62085
1993-12-01,79.83149
1994-01-01,80.35809
1994-02-01,80.56872
1994-03-01,80.88467
1994-04-01,81.93786
1994-05-01,82.99105
1994-06-01,82.04318
1994-07-01,82.46445
1994-08-01,82.78041
1994-09-01,83.51764
1994-10-01,83.72828
1994-11-01,83.62296
1994-12-01,84.46551
1995-01-01,82.99105
1995-02-01,83.09637
1995-03-01,83.41232
1995-04-01,84.04424
1995-05-01,83.93891
1995-06-01,83.41232
1995-07-01,83.93891
1995-08-01,84.04424
1995-09-01,84.36019
1995-10-01,84.04424
1995-11-01,84.46551
1995-12-01,84.99210
1996-01-01,84.57082
1996-02-01,85.20274
1996-03-01,85.30806
1996-04-01,84.25487
1996-05-01,84.88678
1996-06-01,84.36019
1996-07-01,84.25487
1996-08-01,84.88678
1996-09-01,85.41338
1996-10-01,85.30806
1996-11-01,85.83465
1996-12-01,86.15060
1997-01-01,86.15060
1997-02-01,86.46656
1997-03-01,85.20274
1997-04-01,87.30911
1997-05-01,86.99316
1997-06-01,87.20379
1997-07-01,88.99421
1997-08-01,87.94102
1997-09-01,88.46761
1997-10-01,89.52080
1997-11-01,89.62612
1997-12-01,89.83675
1998-01-01,89.83675
1998-02-01,90.67931
1998-03-01,91.31122
1998-04-01,91.73249
1998-05-01,90.99526
1998-06-01,91.31122
1998-07-01,90.99526
1998-08-01,91.52185
1998-09-01,91.83781
1998-10-01,91.83781
1998-11-01,92.04845
1998-12-01,92.36440
1999-01-01,93.73354
1999-02-01,93.83886
1999-03-01,94.78673
1999-04-01,94.57610
1999-05-01,95.52396
1999-06-01,95.31332
1999-07-01,96.26119
1999-08-01,96.99842
1999-09-01,97.52502
1999-10-01,96.89310
1999-11-01,97.63033
1999-12-01,96.36651
2000-01-01,97.20906
2000-02-01,97.52502
2000-03-01,97.20906
2000-04-01,96.99842
2000-05-01,97.31438
2000-06-01,97.84097
2000-07-01,97.20906
2000-08-01,98.47288
2000-09-01,98.15692
2000-10-01,98.36756
2000-11-01,99.21011
2000-12-01,101.31650
2001-01-01,101.00050
2001-02-01,101.10580
2001-03-01,101.94840
2001-04-01,102.47500
2001-05-01,101.94840
2001-06-01,102.68560
2001-07-01,102.36970
2001-08-01,103.52820
2001-09-01,103.00160
2001-10-01,102.36970
2001-11-01,102.47500
2001-12-01,102.05370
2002-01-01,101.42180
2002-02-01,101.52710
2002-03-01,103.42290
2002-04-01,101.21120
2002-05-01,104.37070
2002-06-01,98.99947
2002-07-01,105.52920
2002-08-01,105.31860
2002-09-01,106.89840
2002-10-01,105.52920
2002-11-01,105.84520
2002-12-01,106.68770
2003-01-01,106.16110
2003-02-01,107.31960
2003-03-01,107.00370
2003-04-01,106.47710
2003-05-01,105.10790
2003-06-01,105.73990
2003-07-01,106.37180
2003-08-01,106.58240
2003-09-01,106.79310
2003-10-01,108.68880
2003-11-01,107.21430
2003-12-01,107.21430
2004-01-01,108.58350
2004-02-01,108.26750
2004-03-01,108.37280
2004-04-01,108.89940
2004-05-01,107.31960
2004-06-01,107.10900
2004-07-01,106.68770
2004-08-01,105.10790
2004-09-01,104.79200
2004-10-01,104.79200
2004-11-01,105.52920
2004-12-01,105.00260
2005-01-01,105.63450
2005-02-01,105.21330
2005-03-01,103.52820
2005-04-01,106.26650
2005-05-01,105.63450
2005-06-01,106.47710
2005-07-01,105.21330
2005-08-01,104.37070
2005-09-01,105.84520
2005-10-01,104.79200
2005-11-01,106.16110
2005-12-01,109.74200
2006-01-01,108.26750
2006-02-01,108.16220
2006-03-01,109.42600
2006-04-01,109.63670
2006-05-01,110.58450
2006-06-01,111.21640
2006-07-01,110.05790
2006-08-01,111.00580
2006-09-01,111.32170
2006-10-01,110.16320
2006-11-01,110.90050
2006-12-01,110.16320
2007-01-01,110.58450
2007-02-01,109.11010
2007-03-01,108.79410
2007-04-01,107.31960
2007-05-01,109.53130
2007-06-01,107.74090
2007-07-01,107.21430
2007-08-01,108.58350
2007-09-01,107.21430
2007-10-01,107.84620
2007-11-01,108.05690
2007-12-01,107.53030
2008-01-01,107.42500
2008-02-01,108.79410
2008-03-01,105.73990
2008-04-01,107.31960
2008-05-01,106.47710
2008-06-01,106.05580
2008-07-01,106.89840
2008-08-01,106.16110
2008-09-01,105.73990
2008-10-01,105.63450
2008-11-01,101.21120
2008-12-01,101.31650
2009-01-01,98.89416
2009-02-01,98.89416
2009-03-01,98.15692
2009-04-01,99.52607
2009-05-01,98.05161
2009-06-01,98.57820
2009-07-01,99.52607
2009-08-01,97.52502
2009-09-01,97.52502
2009-10-01,97.73565
2009-11-01,97.52502
2009-12-01,97.63033
2010-01-01,97.10374
2010-02-01,98.05161
2010-03-01,99.21011
2010-04-01,97.10374
2010-05-01,97.10374
2010-06-01,95.73460
2010-07-01,94.89205
2010-08-01,94.78673
2010-09-01,93.94418
2010-10-01,95.62928
2010-11-01,93.73354
2010-12-01,92.89100
2011-01-01,93.83886
2011-02-01,91.20589
2011-03-01,90.67931
2011-04-01,90.04739
2011-05-01,90.88994
2011-06-01,91.10058
2011-07-01,90.78462
2011-08-01,90.78462
2011-09-01,91.10058
2011-10-01,90.78462
2011-11-01,91.20589
2011-12-01,92.04845
2012-01-01,91.94313
2012-02-01,91.20589
2012-03-01,91.52185
2012-04-01,91.73249
2012-05-01,92.46972
2012-06-01,91.20589
2012-07-01,93.31227
2012-08-01,92.57504
2012-09-01,90.25803
2012-10-01,90.88994
2012-11-01,91.62717
2012-12-01,92.78568
2013-01-01,91.52185
2013-02-01,91.94313
2013-03-01,92.99632
2013-04-01,92.89100
2013-05-01,93.20695
2013-06-01,94.26014
2013-07-01,94.26014
2013-08-01,93.73354
2013-09-01,94.99737
2013-10-01,94.47077
2013-11-01,94.57610
2013-12-01,94.57610
2014-01-01,94.78673
2014-02-01,95.31332
2014-03-01,94.57610
2014-04-01,94.99737
2014-05-01,94.47077
2014-06-01,94.78673
2014-07-01,95.73460
2014-08-01,95.20801
2014-09-01,96.05055
2014-10-01,96.05055
2014-11-01,96.36651
2014-12-01,97.84097
2015-01-01,97.20906
2015-02-01,98.36756
2015-03-01,99.52607
2015-04-01,100.05270
2015-05-01,100.47390
2015-06-01,100.57930
2015-07-01,100.36860
2015-08-01,100.89520
2015-09-01,100.78990
2015-10-01,101.63240
2015-11-01,100.26330
2015-12-01,99.84203
2016-01-01,100.36860
2016-02-01,99.84203
2016-03-01,99.84203
2016-04-01,102.47500
2016-05-01,100.89520
2016-06-01,99.94734
2016-07-01,99.94734
2016-08-01,99.52607
2016-09-01,99.63139
2016-10-01,97.41969
2016-11-01,98.99947
2016-12-01,101.10580
2017-01-01,100.15800
2017-02-01,99.31543
2017-03-01,98.47288
2017-04-01,98.89416
2017-05-01,99.31543
2017-06-01,99.31543
2017-07-01,99.73670
2017-08-01,99.94734
2017-09-01,101.94840
2017-10-01,102.36970
2017-11-01,102.79090
2017-12-01,102.58030
2018-01-01,103.94940
2018-02-01,104.68670
2018-03-01,104.26540
2018-04-01,103.73880
2018-05-01,103.10690
2018-06-01,105.42390
2018-07-01,103.94940
2018-08-01,103.94940
2018-09-01,103.63350
2018-10-01,102.79090
2018-11-01,101.63240
2018-12-01,101.21120
2019-01-01,102.58030
2019-02-01,103.21220
2019-03-01,104.26540
2019-04-01,102.47500
2019-05-01,103.84410
2019-06-01,104.37070
2019-07-01,105.31860
2019-08-01,104.79200
2019-09-01,106.68770
2019-10-01,108.16220
2019-11-01,108.47810
2019-12-01,109.63670
2020-01-01,111.42710
2020-02-01,113.21750
2020-03-01,104.58140
2020-04-01,88.57293
2020-05-01,95.41864
2020-06-01,105.52920
2020-07-01,110.47920
2020-08-01,112.90150
2020-09-01,113.21750
2020-10-01,113.00680
2020-11-01,113.32280
2020-12-01,111.42710
2021-01-01,107.84620
2021-02-01,106.89840
2021-03-01,106.37180
2021-04-01,104.89730
2021-05-01,104.79200
2021-06-01,103.10690
2021-07-01,102.05370
2021-08-01,102.15900
2021-09-01,101.00050
2021-10-01,100.15800
2021-11-01,101.73780
2021-12-01,101.94840
2022-01-01,101.52710
2022-02-01,101.21120
2022-03-01,100.89520
2022-04-01,100.78990
2022-05-01,101.00050
2022-06-01,100.05270
2022-07-01,99.52607
2022-08-01,98.99947
2022-09-01,98.78883
2022-10-01,99.21011
2022-11-01,98.99947
2022-12-01,99.10479
2023-01-01,98.99947
2023-02-01,99.10479
2023-03-01,99.73670
2023-04-01,99.84203
2023-05-01,98.89416
2023-06-01,101.52710
2023-07-01,100.47390
2023-08-01,100.05270
2023-09-01,99.84203
2023-10-01,98.47288
2023-11-01,98.99947
2023-12-01,99.63139
2024-01-01,99.10479
2024-02-01,100.05270
2024-03-01,100.26330
