observation_date,GBRPROINDMISMEI
1948-01-01,28.22538
1948-02-01,28.22538
1948-03-01,28.22538
1948-04-01,28.12006
1948-05-01,28.22538
1948-06-01,28.43602
1948-07-01,28.75197
1948-08-01,29.06793
1948-09-01,29.17325
1948-10-01,29.27857
1948-11-01,29.27857
1948-12-01,29.38389
1949-01-01,29.59452
1949-02-01,29.80516
1949-03-01,30.01580
1949-04-01,30.22643
1949-05-01,30.43707
1949-06-01,30.64771
1949-07-01,30.96367
1949-08-01,31.06898
1949-09-01,31.17430
1949-10-01,31.06898
1949-11-01,31.06898
1949-12-01,31.17430
1950-01-01,31.38494
1950-02-01,31.59558
1950-03-01,31.91153
1950-04-01,32.22749
1950-05-01,32.54345
1950-06-01,32.96472
1950-07-01,33.28067
1950-08-01,33.49131
1950-09-01,33.38599
1950-10-01,33.28067
1950-11-01,33.28067
1950-12-01,33.28067
1951-01-01,33.38599
1951-02-01,33.49131
1951-03-01,33.28067
1951-04-01,33.07004
1951-05-01,33.28067
1951-06-01,33.80727
1951-07-01,34.54450
1951-08-01,34.86045
1951-09-01,34.75513
1951-10-01,34.12322
1951-11-01,33.49131
1951-12-01,33.17535
1952-01-01,32.96472
1952-02-01,32.75408
1952-03-01,32.54345
1952-04-01,32.33281
1952-05-01,32.01685
1952-06-01,31.80621
1952-07-01,31.59558
1952-08-01,31.80621
1952-09-01,32.12217
1952-10-01,32.75408
1952-11-01,33.28067
1952-12-01,33.49131
1953-01-01,33.70195
1953-02-01,33.80727
1953-03-01,33.91259
1953-04-01,34.12322
1953-05-01,34.12322
1953-06-01,34.01790
1953-07-01,33.91259
1953-08-01,34.12322
1953-09-01,34.75513
1953-10-01,35.59768
1953-11-01,36.12428
1953-12-01,36.01896
1954-01-01,35.70300
1954-02-01,35.38705
1954-03-01,35.49236
1954-04-01,35.80832
1954-05-01,36.12428
1954-06-01,36.22960
1954-07-01,36.33491
1954-08-01,36.44023
1954-09-01,36.54555
1954-10-01,36.86151
1954-11-01,37.17746
1954-12-01,37.49342
1955-01-01,37.70406
1955-02-01,37.91469
1955-03-01,38.02001
1955-04-01,38.02001
1955-05-01,38.02001
1955-06-01,37.91469
1955-07-01,37.91469
1955-08-01,38.12533
1955-09-01,38.54660
1955-10-01,38.96788
1955-11-01,39.17852
1955-12-01,39.07320
1956-01-01,38.75724
1956-02-01,38.54660
1956-03-01,38.44128
1956-04-01,38.44128
1956-05-01,38.54660
1956-06-01,38.44128
1956-07-01,38.33597
1956-08-01,38.12533
1956-09-01,38.02001
1956-10-01,38.02001
1956-11-01,38.12533
1956-12-01,38.44128
1957-01-01,38.75724
1957-02-01,38.96788
1957-03-01,38.96788
1957-04-01,38.86256
1957-05-01,38.96788
1957-06-01,39.38915
1957-07-01,39.70511
1957-08-01,39.91574
1957-09-01,39.70511
1957-10-01,39.28383
1957-11-01,38.96788
1957-12-01,38.96788
1958-01-01,39.17852
1958-02-01,39.38915
1958-03-01,39.28383
1958-04-01,38.96788
1958-05-01,38.65192
1958-06-01,38.44128
1958-07-01,38.33597
1958-08-01,38.44128
1958-09-01,38.65192
1958-10-01,38.96788
1958-11-01,39.17852
1958-12-01,39.17852
1959-01-01,39.07320
1959-02-01,39.17852
1959-03-01,39.59979
1959-04-01,40.02106
1959-05-01,40.44234
1959-06-01,40.44234
1959-07-01,40.33702
1959-08-01,40.54766
1959-09-01,41.17957
1959-10-01,42.12743
1959-11-01,42.86467
1959-12-01,43.28594
1960-01-01,43.49658
1960-02-01,43.49658
1960-03-01,43.49658
1960-04-01,43.49658
1960-05-01,43.49658
1960-06-01,43.49658
1960-07-01,43.49658
1960-08-01,43.60189
1960-09-01,43.91785
1960-10-01,44.12849
1960-11-01,44.12849
1960-12-01,43.91785
1961-01-01,43.49658
1961-02-01,43.28594
1961-03-01,43.49658
1961-04-01,43.91785
1961-05-01,44.23381
1961-06-01,44.33913
1961-07-01,44.12849
1961-08-01,43.91785
1961-09-01,43.81253
1961-10-01,43.70721
1961-11-01,43.70721
1961-12-01,43.60189
1962-01-01,43.60189
1962-02-01,43.60189
1962-03-01,43.81253
1962-04-01,44.12849
1962-05-01,44.44444
1962-06-01,44.65508
1962-07-01,44.65508
1962-08-01,44.76040
1962-09-01,44.65508
1962-10-01,44.44444
1962-11-01,44.23381
1962-12-01,43.91785
1963-01-01,43.60189
1963-02-01,43.60189
1963-03-01,44.02317
1963-04-01,44.54976
1963-05-01,45.18167
1963-06-01,45.81359
1963-07-01,46.23486
1963-08-01,46.55082
1963-09-01,46.76145
1963-10-01,46.97209
1963-11-01,47.39336
1963-12-01,47.91996
1964-01-01,48.65719
1964-02-01,49.07846
1964-03-01,49.18378
1964-04-01,48.97314
1964-05-01,48.76251
1964-06-01,48.76251
1964-07-01,48.97314
1964-08-01,49.28910
1964-09-01,49.81569
1964-10-01,50.44761
1964-11-01,50.76356
1964-12-01,50.86888
1965-01-01,50.76356
1965-02-01,50.65824
1965-03-01,50.65824
1965-04-01,50.65824
1965-05-01,50.65824
1965-06-01,50.65824
1965-07-01,50.65824
1965-08-01,50.65824
