observation_date,OECDULQEUL01IXOBSAQ
1995-01-01,75.9518366507584
1995-04-01,76.2255557300703
1995-07-01,76.4930167620635
1995-10-01,76.9520449074724
1996-01-01,77.0754601890733
1996-04-01,77.1088751042708
1996-07-01,77.6321956714816
1996-10-01,77.8921338236982
1997-01-01,78.5573367173936
1997-04-01,78.5415905374230
1997-07-01,78.7595031778596
1997-10-01,78.9137204680362
1998-01-01,79.3154148489196
1998-04-01,79.8971327329881
1998-07-01,79.9513377563545
1998-10-01,80.0658021185585
1999-01-01,80.3416355890590
1999-04-01,80.7203996430240
1999-07-01,80.6722134692646
1999-10-01,81.0128173577637
2000-01-01,81.8746491843128
2000-04-01,81.6999809314035
2000-07-01,82.5842237789469
2000-10-01,82.7810275980287
2001-01-01,83.6367824262613
2001-04-01,83.5502007735272
2001-07-01,83.7873405079734
2001-10-01,83.9323061280152
2002-01-01,83.9774236261064
2002-04-01,83.9143237256838
2002-07-01,84.0911596704470
2002-10-01,84.4711857950224
2003-01-01,84.8442773892227
2003-04-01,85.0367343698106
2003-07-01,85.1549890970351
2003-10-01,85.2200386684741
2004-01-01,85.3105662027170
2004-04-01,85.9080195755178
2004-07-01,86.5982106004016
2004-10-01,86.8110800679339
2005-01-01,87.0050366705348
2005-04-01,87.1914780133785
2005-07-01,87.4639816089101
2005-10-01,87.9149899132633
2006-01-01,88.4430421696186
2006-04-01,88.6333292939186
2006-07-01,89.1655178833673
2006-10-01,89.8549435493144
2007-01-01,90.6000669836731
2007-04-01,90.8137464681954
2007-07-01,91.0599929666376
2007-10-01,91.4391983794786
2008-01-01,92.2603413521569
2008-04-01,92.6612470659817
2008-07-01,93.3409264948276
2008-10-01,94.9909061571880
2009-01-01,95.1720341467290
2009-04-01,94.8099838001124
2009-07-01,94.4514539200364
2009-10-01,94.2963529077798
2010-01-01,94.0028234055458
2010-04-01,94.0445362309104
2010-07-01,93.9355697674916
2010-10-01,94.0279767574162
2011-01-01,94.9778437711024
2011-04-01,95.1744037618030
2011-07-01,95.2731740478832
2011-10-01,95.0144078504732
2012-01-01,95.9640230266217
2012-04-01,96.3322474744891
2012-07-01,96.6212349097398
2012-10-01,97.7367341417586
2013-01-01,97.2925287985758
2013-04-01,97.6710408668676
2013-07-01,97.3941466828521
2013-10-01,97.6600801400782
2014-01-01,98.5984006723968
2014-04-01,98.7568822926435
2014-07-01,98.7741655940698
2014-10-01,99.3437668528614
2015-01-01,99.4318756673596
2015-04-01,99.8495775000459
2015-07-01,100.1910946344040
2015-10-01,100.5253492749130
2016-01-01,100.8763076993650
2016-04-01,101.1827426906270
2016-07-01,101.6626315778840
2016-10-01,101.8014073783780
2017-01-01,102.1203154231440
2017-04-01,102.4465270378020
2017-07-01,102.8166364326230
2017-10-01,103.4359887017470
2018-01-01,104.3788777003440
2018-04-01,104.7448740627580
2018-07-01,105.6784649834070
2018-10-01,106.3706666894280
2019-01-01,107.2897771248000
2019-04-01,107.6242809549600
2019-07-01,107.8665961941940
2019-10-01,108.8063397064860
2020-01-01,110.8783391500040
2020-04-01,116.5546343583310
2020-07-01,111.6483998378350
2020-10-01,112.9972738845170
2021-01-01,113.1929188782680
2021-04-01,113.5757213253560
2021-07-01,115.1993121314960
2021-10-01,116.0282845240490
2022-01-01,118.1100958786320
2022-04-01,119.3975052071380
2022-07-01,122.0057517160400
2022-10-01,123.7380242557190
2023-01-01,125.9498137126110
