report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
1987-09-15T00:00:00.000,090741,CANADIAN DOLLAR,19660,6821,531,2044,15773,9860,2421
1987-09-15T00:00:00.000,092741,SWISS FRANC,20326,3806,3445,7484,10647,8824,6022
1987-09-15T00:00:00.000,097741,JAPANESE YEN,40933,8963,6834,19487,20939,11751,12428
1987-09-30T00:00:00.000,090741,CANADIAN DOLLAR,21422,8694,0,601,17261,11570,3604
1987-09-30T00:00:00.000,092741,SWISS FRANC,23328,3570,5227,9357,5513,10347,12534
1987-09-30T00:00:00.000,097741,JAPANESE YEN,37058,5653,4665,18090,16971,12899,15006
1987-10-15T00:00:00.000,090741,CANADIAN DOLLAR,23337,10116,0,613,18631,12073,4171
1987-10-15T00:00:00.000,092741,SWISS FRANC,24020,5659,1445,4921,13840,13345,8640
1987-10-15T00:00:00.000,097741,JAPANESE YEN,49237,12992,1185,14501,36424,21216,11100
1987-10-30T00:00:00.000,090741,CANADIAN DOLLAR,19138,2393,480,7702,14246,8571,3940
1987-10-30T00:00:00.000,092741,SWISS FRANC,29809,5759,1745,8915,19017,14935,8847
1987-10-30T00:00:00.000,097741,JAPANESE YEN,46297,8745,1155,16855,35076,20240,9609
1987-11-13T00:00:00.000,090741,CANADIAN DOLLAR,18209,2196,480,8992,11846,6582,5444
1987-11-13T00:00:00.000,092741,SWISS FRANC,34579,6837,4132,12869,19109,14423,10888
1987-11-13T00:00:00.000,097741,JAPANESE YEN,52752,8134,1669,24414,38332,18699,11246
1987-11-30T00:00:00.000,090741,CANADIAN DOLLAR,19321,2527,480,6851,12217,8799,5480
1987-11-30T00:00:00.000,092741,SWISS FRANC,40772,6900,1359,17840,26598,16032,12815
1987-11-30T00:00:00.000,097741,JAPANESE YEN,60299,10972,2069,26687,44902,21815,12503
1987-12-15T00:00:00.000,090741,CANADIAN DOLLAR,12185,3452,646,2124,13536,5976,-2630
1987-12-15T00:00:00.000,092741,SWISS FRANC,20484,5144,769,15141,12555,149,7110
1987-12-15T00:00:00.000,097741,JAPANESE YEN,36598,10625,3674,18202,21778,7222,10597
1987-12-31T00:00:00.000,090741,CANADIAN DOLLAR,14908,4907,669,0,10054,9167,3351
1987-12-31T00:00:00.000,092741,SWISS FRANC,24298,4528,2958,8529,9376,11241,11964
1987-12-31T00:00:00.000,097741,JAPANESE YEN,42656,11861,4966,9768,24835,19737,11565
1988-01-15T00:00:00.000,090741,CANADIAN DOLLAR,21722,7950,219,613,17590,12131,2885
1988-01-15T00:00:00.000,092741,SWISS FRANC,25218,5797,2434,9334,12738,9907,9866
1988-01-15T00:00:00.000,097741,JAPANESE YEN,48605,10284,7954,21534,23140,15968,16692
1988-01-29T00:00:00.000,090741,CANADIAN DOLLAR,25446,9296,426,839,19844,14253,4118
1988-01-29T00:00:00.000,092741,SWISS FRANC,28279,4516,2925,13697,13212,9916,11992
1988-01-29T00:00:00.000,097741,JAPANESE YEN,54303,13171,9937,24025,27009,16488,16738
1988-02-12T00:00:00.000,090741,CANADIAN DOLLAR,25254,9635,1260,619,18318,13900,4576
1988-02-12T00:00:00.000,092741,SWISS FRANC,32857,4285,4073,17220,15943,11251,12740
1988-02-12T00:00:00.000,097741,JAPANESE YEN,53494,7925,3353,28939,30595,15860,18776
1988-02-29T00:00:00.000,090741,CANADIAN DOLLAR,23411,9283,485,469,17065,12690,4892
1988-02-29T00:00:00.000,092741,SWISS FRANC,32494,6183,3898,14604,15781,11706,12814
1988-02-29T00:00:00.000,097741,JAPANESE YEN,61820,10397,7086,26861,38220,23399,15351
1988-03-15T00:00:00.000,090741,CANADIAN DOLLAR,18998,5965,0,2740,17310,9817,1212
1988-03-15T00:00:00.000,092741,SWISS FRANC,19690,6061,2509,14092,16433,-463,748
1988-03-15T00:00:00.000,097741,JAPANESE YEN,42519,14343,10637,16670,45536,10699,-14461
1988-03-31T00:00:00.000,090741,CANADIAN DOLLAR,24339,8840,545,793,17623,14393,5858
1988-03-31T00:00:00.000,092741,SWISS FRANC,24835,6441,1776,5760,14870,12634,8189
1988-03-31T00:00:00.000,097741,JAPANESE YEN,53572,17284,3144,10604,38887,24877,10734
1988-04-15T00:00:00.000,090741,CANADIAN DOLLAR,23747,6314,875,2792,17361,13977,4847
1988-04-15T00:00:00.000,092741,SWISS FRANC,27477,6080,2867,8483,13224,12900,11372
1988-04-15T00:00:00.000,097741,JAPANESE YEN,45478,12841,2945,7738,27770,24092,13956
1988-04-29T00:00:00.000,090741,CANADIAN DOLLAR,25940,6206,2171,2397,16248,15681,5865
1988-04-29T00:00:00.000,092741,SWISS FRANC,27511,4058,4273,12023,9906,11430,13332
1988-04-29T00:00:00.000,096742,BRITISH POUND,3714,0,0,2403,2386,1311,1328
1988-04-29T00:00:00.000,097741,JAPANESE YEN,43499,10253,4599,12002,22680,20497,15473
1988-05-13T00:00:00.000,090741,CANADIAN DOLLAR,28220,8885,1783,2520,17534,14690,6778
1988-05-13T00:00:00.000,092741,SWISS FRANC,34875,5182,7103,18336,10940,11352,16827
1988-05-13T00:00:00.000,096742,BRITISH POUND,4051,231,0,2187,2286,1633,1765
1988-05-13T00:00:00.000,097741,JAPANESE YEN,51139,10180,5224,15578,29321,24513,15726
1988-05-13T00:00:00.000,232741,AUSTRALIAN DOLLAR,2739,1328,900,486,629,925,1210
1988-05-31T00:00:00.000,090741,CANADIAN DOLLAR,29846,5917,1889,4764,16212,14654,7234
1988-05-31T00:00:00.000,092741,SWISS FRANC,41433,4270,10109,23450,11135,13713,20189
1988-05-31T00:00:00.000,096742,BRITISH POUND,6090,0,267,2967,1420,3123,4403
1988-05-31T00:00:00.000,097741,JAPANESE YEN,49763,8211,8867,21626,21388,18882,18464
1988-05-31T00:00:00.000,232741,AUSTRALIAN DOLLAR,8929,4958,4110,1951,2852,918,865
1988-06-15T00:00:00.000,090741,CANADIAN DOLLAR,36198,19403,1286,1292,30656,15190,3943
1988-06-15T00:00:00.000,092741,SWISS FRANC,27045,4549,7840,11952,2902,10544,16303
1988-06-15T00:00:00.000,096742,BRITISH POUND,16980,996,4132,7449,2602,8535,10246
1988-06-15T00:00:00.000,097741,JAPANESE YEN,35732,7397,11887,21503,9454,5785,13344
1988-06-15T00:00:00.000,232741,AUSTRALIAN DOLLAR,4198,1418,3451,2123,364,646,372
1988-06-30T00:00:00.000,090741,CANADIAN DOLLAR,33848,18320,307,2002,29055,12887,3847
1988-06-30T00:00:00.000,092741,SWISS FRANC,25519,5384,4468,9351,6642,10784,14409
1988-06-30T00:00:00.000,096742,BRITISH POUND,16530,300,2960,8505,3676,7725,9894
1988-06-30T00:00:00.000,097741,JAPANESE YEN,42550,10558,11015,19867,11738,11832,19504
1988-06-30T00:00:00.000,232741,AUSTRALIAN DOLLAR,4992,236,0,3704,4276,1052,716
1988-07-15T00:00:00.000,090741,CANADIAN DOLLAR,33023,17929,763,1459,26292,13028,5361
1988-07-15T00:00:00.000,092741,SWISS FRANC,31989,6252,5498,14054,11507,11683,14984
1988-07-15T00:00:00.000,096742,BRITISH POUND,17980,941,2692,8698,3557,8341,11731
1988-07-15T00:00:00.000,097741,JAPANESE YEN,52812,15488,9916,24870,21452,12053,21043
1988-07-15T00:00:00.000,232741,AUSTRALIAN DOLLAR,4773,0,0,3762,3805,1011,968
1988-07-29T00:00:00.000,090741,CANADIAN DOLLAR,30069,9590,512,7289,23272,12381,5476
1988-07-29T00:00:00.000,092741,SWISS FRANC,29120,3460,3349,14769,10460,10891,15311
1988-07-29T00:00:00.000,096742,BRITISH POUND,16199,0,1400,6774,4274,9425,10525
1988-07-29T00:00:00.000,097741,JAPANESE YEN,49262,8645,10440,23648,20632,16813,18034
1988-07-29T00:00:00.000,232741,AUSTRALIAN DOLLAR,5314,827,0,3650,4139,837,1175
1988-08-15T00:00:00.000,090741,CANADIAN DOLLAR,28090,5469,1826,11536,16532,9703,8350
1988-08-15T00:00:00.000,092741,SWISS FRANC,33668,5111,2918,15330,14554,13227,16196
1988-08-15T00:00:00.000,096742,BRITISH POUND,19804,1412,1236,7316,9006,11075,9561
1988-08-15T00:00:00.000,097741,JAPANESE YEN,47371,8873,9946,22164,19803,15849,17137
1988-08-15T00:00:00.000,232741,AUSTRALIAN DOLLAR,5603,879,0,3763,4692,961,911
1988-08-31T00:00:00.000,090741,CANADIAN DOLLAR,28513,2707,3136,15703,14662,8939,9551
1988-08-31T00:00:00.000,092741,SWISS FRANC,35500,5647,2446,16838,15866,13015,17188
1988-08-31T00:00:00.000,096742,BRITISH POUND,19574,3255,1033,6472,8667,9847,9874
1988-08-31T00:00:00.000,097741,JAPANESE YEN,63746,6506,20609,37284,13232,19333,29282
1988-08-31T00:00:00.000,232741,AUSTRALIAN DOLLAR,6813,1593,0,4036,5465,1184,1348
1988-09-15T00:00:00.000,090741,CANADIAN DOLLAR,25186,2412,3343,13112,14111,8947,7017
1988-09-15T00:00:00.000,092741,SWISS FRANC,37358,3439,3301,20981,19144,12634,14609
1988-09-15T00:00:00.000,096742,BRITISH POUND,19741,199,831,10901,10155,8640,8754
1988-09-15T00:00:00.000,097741,JAPANESE YEN,57941,4444,12323,38118,24629,14917,20527
1988-09-15T00:00:00.000,232741,AUSTRALIAN DOLLAR,7023,980,0,5184,5944,859,1079
1988-09-30T00:00:00.000,090741,CANADIAN DOLLAR,17849,3819,2564,1758,9866,12043,5190
1988-09-30T00:00:00.000,092741,SWISS FRANC,20240,3940,4342,6888,4555,9412,11343
1988-09-30T00:00:00.000,096742,BRITISH POUND,12790,1761,1326,3929,3224,7100,8240
1988-09-30T00:00:00.000,097741,JAPANESE YEN,31690,3808,9590,16545,5911,11215,16067
1988-10-14T00:00:00.000,090741,CANADIAN DOLLAR,21686,5223,735,1452,16162,15011,4789
1988-10-14T00:00:00.000,092741,SWISS FRANC,25886,6850,1875,4730,15313,14306,8698
1988-10-14T00:00:00.000,096742,BRITISH POUND,22023,6874,1316,2240,12717,12908,7989
1988-10-14T00:00:00.000,097741,JAPANESE YEN,48413,13057,7866,15690,23622,19266,16525
1988-10-31T00:00:00.000,090741,CANADIAN DOLLAR,23452,5651,840,1881,14075,15839,8456
1988-10-31T00:00:00.000,092741,SWISS FRANC,34238,10438,633,6322,23967,16934,9094
1988-10-31T00:00:00.000,096742,BRITISH POUND,19073,3773,366,2866,9893,11415,7795
1988-10-31T00:00:00.000,097741,JAPANESE YEN,48882,12505,5757,16843,26142,18081,15530
1988-11-15T00:00:00.000,090741,CANADIAN DOLLAR,17370,2366,1788,5855,7003,8920,8350
1988-11-15T00:00:00.000,092741,SWISS FRANC,36751,10839,1623,7631,27124,18281,8004
1988-11-15T00:00:00.000,096742,BRITISH POUND,19333,4097,0,3675,12165,11561,7168
1988-11-15T00:00:00.000,097741,JAPANESE YEN,51272,15632,4100,16197,31054,19443,16118
1988-11-30T00:00:00.000,090741,CANADIAN DOLLAR,28227,9566,2714,2541,17074,15525,7844
1988-11-30T00:00:00.000,092741,SWISS FRANC,37544,11514,1661,7760,26457,18270,9426
1988-11-30T00:00:00.000,096742,BRITISH POUND,28514,8470,0,4668,19937,15376,8577
1988-11-30T00:00:00.000,097741,JAPANESE YEN,55538,13825,4598,16371,29125,25342,21815
1988-12-15T00:00:00.000,090741,CANADIAN DOLLAR,27374,5181,2548,9301,17917,12608,6625
1988-12-15T00:00:00.000,092741,SWISS FRANC,34907,7021,5729,14809,17322,13077,11856
1988-12-15T00:00:00.000,096742,BRITISH POUND,28928,6098,2048,11171,18167,11443,8497
1988-12-15T00:00:00.000,097741,JAPANESE YEN,54094,6000,6792,32477,27163,13897,18419
1988-12-30T00:00:00.000,090741,CANADIAN DOLLAR,21974,8136,1566,1515,16608,12323,3800
1988-12-30T00:00:00.000,092741,SWISS FRANC,21478,5756,4396,7080,5689,8642,11393
1988-12-30T00:00:00.000,096742,BRITISH POUND,16277,2251,1907,5998,7812,8028,6558
1988-12-30T00:00:00.000,097741,JAPANESE YEN,32647,4205,10957,17487,4960,10401,16176
1989-01-13T00:00:00.000,090741,CANADIAN DOLLAR,21597,6105,1241,2636,14168,12840,6172
1989-01-13T00:00:00.000,092741,SWISS FRANC,27648,4383,6322,12329,5655,10736,15471
1989-01-13T00:00:00.000,096742,BRITISH POUND,24359,1356,6839,15422,6099,7581,11421
1989-01-13T00:00:00.000,097741,JAPANESE YEN,38313,3730,10446,22251,7509,12084,20110
1989-01-31T00:00:00.000,090741,CANADIAN DOLLAR,29437,12506,3429,1923,19515,14795,6280
1989-01-31T00:00:00.000,092741,SWISS FRANC,30853,3612,12424,16170,2787,11071,15642
1989-01-31T00:00:00.000,096742,BRITISH POUND,24733,3285,6149,13662,8237,7771,10332
1989-01-31T00:00:00.000,097741,JAPANESE YEN,52064,10704,15958,24368,11828,14345,21631
1989-02-15T00:00:00.000,090741,CANADIAN DOLLAR,28642,9739,3242,3684,16599,15219,8801
1989-02-15T00:00:00.000,092741,SWISS FRANC,30209,6593,4986,10474,12120,13139,13100
1989-02-15T00:00:00.000,096742,BRITISH POUND,23653,1357,5117,12997,7341,8996,10892
1989-02-15T00:00:00.000,097741,JAPANESE YEN,47922,8131,8316,17853,24031,20922,14559
1989-02-28T00:00:00.000,090741,CANADIAN DOLLAR,30683,1373,3757,15896,11155,10450,12807
1989-02-28T00:00:00.000,092741,SWISS FRANC,31709,5474,3982,10047,13148,16183,14574
1989-02-28T00:00:00.000,096742,BRITISH POUND,25427,488,5939,14233,7477,8803,10108
1989-02-28T00:00:00.000,097741,JAPANESE YEN,50738,8531,11659,18438,22968,22109,14451
1989-02-28T00:00:00.000,232741,AUSTRALIAN DOLLAR,3655,0,213,1594,1784,2061,1658
1989-03-15T00:00:00.000,090741,CANADIAN DOLLAR,15491,3429,1669,3052,2707,8663,10768
1989-03-15T00:00:00.000,092741,SWISS FRANC,30339,2902,10017,16857,1650,9924,18016
1989-03-15T00:00:00.000,096742,BRITISH POUND,20601,2579,6212,12214,2148,5805,12238
1989-03-15T00:00:00.000,097741,JAPANESE YEN,49798,7389,25962,29367,2182,11204,19816
1989-03-31T00:00:00.000,090741,CANADIAN DOLLAR,19631,7049,1965,1235,8519,11242,9042
1989-03-31T00:00:00.000,092741,SWISS FRANC,36992,5796,14133,20296,2279,10893,20573
1989-03-31T00:00:00.000,096742,BRITISH POUND,21413,800,8183,14552,962,6061,12268
