report_date_as_yyyy_mm_dd,cftc_contract_market_code,contract_market_name,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,nonrept_positions_long_all,nonrept_positions_short_all
1986-01-15T00:00:00.000,090741,CANADIAN DOLLAR,15693,407,8382,9782,2319,5504,4992
1986-01-15T00:00:00.000,092741,SWISS FRANC,25278,8461,1316,5494,18533,11014,5120
1986-01-15T00:00:00.000,097741,JAPANESE YEN,23231,7668,715,5234,18333,10239,4093
1986-01-15T00:00:00.000,099741,EURO FX,1105,2,56,462,641,415,182
1986-01-31T00:00:00.000,090741,CANADIAN DOLLAR,18922,413,9401,12821,3057,5687,6463
1986-01-31T00:00:00.000,092741,SWISS FRANC,29412,11679,1975,4964,22035,12582,5215
1986-01-31T00:00:00.000,097741,JAPANESE YEN,31732,14509,1331,2761,25823,14067,4183
1986-01-31T00:00:00.000,099741,EURO FX,1438,101,46,934,1017,203,175
1986-02-14T00:00:00.000,090741,CANADIAN DOLLAR,13901,1710,2513,6071,7109,6012,4171
1986-02-14T00:00:00.000,092741,SWISS FRANC,33894,11444,2044,7339,23757,13151,6133
1986-02-14T00:00:00.000,097741,JAPANESE YEN,34452,12512,2195,7023,22202,12156,7294
1986-02-14T00:00:00.000,099741,EURO FX,1279,35,0,964,991,80,88
1986-02-28T00:00:00.000,090741,CANADIAN DOLLAR,15075,1547,3756,8775,5544,4667,5689
1986-02-28T00:00:00.000,092741,SWISS FRANC,39151,10931,6459,12231,23633,14100,7170
1986-02-28T00:00:00.000,097741,JAPANESE YEN,33792,11829,1748,9005,24763,11009,5332
1986-02-28T00:00:00.000,099741,EURO FX,1185,0,0,962,966,123,119
1986-03-14T00:00:00.000,090741,CANADIAN DOLLAR,14134,1524,1896,6981,7175,5380,4814
1986-03-14T00:00:00.000,092741,SWISS FRANC,31902,8159,2063,12553,23927,10525,5247
1986-03-14T00:00:00.000,097741,JAPANESE YEN,47322,18786,4165,12908,38335,14946,4140
1986-03-14T00:00:00.000,099741,EURO FX,1023,37,0,945,980,41,43
1986-03-31T00:00:00.000,090741,CANADIAN DOLLAR,9748,1768,1004,2735,4976,5116,3639
1986-03-31T00:00:00.000,092741,SWISS FRANC,28521,7741,4009,9720,18054,10765,6163
1986-03-31T00:00:00.000,097741,JAPANESE YEN,31305,16358,1689,2650,24181,12077,5215
1986-04-15T00:00:00.000,090741,CANADIAN DOLLAR,10983,2185,1410,2642,5794,6025,3648
1986-04-15T00:00:00.000,092741,SWISS FRANC,28886,5104,5268,11008,17764,12218,5298
1986-04-15T00:00:00.000,097741,JAPANESE YEN,28691,10584,4091,5260,19419,12613,4947
1986-04-30T00:00:00.000,090741,CANADIAN DOLLAR,13670,3401,1553,1523,8759,8435,3047
1986-04-30T00:00:00.000,092741,SWISS FRANC,34855,12412,4465,9501,22399,12326,7375
1986-04-30T00:00:00.000,097741,JAPANESE YEN,38348,20589,2598,3021,28915,13603,5700
1986-05-15T00:00:00.000,090741,CANADIAN DOLLAR,14246,3575,2508,1804,7750,8145,3266
1986-05-15T00:00:00.000,092741,SWISS FRANC,34137,10454,6448,10947,18295,12138,8796
1986-05-15T00:00:00.000,097741,JAPANESE YEN,41423,21080,9829,3951,24218,15919,6903
1986-05-30T00:00:00.000,090741,CANADIAN DOLLAR,14977,2233,125,4384,11258,8010,3244
1986-05-30T00:00:00.000,092741,SWISS FRANC,30766,3248,7550,16153,13789,10123,8185
1986-05-30T00:00:00.000,097741,JAPANESE YEN,38363,18757,4426,6977,22991,11894,10211
1986-06-13T00:00:00.000,090741,CANADIAN DOLLAR,13025,1174,1022,5342,9044,5951,2401
1986-06-13T00:00:00.000,092741,SWISS FRANC,28002,5406,2981,10668,18145,11579,6527
1986-06-13T00:00:00.000,097741,JAPANESE YEN,44257,11445,1731,21763,39077,10242,2642
1986-06-30T00:00:00.000,090741,CANADIAN DOLLAR,9400,1417,932,917,3043,6825,5184
1986-06-30T00:00:00.000,092741,SWISS FRANC,32254,12068,3463,4707,20347,15479,8444
1986-06-30T00:00:00.000,097741,JAPANESE YEN,37443,19761,209,1342,31292,16340,5942
1986-06-30T00:00:00.000,099741,EURO FX,721,0,0,33,36,462,459
1986-07-15T00:00:00.000,090741,CANADIAN DOLLAR,11320,1951,1258,975,6077,8172,3763
1986-07-15T00:00:00.000,092741,SWISS FRANC,32598,10081,2638,7599,20367,14917,9592
1986-07-15T00:00:00.000,097741,JAPANESE YEN,55806,25150,0,8391,47688,22261,8114
1986-07-15T00:00:00.000,099741,EURO FX,460,0,0,33,74,181,140
1986-07-31T00:00:00.000,090741,CANADIAN DOLLAR,13759,1040,1966,6636,6979,5820,4551
1986-07-31T00:00:00.000,092741,SWISS FRANC,35466,12719,1009,6288,22314,16459,12143
1986-07-31T00:00:00.000,097741,JAPANESE YEN,47528,18089,1073,10232,38402,19207,8053
1986-07-31T00:00:00.000,099741,EURO FX,647,0,0,62,75,323,310
1986-08-15T00:00:00.000,090741,CANADIAN DOLLAR,15436,1557,2934,8997,6986,4619,5253
1986-08-15T00:00:00.000,092741,SWISS FRANC,36666,10118,3155,8787,19588,17430,13592
1986-08-15T00:00:00.000,097741,JAPANESE YEN,42796,12356,4840,15238,24532,14795,13017
1986-08-15T00:00:00.000,099741,EURO FX,613,0,30,62,0,400,432
1986-08-29T00:00:00.000,090741,CANADIAN DOLLAR,17501,205,3027,12479,8254,4552,5955
1986-08-29T00:00:00.000,092741,SWISS FRANC,44717,7604,9845,18605,25353,17846,8857
1986-08-29T00:00:00.000,097741,JAPANESE YEN,49571,4774,12165,29260,21788,15214,15295
1986-08-29T00:00:00.000,099741,EURO FX,383,125,0,62,60,46,173
1986-09-15T00:00:00.000,090741,CANADIAN DOLLAR,16111,328,1071,7614,9415,7915,5371
1986-09-15T00:00:00.000,092741,SWISS FRANC,36557,6970,3972,16846,18041,12741,14544
1986-09-15T00:00:00.000,097741,JAPANESE YEN,46360,3054,11634,32194,18734,10558,15438
1986-09-30T00:00:00.000,090741,CANADIAN DOLLAR,9358,249,995,1733,4409,7376,3954
1986-09-30T00:00:00.000,092741,SWISS FRANC,26619,8975,3439,6088,14469,11556,8711
1986-09-30T00:00:00.000,097741,JAPANESE YEN,30463,7607,1470,8279,20688,14307,8035
1986-10-15T00:00:00.000,090741,CANADIAN DOLLAR,11095,462,2173,3183,4609,7333,4196
1986-10-15T00:00:00.000,092741,SWISS FRANC,33920,14599,4222,6266,21678,13055,8020
1986-10-15T00:00:00.000,097741,JAPANESE YEN,32044,5164,2153,12210,20756,14282,8747
1986-10-31T00:00:00.000,090741,CANADIAN DOLLAR,12377,702,2970,4355,4863,7298,4522
1986-10-31T00:00:00.000,092741,SWISS FRANC,32621,4697,8971,16250,9158,11593,14411
1986-10-31T00:00:00.000,097741,JAPANESE YEN,43062,2164,11814,28966,14400,11624,16540
1986-11-14T00:00:00.000,090741,CANADIAN DOLLAR,15667,4160,1723,1957,9336,9550,4608
1986-11-14T00:00:00.000,092741,SWISS FRANC,33294,4099,3116,16613,15891,12448,14153
1986-11-14T00:00:00.000,097741,JAPANESE YEN,40547,2621,8997,24945,17709,12606,13466
1986-11-28T00:00:00.000,090741,CANADIAN DOLLAR,14648,1620,1750,3931,8149,9097,4749
1986-11-28T00:00:00.000,092741,SWISS FRANC,34495,4507,2964,15496,19709,14492,11822
1986-11-28T00:00:00.000,097741,JAPANESE YEN,41052,3366,9269,24090,18622,13272,12837
1986-12-15T00:00:00.000,090741,CANADIAN DOLLAR,18363,3056,1076,5407,12762,9900,4525
1986-12-15T00:00:00.000,092741,SWISS FRANC,29054,5274,4838,11904,11264,10889,11965
1986-12-15T00:00:00.000,097741,JAPANESE YEN,37066,2914,8047,25684,13389,8468,15630
1986-12-31T00:00:00.000,090741,CANADIAN DOLLAR,14937,2905,1098,3637,10078,8395,3761
1986-12-31T00:00:00.000,092741,SWISS FRANC,23138,6487,4235,4455,10058,12196,8845
1986-12-31T00:00:00.000,097741,JAPANESE YEN,23172,5398,1606,6393,14390,11114,6909
1987-01-15T00:00:00.000,090741,CANADIAN DOLLAR,15379,3591,1577,2253,10023,9535,3779
1987-01-15T00:00:00.000,092741,SWISS FRANC,31252,8914,5204,7769,13994,14369,11854
1987-01-15T00:00:00.000,097741,JAPANESE YEN,33067,10555,1291,7143,25685,15369,6091
1987-01-30T00:00:00.000,090741,CANADIAN DOLLAR,23106,6196,1031,1521,16513,14524,4697
1987-01-30T00:00:00.000,092741,SWISS FRANC,33581,8174,5950,9138,15512,16138,11988
1987-01-30T00:00:00.000,097741,JAPANESE YEN,32164,6749,1285,11537,19777,13878,11102
1987-01-30T00:00:00.000,232741,AUSTRALIAN DOLLAR,1687,392,210,610,294,685,1183
1987-02-13T00:00:00.000,090741,CANADIAN DOLLAR,24222,4639,1482,3870,16528,14020,4519
1987-02-13T00:00:00.000,092741,SWISS FRANC,34833,6516,9896,13939,12818,14103,11844
1987-02-13T00:00:00.000,097741,JAPANESE YEN,30292,9220,2250,8902,19576,12170,8466
1987-02-27T00:00:00.000,090741,CANADIAN DOLLAR,24837,6827,1057,2839,17301,13476,4784
1987-02-27T00:00:00.000,092741,SWISS FRANC,36210,7372,8874,14129,14942,14162,11847
1987-02-27T00:00:00.000,097741,JAPANESE YEN,31988,9321,1777,8991,20906,12876,8505
1987-03-13T00:00:00.000,090741,CANADIAN DOLLAR,34455,11212,220,6548,28631,14880,3789
1987-03-13T00:00:00.000,092741,SWISS FRANC,31397,5130,7901,12479,11962,13588,11334
1987-03-13T00:00:00.000,097741,JAPANESE YEN,37276,9687,2179,13648,26997,13541,7700
1987-03-31T00:00:00.000,090741,CANADIAN DOLLAR,27963,7855,469,2467,21486,16494,4861
1987-03-31T00:00:00.000,092741,SWISS FRANC,29102,7277,8286,5295,13081,16330,7535
1987-03-31T00:00:00.000,097741,JAPANESE YEN,43282,18352,2427,7055,31980,17345,8345
1987-04-15T00:00:00.000,090741,CANADIAN DOLLAR,25825,3643,800,7102,17741,14534,6738
1987-04-15T00:00:00.000,092741,SWISS FRANC,31042,6391,5998,8381,16689,16270,8355
1987-04-15T00:00:00.000,097741,JAPANESE YEN,46438,18351,2078,9677,32702,17650,10898
1987-04-30T00:00:00.000,090741,CANADIAN DOLLAR,24537,1721,1853,10780,16301,11594,5941
1987-04-30T00:00:00.000,092741,SWISS FRANC,31854,6116,5925,9186,16523,16552,9406
1987-04-30T00:00:00.000,097741,JAPANESE YEN,47410,17264,3188,11800,29445,18135,14566
1987-05-15T00:00:00.000,090741,CANADIAN DOLLAR,24663,1667,1257,10648,15474,10889,6473
1987-05-15T00:00:00.000,092741,SWISS FRANC,34132,8789,5069,8182,17040,16912,11774
1987-05-15T00:00:00.000,097741,JAPANESE YEN,44609,12553,2308,14053,27843,17661,14116
1987-05-29T00:00:00.000,090741,CANADIAN DOLLAR,25406,1521,1165,11135,15679,11049,6861
1987-05-29T00:00:00.000,092741,SWISS FRANC,33551,7134,4526,12973,16451,13133,12263
1987-05-29T00:00:00.000,097741,JAPANESE YEN,51681,15948,5737,25786,25813,9464,19648
1987-05-29T00:00:00.000,232741,AUSTRALIAN DOLLAR,1991,633,0,217,545,1141,1446
1987-06-15T00:00:00.000,090741,CANADIAN DOLLAR,25820,1507,580,11588,15783,11006,7738
1987-06-15T00:00:00.000,092741,SWISS FRANC,31521,6505,4498,10832,15011,14184,12012
1987-06-15T00:00:00.000,097741,JAPANESE YEN,40871,8319,1777,18556,20839,13258,17517
1987-06-30T00:00:00.000,090741,CANADIAN DOLLAR,19674,3215,274,6380,17673,9482,1130
1987-06-30T00:00:00.000,092741,SWISS FRANC,24351,4894,5631,7933,10368,11524,8352
1987-06-30T00:00:00.000,097741,JAPANESE YEN,27969,4612,5846,17129,7588,3317,11624
1987-07-15T00:00:00.000,090741,CANADIAN DOLLAR,23082,4652,0,2723,17705,14817,4487
1987-07-15T00:00:00.000,092741,SWISS FRANC,27142,3874,5041,9842,8418,13186,13443
1987-07-15T00:00:00.000,097741,JAPANESE YEN,35984,6671,7081,13112,8079,14328,18951
1987-07-31T00:00:00.000,090741,CANADIAN DOLLAR,19033,2531,284,5047,13388,10605,4511
1987-07-31T00:00:00.000,092741,SWISS FRANC,29387,6932,5488,11831,10963,10603,12915
1987-07-31T00:00:00.000,097741,JAPANESE YEN,38334,8740,6215,13389,13214,15726,18426
1987-07-31T00:00:00.000,232741,AUSTRALIAN DOLLAR,4182,2700,1157,0,1580,1482,1445
1987-08-14T00:00:00.000,090741,CANADIAN DOLLAR,18322,2530,0,3477,12712,11729,5024
1987-08-14T00:00:00.000,092741,SWISS FRANC,31829,5112,6499,11020,10531,15517,14619
1987-08-14T00:00:00.000,097741,JAPANESE YEN,37320,6665,8533,15426,11586,14337,16309
1987-08-14T00:00:00.000,232741,AUSTRALIAN DOLLAR,4202,2700,1157,0,1807,1502,1238
1987-08-31T00:00:00.000,090741,CANADIAN DOLLAR,23449,5651,587,1803,17769,15637,4735
1987-08-31T00:00:00.000,092741,SWISS FRANC,31898,6663,3683,6847,16142,18176,11861
1987-08-31T00:00:00.000,097741,JAPANESE YEN,52905,21447,1669,10411,34721,20130,15598
1987-08-31T00:00:00.000,232741,AUSTRALIAN DOLLAR,4142,2700,1157,0,2128,1442,857
