observation_date,BSCICP03ESM665S
1963-10-01,101.92690
1963-11-01,102.53900
1963-12-01,102.78110
1964-01-01,102.73400
1964-02-01,102.62280
1964-03-01,102.66770
1964-04-01,102.87020
1964-05-01,103.16300
1964-06-01,103.46870
1964-07-01,103.53650
1964-08-01,103.41940
1964-09-01,103.27490
1964-10-01,103.09210
1964-11-01,102.90120
1964-12-01,102.82550
1965-01-01,102.75160
1965-02-01,102.86130
1965-03-01,102.85790
1965-04-01,102.76910
1965-05-01,102.62440
1965-06-01,102.47900
1965-07-01,102.36290
1965-08-01,102.36120
1965-09-01,102.46960
1965-10-01,102.59590
1965-11-01,102.71260
1965-12-01,102.73030
1966-01-01,102.70670
1966-02-01,102.69870
1966-03-01,102.72090
1966-04-01,102.62320
1966-05-01,102.39440
1966-06-01,102.12980
1966-07-01,101.86890
1966-08-01,101.59920
1966-09-01,101.32210
1966-10-01,101.06190
1966-11-01,100.81670
1966-12-01,100.55880
1967-01-01,100.28380
1967-02-01,99.94303
1967-03-01,99.58842
1967-04-01,99.38718
1967-05-01,99.19485
1967-06-01,98.95190
1967-07-01,98.68067
1967-08-01,98.40257
1967-09-01,98.21379
1967-10-01,98.04235
1967-11-01,97.83678
1967-12-01,97.73761
1968-01-01,97.76171
1968-02-01,97.83637
1968-03-01,97.90546
1968-04-01,98.05019
1968-05-01,98.28982
1968-06-01,98.63223
1968-07-01,98.96473
1968-08-01,99.36301
1968-09-01,99.88899
1968-10-01,100.38800
1968-11-01,100.87490
1968-12-01,101.36050
1969-01-01,101.75610
1969-02-01,102.10400
1969-03-01,102.44270
1969-04-01,102.71960
1969-05-01,102.97340
1969-06-01,103.18730
1969-07-01,103.36170
1969-08-01,103.55990
1969-09-01,103.66950
1969-10-01,103.72470
1969-11-01,103.79670
1969-12-01,103.87390
1970-01-01,103.91970
1970-02-01,103.86080
1970-03-01,103.67140
1970-04-01,103.23660
1970-05-01,102.73760
1970-06-01,102.17430
1970-07-01,101.60360
1970-08-01,100.98630
1970-09-01,100.49680
1970-10-01,100.16350
1970-11-01,99.83731
1970-12-01,99.45925
1971-01-01,99.12646
1971-02-01,98.94897
1971-03-01,98.92642
1971-04-01,99.06044
1971-05-01,99.24689
1971-06-01,99.46760
1971-07-01,99.79935
1971-08-01,100.19310
1971-09-01,100.46820
1971-10-01,100.70010
1971-11-01,100.88000
1971-12-01,101.00930
1972-01-01,101.31020
1972-02-01,101.70530
1972-03-01,102.10340
1972-04-01,102.52550
1972-05-01,102.90170
1972-06-01,103.23620
1972-07-01,103.49120
1972-08-01,103.64330
1972-09-01,103.88470
1972-10-01,104.14510
1972-11-01,104.37190
1972-12-01,104.53000
1973-01-01,104.70100
1973-02-01,104.79440
1973-03-01,104.83330
1973-04-01,104.86050
1973-05-01,104.89970
1973-06-01,104.99320
1973-07-01,105.09830
1973-08-01,105.18840
1973-09-01,105.34400
1973-10-01,105.59710
1973-11-01,105.77550
1973-12-01,105.70610
1974-01-01,105.36200
1974-02-01,104.93170
1974-03-01,104.44700
1974-04-01,103.88730
1974-05-01,103.27360
1974-06-01,102.57640
1974-07-01,101.80860
1974-08-01,101.00560
1974-09-01,100.14690
1974-10-01,99.43719
1974-11-01,98.79758
1974-12-01,98.24911
1975-01-01,97.83592
1975-02-01,97.45712
1975-03-01,97.14961
1975-04-01,97.01086
1975-05-01,97.05042
1975-06-01,97.13323
1975-07-01,97.13546
1975-08-01,97.12229
1975-09-01,97.15032
1975-10-01,97.41093
1975-11-01,97.81142
1975-12-01,98.17044
1976-01-01,98.46894
1976-02-01,98.81692
1976-03-01,99.28519
1976-04-01,99.88320
1976-05-01,100.41640
1976-06-01,100.67020
1976-07-01,100.65800
1976-08-01,100.43350
1976-09-01,100.16720
1976-10-01,100.11030
1976-11-01,100.14510
1976-12-01,100.29740
1977-01-01,100.37590
1977-02-01,100.40650
1977-03-01,100.35800
1977-04-01,99.85158
1977-05-01,99.05550
1977-06-01,98.27988
1977-07-01,97.79537
1977-08-01,97.56654
1977-09-01,97.47573
1977-10-01,97.09583
1977-11-01,96.36748
1977-12-01,95.58800
1978-01-01,94.96719
1978-02-01,95.01584
1978-03-01,95.27730
1978-04-01,95.64691
1978-05-01,96.17573
1978-06-01,96.76601
1978-07-01,97.22875
1978-08-01,97.60548
1978-09-01,97.90093
1978-10-01,98.16235
1978-11-01,98.31437
1978-12-01,98.28842
1979-01-01,98.26167
1979-02-01,98.29200
1979-03-01,98.41000
1979-04-01,98.58856
1979-05-01,98.62495
1979-06-01,98.35305
1979-07-01,97.80247
1979-08-01,97.27498
1979-09-01,97.04819
1979-10-01,96.92580
1979-11-01,96.85532
1979-12-01,96.78983
1980-01-01,96.75843
1980-02-01,96.67125
1980-03-01,96.48103
1980-04-01,96.20521
1980-05-01,95.98586
1980-06-01,95.90942
1980-07-01,96.03070
1980-08-01,96.25375
1980-09-01,96.27583
1980-10-01,96.14606
1980-11-01,96.04797
1980-12-01,95.97321
1981-01-01,95.88470
1981-02-01,95.79156
1981-03-01,95.70715
1981-04-01,95.74232
1981-05-01,95.86406
1981-06-01,96.12086
1981-07-01,96.45593
1981-08-01,96.77602
1981-09-01,97.00735
1981-10-01,97.10116
1981-11-01,97.06303
1981-12-01,97.11967
1982-01-01,97.30093
1982-02-01,97.57872
1982-03-01,97.88113
1982-04-01,98.07523
1982-05-01,98.12069
1982-06-01,97.87569
1982-07-01,97.57266
1982-08-01,97.34662
1982-09-01,97.27764
1982-10-01,97.16085
1982-11-01,97.22690
1982-12-01,97.34665
1983-01-01,97.55150
1983-02-01,97.78332
1983-03-01,97.81989
1983-04-01,97.62941
1983-05-01,97.33395
1983-06-01,97.26962
1983-07-01,97.36993
1983-08-01,97.55592
1983-09-01,97.76608
1983-10-01,97.90073
1983-11-01,97.93749
1983-12-01,97.92705
1984-01-01,97.89118
1984-02-01,97.89835
1984-03-01,97.77385
1984-04-01,97.74407
1984-05-01,97.90960
1984-06-01,98.14463
1984-07-01,98.25722
1984-08-01,98.21026
1984-09-01,98.13921
1984-10-01,98.07330
1984-11-01,97.94143
1984-12-01,97.83353
1985-01-01,97.67638
1985-02-01,97.53702
1985-03-01,97.58436
1985-04-01,97.70745
1985-05-01,97.79381
1985-06-01,97.80182
1985-07-01,97.86978
1985-08-01,98.11250
1985-09-01,98.35783
1985-10-01,98.55547
1985-11-01,98.72708
1985-12-01,98.89890
1986-01-01,98.93015
1986-02-01,98.86242
1986-03-01,98.82324
1986-04-01,98.76809
1986-05-01,98.71502
1986-06-01,98.73464
1986-07-01,98.87292
1986-08-01,99.00122
1986-09-01,99.19928
1986-10-01,99.36625
1986-11-01,99.47870
1986-12-01,99.55395
1987-01-01,99.66788
1987-02-01,99.87974
1987-03-01,100.18330
1987-04-01,100.42520
1987-05-01,100.65330
1987-06-01,100.90670
1987-07-01,101.14440
1987-08-01,101.36320
1987-09-01,101.32090
1987-10-01,101.13820
1987-11-01,101.10650
1987-12-01,101.10880
1988-01-01,101.13940
1988-02-01,101.04800
1988-03-01,100.97790
1988-04-01,100.96880
1988-05-01,100.89040
1988-06-01,100.82240
1988-07-01,100.74210
1988-08-01,100.76880
1988-09-01,100.93060
1988-10-01,101.25560
1988-11-01,101.51210
1988-12-01,101.56780
1989-01-01,101.52400
1989-02-01,101.44520
1989-03-01,101.38300
1989-04-01,101.35720
1989-05-01,101.32050
1989-06-01,101.24300
1989-07-01,101.22640
1989-08-01,101.17220
1989-09-01,101.10990
1989-10-01,101.05670
1989-11-01,100.86400
1989-12-01,100.66200
1990-01-01,100.48540
1990-02-01,100.12370
1990-03-01,99.74740
1990-04-01,99.33115
1990-05-01,98.99147
1990-06-01,98.93372
1990-07-01,98.83412
1990-08-01,98.67928
1990-09-01,98.61174
1990-10-01,98.49847
1990-11-01,98.29155
1990-12-01,98.21968
1991-01-01,97.97878
1991-02-01,97.50739
1991-03-01,97.18857
1991-04-01,97.10948
1991-05-01,97.06756
1991-06-01,97.00132
1991-07-01,97.24734
1991-08-01,97.68790
1991-09-01,97.85667
1991-10-01,97.98369
1991-11-01,98.06418
1991-12-01,98.04438
1992-01-01,98.09279
1992-02-01,98.05318
1992-03-01,97.96299
1992-04-01,97.81932
1992-05-01,97.45412
1992-06-01,96.95146
1992-07-01,96.60235
1992-08-01,96.52786
1992-09-01,96.28558
1992-10-01,95.56952
1992-11-01,94.82370
1992-12-01,94.21880
1993-01-01,93.92893
1993-02-01,94.05246
1993-03-01,94.17876
1993-04-01,94.32005
1993-05-01,94.49195
1993-06-01,94.66988
1993-07-01,94.87130
1993-08-01,95.32948
1993-09-01,96.01855
1993-10-01,96.54710
1993-11-01,96.87626
1993-12-01,97.22112
1994-01-01,97.68254
1994-02-01,98.17585
1994-03-01,98.77077
1994-04-01,99.35447
1994-05-01,99.72067
1994-06-01,100.04140
1994-07-01,100.38330
1994-08-01,100.60230
1994-09-01,100.80280
1994-10-01,101.11830
1994-11-01,101.43340
1994-12-01,101.69340
1995-01-01,101.82360
1995-02-01,101.87970
1995-03-01,101.76190
1995-04-01,101.49010
1995-05-01,100.89220
1995-06-01,100.40400
1995-07-01,100.20030
1995-08-01,100.01950
1995-09-01,99.69933
1995-10-01,99.31812
1995-11-01,99.00729
1995-12-01,98.66791
1996-01-01,98.35969
1996-02-01,98.26900
1996-03-01,98.37223
1996-04-01,98.56542
1996-05-01,98.79569
1996-06-01,99.06341
1996-07-01,99.40696
1996-08-01,99.65455
1996-09-01,99.92105
1996-10-01,99.98907
1996-11-01,99.94154
1996-12-01,99.97633
1997-01-01,100.21930
1997-02-01,100.51370
1997-03-01,100.74380
1997-04-01,101.02920
1997-05-01,101.41650
1997-06-01,101.76970
1997-07-01,102.14550
1997-08-01,102.49830
1997-09-01,102.83260
1997-10-01,102.92760
1997-11-01,102.84440
1997-12-01,102.63440
1998-01-01,102.50140
1998-02-01,102.36670
1998-03-01,102.25550
1998-04-01,102.13920
1998-05-01,102.22180
1998-06-01,102.43150
1998-07-01,102.39600
1998-08-01,102.03490
1998-09-01,101.59450
1998-10-01,101.20790
1998-11-01,101.00330
1998-12-01,100.98210
1999-01-01,100.91120
1999-02-01,100.93020
1999-03-01,101.09460
1999-04-01,101.12240
1999-05-01,101.12870
1999-06-01,101.10930
1999-07-01,101.14940
1999-08-01,101.32560
1999-09-01,101.68560
1999-10-01,101.99390
1999-11-01,102.01620
1999-12-01,101.85650
2000-01-01,101.83730
2000-02-01,102.03310
2000-03-01,102.25120
2000-04-01,102.36350
2000-05-01,102.45950
2000-06-01,102.51910
2000-07-01,102.45340
2000-08-01,102.43590
2000-09-01,102.30400
2000-10-01,102.10390
2000-11-01,102.06640
2000-12-01,102.08380
2001-01-01,101.96220
2001-02-01,101.63870
2001-03-01,101.28360
2001-04-01,100.99840
2001-05-01,100.85830
2001-06-01,100.72810
2001-07-01,100.55870
2001-08-01,100.32210
2001-09-01,100.10260
2001-10-01,99.94200
2001-11-01,99.94254
2001-12-01,100.07520
2002-01-01,100.06210
2002-02-01,100.08430
2002-03-01,100.18850
2002-04-01,100.46130
2002-05-01,100.78710
2002-06-01,100.88880
2002-07-01,100.90090
2002-08-01,100.79810
2002-09-01,100.59920
2002-10-01,100.44940
2002-11-01,100.31170
2002-12-01,100.31160
2003-01-01,100.54310
2003-02-01,100.77540
2003-03-01,100.74900
2003-04-01,100.66650
2003-05-01,100.53520
2003-06-01,100.48390
2003-07-01,100.69910
2003-08-01,101.00680
2003-09-01,101.06800
2003-10-01,101.16550
2003-11-01,101.20430
2003-12-01,101.14200
2004-01-01,101.12590
2004-02-01,101.20350
2004-03-01,101.26020
2004-04-01,101.41110
2004-05-01,101.51430
2004-06-01,101.50840
2004-07-01,101.38760
2004-08-01,101.28570
2004-09-01,101.32330
2004-10-01,101.41690
2004-11-01,101.33840
2004-12-01,101.18870
2005-01-01,101.04620
2005-02-01,100.82300
2005-03-01,100.70100
2005-04-01,100.61210
2005-05-01,100.55590
2005-06-01,100.62980
2005-07-01,100.88990
2005-08-01,101.10080
2005-09-01,101.21870
2005-10-01,101.21950
2005-11-01,101.11750
2005-12-01,101.02310
2006-01-01,100.83470
2006-02-01,100.91940
2006-03-01,101.10920
2006-04-01,101.30000
2006-05-01,101.53600
2006-06-01,101.60330
2006-07-01,101.53710
2006-08-01,101.51490
2006-09-01,101.62980
2006-10-01,101.67800
2006-11-01,101.76730
2006-12-01,101.99510
2007-01-01,102.10480
2007-02-01,102.15770
2007-03-01,102.18790
2007-04-01,102.05240
2007-05-01,101.86960
2007-06-01,101.76380
2007-07-01,101.67730
2007-08-01,101.55350
2007-09-01,101.38480
2007-10-01,101.18010
2007-11-01,101.21170
2007-12-01,101.08590
2008-01-01,100.68940
2008-02-01,100.21680
2008-03-01,99.82480
2008-04-01,99.44003
2008-05-01,98.97523
2008-06-01,98.59675
2008-07-01,98.32941
2008-08-01,97.86819
2008-09-01,97.13873
2008-10-01,96.23081
2008-11-01,95.40479
2008-12-01,94.80719
2009-01-01,94.61277
2009-02-01,94.46896
2009-03-01,94.56979
2009-04-01,94.97882
2009-05-01,95.37199
2009-06-01,95.78168
2009-07-01,96.32082
2009-08-01,96.83179
2009-09-01,97.10957
2009-10-01,97.30932
2009-11-01,97.39498
2009-12-01,97.48676
2010-01-01,97.67775
2010-02-01,97.94214
2010-03-01,98.37422
2010-04-01,98.70900
2010-05-01,98.84776
2010-06-01,98.97286
2010-07-01,99.05713
2010-08-01,99.09058
2010-09-01,99.11340
2010-10-01,99.28021
2010-11-01,99.48549
2010-12-01,99.66579
2011-01-01,99.67265
2011-02-01,99.56133
2011-03-01,99.40810
2011-04-01,99.32381
2011-05-01,99.25537
2011-06-01,99.26539
2011-07-01,99.13162
2011-08-01,98.96236
2011-09-01,98.74384
2011-10-01,98.58775
2011-11-01,98.36332
2011-12-01,98.28348
2012-01-01,98.48427
2012-02-01,98.57703
2012-03-01,98.58114
2012-04-01,98.53811
2012-05-01,98.44882
2012-06-01,98.25795
2012-07-01,98.11914
2012-08-01,97.98000
2012-09-01,98.01409
2012-10-01,98.13461
2012-11-01,98.33168
2012-12-01,98.47366
2013-01-01,98.57911
2013-02-01,98.73344
2013-03-01,98.72942
2013-04-01,98.73369
2013-05-01,98.86079
2013-06-01,99.01257
2013-07-01,99.14194
2013-08-01,99.23791
2013-09-01,99.25485
2013-10-01,99.25111
2013-11-01,99.43060
2013-12-01,99.69711
2014-01-01,99.86566
2014-02-01,99.92371
2014-03-01,99.86256
2014-04-01,99.89301
2014-05-01,100.03740
2014-06-01,100.23580
2014-07-01,100.41700
2014-08-01,100.45630
2014-09-01,100.42390
2014-10-01,100.42890
2014-11-01,100.49510
2014-12-01,100.55590
2015-01-01,100.77900
2015-02-01,101.09560
2015-03-01,101.46510
2015-04-01,101.75470
2015-05-01,101.91690
2015-06-01,101.91470
2015-07-01,101.83290
2015-08-01,101.78330
2015-09-01,101.63370
2015-10-01,101.44930
2015-11-01,101.42670
2015-12-01,101.53140
2016-01-01,101.42240
2016-02-01,101.32500
2016-03-01,101.27980
2016-04-01,101.22030
2016-05-01,101.17490
2016-06-01,101.20880
2016-07-01,101.15640
2016-08-01,101.09650
2016-09-01,101.22770
2016-10-01,101.44040
2016-11-01,101.55680
2016-12-01,101.56780
2017-01-01,101.73140
2017-02-01,101.85800
2017-03-01,101.75310
2017-04-01,101.65720
2017-05-01,101.66650
2017-06-01,101.71200
2017-07-01,101.66690
2017-08-01,101.77050
2017-09-01,102.02810
2017-10-01,102.28380
2017-11-01,102.50970
2017-12-01,102.51110
2018-01-01,102.38490
2018-02-01,102.22490
2018-03-01,102.09190
2018-04-01,101.99720
2018-05-01,101.78210
2018-06-01,101.52500
2018-07-01,101.22890
2018-08-01,101.03950
2018-09-01,101.11130
2018-10-01,101.28870
2018-11-01,101.34680
2018-12-01,101.16620
2019-01-01,101.00680
2019-02-01,100.96580
2019-03-01,101.01890
2019-04-01,100.96450
2019-05-01,100.97600
2019-06-01,101.07000
2019-07-01,101.19240
2019-08-01,101.22230
2019-09-01,100.90830
2019-10-01,100.71760
2019-11-01,100.89970
2019-12-01,101.05150
2020-01-01,100.87330
2020-02-01,100.23190
2020-03-01,98.71349
2020-04-01,96.69490
2020-05-01,96.17811
2020-06-01,97.14098
2020-07-01,98.56214
2020-08-01,99.49077
2020-09-01,99.91210
2020-10-01,100.07290
2020-11-01,100.19680
2020-12-01,100.32370
2021-01-01,100.51820
2021-02-01,100.66410
2021-03-01,100.99340
2021-04-01,101.35380
2021-05-01,101.64210
2021-06-01,101.81450
2021-07-01,102.04820
2021-08-01,102.19780
2021-09-01,102.36250
2021-10-01,102.56080
2021-11-01,102.70280
2021-12-01,102.88010
2022-01-01,103.00910
2022-02-01,102.94690
2022-03-01,102.47960
2022-04-01,101.97060
2022-05-01,101.75300
2022-06-01,101.52480
2022-07-01,101.09390
2022-08-01,100.80190
2022-09-01,100.70440
2022-10-01,100.66710
2022-11-01,100.58060
2022-12-01,100.65230
2023-01-01,100.74960
2023-02-01,100.81740
2023-03-01,100.95600
2023-04-01,100.94360
2023-05-01,100.62460
2023-06-01,100.25510
2023-07-01,100.07880
2023-08-01,100.09020
2023-09-01,100.03600
2023-10-01,100.00880
2023-11-01,100.07140
2023-12-01,100.32320
2024-01-01,100.62300
