observation_date,DEUB6BLTT02STSAQ
1991-01-01,-1.79114799999999996
1991-04-01,-1.34160499999999994
1991-07-01,-0.63209459999999995
1991-10-01,-1.12158599999999997
1992-01-01,-1.17569600000000007
1992-04-01,-0.93671649999999995
1992-07-01,-0.08321974000000000
1992-10-01,-1.84983800000000009
1993-01-01,-0.58356190000000008
1993-04-01,-0.57344040000000007
1993-07-01,-1.15375500000000009
1993-10-01,-0.99356570000000000
1994-01-01,-1.38768399999999992
1994-04-01,-0.77863749999999998
1994-07-01,-1.43793700000000002
1994-10-01,-1.86398299999999995
1995-01-01,-1.40969999999999995
1995-04-01,-0.92792859999999999
1995-07-01,-1.12699600000000011
1995-10-01,-1.18512299999999993
1996-01-01,-0.74212650000000002
1996-04-01,-0.80311619999999995
1996-07-01,-0.40570349999999999
1996-10-01,-0.44272099999999998
1997-01-01,-1.46779900000000008
1997-04-01,-0.21727879999999999
1997-07-01,0.10897020000000000
1997-10-01,-0.12535669999999999
1998-01-01,-0.74430839999999998
1998-04-01,-0.17406920000000001
1998-07-01,-0.33360759999999989
1998-10-01,-0.80948229999999999
1999-01-01,-1.70076200000000011
1999-04-01,-0.48087570000000007
1999-07-01,-1.14647900000000003
1999-10-01,-1.55290799999999996
2000-01-01,-0.93290390000000001
2000-04-01,-1.01055500000000009
2000-07-01,-2.20332600000000012
2000-10-01,-2.37274900000000022
2001-01-01,-1.06924500000000000
2001-04-01,-0.57703070000000001
2001-07-01,0.06611942000000000
2001-10-01,0.54561409999999999
2002-01-01,1.23485800000000001
2002-04-01,1.94085799999999997
2002-07-01,2.69285100000000011
2002-10-01,1.52326199999999989
2003-01-01,0.85596349999999999
2003-04-01,1.29162899999999992
2003-07-01,2.04367900000000002
2003-10-01,1.53822499999999995
2004-01-01,4.31485599999999980
2004-04-01,5.34394800000000014
2004-07-01,4.26676199999999994
2004-10-01,3.93206800000000012
2005-01-01,4.81991700000000023
2005-04-01,5.10107399999999966
2005-07-01,5.00355599999999967
2005-10-01,3.65652599999999994
2006-01-01,5.00511399999999984
2006-04-01,5.62292699999999979
2006-07-01,5.80743499999999990
2006-10-01,6.38141400000000036
2007-01-01,6.64324400000000015
2007-04-01,6.92149499999999929
2007-07-01,6.84651700000000041
2007-10-01,6.11065900000000006
2008-01-01,6.56682699999999997
2008-04-01,6.67321700000000018
2008-07-01,5.20648499999999981
2008-10-01,4.10371799999999975
2009-01-01,4.96118199999999998
2009-04-01,5.36511300000000002
2009-07-01,6.32740500000000061
2009-10-01,6.72829799999999967
2010-01-01,5.61221299999999967
2010-04-01,5.64601600000000037
2010-07-01,5.77320399999999978
2010-10-01,5.95024800000000020
2011-01-01,6.23153500000000005
2011-04-01,6.00372799999999973
2011-07-01,6.66291000000000100
2011-10-01,6.21716999999999942
2012-01-01,7.19615700000000036
2012-04-01,7.22616100000000028
2012-07-01,7.66696400000000011
2012-10-01,6.70427400000000073
2013-01-01,6.44906500000000005
2013-04-01,6.88936300000000035
2013-07-01,6.56655299999999986
2013-10-01,7.15048999999999957
2014-01-01,6.84085799999999988
2014-04-01,6.89861500000000039
2014-07-01,7.96643999999999863
2014-10-01,7.57747299999999857
2015-01-01,7.68949799999999861
2015-04-01,8.19394100000000059
2015-07-01,9.03311899999999923
2015-10-01,8.28237200000000051
2016-01-01,8.54076300000000010
2016-04-01,9.89179999999999993
2016-07-01,9.06409999999999982
2016-10-01,8.45962299999999878
2017-01-01,8.05705200000000055
2017-04-01,7.11677299999999935
2017-07-01,8.99468899999999927
2017-10-01,8.25321199999999955
2018-01-01,8.84128999999999898
2018-04-01,9.24699099999999952
2018-07-01,8.34368300000000040
2018-10-01,7.45037299999999991
2019-01-01,7.95665399999999856
2019-04-01,7.89275299999999991
2019-07-01,8.68577900000000014
2019-10-01,7.32903299999999991
2020-01-01,6.00346099999999971
2020-04-01,4.74348499999999973
2020-07-01,7.51233200000000156
2020-10-01,7.00957000000000008
2021-01-01,7.23001700000000014
2021-04-01,7.62873300000000043
2021-07-01,7.58801000000000148
2021-10-01,5.62169200000000036
2022-01-01,4.59894699999999990
2022-04-01,3.35005400000000009
2022-07-01,3.80745200000000006
2022-10-01,3.81676899999999986
2023-01-01,4.34081799999999962
2023-04-01,5.17040500000000058
2023-07-01,6.49233800000000016
2023-10-01,6.13175800000000049
2024-01-01,6.21825100000000042
2024-04-01,6.77057599999999926
2024-07-01,5.67434400000000050
2024-10-01,4.25973199999999963
