observation_date,FRAPIEAMP01GYM
2002-12-01,1.2761020882
2003-01-01,1.3904982619
2003-02-01,1.7361111111
2003-03-01,1.4976958525
2003-04-01,0.2293577982
2003-05-01,-0.3440366972
2003-06-01,-0.2298850575
2003-07-01,-0.1146788991
2003-08-01,0.1146788991
2003-09-01,0.0000000000
2003-10-01,-0.1144164760
2003-11-01,0.5747126437
2003-12-01,0.0000000000
2004-01-01,0.0000000000
2004-02-01,-0.3412969283
2004-03-01,-0.1135073780
2004-04-01,1.1441647597
2004-05-01,2.3014959724
2004-06-01,2.6497695853
2004-07-01,2.7554535017
2004-08-01,2.9782359679
2004-09-01,3.0927835052
2004-10-01,3.6655211913
2004-11-01,3.2000000000
2004-12-01,2.9782359679
2005-01-01,3.2000000000
2005-02-01,2.8538812785
2005-03-01,3.4090909091
2005-04-01,3.2805429864
2005-05-01,2.3622047244
2005-06-01,2.9180695847
2005-07-01,2.5698324022
2005-08-01,3.2258064516
2005-09-01,2.8888888889
2005-10-01,2.0994475138
2005-11-01,1.9933554817
2005-12-01,2.8921023359
2006-01-01,2.7685492802
2006-02-01,3.2186459489
2006-03-01,2.6373626374
2006-04-01,3.1763417306
2006-05-01,4.0659340659
2006-06-01,3.8167938931
2006-07-01,3.8126361656
2006-08-01,2.8017241379
2006-09-01,2.0518358531
2006-10-01,2.2727272727
2006-11-01,2.3887079262
2006-12-01,2.0540540541
2007-01-01,1.8318965517
2007-02-01,2.2580645161
2007-03-01,2.2483940043
2007-04-01,1.6985138004
2007-05-01,1.5839493136
2007-06-01,1.1554621849
2007-07-01,1.3641133263
2007-08-01,1.4675052411
2007-09-01,2.8571428571
2007-10-01,2.9629629630
2007-11-01,3.9236479321
2007-12-01,4.2372881356
2008-01-01,4.5502645503
2008-02-01,4.3112513144
2008-03-01,4.3979057592
2008-04-01,4.6972860125
2008-05-01,5.6133056133
2008-06-01,6.2305295950
2008-07-01,6.5217391304
2008-08-01,5.8884297521
2008-09-01,5.0411522634
2008-10-01,3.5971223022
2008-11-01,1.1224489796
2008-12-01,-0.9146341463
2009-01-01,-3.0364372470
2009-02-01,-3.7298387097
2009-03-01,-4.7141424273
2009-04-01,-5.2841475573
2009-05-01,-6.3976377953
2009-06-01,-6.6471163245
2009-07-01,-7.2886297376
2009-08-01,-6.5365853659
2009-09-01,-6.5621939275
2009-10-01,-5.3571428571
2009-11-01,-3.5317860747
2009-12-01,-1.9487179487
2010-01-01,0.4175365344
2010-02-01,0.7329842932
2010-03-01,1.5789473684
2010-04-01,2.1052631579
2010-05-01,2.3133543638
2010-06-01,2.3036649215
2010-07-01,2.3060796646
2010-08-01,1.8789144050
2010-09-01,2.7253668763
2010-10-01,2.9350104822
2010-11-01,3.1380753138
2010-12-01,3.6610878661
2011-01-01,3.9501039501
2011-02-01,4.5738045738
2011-03-01,5.0777202073
2011-04-01,5.2577319588
2011-05-01,4.7276464543
2011-06-01,4.1965199591
2011-07-01,4.7131147541
2011-08-01,4.6106557377
2011-09-01,4.2857142857
2011-10-01,4.0733197556
2011-11-01,3.8539553753
2011-12-01,3.2290615540
2012-01-01,3.1000000000
2012-02-01,2.9821073559
2012-03-01,2.4654832347
2012-04-01,1.7629774731
2012-05-01,1.5701668302
2012-06-01,1.0805500982
2012-07-01,0.9784735812
2012-08-01,1.7629774731
2012-09-01,1.8590998043
2012-10-01,1.7612524462
2012-11-01,1.2695312500
2012-12-01,1.1730205279
2013-01-01,0.5819592629
2013-02-01,0.3861003861
2013-03-01,0.0962463908
2013-04-01,-0.3849855630
2013-05-01,-0.3864734300
2013-06-01,0.1943634597
2013-07-01,0.2906976744
2013-08-01,-0.3849855630
2013-09-01,-0.6724303554
2013-10-01,-1.2500000000
2013-11-01,-1.0607521697
2013-12-01,-0.7729468599
2014-01-01,-1.0607521697
2014-02-01,-1.4423076923
2014-03-01,-1.5384615385
2014-04-01,-1.0628019324
2014-05-01,-0.5819592629
