observation_date,JPNCPIALLAINMEI
1955-01-01,17.005329999999997
1956-01-01,17.072600000000001
1957-01-01,17.601579999999998
1958-01-01,17.517499999999998
1959-01-01,17.707070000000002
1960-01-01,18.340020000000003
1961-01-01,19.324590000000001
1962-01-01,20.645510000000002
1963-01-01,22.030190000000001
1964-01-01,22.867420000000003
1965-01-01,24.389470000000003
1966-01-01,25.618910000000000
1967-01-01,26.641060000000000
1968-01-01,28.063540000000003
1969-01-01,29.536829999999998
1970-01-01,31.534740000000003
1971-01-01,33.545430000000003
1972-01-01,35.174340000000001
1973-01-01,39.255110000000002
1974-01-01,48.366840000000003
1975-01-01,54.042589999999997
1976-01-01,59.115969999999997
1977-01-01,63.934840000000001
1978-01-01,66.615759999999995
1979-01-01,69.101550000000003
1980-01-01,74.471879999999999
1981-01-01,78.145420000000001
1982-01-01,80.291849999999997
1983-01-01,81.801990000000004
1984-01-01,83.642999999999986
1985-01-01,85.348269999999999
1986-01-01,85.865780000000001
1987-01-01,85.976069999999979
1988-01-01,86.536010000000005
1989-01-01,88.521259999999998
1990-01-01,91.236109999999996
1991-01-01,94.222449999999995
1992-01-01,95.851360000000000
1993-01-01,97.056079999999994
1994-01-01,97.726309999999998
1995-01-01,97.641469999999998
1996-01-01,97.777209999999997
1997-01-01,99.440060000000003
1998-01-01,100.084800000000001
1999-01-01,99.736999999999995
2000-01-01,99.049800000000005
2001-01-01,98.362600000000000
2002-01-01,97.480279999999993
2003-01-01,97.225750000000005
2004-01-01,97.217269999999999
2005-01-01,96.937299999999993
2006-01-01,97.183329999999998
2007-01-01,97.225750000000005
2008-01-01,98.566220000000001
2009-01-01,97.251210000000000
2010-01-01,96.530079999999998
2011-01-01,96.267070000000004
2012-01-01,96.224660000000000
2013-01-01,96.547039999999996
2014-01-01,99.210999999999999
2015-01-01,100.000000000000000
2016-01-01,99.872739999999993
2017-01-01,100.356300000000005
2018-01-01,101.348900000000000
2019-01-01,101.823999999999998
2020-01-01,101.798599999999993
