observation_date,ULQEUL01DEQ661S
1991-01-01,70.4222160662987
1991-04-01,73.9015964616460
1991-07-01,74.4960800443166
1991-10-01,74.6583076911723
1992-01-01,75.8381036276342
1992-04-01,77.9592729494260
1992-07-01,80.6007286807474
1992-10-01,80.3267578093638
1993-01-01,80.5374123554360
1993-04-01,81.7555625541232
1993-07-01,81.8062893539842
1993-10-01,82.4453717480988
1994-01-01,82.2386523658511
1994-04-01,81.7702295738201
1994-07-01,81.9658830637001
1994-10-01,82.1076519734630
1995-01-01,83.1877441658569
1995-04-01,83.4984577595278
1995-07-01,84.0421652701533
1995-10-01,84.6612058033700
1996-01-01,84.9456938783296
1996-04-01,83.6217466986222
1996-07-01,84.0085389616755
1996-10-01,83.6165607436794
1997-01-01,83.9573168870971
1997-04-01,82.7726689601019
1997-07-01,82.6140772956359
1997-10-01,82.6175424669449
1998-01-01,82.1086240602028
1998-04-01,83.2221165015509
1998-07-01,83.3827701375275
1998-10-01,84.4319778634602
1999-01-01,83.4731157332323
1999-04-01,84.6779730554478
1999-07-01,84.2034321421138
1999-10-01,84.1626759059221
2000-01-01,84.1678854036982
2000-04-01,84.1164594779919
2000-07-01,84.8886207449538
2000-10-01,85.5908441265316
2001-01-01,84.1156267720175
2001-04-01,84.2973751082400
2001-07-01,84.5411968731126
2001-10-01,85.3941838329844
2002-01-01,85.4188393801516
2002-04-01,85.1122017490491
2002-07-01,85.2794644080776
2002-10-01,85.5980970753239
2003-01-01,86.7218925624801
2003-04-01,86.5322211317385
2003-07-01,86.5787388890359
2003-10-01,86.2668412155806
2004-01-01,86.7019555990551
2004-04-01,86.2133223370590
2004-07-01,86.4154736000715
2004-10-01,86.5310231347343
2005-01-01,86.6851435488703
2005-04-01,86.1528821483565
2005-07-01,85.4404259181921
2005-10-01,85.2795153931547
2006-01-01,84.8689639828983
2006-04-01,83.9844478442996
2006-07-01,84.2612343114809
2006-10-01,83.2087484365430
2007-01-01,83.8034055503224
2007-04-01,83.6621323591302
2007-07-01,83.7743941576820
2007-10-01,83.9269966485839
2008-01-01,84.5276213360148
2008-04-01,85.4688785883411
2008-07-01,86.5612684093365
2008-10-01,88.7133826467351
2009-01-01,92.2731295410436
2009-04-01,91.8579449073617
2009-07-01,91.9526009945583
2009-10-01,91.6391731459518
2010-01-01,91.8275686964114
2010-04-01,90.5046357337590
2010-07-01,90.7032807059938
2010-10-01,90.8079449622388
2011-01-01,90.3668876810653
2011-04-01,91.2771712990159
2011-07-01,91.0270852931518
2011-10-01,91.9739250867124
2012-01-01,92.9247757308711
2012-04-01,93.9243837788932
2012-07-01,94.1629349071357
2012-10-01,95.2411606037551
2013-01-01,95.9828339572412
2013-04-01,95.7848911666397
2013-07-01,96.1053186977122
2013-10-01,96.5258636643306
2014-01-01,96.9344764296454
2014-04-01,97.5923086760188
2014-07-01,97.9216220077003
2014-10-01,97.8714499267697
2015-01-01,99.2433475378971
2015-04-01,99.8579478562717
2015-07-01,100.2066803669670
2015-10-01,100.6920242388640
2016-01-01,100.6806039743490
2016-04-01,100.8988058078960
2016-07-01,101.6349224064970
2016-10-01,102.4026400245350
2017-01-01,102.1717849127830
2017-04-01,102.2695872966540
2017-07-01,102.4442682220180
2017-10-01,102.7525453281360
2018-01-01,104.4958177115990
2018-04-01,104.8175445271990
2018-07-01,106.9885788974330
2018-10-01,106.8806592467990
2019-01-01,107.7989185681250
2019-04-01,109.1499583232990
2019-07-01,110.2032784513620
2019-10-01,109.7139295151400
2020-01-01,112.2592746952600
2020-04-01,118.0677007266590
2020-07-01,111.8276724450980
2020-10-01,112.2633244158300
2021-01-01,113.2076286498660
2021-04-01,111.8795171779860
2021-07-01,114.0806632106600
2021-10-01,115.4448469265910
2022-01-01,115.9535402482030
2022-04-01,115.9534100173740
2022-07-01,117.2689602640240
2022-10-01,120.6341686882840
2023-01-01,123.7395671870330
2023-04-01,123.8543602659650
2023-07-01,125.7933896461100
