observation_date,PIEAMP01NZA661N
1960-01-01,5.78248445122872
1961-01-01,5.85300263648515
1962-01-01,5.87556830453270
1963-01-01,5.98980772848335
1964-01-01,6.18302723717843
1965-01-01,6.25354542243486
1966-01-01,6.35086038986818
1967-01-01,6.52715560643125
1968-01-01,6.93898114421206
1969-01-01,7.30990662441244
1970-01-01,7.80776454218080
1971-01-01,8.52986986495044
1972-01-01,9.18709821399388
1973-01-01,9.99664617853728
1974-01-01,10.84145315351620
1975-01-01,12.98802430612070
1976-01-01,15.67617412203180
1977-01-01,18.41227661953710
1978-01-01,20.80268514186200
1979-01-01,24.31017124707000
1980-01-01,29.05787286604860
1981-01-01,33.70868280983070
1982-01-01,37.91379019290510
1983-01-01,39.43499251818050
1984-01-01,42.33205949155130
1985-01-01,48.44593672261380
1986-01-01,50.80040929569500
1987-01-01,54.15286803017020
1988-01-01,56.20697588410910
1989-01-01,59.91793454010690
1990-01-01,62.43712319116160
1991-01-01,62.78593407667280
1992-01-01,64.50092024549730
1993-01-01,66.67129817542620
1994-01-01,63.81474715354790
1995-01-01,62.44573750917540
1996-01-01,62.24765671641790
1997-01-01,61.71874509420110
1998-01-01,62.02132375825790
1999-01-01,62.80094046978220
2000-01-01,68.16371487643750
2001-01-01,71.91400173721560
2002-01-01,71.89865830682650
2003-01-01,70.68729770002450
2004-01-01,72.64058835331539
2005-01-01,76.72737959383410
2006-01-01,81.70887181306580
2007-01-01,84.97425152923910
2008-01-01,97.65750489356500
2009-01-01,93.00249588940540
2010-01-01,96.98782561781260
2011-01-01,102.52018595546900
2012-01-01,100.39148519696600
2013-01-01,103.52336677269400
2014-01-01,104.13506239295300
2015-01-01,100.00000000000000
2016-01-01,97.50428186934180
2017-01-01,105.50526058233400
2018-01-01,110.17861512111600
2019-01-01,111.91583068265200
2020-01-01,110.86371421580600
2021-01-01,116.24663567408901
