observation_date,ULQEUL01FRQ661S
1960-01-01,11.0997879395329
1960-04-01,11.0331833374977
1960-07-01,11.0976994703706
1960-10-01,11.2714497935442
1961-01-01,11.3871976735961
1961-04-01,11.6376781361822
1961-07-01,11.8547098673179
1961-10-01,11.9880220323126
1962-01-01,12.1020315685947
1962-04-01,12.2438022439273
1962-07-01,12.3499774476370
1962-10-01,12.5986662957222
1963-01-01,13.1372487499310
1963-04-01,13.0502263935348
1963-07-01,12.9696053254843
1963-10-01,13.3089506179145
1964-01-01,13.3814785455335
1964-04-01,13.5158677203386
1964-07-01,13.6442599814518
1964-10-01,13.7356740081584
1965-01-01,13.8619982886980
1965-04-01,13.8537317510759
1965-07-01,13.8751948141339
1965-10-01,13.8873202664743
1966-01-01,13.9822005172013
1966-04-01,14.0225098663355
1966-07-01,14.0873242814008
1966-10-01,14.2641178407745
1967-01-01,14.3623564262696
1967-04-01,14.3809637657330
1967-07-01,14.4368199218236
1967-10-01,14.4958844928546
1968-01-01,14.5250906729500
1968-04-01,15.4602395188985
1968-07-01,15.7742093960985
1968-10-01,15.9262406039096
1969-01-01,16.0594505943115
1969-04-01,16.1137334115248
1969-07-01,16.2766056100113
1969-10-01,16.5549577620529
1970-01-01,16.8417597796256
1970-04-01,17.0456107255158
1970-07-01,17.2649506164298
1970-10-01,17.6063005060918
1971-01-01,17.8677837235804
1971-04-01,18.0922146166211
1971-07-01,18.3510175663820
1971-10-01,18.6924678806309
1972-01-01,18.8446237638259
1972-04-01,19.2118373284563
1972-07-01,19.4483558845372
1972-10-01,19.7935537761307
1973-01-01,20.1415759997337
1973-04-01,20.4552739911141
1973-07-01,20.8924732317577
1973-10-01,21.4620078116807
1974-01-01,22.0904826918926
1974-04-01,23.2278262668151
1974-07-01,23.9728138959747
1974-10-01,25.1755370791835
1975-01-01,26.5659726142843
1975-04-01,27.7731181539015
1975-07-01,28.7619795210362
1975-10-01,29.0885421773085
1976-01-01,29.8841630693665
1976-04-01,30.6611012267460
1976-07-01,31.5004646479448
1976-10-01,32.3495468990210
1977-01-01,32.9366343266804
1977-04-01,33.6974093311510
1977-07-01,34.2985006443075
1977-10-01,35.1212413036557
1978-01-01,35.7103089937396
1978-04-01,36.4259806094327
1978-07-01,37.3014350515052
1978-10-01,38.0712482269479
1979-01-01,38.7743006769582
1979-04-01,39.8572435192032
1979-07-01,40.6991468714120
1979-10-01,42.0274766145905
1980-01-01,41.4544368797892
1980-04-01,43.3086866267916
1980-07-01,44.6354137790501
1980-10-01,45.9924745819998
1981-01-01,47.1131064698464
1981-04-01,48.3181802850487
1981-07-01,49.6828951188107
1981-10-01,51.3971017756250
1982-01-01,53.1547317474186
1982-04-01,54.2741523922976
1982-07-01,55.4322793634891
1982-10-01,56.2652759167285
1983-01-01,57.5964466324837
1983-04-01,58.7211015362831
1983-07-01,60.0567027102340
1983-10-01,60.9192698953303
1984-01-01,61.7057615760171
1984-04-01,62.5367108708198
1984-07-01,62.4403225560394
1984-10-01,63.5732605702014
1985-01-01,64.2417473086309
1985-04-01,64.5808321007611
1985-07-01,65.0544476598038
1985-10-01,65.6388585170563
1986-01-01,66.0802896427920
1986-04-01,66.4862360563730
1986-07-01,66.3511601022020
1986-10-01,66.6274658821495
1987-01-01,67.5371087787453
1987-04-01,67.0167435856364
1987-07-01,67.3766862300426
1987-10-01,67.2643711375888
1988-01-01,67.4572368452649
1988-04-01,67.6215642077562
1988-07-01,67.7277445852431
1988-10-01,68.0989097220738
1989-01-01,68.2614153113850
1989-04-01,68.5510026492833
1989-07-01,68.5830307846711
1989-10-01,69.0354194182652
1990-01-01,69.9135800012430
1990-04-01,70.5826572311338
1990-07-01,71.0286761911715
1990-10-01,71.8625680550061
1991-01-01,72.0609224149050
1991-04-01,72.7459365322660
1991-07-01,72.8862142236839
1991-10-01,73.3633363137118
1992-01-01,73.5304273831301
1992-04-01,73.6137378958444
1992-07-01,74.3062706447234
1992-10-01,74.7514593305902
1993-01-01,75.4025399734954
1993-04-01,75.4761151265884
1993-07-01,75.3677856059284
1993-10-01,75.3473307052194
1994-01-01,75.0777560837044
1994-04-01,74.6140851193224
1994-07-01,74.5489686220846
1994-10-01,74.7681824136051
1995-01-01,74.9238091337416
1995-04-01,75.1041201399610
1995-07-01,75.4390172398555
1995-10-01,75.7958652747209
1996-01-01,75.7768117740040
1996-04-01,76.1596596790648
1996-07-01,76.1962114563610
1996-10-01,76.1248400881292
1997-01-01,76.4700388214274
1997-04-01,76.1590514799718
1997-07-01,75.8799321214800
1997-10-01,75.5296290876470
1998-01-01,75.5254386918194
1998-04-01,75.5846955881964
1998-07-01,76.0896328583463
1998-10-01,76.1496597785988
1999-01-01,76.4630883602090
1999-04-01,76.7155444386668
1999-07-01,76.5206272532048
1999-10-01,76.5457933099619
2000-01-01,76.9173321287648
2000-04-01,76.9587064861826
2000-07-01,77.3411339655868
2000-10-01,77.9932617717878
2001-01-01,78.0540687263544
2001-04-01,78.8898309151511
2001-07-01,79.0782729626436
2001-10-01,80.2124018319720
2002-01-01,80.5374517492625
2002-04-01,81.2091429761880
2002-07-01,81.4211078462123
2002-10-01,81.9732558239874
2003-01-01,82.3428337132771
2003-04-01,83.1514843539096
2003-07-01,83.1016990981098
2003-10-01,83.2579209003935
2004-01-01,83.4388748847226
2004-04-01,83.6037995848099
2004-07-01,83.9394141693486
2004-10-01,84.2521537308779
2005-01-01,84.6678287500132
2005-04-01,85.2698190129560
2005-07-01,85.7337771445175
2005-10-01,86.1977861724728
2006-01-01,86.3766071500212
2006-04-01,86.2476279869655
2006-07-01,87.0264504508186
2006-10-01,87.7367700074867
2007-01-01,87.7358879270598
2007-04-01,87.9207366670367
2007-07-01,88.1924071170600
2007-10-01,88.9605348020557
2008-01-01,89.4940288067686
2008-04-01,90.4492855305836
2008-07-01,91.0707846103880
2008-10-01,92.3176975570250
2009-01-01,93.6488952232620
2009-04-01,93.5914422961797
2009-07-01,94.0439859400510
2009-10-01,94.1035926072081
2010-01-01,94.6594067307344
2010-04-01,94.9329007379637
2010-07-01,94.9941861199502
2010-10-01,95.0589951488845
2011-01-01,95.0849680330470
2011-04-01,95.7037079448119
2011-07-01,95.7374034407792
2011-10-01,96.3241857258033
2012-01-01,97.0008100874800
2012-04-01,97.5927988195107
2012-07-01,97.9141483849334
2012-10-01,98.6020946525089
2013-01-01,98.8544381523574
2013-04-01,98.7788689783138
2013-07-01,99.4413819505891
2013-10-01,99.0586096181168
2014-01-01,99.5503085420081
2014-04-01,99.8613539128840
2014-07-01,99.6550698247929
2014-10-01,99.9917196484352
2015-01-01,99.6539896691814
2015-04-01,99.9044396707298
2015-07-01,100.0843356525400
2015-10-01,100.3572350075490
2016-01-01,100.3164258107410
2016-04-01,100.7992406656090
2016-07-01,101.0837749351150
2016-10-01,101.1805523629550
2017-01-01,101.6121453290610
2017-04-01,101.4544179816610
2017-07-01,101.2610561203690
2017-10-01,101.6309976349690
2018-01-01,102.0323725762190
2018-04-01,102.2926280300420
2018-07-01,102.5232302683410
2018-10-01,102.5979960079000
2019-01-01,101.4394258052950
2019-04-01,101.0354057261670
2019-07-01,101.6554516291730
2019-10-01,102.3772650576560
2020-01-01,105.2413215334500
2020-04-01,109.5673958660390
2020-07-01,105.0079495052440
2020-10-01,105.5164616732200
2021-01-01,106.2584532898360
2021-04-01,107.1946422378570
2021-07-01,108.0545933126750
2021-10-01,109.0808507163980
2022-01-01,111.1210887491320
2022-04-01,111.9671715087490
2022-07-01,113.3827856828580
2022-10-01,115.7435083023500
2023-01-01,117.2787116431260
2023-04-01,117.5866499342530
2023-07-01,118.5311614872810
