observation_date,MABMM301CHM657S
1972-02-01,1.8055956617
1972-03-01,1.4754208933
1972-04-01,0.8112630306
1972-05-01,0.8891650239
1972-06-01,1.0517817861
1972-07-01,1.1000753302
1972-08-01,1.3910925345
1972-09-01,0.7044528133
1972-10-01,0.4260163222
1972-11-01,0.5372490783
1972-12-01,0.5745020693
1973-01-01,0.6740016733
1973-02-01,0.6609387626
1973-03-01,0.5465002735
1973-04-01,0.3174359552
1973-05-01,0.6500012714
1973-06-01,0.9189492917
1973-07-01,0.5976795146
1973-08-01,0.5652770819
1973-09-01,0.6529156673
1973-10-01,0.6684861196
1973-11-01,0.6454742966
1973-12-01,0.5466585053
1974-01-01,0.3581055938
1974-02-01,0.2595526672
1974-03-01,0.1945030206
1974-04-01,0.4036862678
1974-05-01,0.4664857425
1974-06-01,0.3138301929
1974-07-01,0.4733533921
1974-08-01,0.8084267514
1974-09-01,0.8248151016
1974-10-01,0.5862583890
1974-11-01,0.6701063448
1974-12-01,0.6015572348
1975-01-01,0.4803936703
1975-02-01,0.5747680575
1975-03-01,0.5999728483
1975-04-01,0.4815354393
1975-05-01,0.6394381559
1975-06-01,-1.7634316957
1975-07-01,-2.1041842015
1975-08-01,0.3289679741
1975-09-01,0.5312168517
1975-10-01,0.8168604152
1975-11-01,0.8764907533
1975-12-01,1.0804677886
1976-01-01,1.0016734137
1976-02-01,0.6148482923
1976-03-01,0.6483113778
1976-04-01,0.7577466628
1976-05-01,0.6827767013
1976-06-01,0.5440876168
1976-07-01,0.5989978064
1976-08-01,0.6376339997
1976-09-01,0.4455558285
1976-10-01,0.3749082442
1976-11-01,0.4368992463
1976-12-01,0.8570553520
1977-01-01,1.0448786684
1977-02-01,0.6450749115
1977-03-01,0.5171236526
1977-04-01,0.7049343195
1977-05-01,0.9465307256
1977-06-01,1.1374273051
1977-07-01,0.9701226215
1977-08-01,0.7204990896
1977-09-01,0.7331143214
1977-10-01,0.7409583212
1977-11-01,0.4952440457
1977-12-01,0.3931182658
1978-01-01,0.5761764860
1978-02-01,0.9218605019
1978-03-01,1.2483054317
1978-04-01,1.0846547616
1978-05-01,0.9129974964
1978-06-01,0.8359033842
1978-07-01,0.2078210098
1978-08-01,0.4885036426
1978-09-01,0.8116324000
