observation_date,MABMM301CHM657S
1978-10-01,0.8831704737
1978-11-01,1.1433824583
1978-12-01,0.7387787416
1979-01-01,0.6093047322
1979-02-01,0.5781746571
1979-03-01,0.6764894614
1979-04-01,0.6053298914
1979-05-01,0.5688377580
1979-06-01,0.7753763604
1979-07-01,1.0712059007
1979-08-01,0.8692131366
1979-09-01,0.2629043551
1979-10-01,0.5880661456
1979-11-01,0.8647459911
1979-12-01,0.6785989197
1980-01-01,0.9285212623
1980-02-01,0.9481084850
1980-03-01,0.4783440965
1980-04-01,-0.0057536010
1980-05-01,-0.3354928993
1980-06-01,-0.3784671971
1980-07-01,-0.1742560923
1980-08-01,0.1058922643
1980-09-01,0.4229792352
1980-10-01,0.4836645632
1980-11-01,0.3705830239
1980-12-01,0.5866493776
1981-01-01,0.3929441321
1981-02-01,0.1440189412
1981-03-01,0.3735837708
1981-04-01,0.5543641068
1981-05-01,0.5509826979
1981-06-01,0.6446289344
1981-07-01,0.6537647438
1981-08-01,0.2423916394
1981-09-01,-0.0301988516
1981-10-01,-0.0940211249
1981-11-01,-0.0531498296
1981-12-01,-0.2347709648
1982-01-01,-0.4776842363
1982-02-01,0.1470655698
1982-03-01,0.2793745402
1982-04-01,0.1431389789
1982-05-01,0.2715855312
1982-06-01,0.1105725171
1982-07-01,0.3126826908
1982-08-01,0.5220336006
1982-09-01,0.8137051630
1982-10-01,0.9182257605
1982-11-01,0.8392871801
1982-12-01,0.4230521441
1983-01-01,0.1850816587
1983-02-01,0.5253009530
1983-03-01,0.7738705619
1983-04-01,0.6944502134
1983-05-01,0.7583192176
1983-06-01,0.7852809493
1983-07-01,0.5288801209
1983-08-01,0.5960011235
1983-09-01,0.5212147540
1983-10-01,0.0342304702
1983-11-01,0.3485472071
1983-12-01,0.7069768895
1984-01-01,0.5071779961
1984-02-01,0.5620815313
1984-03-01,0.5455559712
1984-04-01,0.4874781023
1984-05-01,0.5250984358
1984-06-01,0.4708503265
1984-07-01,0.4422720453
1984-08-01,0.5677627556
1984-09-01,0.5646434066
1984-10-01,0.4386951960
1984-11-01,0.2588927712
1984-12-01,1.2600620289
1985-01-01,1.3764772751
1985-02-01,0.4993291631
1985-03-01,0.6062765106
1985-04-01,0.4787127479
1985-05-01,0.5747511778
1985-06-01,0.4206405125
1985-07-01,0.1088807028
1985-08-01,0.1954345661
1985-09-01,0.4955654535
1985-10-01,0.6702025405
1985-11-01,0.4462190286
1985-12-01,0.5987469690
1986-01-01,0.6715227454
1986-02-01,0.4777716546
1986-03-01,-0.0089504110
1986-04-01,0.4414383026
1986-05-01,0.9926888730
1986-06-01,0.8762625060
1986-07-01,0.9654739115
1986-08-01,0.5514355621
1986-09-01,0.3824498456
1986-10-01,0.6546977910
1986-11-01,0.5918569967
1986-12-01,0.6382075406
1987-01-01,0.7087100079
1987-02-01,0.5249375257
1987-03-01,0.8349851816
1987-04-01,0.9476486133
1987-05-01,0.6122827256
1987-06-01,0.7677693548
1987-07-01,1.1013509965
1987-08-01,1.0865246324
1987-09-01,0.9965242783
1987-10-01,1.0603375123
1987-11-01,1.0513938944
1987-12-01,0.8434586362
1988-01-01,0.7167536122
1988-02-01,0.7649866504
1988-03-01,0.6195983724
1988-04-01,0.8610616682
1988-05-01,1.0602082267
1988-06-01,0.3461008881
1988-07-01,0.5690986152
1988-08-01,0.7728250109
1988-09-01,0.2143996589
1988-10-01,0.0306437383
1988-11-01,0.1814211592
1988-12-01,-0.0281110359
1989-01-01,0.4610576156
1989-02-01,1.0903947775
1989-03-01,0.8038462521
1989-04-01,0.4763646250
1989-05-01,0.5817574600
1989-06-01,0.7539609935
1989-07-01,0.3282530256
1989-08-01,0.3110262212
1989-09-01,0.4351726340
1989-10-01,0.2207267377
1989-11-01,0.1941671594
1989-12-01,0.0971332332
1990-01-01,-0.0684839186
1990-02-01,-0.0788690284
1990-03-01,-0.1782795003
1990-04-01,-0.2491540497
1990-05-01,-0.1199892925
1990-06-01,0.1550203882
1990-07-01,0.0981162690
1990-08-01,0.3252328015
1990-09-01,0.9925634680
1990-10-01,0.4839212760
1990-11-01,-0.0020265450
1990-12-01,0.5658771794
1991-01-01,0.2728545144
1991-02-01,-0.1916551752
1991-03-01,0.0293619510
1991-04-01,0.0921182043
1991-05-01,0.2331929462
1991-06-01,0.2939236522
1991-07-01,0.2853031951
1991-08-01,0.2751406316
1991-09-01,0.1233258492
1991-10-01,0.2627489909
1991-11-01,0.1187544660
1991-12-01,0.4544390233
1992-01-01,0.0259873833
1992-02-01,-0.3368541382
1992-03-01,0.0777020428
1992-04-01,0.3208434551
1992-05-01,0.6030027615
1992-06-01,0.2927270527
1992-07-01,0.0521249441
1992-08-01,0.0461397261
1992-09-01,0.2289293473
1992-10-01,-0.0539457038
1992-11-01,0.2479858775
1992-12-01,0.6495933391
1993-01-01,0.2166736707
1993-02-01,0.2147981704
1993-03-01,0.7196685543
1993-04-01,0.4998026501
1993-05-01,-0.1423991629
1993-06-01,0.0744133099
1993-07-01,0.6520792536
1993-08-01,0.6947142477
1993-09-01,0.3627884395
1993-10-01,0.6156360033
1993-11-01,0.7346413381
1993-12-01,0.3947921855
1994-01-01,0.5801570641
1994-02-01,0.9616691890
1994-03-01,0.5050354596
1994-04-01,0.1131451259
1994-05-01,0.1682693002
1994-06-01,0.1640091444
1994-07-01,0.0009939400
1994-08-01,-0.1153427155
1994-09-01,0.2523618211
1994-10-01,0.3270409081
1994-11-01,0.3426061328
1994-12-01,0.4637143076
1995-01-01,-0.0303559802
1995-02-01,-0.3138917998
1995-03-01,-0.2398138755
1995-04-01,-0.1908943443
1995-05-01,0.5261424879
1995-06-01,0.6286189204
1995-07-01,0.3150098067
1995-08-01,0.6022967968
1995-09-01,0.5394744495
1995-10-01,0.4126476187
1995-11-01,0.3638593573
1995-12-01,0.3520595575
1996-01-01,0.9004763920
1996-02-01,0.9453934789
1996-03-01,0.8687679466
1996-04-01,0.7976837650
1996-05-01,0.2696107679
1996-06-01,0.4211212191
1996-07-01,0.6059046194
1996-08-01,0.3824569298
1996-09-01,0.5857606708
1996-10-01,0.5546416503
1996-11-01,0.5284683396
1996-12-01,0.2018787623
1997-01-01,0.6228043548
1997-02-01,1.3439279785
1997-03-01,0.1254034526
1997-04-01,-0.0949135243
1997-05-01,0.5684169526
1997-06-01,0.2482592494
1997-07-01,0.0090486866
1997-08-01,-0.0477267465
1997-09-01,0.0566969215
1997-10-01,0.2846480481
1997-11-01,-0.0414155254
1997-12-01,-0.0557036834
1998-01-01,0.1012965813
1998-02-01,0.1722303438
1998-03-01,0.4800656526
1998-04-01,0.1784812401
1998-05-01,-0.4921209739
1998-06-01,-0.0861899487
1998-07-01,0.4809596073
1998-08-01,0.2512057190
1998-09-01,-0.1848636258
1998-10-01,-0.1320978552
1998-11-01,0.5603402872
1998-12-01,-0.1874328492
1999-01-01,-0.3954024940
1999-02-01,0.7344859656
1999-03-01,0.4394710704
1999-04-01,-0.0058857133
1999-05-01,0.0897189077
1999-06-01,0.0994671061
1999-07-01,0.2055391920
1999-08-01,0.1401021878
1999-09-01,0.0779140730
1999-10-01,-0.1801772016
1999-11-01,-0.2761489624
1999-12-01,-0.1063680591
2000-01-01,-0.2555385785
2000-02-01,-0.5047076012
2000-03-01,-0.4719127955
2000-04-01,-0.2829787826
2000-05-01,0.0632117680
2000-06-01,-0.3040338328
2000-07-01,-0.2805055212
2000-08-01,0.4501744124
2000-09-01,0.0189171765
2000-10-01,-0.1785644074
2000-11-01,0.2336012976
2000-12-01,0.2697658873
2001-01-01,0.5453529909
2001-02-01,0.5951462755
2001-03-01,0.0555811065
2001-04-01,0.4057084865
2001-05-01,0.8395440327
2001-06-01,0.4431549493
2001-07-01,-0.0570386885
2001-08-01,-0.0867196178
2001-09-01,0.2386328519
2001-10-01,0.8312249957
2001-11-01,1.1009903638
2001-12-01,0.5935542990
2002-01-01,-0.3638869434
2002-02-01,-0.3152422640
2002-03-01,0.4697030753
2002-04-01,0.3025397993
2002-05-01,0.0239975171
2002-06-01,0.5506765027
2002-07-01,1.0938961365
2002-08-01,0.5509920556
2002-09-01,0.3005177838
2002-10-01,0.3548332932
2002-11-01,0.3723779281
2002-12-01,0.9184228021
2003-01-01,0.7733785257
2003-02-01,0.8128068648
2003-03-01,1.4938725730
2003-04-01,1.5528820850
2003-05-01,0.6399547931
2003-06-01,0.1559984429
2003-07-01,0.3815769726
2003-08-01,0.5842478987
2003-09-01,1.0022247684
2003-10-01,0.7620319780
2003-11-01,-0.1257479681
2003-12-01,-0.2206115504
2004-01-01,0.4675698741
2004-02-01,0.6027844748
2004-03-01,0.0435904116
2004-04-01,-0.0687582028
2004-05-01,0.3225954153
2004-06-01,0.1422775175
2004-07-01,-0.2103363321
2004-08-01,0.1974917246
2004-09-01,0.2166104877
2004-10-01,-0.0438565592
2004-11-01,0.5073890305
2004-12-01,0.4216523744
2005-01-01,0.5924530061
2005-02-01,0.5435031696
2005-03-01,-0.0494466470
2005-04-01,0.1281418897
2005-05-01,0.5203894110
2005-06-01,1.1452775216
2005-07-01,1.5534666760
2005-08-01,0.4519220928
2005-09-01,-0.1850491395
2005-10-01,0.1066392051
2005-11-01,0.4386075794
2005-12-01,0.0008126107
2006-01-01,-0.7272217408
2006-02-01,-0.1391092568
2006-03-01,0.4334205237
2006-04-01,0.5268181555
2006-05-01,0.0699242207
2006-06-01,-0.2170124122
2006-07-01,0.6392936666
2006-08-01,0.7721681347
2006-09-01,0.1234054049
2006-10-01,0.3553743182
2006-11-01,0.1484311106
2006-12-01,0.1165299643
2007-01-01,0.4538020165
2007-02-01,0.2863743385
2007-03-01,-0.1103712070
2007-04-01,-0.1229354085
2007-05-01,0.0982856043
2007-06-01,0.1067445565
2007-07-01,0.0150631020
2007-08-01,-0.1927115146
2007-09-01,0.3815163029
2007-10-01,0.4940885227
2007-11-01,0.3289767835
2007-12-01,0.6153265903
2008-01-01,0.1640005774
2008-02-01,-0.0333851710
2008-03-01,0.5371335644
2008-04-01,1.1992156132
2008-05-01,0.3069264633
2008-06-01,-0.7196798667
2008-07-01,-0.6817961398
2008-08-01,-0.0994124169
2008-09-01,0.2920161037
2008-10-01,0.4063467593
2008-11-01,0.4055462048
2008-12-01,0.4195454681
2009-01-01,0.9492399845
2009-02-01,0.9072457747
2009-03-01,0.6683411814
2009-04-01,0.7330044204
2009-05-01,0.3359504563
2009-06-01,0.5155258190
2009-07-01,0.8997758842
2009-08-01,0.5108764915
2009-09-01,0.3470998008
2009-10-01,0.4453759165
2009-11-01,0.7653856043
2009-12-01,0.2509906441
2010-01-01,0.1068227555
2010-02-01,0.6056054503
2010-03-01,0.7177148578
2010-04-01,0.6777255460
2010-05-01,1.0102465595
2010-06-01,1.2697246706
2010-07-01,0.4983435730
2010-08-01,0.1077555524
2010-09-01,0.3501286548
2010-10-01,0.3664824647
2010-11-01,0.5288856629
2010-12-01,0.6414424130
2011-01-01,0.4608213523
2011-02-01,0.6934532690
2011-03-01,0.6542589519
2011-04-01,0.4678824475
2011-05-01,0.6015264308
2011-06-01,0.4064419655
2011-07-01,0.4308714835
2011-08-01,1.2371756316
2011-09-01,1.1345157082
2011-10-01,0.4921747665
2011-11-01,0.2723297504
2011-12-01,0.4070541381
2012-01-01,0.6165727761
2012-02-01,0.3263917879
2012-03-01,0.3307567507
2012-04-01,0.4255910122
2012-05-01,0.4516437793
2012-06-01,1.3875592172
2012-07-01,1.7464416817
2012-08-01,1.0265215780
2012-09-01,0.8583165511
2012-10-01,0.7577895471
2012-11-01,0.5226898477
2012-12-01,0.8140484695
2013-01-01,0.5408662899
2013-02-01,0.1974687765
2013-03-01,0.4783078508
2013-04-01,0.6523579611
2013-05-01,0.4424619572
2013-06-01,-0.1997175157
2013-07-01,0.1764470017
2013-08-01,0.6559669686
2013-09-01,0.2682665655
2013-10-01,0.1074263558
2013-11-01,0.3103389399
2013-12-01,0.2405564917
2014-01-01,0.3840304526
2014-02-01,0.6496731281
2014-03-01,0.6339133023
2014-04-01,0.3440387395
2014-05-01,0.0829207275
2014-06-01,-0.0201809869
2014-07-01,0.0247682555
2014-08-01,0.2874337907
2014-09-01,0.2245269424
2014-10-01,0.1716798182
2014-11-01,0.3647530318
2014-12-01,0.2072680639
2015-01-01,0.1016088786
2015-02-01,0.1720885848
2015-03-01,0.2616014826
2015-04-01,-0.0505440685
2015-05-01,-0.2170169055
2015-06-01,0.2346468462
2015-07-01,0.1819572675
2015-08-01,-0.0373253156
2015-09-01,-0.0381070605
2015-10-01,0.2045898518
2015-11-01,0.7215074041
2015-12-01,0.3226149684
2016-01-01,-0.1626427341
2016-02-01,0.1386792449
2016-03-01,0.3924355367
2016-04-01,0.3348187662
2016-05-01,0.0341206674
2016-06-01,0.1837042850
2016-07-01,0.3800389639
2016-08-01,0.2405389957
2016-09-01,0.1413073518
2016-10-01,0.2446359318
2016-11-01,0.1531578076
2016-12-01,0.3912569308
2017-01-01,0.4255645032
2017-02-01,0.2289069549
2017-03-01,0.3473797166
2017-04-01,0.3123210934
2017-05-01,0.4825605213
2017-06-01,0.5412659706
2017-07-01,0.3370794154
2017-08-01,0.2747328981
2017-09-01,0.3235528787
2017-10-01,0.2574015682
2017-11-01,0.1381650212
2017-12-01,0.1294120289
2018-01-01,0.3069891063
2018-02-01,0.2804488058
2018-03-01,0.0084352457
2018-04-01,0.1174236408
2018-05-01,0.2798670011
2018-06-01,0.0437415815
2018-07-01,0.1013827658
2018-08-01,0.3797392330
2018-09-01,0.2892504822
2018-10-01,0.2811138258
2018-11-01,0.3831626842
2018-12-01,0.4279751494
