observation_date,GBRPIEAMP01GPM
2009-01-01,0.2049180328
2009-02-01,-0.8179959100
2009-03-01,0.5154639175
2009-04-01,-0.8205128205
2009-05-01,-0.2068252327
2009-06-01,-0.7253886010
2009-07-01,-0.2087682672
2009-08-01,0.1046025105
2009-09-01,0.9404388715
2009-10-01,0.7246376812
2009-11-01,-0.4110996917
2009-12-01,0.8255933953
2010-01-01,0.3070624360
2010-02-01,0.4081632653
2010-03-01,1.6260162602
2010-04-01,0.1000000000
2010-05-01,-1.2987012987
2010-06-01,-0.4048582996
2010-07-01,-0.3048780488
2010-08-01,-0.3058103976
2010-09-01,0.5112474438
2010-10-01,0.9155645982
2010-11-01,0.0000000000
2010-12-01,0.8064516129
2011-01-01,0.9000000000
2011-02-01,0.2973240833
2011-03-01,1.4822134387
2011-04-01,0.9737098345
2011-05-01,-0.0964320154
2011-06-01,0.4826254826
2011-07-01,0.0960614793
2011-08-01,-0.3838771593
2011-09-01,0.5780346821
2011-10-01,-0.0957854406
2011-11-01,-0.0958772771
2011-12-01,-0.1919385797
2012-01-01,4.3269230769
2012-02-01,0.6451612903
2012-03-01,0.6410256410
2012-04-01,-0.0909918107
2012-05-01,-0.2732240437
2012-06-01,-1.3698630137
2012-07-01,-1.6666666667
2012-08-01,2.1657250471
2012-09-01,0.5529953917
2012-10-01,0.0916590284
2012-11-01,0.2747252747
2012-12-01,-0.4566210046
2013-01-01,0.9174311927
2013-02-01,1.4545454545
2013-03-01,0.3584229391
2013-04-01,1.1607142857
2013-05-01,-0.9708737864
2013-06-01,0.8021390374
2013-07-01,0.5305039788
2013-08-01,-0.1759014952
2013-09-01,-0.3524229075
2013-10-01,-0.7073386384
2013-11-01,-1.1576135352
2013-12-01,0.6306306306
2014-01-01,-6.3563115488
2014-02-01,0.0000000000
2014-03-01,0.1912045889
2014-04-01,-0.3816793893
2014-05-01,-0.3831417625
2014-06-01,-0.3846153846
2014-07-01,-0.5791505792
2014-08-01,0.2912621359
2014-09-01,0.0000000000
2014-10-01,-0.2904162633
2014-11-01,-0.1941747573
2014-12-01,-0.2918287938
2015-01-01,-0.1951219512
2015-02-01,-0.6842619746
2015-03-01,0.5905511811
2015-04-01,0.0000000000
2015-05-01,-2.3483365949
2015-06-01,-0.5010020040
2015-07-01,-0.5035246727
2015-08-01,-0.2024291498
2015-09-01,0.3042596349
2015-10-01,0.2022244692
2015-11-01,-0.7063572149
2015-12-01,0.4065040650
2016-01-01,1.1133603239
2016-02-01,0.4004004004
2016-03-01,0.2991026919
2016-04-01,0.3976143141
2016-05-01,-0.3960396040
2016-06-01,0.7952286282
2016-07-01,2.4654832347
2016-08-01,0.3849855630
2016-09-01,0.0958772771
2016-10-01,2.2030651341
2016-11-01,-0.7497656982
2016-12-01,-0.1888574127
2017-01-01,0.8514664144
2017-02-01,-0.0938086304
2017-03-01,0.5633802817
2017-04-01,-0.4668534080
2017-05-01,0.0000000000
2017-06-01,0.5628517824
2017-07-01,0.0932835821
2017-08-01,0.8387698043
2017-09-01,-0.2772643253
2017-10-01,0.1853568119
2017-11-01,0.3700277521
2017-12-01,-0.2764976959
2018-01-01,0.0000000000
2018-02-01,-0.0924214418
2018-03-01,0.0925069380
2018-04-01,0.0924214418
2018-05-01,1.2927054478
2018-06-01,0.5469462170
2018-07-01,0.1813236627
2018-08-01,0.9049773756
2018-09-01,0.2690582960
2018-10-01,0.1788908766
2018-11-01,0.0892857143
2018-12-01,0.1784121320
2019-01-01,-0.5342831701
2019-02-01,-0.3581020591
2019-03-01,-0.0898472597
2019-04-01,0.5395683453
2019-05-01,0.7155635063
2019-06-01,0.6216696270
2019-07-01,0.5295675199
2019-08-01,0.7023705004
2019-09-01,-0.3487358326
2019-10-01,-0.7874015748
2019-11-01,-0.7936507937
2019-12-01,-0.5333333333
2020-01-01,0.2680965147
2020-02-01,0.2673796791
2020-03-01,0.8888888889
2020-04-01,-1.3215859031
2020-05-01,0.2678571429
2020-06-01,0.2671415850
2020-07-01,0.1776198934
2020-08-01,-0.3546099291
2020-09-01,0.3558718861
2020-10-01,0.0000000000
2020-11-01,-0.2659574468
2020-12-01,0.3555555556
2021-01-01,0.3542958370
2021-02-01,0.0000000000
2021-03-01,0.3530450132
2021-04-01,0.7036059807
2021-05-01,0.5240174672
2021-06-01,0.6081668115
2021-07-01,0.6908462867
2021-08-01,0.4288164666
2021-09-01,1.3663535440
2021-10-01,1.0109519798
2021-11-01,0.9174311927
2021-12-01,0.8264462810
2022-01-01,0.9836065574
2022-02-01,1.3798701299
2022-03-01,2.6421136910
2022-04-01,2.7301092044
2022-05-01,2.0501138952
2022-06-01,1.7857142857
2022-07-01,1.2426900585
2022-08-01,-0.3610108303
2022-09-01,1.0144927536
2022-10-01,0.4304160689
2022-11-01,-0.4285714286
2022-12-01,-1.1477761836
