observation_date,ULQECU01NZQ657S
1989-04-01,1.8485872273004500
1989-07-01,0.1142853933418350
1989-10-01,0.0275777071111922
1990-01-01,0.5077191922540411
1990-04-01,-0.3406394660358380
1990-07-01,3.0458076821890998
1990-10-01,1.4362859700376001
1991-01-01,1.1817854320268000
1991-04-01,-0.2964142805450920
1991-07-01,0.5467608986318080
1991-10-01,0.1231474214498640
1992-01-01,0.8997377276978100
1992-04-01,-0.8500808995713650
1992-07-01,0.8313621964463420
1992-10-01,0.9463850438929560
1993-01-01,-0.7581931375725550
1993-04-01,-0.1411364002495270
1993-07-01,0.1848761486537200
1993-10-01,0.8394954991839370
1994-01-01,1.4394770073405800
1994-04-01,1.4499335177625201
1994-07-01,-1.3500632386018001
1994-10-01,1.0305065967325699
1995-01-01,-0.1452008783574490
1995-04-01,0.5152183352122870
1995-07-01,1.4925611604369100
1995-10-01,0.9724931433348299
1996-01-01,1.2431892097241299
1996-04-01,-0.3476225308882330
1996-07-01,1.3827696483835199
1996-10-01,1.4683385987000599
1997-01-01,-0.7154413835183210
1997-04-01,1.4679850753970300
1997-07-01,0.8746497453112270
1997-10-01,0.5894002231134300
1998-01-01,0.4714359952961130
1998-04-01,2.0817740900729600
1998-07-01,0.5056448193934791
1998-10-01,0.7475316721425930
1999-01-01,1.7261115301805801
1999-04-01,-0.6327440947134070
1999-07-01,-0.2491640019161270
1999-10-01,0.1629017625831140
2000-01-01,1.2637446159075201
2000-04-01,1.6627716229465299
2000-07-01,0.8863467266920469
2000-10-01,-0.8878891286319039
2001-01-01,0.2634252592640680
2001-04-01,1.8113882201217100
2001-07-01,0.8545577494164590
2001-10-01,0.0231045745485952
2002-01-01,1.1152008475477100
2002-04-01,0.9380713139826250
2002-07-01,1.6991680572052901
2002-10-01,0.6847263383609440
2003-01-01,1.4117566000631701
2003-04-01,0.1987614325689620
2003-07-01,-1.1638590103746600
2003-10-01,2.7469611464038102
2004-01-01,0.0635479892977216
2004-04-01,1.8390533432968299
2004-07-01,-0.9715937487817030
2004-10-01,0.4943926250089540
2005-01-01,1.0490103126032899
2005-04-01,0.6980569072590020
2005-07-01,0.2274504050350790
2005-10-01,0.6378930820312690
2006-01-01,1.4014554477949299
2006-04-01,-0.5216634785567190
2006-07-01,3.4558210651062100
2006-10-01,0.7991781688722680
2007-01-01,-0.6081661193844740
2007-04-01,1.3124245389102100
2007-07-01,1.3652592203967999
2007-10-01,1.9747771326694401
2008-01-01,4.2220124802697798
2008-04-01,-1.4163264917204701
2008-07-01,0.1731403989132300
2008-10-01,-0.9939349752973590
2009-01-01,2.5181236240764302
2009-04-01,-1.7212922836865301
2009-07-01,0.8861626974327560
2009-10-01,0.8930068672755080
2010-01-01,-0.1773945931549970
2010-04-01,2.0357112708137501
2010-07-01,0.3016256746877800
2010-10-01,1.6148458981264400
2011-01-01,1.2394557313332699
2011-04-01,0.9173460810230570
2011-07-01,0.0147122424128109
2011-10-01,2.0545789941904600
2012-01-01,0.7782874326078080
2012-04-01,1.2331581028076599
2012-07-01,0.9900729155257600
2012-10-01,2.9083859642288301
2013-01-01,-1.5623657453048601
2013-04-01,0.7932548470294860
2013-07-01,0.4773890248919660
2013-10-01,-0.2131056086115150
2014-01-01,0.7250822922446560
2014-04-01,-0.4268424833397290
2014-07-01,1.2501713886422201
2014-10-01,-0.0214768956173222
2015-01-01,-0.1527330540364490
2015-04-01,0.0100720223487833
2015-07-01,3.0172600173336899
2015-10-01,-0.1743699132256270
2016-01-01,0.9217649119280160
2016-04-01,3.3410644399633602
2016-07-01,-0.3399867104574620
2016-10-01,-0.0370714371664814
2017-01-01,0.6677620590254890
2017-04-01,1.2616125341382800
2017-07-01,-0.0740957925256000
2017-10-01,1.9554964227016400
2018-01-01,0.8050144788705260
2018-04-01,-0.3816742387841250
2018-07-01,1.2491367678668901
2018-10-01,1.9459739735184900
2019-01-01,1.3051222760080701
2019-04-01,0.5979279018937070
2019-07-01,0.7249016926957610
2019-10-01,1.0409040941913801
2020-01-01,0.9134442700764860
2020-04-01,-2.3876179651509899
2020-07-01,4.0626200938574204
2020-10-01,2.3660877009910499
2021-01-01,1.7203981573511500
2021-04-01,2.4406936299606699
2021-07-01,-0.6330271181504200
2021-10-01,3.1903401165438301
2022-01-01,2.7194160053038599
2022-04-01,-0.0329081729210126
2022-07-01,2.7255044449432599
2022-10-01,2.2214369788181898
2023-01-01,1.1458008063424401
2023-04-01,2.5575654140789199
