observation_date,BSCICP03ITM665S
1962-02-01,103.07810
1962-03-01,102.71990
1962-04-01,102.63220
1962-05-01,102.59490
1962-06-01,102.54520
1962-07-01,102.51310
1962-08-01,102.46730
1962-09-01,102.45020
1962-10-01,102.36860
1962-11-01,102.31580
1962-12-01,102.24620
1963-01-01,102.28220
1963-02-01,102.37700
1963-03-01,102.43060
1963-04-01,102.45030
1963-05-01,102.39500
1963-06-01,102.15510
1963-07-01,101.91340
1963-08-01,101.67190
1963-09-01,101.39100
1963-10-01,101.02780
1963-11-01,100.51230
1963-12-01,99.85474
1964-01-01,98.89785
1964-02-01,97.82187
1964-03-01,97.08270
1964-04-01,96.45235
1964-05-01,95.96124
1964-06-01,95.71454
1964-07-01,95.51748
1964-08-01,95.37708
1964-09-01,95.29144
1964-10-01,95.13512
1964-11-01,94.89754
1964-12-01,94.78883
1965-01-01,95.17207
1965-02-01,95.90839
1965-03-01,96.58462
1965-04-01,96.99856
1965-05-01,97.24638
1965-06-01,97.56364
1965-07-01,97.87444
1965-08-01,98.13528
1965-09-01,98.32977
1965-10-01,98.56351
1965-11-01,98.92009
1965-12-01,99.32959
1966-01-01,99.82286
1966-02-01,100.27470
1966-03-01,100.67430
1966-04-01,100.87620
1966-05-01,100.91390
1966-06-01,100.84870
1966-07-01,100.78210
1966-08-01,100.87070
1966-09-01,100.98480
1966-10-01,101.07850
1966-11-01,101.17700
1966-12-01,101.18170
1967-01-01,100.97400
1967-02-01,100.71600
1967-03-01,100.44810
1967-04-01,100.34610
1967-05-01,100.37910
1967-06-01,100.36050
1967-07-01,100.27110
1967-08-01,100.07440
1967-09-01,99.95906
1967-10-01,99.92432
1967-11-01,99.99796
1967-12-01,100.06780
1968-01-01,100.06310
1968-02-01,100.03760
1968-03-01,100.07140
1968-04-01,100.19490
1968-05-01,100.35430
1968-06-01,100.64420
1968-07-01,101.09790
1968-08-01,101.60050
1968-09-01,101.94390
1968-10-01,102.13780
1968-11-01,102.16890
1968-12-01,102.26510
1969-01-01,102.60890
1969-02-01,103.03890
1969-03-01,103.51940
1969-04-01,103.81260
1969-05-01,103.96530
1969-06-01,103.91290
1969-07-01,103.78480
1969-08-01,103.75420
1969-09-01,103.75780
1969-10-01,103.78200
1969-11-01,103.80850
1969-12-01,103.63780
1970-01-01,103.27000
1970-02-01,102.82080
1970-03-01,102.22800
1970-04-01,101.65040
1970-05-01,101.14390
1970-06-01,100.78170
1970-07-01,100.49880
1970-08-01,100.09890
1970-09-01,99.58752
1970-10-01,99.06331
1970-11-01,98.77146
1970-12-01,98.45660
1971-01-01,98.01042
1971-02-01,97.48115
1971-03-01,97.06161
1971-04-01,97.00764
1971-05-01,97.03911
1971-06-01,96.90236
1971-07-01,96.74649
1971-08-01,96.59887
1971-09-01,96.82643
1971-10-01,97.31664
1971-11-01,97.75848
1971-12-01,98.11884
1972-01-01,98.30299
1972-02-01,98.50744
1972-03-01,98.67989
1972-04-01,98.82336
1972-05-01,99.02679
1972-06-01,99.37204
1972-07-01,99.78075
1972-08-01,100.33040
1972-09-01,100.94790
1972-10-01,101.47080
1972-11-01,101.74270
1972-12-01,102.00680
1973-01-01,102.43110
1973-02-01,102.94620
1973-03-01,103.32970
1973-04-01,103.65780
1973-05-01,103.92170
1973-06-01,104.00520
1973-07-01,103.87840
1973-08-01,103.82040
1973-09-01,103.67920
1973-10-01,103.38900
1973-11-01,103.26290
1973-12-01,103.11280
1974-01-01,102.78290
1974-02-01,102.29960
1974-03-01,101.74330
1974-04-01,101.12150
1974-05-01,100.41540
1974-06-01,99.59212
1974-07-01,98.69917
1974-08-01,97.61908
1974-09-01,96.35139
1974-10-01,95.22697
1974-11-01,94.39359
1974-12-01,94.02404
1975-01-01,94.03024
1975-02-01,94.17770
1975-03-01,94.28247
1975-04-01,94.31867
1975-05-01,94.31372
1975-06-01,94.36256
1975-07-01,94.68296
1975-08-01,95.31170
1975-09-01,96.03915
1975-10-01,96.69680
1975-11-01,97.19337
1975-12-01,97.77335
1976-01-01,98.36781
1976-02-01,98.93056
1976-03-01,99.30191
1976-04-01,99.56212
1976-05-01,99.76236
1976-06-01,99.86765
1976-07-01,99.96428
1976-08-01,99.89954
1976-09-01,99.74551
1976-10-01,99.50805
1976-11-01,99.02570
1976-12-01,98.41031
1977-01-01,97.81625
1977-02-01,97.29225
1977-03-01,96.86693
1977-04-01,96.46194
1977-05-01,96.21503
1977-06-01,96.17187
1977-07-01,96.22749
1977-08-01,96.21990
1977-09-01,96.12949
1977-10-01,96.13698
1977-11-01,96.35799
1977-12-01,96.63258
1978-01-01,96.86449
1978-02-01,97.15446
1978-03-01,97.56821
1978-04-01,98.04963
1978-05-01,98.36276
1978-06-01,98.62903
1978-07-01,98.96367
1978-08-01,99.31178
1978-09-01,99.67411
1978-10-01,99.96211
1978-11-01,100.14410
1978-12-01,100.36480
1979-01-01,100.61100
1979-02-01,100.69390
1979-03-01,101.07150
1979-04-01,101.59470
1979-05-01,102.04590
1979-06-01,102.17630
1979-07-01,102.01820
1979-08-01,101.90760
1979-09-01,101.77560
1979-10-01,101.56550
1979-11-01,101.36380
1979-12-01,101.30560
1980-01-01,101.16530
1980-02-01,100.56690
1980-03-01,99.53322
1980-04-01,98.52265
1980-05-01,97.88613
1980-06-01,97.75809
1980-07-01,97.67445
1980-08-01,97.51460
1980-09-01,97.33000
1980-10-01,97.09637
1980-11-01,96.94859
1980-12-01,96.80355
1981-01-01,96.66067
1981-02-01,96.49181
1981-03-01,96.33389
1981-04-01,96.35531
1981-05-01,96.55582
1981-06-01,96.74510
1981-07-01,96.85074
1981-08-01,96.93204
1981-09-01,96.97212
1981-10-01,97.05161
1981-11-01,97.05353
1981-12-01,96.93963
1982-01-01,96.85081
1982-02-01,96.86515
1982-03-01,96.88369
1982-04-01,96.66646
1982-05-01,96.27202
1982-06-01,95.96935
1982-07-01,95.76640
1982-08-01,95.61040
1982-09-01,95.59090
1982-10-01,95.63757
1982-11-01,95.69247
1982-12-01,95.81602
1983-01-01,95.87714
1983-02-01,95.93819
1983-03-01,96.09156
1983-04-01,96.39856
1983-05-01,96.78649
1983-06-01,97.19978
1983-07-01,97.31432
1983-08-01,97.39626
1983-09-01,97.52625
1983-10-01,97.82289
1983-11-01,98.16008
1983-12-01,98.48114
1984-01-01,98.76711
1984-02-01,99.07144
1984-03-01,99.33636
1984-04-01,99.34360
1984-05-01,99.36565
1984-06-01,99.49738
1984-07-01,99.63388
1984-08-01,99.64426
1984-09-01,99.59091
1984-10-01,99.51599
1984-11-01,99.44446
1984-12-01,99.50928
1985-01-01,99.56497
1985-02-01,99.55022
1985-03-01,99.43230
1985-04-01,99.43551
1985-05-01,99.50258
1985-06-01,99.56623
1985-07-01,99.65015
1985-08-01,99.72894
1985-09-01,99.84273
1985-10-01,99.80462
1985-11-01,99.69769
1985-12-01,99.53136
1986-01-01,99.47049
1986-02-01,99.52826
1986-03-01,99.65766
1986-04-01,99.75479
1986-05-01,99.89590
1986-06-01,100.02650
1986-07-01,100.08000
1986-08-01,100.12160
1986-09-01,100.14250
1986-10-01,100.23190
1986-11-01,100.37280
1986-12-01,100.53620
1987-01-01,100.53960
1987-02-01,100.44930
1987-03-01,100.42370
1987-04-01,100.45250
1987-05-01,100.62690
1987-06-01,100.75950
1987-07-01,100.85110
1987-08-01,101.00380
1987-09-01,101.14660
1987-10-01,101.17260
1987-11-01,101.20840
1987-12-01,101.31340
1988-01-01,101.41320
1988-02-01,101.43940
1988-03-01,101.41260
1988-04-01,101.47770
1988-05-01,101.70110
1988-06-01,101.89940
1988-07-01,102.04150
1988-08-01,102.24870
1988-09-01,102.56190
1988-10-01,102.79430
1988-11-01,102.87570
1988-12-01,102.86410
1989-01-01,102.80340
1989-02-01,102.64310
1989-03-01,102.34480
1989-04-01,102.11930
1989-05-01,101.97630
1989-06-01,101.94960
1989-07-01,101.96610
1989-08-01,101.90210
1989-09-01,101.76590
1989-10-01,101.68520
1989-11-01,101.72280
1989-12-01,101.85020
1990-01-01,101.83370
1990-02-01,101.65690
1990-03-01,101.50650
1990-04-01,101.35350
1990-05-01,101.07340
1990-06-01,100.73610
1990-07-01,100.47420
1990-08-01,100.37710
1990-09-01,100.34070
1990-10-01,100.17990
1990-11-01,99.93980
1990-12-01,99.62859
1991-01-01,99.30542
1991-02-01,99.17753
1991-03-01,99.22107
1991-04-01,99.32426
1991-05-01,99.38123
1991-06-01,99.43326
1991-07-01,99.52007
1991-08-01,99.50570
1991-09-01,99.37345
1991-10-01,99.24026
1991-11-01,99.13769
1991-12-01,99.08408
1992-01-01,99.11074
1992-02-01,99.17814
1992-03-01,99.22559
1992-04-01,99.21073
1992-05-01,99.12318
1992-06-01,98.89249
1992-07-01,98.56730
1992-08-01,98.28649
1992-09-01,98.02402
1992-10-01,97.86973
1992-11-01,97.72683
1992-12-01,97.58836
1993-01-01,97.57316
1993-02-01,97.68259
1993-03-01,97.81573
1993-04-01,97.84320
1993-05-01,97.84052
1993-06-01,97.81628
1993-07-01,97.83703
1993-08-01,97.97514
1993-09-01,98.27277
1993-10-01,98.63435
1993-11-01,98.98701
1993-12-01,99.20920
1994-01-01,99.49567
1994-02-01,99.89106
1994-03-01,100.24770
1994-04-01,100.51740
1994-05-01,100.71560
1994-06-01,100.95690
1994-07-01,101.34830
1994-08-01,101.74870
1994-09-01,102.10960
1994-10-01,102.42640
1994-11-01,102.63690
1994-12-01,102.71710
1995-01-01,102.69950
1995-02-01,102.74560
1995-03-01,102.70550
1995-04-01,102.63680
1995-05-01,102.56990
1995-06-01,102.53080
1995-07-01,102.44000
1995-08-01,102.18200
1995-09-01,101.86440
1995-10-01,101.54130
1995-11-01,101.24040
1995-12-01,100.98130
1996-01-01,100.57220
1996-02-01,100.06740
1996-03-01,99.70331
1996-04-01,99.47132
1996-05-01,99.32947
1996-06-01,99.26635
1996-07-01,99.21393
1996-08-01,99.18699
1996-09-01,99.19816
1996-10-01,99.25426
1996-11-01,99.29939
1996-12-01,99.47940
1997-01-01,99.76095
1997-02-01,99.91935
1997-03-01,100.00540
1997-04-01,100.17150
1997-05-01,100.46380
1997-06-01,100.79330
1997-07-01,101.08630
1997-08-01,101.22990
1997-09-01,101.35920
1997-10-01,101.39340
1997-11-01,101.36410
1997-12-01,101.41190
1998-01-01,101.55590
1998-02-01,101.63090
1998-03-01,101.57090
1998-04-01,101.41060
1998-05-01,101.17710
1998-06-01,101.00460
1998-07-01,100.80290
1998-08-01,100.46020
1998-09-01,100.02990
1998-10-01,99.75209
1998-11-01,99.70559
1998-12-01,99.67311
1999-01-01,99.63072
1999-02-01,99.61234
1999-03-01,99.69104
1999-04-01,99.84471
1999-05-01,100.19810
