observation_date,USAB6BLTT02STSAQ
1960-01-01,0.25799410000000000
1960-04-01,0.39180900000000002
1960-07-01,0.61289869999999991
1960-10-01,0.82044140000000010
1961-01-01,0.90932769999999996
1961-04-01,0.65233240000000003
1961-07-01,0.59471800000000008
1961-10-01,0.57387719999999998
1962-01-01,0.43500729999999999
1962-04-01,0.69624200000000003
1962-07-01,0.63117069999999997
1962-10-01,0.47821259999999999
1963-01-01,0.54240819999999990
1963-04-01,0.76156959999999996
1963-07-01,0.63372459999999997
1963-10-01,0.82576640000000001
1964-01-01,1.14060199999999989
1964-04-01,0.89999030000000002
1964-07-01,0.99706519999999998
1964-10-01,0.95336569999999998
1965-01-01,0.70048339999999998
1965-04-01,0.86388359999999997
1965-07-01,0.69662880000000005
1965-10-01,0.66799940000000002
1966-01-01,0.49363230000000002
1966-04-01,0.39205889999999999
1966-07-01,0.23668989999999990
1966-10-01,0.37249399999999999
1967-01-01,0.41508230000000002
1967-04-01,0.31425839999999999
1967-07-01,0.26027670000000003
1967-10-01,0.21510279999999990
1968-01-01,0.08621192000000000
1968-04-01,0.14084749999999999
1968-07-01,0.05847554000000000
1968-10-01,-0.02107373000000000
1969-01-01,0.04912734000000000
1969-04-01,-0.05193158000000000
1969-07-01,0.01864157000000000
1969-10-01,0.13755279999999989
1970-01-01,0.23592080000000001
1970-04-01,0.36425809999999997
1970-07-01,0.18967660000000000
1970-10-01,0.08157206000000000
1971-01-01,0.24067179999999999
1971-04-01,-0.14148929999999990
1971-07-01,-0.18205360000000001
1971-10-01,-0.39418730000000002
1972-01-01,-0.55029669999999997
1972-04-01,-0.53349380000000002
1972-07-01,-0.39827489999999999
1972-10-01,-0.34012989999999999
1973-01-01,0.04210557000000000
1973-04-01,0.24697870000000000
1973-07-01,0.76354509999999998
1973-10-01,0.91662270000000001
1974-01-01,0.43240079999999997
1974-04-01,0.02875712000000000
1974-07-01,-0.07563976000000000
1974-10-01,0.13277659999999999
1975-01-01,1.04126199999999991
1975-04-01,1.21415199999999990
1975-07-01,0.95448639999999996
1975-10-01,1.09272700000000000
1976-01-01,0.56380520000000001
1976-04-01,0.35587570000000002
1976-07-01,-0.01781021000000000
1976-10-01,0.03370776000000000
1977-01-01,-0.54046770000000000
1977-04-01,-0.58971479999999998
1977-07-01,-0.52056369999999996
1977-10-01,-1.08341400000000010
1978-01-01,-1.27476400000000001
1978-04-01,-0.64795790000000009
1978-07-01,-0.61242900000000000
1978-10-01,-0.10965100000000000
1979-01-01,-0.06712551000000000
1979-04-01,-0.10666680000000001
1979-07-01,0.13840339999999990
1979-10-01,-0.01439122000000000
1980-01-01,-0.49594209999999989
1980-04-01,-0.13455580000000000
1980-07-01,0.60676009999999991
1980-10-01,0.31927040000000001
1981-01-01,0.12329530000000000
1981-04-01,0.15531860000000000
1981-07-01,0.25528970000000001
1981-10-01,0.09253789000000000
1982-01-01,-0.03481658000000000
1982-04-01,0.45486579999999988
1982-07-01,-0.48004910000000001
1982-10-01,-0.58743990000000001
1983-01-01,-0.28985899999999998
1983-04-01,-0.87547730000000012
1983-07-01,-1.39879400000000009
1983-10-01,-1.62795200000000007
1984-01-01,-2.14224300000000012
1984-04-01,-2.33828799999999992
1984-07-01,-2.29016399999999987
1984-10-01,-2.56368999999999980
1985-01-01,-2.22393100000000032
1985-04-01,-2.67192100000000021
1985-07-01,-2.85430800000000007
1985-10-01,-3.11856599999999995
1986-01-01,-3.03547499999999992
1986-04-01,-3.14097500000000007
1986-07-01,-3.30310199999999954
1986-10-01,-3.36875400000000003
1987-01-01,-3.32602300000000017
1987-04-01,-3.32781299999999991
1987-07-01,-3.28619500000000020
1987-10-01,-3.29728800000000000
1988-01-01,-2.59803499999999987
1988-04-01,-2.22703600000000002
1988-07-01,-2.11431900000000006
1988-10-01,-2.32517400000000007
1989-01-01,-2.06791400000000003
1989-04-01,-1.79372200000000004
1989-07-01,-1.54862799999999989
1989-10-01,-1.65470800000000007
1990-01-01,-1.61057099999999997
1990-04-01,-1.31032900000000008
1990-07-01,-1.43219199999999991
1990-10-01,-0.94978410000000002
1991-01-01,0.65993080000000004
1991-04-01,0.16484789999999999
1991-07-01,-0.26980609999999999
1991-10-01,-0.34486169999999999
1992-01-01,-0.39188429999999991
1992-04-01,-0.73499829999999999
1992-07-01,-0.89561769999999996
1992-10-01,-1.12483500000000003
1993-01-01,-0.87834699999999999
1993-04-01,-1.21481499999999998
1993-07-01,-1.23811099999999996
1993-10-01,-1.60017399999999999
1994-01-01,-1.40428400000000009
1994-04-01,-1.57738500000000004
1994-07-01,-1.72460400000000003
1994-10-01,-1.95539100000000010
1995-01-01,-1.67151200000000011
1995-04-01,-1.68911799999999990
1995-07-01,-1.40448100000000009
1995-10-01,-1.19121200000000016
1996-01-01,-1.39493500000000004
1996-04-01,-1.48590000000000000
1996-07-01,-1.77376399999999990
1996-10-01,-1.52231800000000006
1997-01-01,-1.72571999999999992
1997-04-01,-1.35220500000000010
1997-07-01,-1.51068500000000006
1997-10-01,-1.96789700000000001
1998-01-01,-1.98518499999999998
1998-04-01,-2.28988699999999978
1998-07-01,-2.58254000000000028
1998-10-01,-2.61777699999999980
1999-01-01,-2.58563799999999988
1999-04-01,-2.85347499999999998
1999-07-01,-3.14367500000000000
1999-10-01,-3.30034800000000050
2000-01-01,-3.79005400000000003
2000-04-01,-3.76247599999999993
2000-07-01,-4.05009999999999959
2000-10-01,-4.07365300000000019
2001-01-01,-4.09297600000000017
2001-04-01,-3.59471700000000016
2001-07-01,-3.90393699999999999
2001-10-01,-3.31178799999999995
2002-01-01,-3.80611100000000002
2002-04-01,-4.21288300000000060
2002-07-01,-4.18257800000000035
2002-10-01,-4.48314400000000024
2003-01-01,-4.84555000000000025
2003-04-01,-4.57309900000000003
2003-07-01,-4.49930800000000009
