observation_date,ULQELP01DEQ659S
1992-01-01,3.72351456246524970
1992-04-01,3.25085357234531003
1992-07-01,2.85587318534004009
1992-10-01,1.59091739318927994
1993-01-01,-0.63266903649284001
1993-04-01,0.25889002180234200
1993-07-01,0.84194708925699202
1993-10-01,0.79216089088926900
1994-01-01,2.43656899656245018
1994-04-01,2.33737683356973980
1994-07-01,2.00611940519703991
1994-10-01,2.92679347800478995
1995-01-01,1.36455278836447991
1995-04-01,1.72331614885308992
1995-07-01,1.36728836550132993
1995-10-01,0.25237067556078802
1996-01-01,-0.00670004427284440
1996-04-01,0.53035909363217004
1996-07-01,0.84296344747879404
1996-10-01,1.86208502640970996
1997-01-01,2.16767524417385005
1997-04-01,2.09200349240661998
1997-07-01,1.74677510738875008
1997-10-01,1.61972047461933011
1998-01-01,2.73823133415719999
1998-04-01,0.61193657834365001
1998-07-01,0.31919101871270000
1998-10-01,-1.24036107981113997
1999-01-01,-1.01097654927431990
1999-04-01,-0.08860317909723620
1999-07-01,0.27083204109508102
1999-10-01,1.31649643867644994
2000-01-01,0.86406648007500797
2000-04-01,1.40429644754303995
2000-07-01,1.01191434297526994
2000-10-01,0.48288610576635499
2001-01-01,2.29682820454639991
2001-04-01,1.82479953341420997
2001-07-01,2.03767397216445012
2001-10-01,2.22136977783795020
2002-01-01,-0.62113323574448598
2002-04-01,-0.02499404247394420
2002-07-01,0.79798440041546204
2002-10-01,1.14952184502333998
2003-01-01,0.49461119195009001
2003-04-01,0.41238225199926398
2003-07-01,0.26471935616752801
2003-10-01,0.32280572430026899
2004-01-01,1.05859125272563004
2004-04-01,0.81143044746755899
2004-07-01,-0.01411906431202350
2004-10-01,-0.31185722123795800
2005-01-01,0.39443744247659301
2005-04-01,0.67989985520650997
2005-07-01,1.42180267124358006
2005-10-01,1.63011293137256996
2006-01-01,2.79375419147790982
2006-04-01,3.32651932372957981
2006-07-01,2.94709580884841005
2006-10-01,3.92370289433252006
2007-01-01,2.08347550257315994
2007-04-01,1.44143263461208004
2007-07-01,1.39557939792094010
2007-10-01,0.51445011400659602
2008-01-01,1.03465286053796990
2008-04-01,0.15757109915448200
2008-07-01,-0.96545762634243204
2008-10-01,-3.03253327182087995
2009-01-01,-7.73347585188870124
2009-04-01,-6.96133697805435059
2009-07-01,-5.42765068859375965
2009-10-01,-2.97115636564908003
2010-01-01,2.67068569771832998
2010-04-01,4.16728222704819995
2010-07-01,4.01802359056229985
2010-10-01,3.83557587041428949
2011-01-01,4.71478571974767036
2011-04-01,2.49740727499432991
2011-07-01,2.50667522223319006
2011-10-01,1.34549747521972995
2012-01-01,-0.38357950807983199
2012-04-01,-0.16287142612526900
2012-07-01,-0.69304518551427496
2012-10-01,-0.84622118470964702
2013-01-01,-1.34091555827999009
2013-04-01,-0.31420499956111703
2013-07-01,-0.05368321706779540
2013-10-01,0.76335300700016495
2014-01-01,2.04166525278456978
2014-04-01,0.84733734940457195
2014-07-01,0.87752785951700896
2014-10-01,1.52362493095287999
2015-01-01,0.12739810301817200
2015-04-01,0.72050678458551298
2015-07-01,0.45458475057093800
2015-10-01,-0.10057365072686300
2016-01-01,1.21252135154186003
2016-04-01,0.93965955306288795
2016-07-01,0.75710038077293396
2016-10-01,0.61281365581931302
2017-01-01,0.93995256673696803
2017-04-01,1.36568812408997009
2017-07-01,1.74910754335861007
2017-10-01,2.38660474040236004
2018-01-01,0.41537987276854799
2018-04-01,0.33633436786529802
2018-07-01,-1.12002757401483000
2018-10-01,-1.13115172515140006
2019-01-01,0.28695645864137398
2019-04-01,-0.45192385680207098
2019-07-01,0.68220356135671700
2019-10-01,0.23926773567899701
2020-01-01,-1.97344913068499994
2020-04-01,-9.55279369311704052
2020-07-01,-1.34192771649481002
2020-10-01,-0.86933060707093102
2021-01-01,-0.23352798730444099
2021-04-01,10.55439218246189981
2021-07-01,1.59433898721439005
2021-10-01,0.61288388889701995
2022-01-01,2.39845384410504980
2022-04-01,-0.01813790162895100
2022-07-01,0.02991778459085130
2022-10-01,-0.31002457505060099
2023-01-01,-1.14201489932617006
2023-04-01,-0.76751197179128405
2023-07-01,-1.12935098381693000
