observation_date,ULQECU01JPQ657S
1980-04-01,1.40025157799717004
1980-07-01,2.06573618579255980
1980-10-01,1.96040880614425994
1981-01-01,0.75867668600831695
1981-04-01,2.17365639372974995
1981-07-01,1.34801172295474991
1981-10-01,2.10405898252186008
1982-01-01,-0.41317777414458401
1982-04-01,1.00748564318963996
1982-07-01,1.76858962738064007
1982-10-01,0.44958769630520501
1983-01-01,0.57937823526450904
1983-04-01,-0.07206884165076560
1983-07-01,0.56038977519981203
1983-10-01,0.95721814360310797
1984-01-01,1.46084447601999989
1984-04-01,1.33756344186206011
1984-07-01,0.11328963062162600
1984-10-01,1.69439648754518002
1985-01-01,0.10893870232505000
1985-04-01,1.12094588534022011
1985-07-01,1.40787617633988993
1985-10-01,0.54362559711928204
1986-01-01,1.10310639961713997
1986-04-01,-0.36630798049600499
1986-07-01,0.78072154332406096
1986-10-01,0.68668210688073905
1987-01-01,1.16467853497514007
1987-04-01,-0.11152605886774300
1987-07-01,0.25297662965913698
1987-10-01,0.49002600786716899
1988-01-01,1.64799161391315008
1988-04-01,0.35096091031701998
1988-07-01,1.13704821597947991
1988-10-01,0.78449955964078999
1989-01-01,0.63341478884695002
1989-04-01,1.46701791896041001
1989-07-01,0.91685383775946205
1989-10-01,1.38439071509398004
1990-01-01,0.84115768102391397
1990-04-01,1.27789105505938005
1990-07-01,0.82869867478625803
1990-10-01,1.92120885112239992
1991-01-01,0.43625361937559798
1991-04-01,1.46793619704568989
1991-07-01,0.89069088313619404
1991-10-01,1.12440406240604007
1992-01-01,-0.85472014819650999
1992-04-01,0.29537940354058700
1992-07-01,0.13335088058845701
1992-10-01,0.07607984541485641
1993-01-01,-0.07993832217892220
1993-04-01,0.00242019798080330
1993-07-01,1.23240799547808000
1993-10-01,-0.38347100655202998
1994-01-01,0.89771365895303901
1994-04-01,1.67083139461622010
1994-07-01,-1.28474369148436995
1994-10-01,1.61924890496985996
1995-01-01,-0.30970225204712798
1995-04-01,0.19557086883552699
1995-07-01,0.41815035971105402
1995-10-01,0.73490152124860197
1996-01-01,-0.80621449491612796
1996-04-01,0.25570168834880402
1996-07-01,0.72336323658787505
1996-10-01,0.41165554355584599
1997-01-01,0.43569278753026303
1997-04-01,0.42529242209436202
1997-07-01,0.53357650364926701
1997-10-01,-0.09341065090332749
1998-01-01,-0.75055011289724005
1998-04-01,-0.07840837654807500
1998-07-01,-0.80799078803291402
1998-10-01,-0.16141179791327301
1999-01-01,-0.46909846540518702
1999-04-01,-0.32944819018108301
1999-07-01,-0.07314652503427919
1999-10-01,-0.03564473561765170
2000-01-01,0.26503144634359299
2000-04-01,-0.54583203008436798
2000-07-01,0.00518637008975610
2000-10-01,-0.01168938041481380
2001-01-01,0.34061648116891802
2001-04-01,-1.25812399735407010
2001-07-01,-0.44418028618657501
2001-10-01,-1.39779752465552010
2002-01-01,0.44868108594573403
2002-04-01,-2.29730246138290006
2002-07-01,0.26262069939564298
2002-10-01,-0.55142295822214304
2003-01-01,1.67274304326814005
2003-04-01,-1.66917839626098008
2003-07-01,-1.24684358763593006
2003-10-01,0.26036525077400302
2004-01-01,0.05204817177358800
2004-04-01,0.67478463340782002
2004-07-01,0.26242106094034601
2004-10-01,-0.00405068415542460
2005-01-01,0.43306867710763602
2005-04-01,0.07264101434342600
2005-07-01,0.32102918419304000
2005-10-01,0.44290362579989900
2006-01-01,-0.70115602596420001
2006-04-01,0.33812028289504997
2006-07-01,0.14820128790283599
2006-10-01,0.46805105233221000
2007-01-01,-1.06463723511557995
2007-04-01,0.14671859502609499
2007-07-01,-0.19677267021723499
2007-10-01,0.31319729414512698
2008-01-01,0.41597742380394198
2008-04-01,0.14569132348445199
2008-07-01,-1.02317739952451991
2008-10-01,-0.67208148192283801
2009-01-01,-1.18428695843777998
2009-04-01,-2.04682763366748999
2009-07-01,-0.16896935035996100
2009-10-01,-0.28156052697227402
2010-01-01,-0.00504935688695180
2010-04-01,-0.01877534731182610
2010-07-01,-0.73304768918375296
2010-10-01,-0.49038289876134999
2011-01-01,0.22066324852299599
2011-04-01,0.51934026777019904
2011-07-01,-0.04466722309043500
2011-10-01,0.01544489848909120
2012-01-01,0.58896025200798596
2012-04-01,-0.73890193481747601
2012-07-01,0.00139476012214650
2012-10-01,-0.49146317615177698
2013-01-01,0.36901582394315502
2013-04-01,0.10107067031305800
2013-07-01,-0.69910397537520996
2013-10-01,0.27651372424192699
2014-01-01,0.24123958821278699
2014-04-01,0.96532168429163601
2014-07-01,-0.09115905351171540
2014-10-01,-0.06490926550414720
2015-01-01,-0.08223298972760140
2015-04-01,0.00400257673343320
2015-07-01,0.38496986874810402
2015-10-01,0.20541965975426599
2016-01-01,0.37317519416016798
2016-04-01,-0.12980714652264999
2016-07-01,0.64646760621072996
2016-10-01,0.02288573985269980
2017-01-01,0.06978009008430160
2017-04-01,-0.27444650993880498
2017-07-01,0.49403328561200599
2017-10-01,0.12694168003810399
2018-01-01,0.54328890077545799
2018-04-01,0.45007670358852198
2018-07-01,-0.00977194984651370
2018-10-01,0.35122827841012499
2019-01-01,-0.26919691976086202
2019-04-01,0.77339751876273100
2019-07-01,-0.28340169221829098
2019-10-01,0.72144704760629996
2020-01-01,-0.61736972868215900
2020-04-01,-1.14397327943153004
2020-07-01,0.27325117266818999
2020-10-01,-0.01851631466690100
2021-01-01,1.86218270650790996
2021-04-01,-0.14467424068363000
2021-07-01,0.31532614981557400
2021-10-01,-0.08246545562863650
2022-01-01,1.44341037745363998
2022-04-01,-0.32684740442127402
2022-07-01,0.68375574374448200
2022-10-01,0.71017744605976496
2023-01-01,0.22665970778840699
2023-04-01,0.27651448921083399
2023-07-01,-0.23833287031433600
