observation_date,ULQEUL01NLQ661S
1996-01-01,74.5398598871898
1996-04-01,74.8349856573428
1996-07-01,74.6086603194359
1996-10-01,75.1557333704008
1997-01-01,75.2113165722956
1997-04-01,75.4176917819943
1997-07-01,75.2014590429153
1997-10-01,75.6010690485310
1998-01-01,75.9075661598740
1998-04-01,76.0304057866622
1998-07-01,76.7595561987029
1998-10-01,77.2266243045868
1999-01-01,77.4067265345200
1999-04-01,77.6717661326545
1999-07-01,77.8518994239741
1999-10-01,78.1232577188312
2000-01-01,79.9172522109233
2000-04-01,79.7489452023873
2000-07-01,80.3545033406505
2000-10-01,80.1679212142720
2001-01-01,81.2306744240472
2001-04-01,81.4867443838208
2001-07-01,82.7834691778080
2001-10-01,82.8657316945103
2002-01-01,85.4997398783139
2002-04-01,85.5790623168657
2002-07-01,86.1684433967013
2002-10-01,86.5838357195901
2003-01-01,86.9975781387036
2003-04-01,87.9600154118218
2003-07-01,88.2996974197597
2003-10-01,88.5583066676862
2004-01-01,87.9873132586677
2004-04-01,88.1151609558532
2004-07-01,88.0957162726900
2004-10-01,88.2269141139992
2005-01-01,87.9730865317093
2005-04-01,88.3332632628275
2005-07-01,88.0833765794730
2005-10-01,87.1995752660401
2006-01-01,87.1688428532366
2006-04-01,87.5755435075131
2006-07-01,87.8544143802539
2006-10-01,88.7728825814148
2007-01-01,88.7130899154707
2007-04-01,89.3172071380736
2007-07-01,89.7539459856444
2007-10-01,90.5951434504679
2008-01-01,91.7297093236897
2008-04-01,91.9456286397072
2008-07-01,92.8942781787949
2008-10-01,94.1524652159999
2009-01-01,97.8391806289155
2009-04-01,98.3584962605909
2009-07-01,97.6733538651975
2009-10-01,97.0804951380316
2010-01-01,96.0319558012834
2010-04-01,96.6417493317081
2010-07-01,96.6728942607640
2010-10-01,96.7703892457700
2011-01-01,96.4680190841608
2011-04-01,97.1232113262981
2011-07-01,97.7240636132692
2011-10-01,99.2929369485687
2012-01-01,99.3261269617742
2012-04-01,100.0316145878380
2012-07-01,100.6454313621130
2012-10-01,101.5742279098620
2013-01-01,101.5918935478160
2013-04-01,101.7650265431490
2013-07-01,101.3649027165840
2013-10-01,100.0562170461430
2014-01-01,101.2584609496870
2014-04-01,101.0608756969560
2014-07-01,101.3976286110510
2014-10-01,101.4413711140730
2015-01-01,99.6419343682561
2015-04-01,99.8562064821108
2015-07-01,100.0029106823870
2015-10-01,100.4989484672460
2016-01-01,100.7692210833040
2016-04-01,101.3318539305140
2016-07-01,101.0093566301120
2016-10-01,100.7046006590000
2017-01-01,100.8237996994470
2017-04-01,101.2852421693570
2017-07-01,101.4252670537280
2017-10-01,102.0072742011650
2018-01-01,102.5725642798780
2018-04-01,102.9007170505720
2018-07-01,104.5500890248940
2018-10-01,105.0522459956130
2019-01-01,105.7689661001540
2019-04-01,106.6369299058430
2019-07-01,107.3089967359330
2019-10-01,108.1667698937580
2020-01-01,111.2604223789530
2020-04-01,119.9976729496280
2020-07-01,114.5856540510170
2020-10-01,117.5730631146570
2021-01-01,114.6356418051480
2021-04-01,113.0787230889970
2021-07-01,112.4439513401330
2021-10-01,113.7168235415790
2022-01-01,115.7920915601060
2022-04-01,115.2422389136310
2022-07-01,118.5427231315730
2022-10-01,120.0725524790610
2023-01-01,122.7629752721190
2023-04-01,124.8397237888040
2023-07-01,126.9852628642810
