observation_date,CSCICP03NZM665S
1995-12-01,101.69170
1996-01-01,101.83260
1996-02-01,101.98620
1996-03-01,101.95940
1996-04-01,101.60940
1996-05-01,101.13250
1996-06-01,100.79860
1996-07-01,100.81230
1996-08-01,101.03100
1996-09-01,101.26920
1996-10-01,101.39720
1996-11-01,101.42070
1996-12-01,101.35280
1997-01-01,101.19050
1997-02-01,100.98220
1997-03-01,100.77110
1997-04-01,100.58320
1997-05-01,100.41920
1997-06-01,100.28130
1997-07-01,100.17710
1997-08-01,100.09550
1997-09-01,100.02970
1997-10-01,99.97588
1997-11-01,99.91651
1997-12-01,99.82358
1998-01-01,99.66673
1998-02-01,99.45528
1998-03-01,99.19115
1998-04-01,98.87639
1998-05-01,98.57330
1998-06-01,98.37807
1998-07-01,98.38260
1998-08-01,98.52858
1998-09-01,98.77159
1998-10-01,99.10374
1998-11-01,99.47933
1998-12-01,99.85915
1999-01-01,100.21140
1999-02-01,100.50850
1999-03-01,100.69610
1999-04-01,100.71800
1999-05-01,100.64970
1999-06-01,100.57500
1999-07-01,100.55190
1999-08-01,100.58570
1999-09-01,100.68710
1999-10-01,100.87380
1999-11-01,101.10440
1999-12-01,101.32670
2000-01-01,101.48330
2000-02-01,101.52370
2000-03-01,101.34190
2000-04-01,100.83100
2000-05-01,100.15800
2000-06-01,99.52636
2000-07-01,99.09975
2000-08-01,98.88453
2000-09-01,98.92895
2000-10-01,99.31091
2000-11-01,99.86605
2000-12-01,100.42150
2001-01-01,100.85660
2001-02-01,101.16300
2001-03-01,101.31540
2001-04-01,101.27130
2001-05-01,101.12440
2001-06-01,100.96810
2001-07-01,100.86230
2001-08-01,100.80950
2001-09-01,100.81270
2001-10-01,100.88220
2001-11-01,100.98430
2001-12-01,101.08650
2002-01-01,101.16840
2002-02-01,101.23360
2002-03-01,101.28630
2002-04-01,101.32560
2002-05-01,101.35070
2002-06-01,101.35370
2002-07-01,101.32570
2002-08-01,101.28510
2002-09-01,101.25070
2002-10-01,101.22740
2002-11-01,101.18560
2002-12-01,101.07670
2003-01-01,100.86720
2003-02-01,100.63980
2003-03-01,100.51640
2003-04-01,100.59910
2003-05-01,100.80780
2003-06-01,101.05180
2003-07-01,101.27640
2003-08-01,101.47370
2003-09-01,101.64220
2003-10-01,101.77430
2003-11-01,101.87150
2003-12-01,101.91880
2004-01-01,101.89290
2004-02-01,101.82100
2004-03-01,101.72830
2004-04-01,101.63120
2004-05-01,101.55210
2004-06-01,101.52570
2004-07-01,101.58830
2004-08-01,101.71370
2004-09-01,101.88060
2004-10-01,102.07580
2004-11-01,102.25720
2004-12-01,102.36280
2005-01-01,102.33250
2005-02-01,102.20690
2005-03-01,102.02040
2005-04-01,101.78950
2005-05-01,101.56160
2005-06-01,101.39160
2005-07-01,101.31460
2005-08-01,101.26100
2005-09-01,101.13340
2005-10-01,100.86030
2005-11-01,100.52390
2005-12-01,100.23650
2006-01-01,100.08140
2006-02-01,100.00420
2006-03-01,99.93586
2006-04-01,99.83937
2006-05-01,99.74613
2006-06-01,99.72320
2006-07-01,99.83714
2006-08-01,100.04740
2006-09-01,100.31630
2006-10-01,100.62150
2006-11-01,100.91160
2006-12-01,101.11420
2007-01-01,101.15960
2007-02-01,101.09170
2007-03-01,100.94480
2007-04-01,100.73240
2007-05-01,100.51620
2007-06-01,100.37090
2007-07-01,100.35370
2007-08-01,100.40260
2007-09-01,100.43570
2007-10-01,100.38450
2007-11-01,100.24370
2007-12-01,99.98448
2008-01-01,99.55878
2008-02-01,99.02065
2008-03-01,98.42275
2008-04-01,97.82504
2008-05-01,97.36312
2008-06-01,97.26562
2008-07-01,97.73558
2008-08-01,98.46763
2008-09-01,99.08389
2008-10-01,99.30790
2008-11-01,99.25430
2008-12-01,99.06757
2009-01-01,98.83833
2009-02-01,98.65288
2009-03-01,98.61446
2009-04-01,98.82098
2009-05-01,99.19547
2009-06-01,99.67181
2009-07-01,100.21240
2009-08-01,100.72390
2009-09-01,101.07780
2009-10-01,101.15940
2009-11-01,101.07470
2009-12-01,100.93570
2010-01-01,100.81170
2010-02-01,100.73470
2010-03-01,100.73750
2010-04-01,100.84420
2010-05-01,100.98140
2010-06-01,101.05150
2010-07-01,100.97600
2010-08-01,100.80610
2010-09-01,100.59390
2010-10-01,100.35870
2010-11-01,100.09500
2010-12-01,99.78051
2011-01-01,99.41210
2011-02-01,99.09293
2011-03-01,98.99296
2011-04-01,99.26028
2011-05-01,99.71322
2011-06-01,100.12590
2011-07-01,100.32850
2011-08-01,100.34710
2011-09-01,100.20180
2011-10-01,99.88744
2011-11-01,99.51913
2011-12-01,99.22711
2012-01-01,99.10532
2012-02-01,99.08373
2012-03-01,99.07771
2012-04-01,99.03694
2012-05-01,98.97902
2012-06-01,98.94775
2012-07-01,98.98875
2012-08-01,99.09841
2012-09-01,99.28480
2012-10-01,99.55997
2012-11-01,99.85558
2012-12-01,100.08500
2013-01-01,100.18490
2013-02-01,100.22320
2013-03-01,100.28750
2013-04-01,100.43490
2013-05-01,100.61580
2013-06-01,100.75430
2013-07-01,100.79450
2013-08-01,100.78920
2013-09-01,100.81340
2013-10-01,100.92170
2013-11-01,101.07780
2013-12-01,101.22990
2014-01-01,101.33910
2014-02-01,101.41190
2014-03-01,101.45370
2014-04-01,101.45840
2014-05-01,101.42950
2014-06-01,101.35600
2014-07-01,101.22150
2014-08-01,101.05810
2014-09-01,100.90430
2014-10-01,100.79220
2014-11-01,100.72490
2014-12-01,100.71370
2015-01-01,100.77080
2015-02-01,100.84660
2015-03-01,100.87410
2015-04-01,100.79530
2015-05-01,100.63530
2015-06-01,100.41690
2015-07-01,100.15530
2015-08-01,99.91248
2015-09-01,99.77573
2015-10-01,99.81855
2015-11-01,99.95488
2015-12-01,100.08060
2016-01-01,100.12150
2016-02-01,100.09210
2016-03-01,100.01110
2016-04-01,99.88842
2016-05-01,99.76226
2016-06-01,99.68109
2016-07-01,99.68848
2016-08-01,99.76308
2016-09-01,99.88963
2016-10-01,100.06290
2016-11-01,100.23940
2016-12-01,100.36450
2017-01-01,100.39550
2017-02-01,100.37660
2017-03-01,100.36120
2017-04-01,100.38340
2017-05-01,100.42660
2017-06-01,100.45990
2017-07-01,100.45400
2017-08-01,100.40630
2017-09-01,100.30800
