observation_date,CHEPIEAMP01GPM
2002-06-01,-0.0924272816
2002-07-01,0.0000000000
2002-08-01,-0.1998001998
2002-09-01,0.0000000000
2002-10-01,0.0000000000
2002-11-01,-0.2002002002
2002-12-01,0.0000000000
2003-01-01,0.1003009027
2003-02-01,0.0000000000
2003-03-01,0.1002004008
2003-04-01,0.2002002002
2003-05-01,-0.0999000999
2003-06-01,0.0251958608
2003-07-01,0.0218309122
2003-08-01,-0.0682437457
2003-09-01,-0.0237187900
2003-10-01,0.1157553854
2003-11-01,0.1298397393
2003-12-01,0.0033527199
2004-01-01,0.0215947368
2004-02-01,-0.1059786761
2004-03-01,0.3645586610
2004-04-01,0.5806441463
2004-05-01,0.3720870210
2004-06-01,-0.0021428189
2004-07-01,-0.0852275771
2004-08-01,-0.0414315629
2004-09-01,-0.0239915035
2004-10-01,0.3302062106
2004-11-01,0.1594552077
2004-12-01,-0.1327972260
2005-01-01,-0.1909068464
2005-02-01,0.3276165990
2005-03-01,0.0930910701
2005-04-01,0.4590096525
2005-05-01,-0.1165208627
2005-06-01,0.0413662859
2005-07-01,0.1166085556
2005-08-01,0.0040529039
2005-09-01,0.4781267851
2005-10-01,0.1401145309
2005-11-01,0.0153440422
2005-12-01,0.0466003778
2006-01-01,0.0643092364
2006-02-01,0.2405018069
2006-03-01,0.0839880066
2006-04-01,0.6668531501
2006-05-01,0.3052799490
2006-06-01,0.1601647409
2006-07-01,0.1004384744
2006-08-01,0.1905850423
2006-09-01,-0.0643801062
2006-10-01,0.0869314607
2006-11-01,-0.0162796103
2006-12-01,-0.0077176035
2007-01-01,-0.1094666536
2007-02-01,0.5722437742
2007-03-01,0.1971266726
2007-04-01,0.7394538066
2007-05-01,0.9161402186
2007-06-01,0.0844358435
2007-07-01,-0.0674549274
2007-08-01,0.3244436270
2007-09-01,-0.0989066190
2007-10-01,0.0783594792
2007-11-01,0.2465382418
2007-12-01,-0.0498448864
2008-01-01,0.3946572576
2008-02-01,0.3993948011
2008-03-01,0.3346218301
2008-04-01,0.7107130836
2008-05-01,0.9362284753
2008-06-01,0.5055611729
2008-07-01,0.3034934962
2008-08-01,-0.5861677134
2008-09-01,-0.2889059408
2008-10-01,-0.4039301018
2008-11-01,-0.1336094954
2008-12-01,-0.4343192829
2009-01-01,-0.3000431717
2009-02-01,-0.5452393496
2009-03-01,-0.2477187381
2009-04-01,0.0802015769
2009-05-01,-0.2733935968
2009-06-01,0.0529335770
2009-07-01,-0.1166472255
2009-08-01,-0.0792231211
2009-09-01,0.0672425009
2009-10-01,-0.2962334856
2009-11-01,-0.0079559515
2009-12-01,0.0688656105
2010-01-01,0.1958531768
2010-02-01,-0.3084837595
2010-03-01,0.2745784795
2010-04-01,0.4062232823
2010-05-01,0.1452197881
2010-06-01,-0.3225955740
2010-07-01,-0.3099839409
2010-08-01,0.1540584399
2010-09-01,-0.1215435761
2010-10-01,-0.1750969743
2010-11-01,-0.4504904090
2010-12-01,0.2105555193
2011-01-01,0.0138425307
2011-02-01,-0.1105415988
2011-03-01,0.1974699620
2011-04-01,0.1196954406
2011-05-01,-0.4435419325
2011-06-01,-0.1925769665
2011-07-01,-0.3780723557
2011-08-01,-0.8927243107
2011-09-01,-0.0208851577
2011-10-01,-0.1258966640
2011-11-01,-0.8218809701
2011-12-01,0.2361235073
2012-01-01,0.0364434225
2012-02-01,0.8389261745
2012-03-01,0.1430184909
2012-04-01,-0.1609449542
2012-05-01,0.1218113005
2012-06-01,-0.1647288624
2012-07-01,-0.0465840390
2012-08-01,0.3209271934
2012-09-01,0.1311936016
2012-10-01,-0.0336833432
2012-11-01,0.1279098802
2012-12-01,0.0520070937
2013-01-01,-0.0555009914
2013-02-01,-0.0577567929
2013-03-01,-0.0313532547
2013-04-01,0.2451517120
2013-05-01,-0.2792634184
2013-06-01,0.0593135776
2013-07-01,-0.0510221121
2013-08-01,0.0115090392
2013-09-01,0.0546616453
2013-10-01,-0.2535879354
2013-11-01,-0.0379396184
2013-12-01,0.0301399554
2014-01-01,-0.0116245656
2014-02-01,-0.3041339901
2014-03-01,0.0103553084
2014-04-01,-0.2437443157
2014-05-01,0.0593784248
2014-06-01,0.0218681983
2014-07-01,-0.1146427901
2014-08-01,-0.2085956369
2014-09-01,-0.0423687506
2014-10-01,0.0567344229
2014-11-01,-0.6857692340
2014-12-01,-0.2386614574
2015-01-01,-0.1732046454
2015-02-01,-0.6494835592
2015-03-01,0.1225623447
2015-04-01,-1.7227270606
2015-05-01,-0.8221804551
2015-06-01,-0.0450562715
2015-07-01,-0.2732951079
2015-08-01,-0.6017203496
2015-09-01,-0.0175581886
2015-10-01,0.3552704535
2015-11-01,0.3234384754
2015-12-01,-0.3010333322
2016-01-01,-0.1351466907
2016-02-01,-0.5036228960
2016-03-01,-0.0167174290
2016-04-01,0.1159532704
2016-05-01,0.0515849016
2016-06-01,0.1480572791
2016-07-01,-0.0745602572
2016-08-01,-0.1822957020
2016-09-01,0.0588327193
2016-10-01,0.0569205395
2016-11-01,-0.0857272944
2016-12-01,-0.0363763969
2017-01-01,0.1725541073
2017-02-01,-0.1893344863
2017-03-01,-0.0407475393
2017-04-01,-0.1125961223
2017-05-01,-0.4285060532
2017-06-01,-0.0594889916
2017-07-01,-0.0911778466
2017-08-01,-0.1541275702
2017-09-01,0.2401795310
2017-10-01,0.3100816864
2017-11-01,0.4240395598
2017-12-01,0.0681843785
2018-01-01,0.1656047685
2018-02-01,0.6001011506
2018-03-01,-0.0832993603
2018-04-01,0.3082684201
2018-05-01,-0.3038009835
2018-06-01,0.1565316663
2018-07-01,0.1862518336
2018-08-01,0.2142508064
2018-09-01,-0.0007802655
2018-10-01,0.0688589698
2018-11-01,-0.3037066638
2018-12-01,-0.1124283147
2019-01-01,-0.3268005841
2019-02-01,-0.0508648497
2019-03-01,0.1486441745
2019-04-01,0.1177186133
2019-05-01,0.0785827667
2019-06-01,-0.2177441937
2019-07-01,-0.0025511255
2019-08-01,-0.0593642433
2019-09-01,-0.0594976864
2019-10-01,-0.0709288835
2019-11-01,-0.4279398623
2019-12-01,0.0357408727
2020-01-01,0.0834971694
2020-02-01,-0.4812366994
2020-03-01,-0.1610227770
2020-04-01,-0.4571489823
2020-05-01,-0.4173716752
2020-06-01,0.1671077149
2020-07-01,0.0469799865
2020-08-01,-0.3029285760
2020-09-01,0.0221473066
2020-10-01,0.1852547629
2020-11-01,-0.1819120062
2020-12-01,0.1888559935
2021-01-01,0.0308000000
2021-02-01,-0.3295984837
2021-03-01,0.2838484229
2021-04-01,0.6404018239
2021-05-01,0.5237298309
2021-06-01,0.1282236331
2021-07-01,0.3357980907
2021-08-01,0.5855077484
2021-09-01,0.1873479938
2021-10-01,0.4626605226
2021-11-01,0.1288861457
2021-12-01,-0.0042712600
2022-01-01,0.2925938043
2022-02-01,0.0347494122
2022-03-01,0.4378453172
2022-04-01,0.9759199225
2022-05-01,0.5280858676
2022-06-01,0.3312263918
2022-07-01,0.1185262262
2022-08-01,0.2382835272
2022-09-01,0.0465631407
2022-10-01,-0.0594487191
2022-11-01,-0.4757783836
2022-12-01,-0.1973021792
