observation_date,CHESLRTCR03GYSAM
1956-01-01,63.9362151520
1956-02-01,20.6653466568
1956-03-01,39.3782105659
1956-04-01,-11.3777749426
1956-05-01,-3.4687284080
1956-06-01,18.2150594459
1956-07-01,-1.8843722929
1956-08-01,8.8174533144
1956-09-01,13.1213654517
1956-10-01,20.6953885303
1956-11-01,-3.7821719241
1956-12-01,-12.8771126036
1957-01-01,-14.6551465129
1957-02-01,17.4307859641
1957-03-01,4.0254921620
1957-04-01,35.5644824887
1957-05-01,15.6558320565
1957-06-01,-7.4144313341
1957-07-01,-7.8646453662
1957-08-01,-11.3940290181
1957-09-01,-8.9947867649
1957-10-01,-7.1165448871
1957-11-01,13.6700989203
1957-12-01,4.7229903645
1958-01-01,15.9696269435
1958-02-01,16.9913905828
1958-03-01,9.9631034834
1958-04-01,-6.0329514305
1958-05-01,-0.3616474836
1958-06-01,-2.4381672147
1958-07-01,0.8567709506
1958-08-01,7.1260634495
1958-09-01,7.7308338560
1958-10-01,-4.1949021135
1958-11-01,-2.4171675762
1958-12-01,1.9574904773
1959-01-01,-9.5412928317
1959-02-01,13.7276179728
1959-03-01,-5.9233415838
1959-04-01,23.0315323369
1959-05-01,16.1280987530
1959-06-01,16.6493816982
1959-07-01,27.4712038058
1959-08-01,23.6780222715
1959-09-01,18.2267997123
1959-10-01,37.8635697099
1959-11-01,30.0288850328
1959-12-01,26.0894832363
1960-01-01,52.4161312469
1960-02-01,3.4716682151
1960-03-01,28.7910857959
1960-04-01,32.7381956426
1960-05-01,22.5302954528
1960-06-01,10.8010330209
1960-07-01,21.2133453568
1960-08-01,58.8543144621
1960-09-01,24.3092223301
1960-10-01,28.6144003829
1960-11-01,26.9452147169
1960-12-01,82.8347952265
1961-01-01,35.4010941230
1961-02-01,50.5320337214
1961-03-01,57.4947324847
1961-04-01,3.0034260914
1961-05-01,12.8914432538
1961-06-01,42.1328578874
1961-07-01,19.1272194490
1961-08-01,-11.1635764019
1961-09-01,20.9934652155
1961-10-01,5.0373213120
1961-11-01,13.9065026624
1961-12-01,-12.9837859915
1962-01-01,8.5855931400
1962-02-01,12.7526224599
1962-03-01,4.2558369530
1962-04-01,23.9334156236
1962-05-01,31.5145577321
1962-06-01,15.5973682109
1962-07-01,13.7970434165
1962-08-01,25.9479292776
1962-09-01,18.9040764463
1962-10-01,17.0936929076
1962-11-01,8.8193040755
1962-12-01,0.7722118278
1963-01-01,-5.6966137267
1963-02-01,-16.8035452427
1963-03-01,0.5132827273
1963-04-01,5.8099500162
1963-05-01,13.4096786941
1963-06-01,4.1009589571
1963-07-01,12.4001078724
1963-08-01,3.8901089104
1963-09-01,-1.3549385895
1963-10-01,6.3493798597
1963-11-01,8.9209397121
1963-12-01,1.6532983518
1964-01-01,14.6406984142
1964-02-01,30.7196714146
1964-03-01,0.9736078779
1964-04-01,12.0510243120
1964-05-01,-9.0259736369
1964-06-01,3.7199091930
1964-07-01,0.6332118222
1964-08-01,-3.7410015074
1964-09-01,3.8582590519
1964-10-01,-0.7335823905
1964-11-01,-5.9424556182
1964-12-01,17.3402757358
1965-01-01,-5.2636835554
1965-02-01,-8.7542866098
1965-03-01,4.1709809386
1965-04-01,2.4293730416
1965-05-01,4.8348914776
1965-06-01,6.1444045188
1965-07-01,4.5891503595
1965-08-01,10.1068412028
1965-09-01,10.3749518502
1965-10-01,11.8611080353
1965-11-01,14.3908021615
1965-12-01,0.6162391266
1966-01-01,5.0651267956
1966-02-01,18.1710990333
1966-03-01,14.1003703514
1966-04-01,-5.1681698236
1966-05-01,7.7139724989
1966-06-01,4.8910251576
1966-07-01,-2.2550891787
1966-08-01,-1.3148964695
1966-09-01,5.8075745313
1966-10-01,10.9286843904
1966-11-01,4.7074045511
1966-12-01,9.1353555202
1967-01-01,11.7647645807
1967-02-01,1.9180942993
1967-03-01,1.5167465578
1967-04-01,12.6327367402
1967-05-01,6.5683442272
1967-06-01,7.7989796544
1967-07-01,-4.0830821521
1967-08-01,8.2731992484
1967-09-01,2.5879417572
1967-10-01,-4.3845623093
1967-11-01,5.5276122849
1967-12-01,3.4685530791
1968-01-01,-4.2412100514
1968-02-01,2.0093822805
1968-03-01,7.0308657975
1968-04-01,10.3182633756
1968-05-01,24.6335677995
1968-06-01,1.0550898164
1968-07-01,28.1183107600
1968-08-01,13.2122415852
1968-09-01,1.5914153983
1968-10-01,12.2028763981
1968-11-01,8.9188749390
1968-12-01,-6.3874470694
1969-01-01,102.6498792314
1969-02-01,41.8138122375
1969-03-01,-0.7338716446
1969-04-01,-14.0029208192
1969-05-01,-19.7634507137
1969-06-01,-0.6440078123
1969-07-01,7.2188308350
1969-08-01,8.1466399040
1969-09-01,63.7814644368
1969-10-01,47.3064756371
1969-11-01,58.5265218606
1969-12-01,46.7648280489
1970-01-01,-4.7426744169
1970-02-01,-7.0633960777
1970-03-01,10.3356532438
1970-04-01,35.4827937658
1970-05-01,12.6420693374
1970-06-01,24.0937603353
1970-07-01,17.4840745267
1970-08-01,-7.3011618416
1970-09-01,7.1479873342
1970-10-01,16.7358827662
1970-11-01,10.6353748232
1970-12-01,45.8689770848
1971-01-01,-24.0506298649
1971-02-01,3.4755608532
1971-03-01,26.4940841607
1971-04-01,19.3795405202
1971-05-01,32.8031922370
1971-06-01,19.4641071657
1971-07-01,10.4949007642
1971-08-01,44.1355712064
1971-09-01,-11.3817296263
1971-10-01,-14.4817418819
1971-11-01,-18.0062389031
1971-12-01,-27.8862450257
1972-01-01,20.0087595487
1972-02-01,23.3135762677
1972-03-01,20.1628201457
1972-04-01,3.1547732532
1972-05-01,6.2840287095
1972-06-01,19.9015842043
1972-07-01,4.8344250821
1972-08-01,4.4826798426
1972-09-01,0.8909178685
1972-10-01,-2.4978893732
1972-11-01,5.6558798759
1972-12-01,15.5849412005
1973-01-01,10.5046168759
1973-02-01,-7.2284128478
1973-03-01,-5.8561637480
1973-04-01,-1.6799942015
1973-05-01,2.7249697491
1973-06-01,-19.2442530420
1973-07-01,-5.6863620832
1973-08-01,-13.1560693999
1973-09-01,-9.6269119508
1973-10-01,-7.9099476942
1973-11-01,-19.8554198429
1973-12-01,-21.8612402052
1974-01-01,-30.1709374891
1974-02-01,-43.0043657803
1974-03-01,-18.0614702256
1974-04-01,-4.3504122568
1974-05-01,-8.2734929181
1974-06-01,-8.1555879743
1974-07-01,-11.0461209272
1974-08-01,-11.2543323200
1974-09-01,-10.6540126036
1974-10-01,-14.7554689412
1974-11-01,-14.9962977718
1974-12-01,-19.3644228005
1975-01-01,-8.3340073433
1975-02-01,39.9465913015
1975-03-01,-19.4317265262
1975-04-01,-31.4547692114
1975-05-01,-39.6285234927
1975-06-01,7.8739999371
1975-07-01,-2.7037926558
1975-08-01,34.5239093419
1975-09-01,11.0743787787
1975-10-01,-14.4684609981
1975-11-01,4.4816062674
1975-12-01,25.7061256646
1976-01-01,5.1101800608
1976-02-01,4.2962403921
1976-03-01,-3.8293585546
1976-04-01,27.3635687087
1976-05-01,36.7394645415
1976-06-01,-10.7923733474
1976-07-01,9.6694523812
1976-08-01,-25.1156448252
1976-09-01,-6.4406123194
1976-10-01,28.6727482316
1976-11-01,20.8631053207
1976-12-01,12.9598766918
1977-01-01,5.9180454286
1977-02-01,1.0638675003
1977-03-01,25.2327471311
1977-04-01,28.0100867978
1977-05-01,36.2888353355
1977-06-01,-0.9472289800
1977-07-01,20.0256279077
1977-08-01,33.3152907769
1977-09-01,2.0509838081
1977-10-01,13.1559972244
1977-11-01,15.5952044555
1977-12-01,-8.8121357419
1978-01-01,25.4283688415
1978-02-01,11.9124109619
1978-03-01,26.7520448708
1978-04-01,-4.9918355529
1978-05-01,-19.1278365255
1978-06-01,51.3955999407
1978-07-01,10.9384841833
1978-08-01,21.1565589429
1978-09-01,40.6618583441
1978-10-01,33.5381179681
1978-11-01,25.1616152019
1978-12-01,35.3589939237
1979-01-01,11.6101901069
1979-02-01,27.7868923664
1979-03-01,17.1645945775
1979-04-01,16.5579923269
1979-05-01,40.3128152137
1979-06-01,-9.3625969945
1979-07-01,-14.1909403409
1979-08-01,-17.0727084575
1979-09-01,-6.3216072610
