observation_date,ULQELP01CHQ659S
1996-01-01,1.6178552384340401
1996-04-01,0.6307246806026300
1996-07-01,-0.1600601563949930
1996-10-01,0.8873156702072070
1997-01-01,1.5880214928335901
1997-04-01,2.2113171369461901
1997-07-01,3.0635614281414298
1997-10-01,2.6924862003999599
1998-01-01,2.1054507043889701
1998-04-01,2.3249087284048100
1998-07-01,1.1930020818608900
1998-10-01,0.7060450869017800
1999-01-01,0.0758736417602507
1999-04-01,-0.1268326614774610
1999-07-01,0.4873223131188740
1999-10-01,2.7843760498310899
2000-01-01,3.1726393267227500
2000-04-01,3.1752592866908098
2000-07-01,3.7366638211584897
2000-10-01,2.3581554034336798
2001-01-01,1.0155874435454200
2001-04-01,0.8221468649681610
2001-07-01,-0.2356948044603400
2001-10-01,-1.6889388282058000
2002-01-01,-0.9009007945018790
2002-04-01,-0.7527637448384640
2002-07-01,-0.8401167377003470
2002-10-01,-0.5935446608553450
2003-01-01,-0.5409520720709170
2003-04-01,-0.8610088553898350
2003-07-01,0.5328217745492830
2003-10-01,2.0100076860847600
2004-01-01,2.3746924299068701
2004-04-01,3.3738723196135698
2004-07-01,2.1164137310209101
2004-10-01,1.1214195511307601
2005-01-01,1.5406751357394000
2005-04-01,1.6249548655686299
2005-07-01,2.2989125230720400
2005-10-01,2.9185489017146402
2006-01-01,2.7724238618745298
2006-04-01,2.0893728434431500
2006-07-01,1.5342120407505599
2006-10-01,1.4059266898899900
2007-01-01,0.6926025700287530
2007-04-01,1.5167630091601800
2007-07-01,1.6548907984184000
2007-10-01,1.3542688371351299
2008-01-01,1.5779895422442201
2008-04-01,1.2423896918462201
2008-07-01,0.9734283160378430
2008-10-01,-2.5530310457743202
2009-01-01,-4.6302129095321698
2009-04-01,-4.6073118975097396
2009-07-01,-2.9667471142517101
2009-10-01,1.2623282127561199
2010-01-01,4.6330462805922492
2010-04-01,3.5354077774212200
2010-07-01,1.9391952118264300
2010-10-01,1.5985856079300000
2011-01-01,-0.1728239852519440
2011-04-01,-0.0699870506964744
2011-07-01,-0.5836141055462710
2011-10-01,-1.7977303961673099
2012-01-01,-1.1627666164259500
2012-04-01,-1.0035387096260500
2012-07-01,-0.5468563904161730
2012-10-01,0.4537872699027730
2013-01-01,0.4648509641285080
2013-04-01,0.8071587774445420
2013-07-01,0.9989738183544929
2013-10-01,0.2124408172870630
2014-01-01,0.8906076075754870
2014-04-01,0.1807514920697510
2014-07-01,0.3867796301028350
2014-10-01,0.2551054775753730
2015-01-01,-0.8851214533690780
2015-04-01,0.0801715350707154
2015-07-01,0.3150177356739840
2015-10-01,0.6362100737808341
2016-01-01,0.6484473325951861
2016-04-01,0.8694718067120560
2016-07-01,0.6163348062502620
2016-10-01,0.6200105888812060
2017-01-01,0.9962639895514840
2017-04-01,-0.1153349788647780
2017-07-01,0.0347349939071872
2017-10-01,1.1707352931805299
2018-01-01,1.8454738673435001
2018-04-01,2.9282989359003002
2018-07-01,1.4363796388010801
2018-10-01,1.0091465923459899
2019-01-01,0.1565956028908980
2019-04-01,-0.5683622500545700
2019-07-01,1.1403401444149099
2019-10-01,0.9650520315155841
2020-01-01,-0.9197851921353110
2020-04-01,-5.2145811121914996
2020-07-01,-0.2781639710006630
2020-10-01,-0.8009850147805280
2021-01-01,2.1933784577807298
2021-04-01,9.3576867359023197
2021-07-01,4.1131644298190100
2021-10-01,3.7095517225029400
2022-01-01,2.8835214412316801
2022-04-01,1.3785274456963399
2022-07-01,0.1513592008598790
2022-10-01,0.2725353280175460
2023-01-01,-0.5542672384959090
2023-04-01,-2.3743693516152300
2023-07-01,-1.7476923051726900
