observation_date,BSCICP03GBM665S
1977-03-01,100.87720
1977-04-01,100.53560
1977-05-01,100.34460
1977-06-01,100.24340
1977-07-01,100.26890
1977-08-01,100.42250
1977-09-01,100.58680
1977-10-01,100.72380
1977-11-01,100.76860
1977-12-01,100.55050
1978-01-01,100.27570
1978-02-01,99.98411
1978-03-01,99.76594
1978-04-01,99.75945
1978-05-01,99.95931
1978-06-01,100.34100
1978-07-01,100.77850
1978-08-01,101.13300
1978-09-01,101.34220
1978-10-01,101.47650
1978-11-01,101.47120
1978-12-01,101.16840
1979-01-01,101.02580
1979-02-01,101.30600
1979-03-01,101.69140
1979-04-01,101.88360
1979-05-01,101.68780
1979-06-01,101.17200
1979-07-01,100.56970
1979-08-01,100.09120
1979-09-01,99.70534
1979-10-01,99.26525
1979-11-01,98.66087
1979-12-01,98.08289
1980-01-01,97.62973
1980-02-01,97.18195
1980-03-01,96.56771
1980-04-01,95.69685
1980-05-01,94.63944
1980-06-01,93.62627
1980-07-01,92.85698
1980-08-01,92.45821
1980-09-01,92.48852
1980-10-01,92.81255
1980-11-01,93.05420
1980-12-01,93.44018
1981-01-01,93.96628
1981-02-01,94.33343
1981-03-01,94.68955
1981-04-01,95.12421
1981-05-01,95.59722
1981-06-01,96.04088
1981-07-01,96.45319
1981-08-01,96.80516
1981-09-01,97.09527
1981-10-01,97.23474
1981-11-01,97.26888
1981-12-01,97.17631
1982-01-01,97.06352
1982-02-01,97.05214
1982-03-01,97.13821
1982-04-01,97.06406
1982-05-01,96.92725
1982-06-01,96.79499
1982-07-01,96.64248
1982-08-01,96.48260
1982-09-01,96.51646
1982-10-01,96.59116
1982-11-01,96.56083
1982-12-01,96.74025
1983-01-01,97.22473
1983-02-01,97.97457
1983-03-01,98.78381
1983-04-01,99.38660
1983-05-01,99.81264
1983-06-01,100.02810
1983-07-01,100.07060
1983-08-01,100.23950
1983-09-01,100.46600
1983-10-01,100.72950
1983-11-01,101.16870
1983-12-01,101.47070
1984-01-01,101.53650
1984-02-01,101.56110
1984-03-01,101.48430
1984-04-01,101.29570
1984-05-01,101.22230
1984-06-01,101.22240
1984-07-01,101.20660
1984-08-01,101.09040
1984-09-01,101.04180
1984-10-01,101.06780
1984-11-01,101.10780
1984-12-01,101.13210
1985-01-01,101.09260
1985-02-01,101.22050
1985-03-01,101.46910
1985-04-01,101.71420
1985-05-01,101.73800
1985-06-01,101.63510
1985-07-01,101.34780
1985-08-01,101.11330
1985-09-01,101.10210
1985-10-01,101.17860
1985-11-01,101.13470
1985-12-01,100.91600
1986-01-01,100.53940
1986-02-01,100.45890
1986-03-01,100.23060
1986-04-01,99.92136
1986-05-01,99.69273
1986-06-01,99.46986
1986-07-01,99.42998
1986-08-01,99.62991
1986-09-01,100.04080
1986-10-01,100.51580
1986-11-01,100.89640
1986-12-01,101.13670
1987-01-01,101.44240
1987-02-01,102.00210
1987-03-01,102.43390
1987-04-01,102.73370
1987-05-01,103.08110
1987-06-01,103.30770
1987-07-01,103.45150
1987-08-01,103.69620
1987-09-01,103.86730
1987-10-01,104.17350
1987-11-01,104.38200
1987-12-01,104.35040
1988-01-01,104.28030
1988-02-01,104.19270
1988-03-01,104.04030
1988-04-01,103.90230
1988-05-01,103.90760
1988-06-01,103.84450
1988-07-01,103.87920
1988-08-01,103.96150
1988-09-01,103.95510
1988-10-01,103.83590
1988-11-01,103.63170
1988-12-01,103.32950
1989-01-01,102.78130
1989-02-01,102.27050
1989-03-01,101.80810
1989-04-01,101.40590
1989-05-01,101.19510
1989-06-01,101.11830
1989-07-01,101.10270
1989-08-01,100.88530
1989-09-01,100.54400
1989-10-01,100.29080
1989-11-01,100.04360
1989-12-01,99.88271
1990-01-01,99.65031
1990-02-01,99.37580
1990-03-01,99.18877
1990-04-01,99.24489
1990-05-01,99.21986
1990-06-01,99.06240
1990-07-01,98.68764
1990-08-01,98.23172
1990-09-01,97.71000
1990-10-01,97.16446
1990-11-01,96.59218
1990-12-01,95.99595
1991-01-01,95.42850
1991-02-01,94.91531
1991-03-01,94.93137
1991-04-01,95.16373
1991-05-01,95.21243
1991-06-01,95.45702
1991-07-01,95.85398
1991-08-01,96.37266
1991-09-01,96.93693
1991-10-01,97.24167
1991-11-01,97.29460
1991-12-01,97.03356
1992-01-01,96.74344
1992-02-01,96.76131
1992-03-01,97.14186
1992-04-01,97.70972
1992-05-01,98.16512
1992-06-01,97.96915
1992-07-01,97.31155
1992-08-01,96.63684
1992-09-01,96.40882
1992-10-01,96.53554
1992-11-01,96.64830
1992-12-01,97.01776
1993-01-01,97.56317
1993-02-01,98.21635
1993-03-01,98.85869
1993-04-01,99.38545
1993-05-01,99.61301
1993-06-01,99.55772
1993-07-01,99.51608
1993-08-01,99.79872
1993-09-01,99.99468
1993-10-01,99.95720
1993-11-01,100.06940
1993-12-01,100.22100
1994-01-01,100.46030
1994-02-01,100.63690
1994-03-01,100.63910
1994-04-01,100.70330
1994-05-01,101.02790
1994-06-01,101.34350
1994-07-01,101.60000
1994-08-01,102.02820
1994-09-01,102.22000
1994-10-01,102.37740
1994-11-01,102.58540
1994-12-01,102.77280
1995-01-01,102.85740
1995-02-01,102.94060
1995-03-01,102.81200
1995-04-01,102.59180
