observation_date,JPNCPIALLQINMEI
1955-01-01,17.061900000000001
1955-04-01,17.031320000000001
1955-07-01,17.012979999999999
1955-10-01,16.915129999999998
1956-01-01,16.933479999999999
1956-04-01,17.110820000000000
1956-07-01,17.080249999999999
1956-10-01,17.165860000000002
1957-01-01,17.367670000000000
1957-04-01,17.581710000000001
1957-07-01,17.850780000000000
1957-10-01,17.606170000000002
1958-01-01,17.416589999999999
1958-04-01,17.447170000000000
1958-07-01,17.593940000000000
1958-10-01,17.612289999999998
1959-01-01,17.526670000000003
1959-04-01,17.587820000000001
1959-07-01,17.777400000000000
1959-10-01,17.936399999999999
1960-01-01,18.119859999999999
1960-04-01,18.284980000000001
1960-07-01,18.419509999999999
1960-10-01,18.535710000000002
1961-01-01,18.853710000000000
1961-04-01,18.982130000000002
1961-07-01,19.397970000000001
1961-10-01,20.064550000000001
1962-01-01,20.309170000000002
1962-04-01,20.578240000000001
1962-07-01,20.743359999999999
1962-10-01,20.951280000000001
1963-01-01,21.654240000000001
1963-04-01,22.020029999999998
1963-07-01,22.141950000000001
1963-10-01,22.304520000000000
1964-01-01,22.377680000000002
1964-04-01,22.751590000000000
1964-07-01,22.889769999999999
1964-10-01,23.450640000000000
1965-01-01,23.913959999999999
1965-04-01,24.393540000000002
1965-07-01,24.385410000000000
1965-10-01,24.864989999999999
1966-01-01,25.303930000000001
1966-04-01,25.629069999999999
1966-07-01,25.645320000000002
1966-10-01,25.897310000000001
1967-01-01,26.385010000000001
1967-04-01,26.368760000000002
1967-07-01,26.474430000000002
1967-10-01,27.336040000000001
1968-01-01,27.774979999999999
1968-04-01,27.840009999999999
1968-07-01,28.051349999999999
1968-10-01,28.587830000000000
1969-01-01,28.726009999999999
1969-04-01,29.246230000000001
1969-07-01,29.904640000000001
1969-10-01,30.270420000000001
1970-01-01,30.949349999999999
1970-04-01,31.390509999999999
1970-07-01,31.458390000000001
1970-10-01,32.340709999999994
1971-01-01,32.815809999999999
1971-04-01,33.392720000000004
1971-07-01,33.766009999999994
1971-10-01,34.207180000000001
1972-01-01,34.342919999999999
1972-04-01,35.089500000000001
1972-07-01,35.394930000000002
1972-10-01,35.870030000000000
1973-01-01,36.854160000000000
1973-04-01,38.720619999999997
1973-07-01,39.874440000000000
1973-10-01,41.571219999999997
1974-01-01,45.439890000000005
1974-04-01,47.476030000000002
1974-07-01,49.240690000000001
1974-10-01,51.310760000000002
1975-01-01,52.328840000000000
1975-04-01,53.754140000000000
1975-07-01,54.331040000000002
1975-10-01,55.756340000000002
1976-01-01,57.045900000000003
1976-04-01,58.810549999999999
1976-07-01,59.591080000000005
1976-10-01,61.016370000000002
1977-01-01,62.373800000000003
1977-04-01,64.070589999999996
1977-07-01,64.342069999999993
1977-10-01,64.952910000000003
1978-01-01,65.292270000000002
1978-04-01,66.649699999999996
1978-07-01,67.158740000000009
1978-10-01,67.362350000000006
1979-01-01,67.260540000000006
1979-04-01,68.855519999999999
1979-07-01,69.568169999999995
1979-10-01,70.721980000000002
1980-01-01,72.113340000000022
1980-04-01,74.420969999999997
1980-07-01,75.201490000000007
1980-10-01,76.151700000000005
1981-01-01,76.864339999999999
1981-04-01,78.086030000000022
1981-07-01,78.357509999999991
1981-10-01,79.273769999999999
1982-01-01,79.273769999999999
1982-04-01,80.122169999999997
1982-07-01,80.529399999999995
1982-10-01,81.242040000000003
1983-01-01,80.970559999999978
1983-04-01,81.920760000000001
1983-07-01,81.717150000000004
1983-10-01,82.599469999999997
1984-01-01,82.938830000000010
1984-04-01,83.583609999999993
1984-07-01,83.549669999999978
1984-10-01,84.499870000000001
1985-01-01,84.601680000000002
1985-04-01,85.382199999999997
1985-07-01,85.517939999999996
1985-10-01,85.891239999999996
1986-01-01,85.925169999999994
1986-04-01,86.128780000000006
1986-07-01,85.721559999999997
1986-10-01,85.687619999999995
1987-01-01,85.212519999999998
1987-04-01,86.264530000000022
1987-07-01,86.094849999999994
1987-10-01,86.332400000000007
1988-01-01,85.857299999999995
1988-04-01,86.434200000000004
1988-07-01,86.603880000000004
1988-10-01,87.248660000000001
1989-01-01,86.773569999999978
1989-04-01,88.809709999999995
1989-07-01,88.979390000000009
1989-10-01,89.522350000000003
1990-01-01,89.861710000000002
1990-04-01,91.083399999999997
1990-07-01,91.253069999999994
1990-10-01,92.746250000000003
1991-01-01,93.221339999999998
1991-04-01,94.171549999999996
1991-07-01,94.171549999999996
1991-10-01,95.325360000000003
1992-01-01,94.986000000000004
1992-04-01,96.309489999999997
1992-07-01,95.868330000000000
1992-10-01,96.241619999999998
1993-01-01,96.241619999999998
1993-04-01,97.123949999999994
1993-07-01,97.565119999999993
1993-10-01,97.293620000000004
1994-01-01,97.395439999999994
1994-04-01,97.870540000000005
1994-07-01,97.565119999999993
1994-10-01,98.074150000000003
1995-01-01,97.599050000000005
1995-04-01,97.836600000000004
1995-07-01,97.599050000000005
1995-10-01,97.531180000000006
1996-01-01,97.259690000000006
1996-04-01,97.972340000000003
1996-07-01,97.802670000000006
1996-10-01,98.074150000000003
1997-01-01,97.836600000000004
1997-04-01,99.906679999999994
1997-07-01,99.872739999999993
1997-10-01,100.144199999999998
1998-01-01,99.736999999999995
1998-04-01,100.245999999999995
1998-07-01,99.669129999999996
1998-10-01,100.687200000000004
1999-01-01,99.635189999999994
1999-04-01,99.974549999999994
1999-07-01,99.669129999999996
1999-10-01,99.669129999999996
2000-01-01,99.024349999999998
2000-04-01,99.261899999999997
2000-07-01,99.024349999999998
2000-10-01,98.888599999999997
2001-01-01,98.617120000000000
2001-04-01,98.549250000000001
2001-07-01,98.311700000000002
2001-10-01,97.972340000000003
2002-01-01,97.259690000000006
2002-04-01,97.700860000000006
2002-07-01,97.531180000000006
2002-10-01,97.429370000000006
2003-01-01,97.022139999999993
2003-04-01,97.463310000000007
2003-07-01,97.293620000000004
2003-10-01,97.123949999999994
2004-01-01,96.886399999999995
2004-04-01,97.157880000000006
2004-07-01,97.191820000000007
