observation_date,PIEAMP01AUA661N
1969-01-01,10.2138908916126
1970-01-01,10.7185772650805
1971-01-01,11.1751982696467
1972-01-01,11.7279500120163
1973-01-01,12.7613554434030
1974-01-01,14.7320355683730
1975-01-01,16.8949771689498
1976-01-01,18.8416246094689
1977-01-01,20.7642393655371
1978-01-01,22.4465272770969
1979-01-01,25.7630377313146
1980-01-01,29.3919730833934
1981-01-01,31.8673395818313
1982-01-01,34.7512617159337
1983-01-01,37.5150204277818
1984-01-01,39.5577986061043
1985-01-01,42.1773612112473
1986-01-01,44.5085316029801
1987-01-01,47.7769766882961
1988-01-01,51.2857486181206
1989-01-01,54.7464551790435
1990-01-01,58.0629656332612
1991-01-01,58.8320115356886
1992-01-01,59.7933189137227
1993-01-01,60.9228550829128
1994-01-01,61.4275414563807
1995-01-01,63.6866137947609
1996-01-01,64.1913001682288
1997-01-01,65.0084114395578
1998-01-01,65.4409997596732
1999-01-01,65.8495553953376
2000-01-01,70.5599615477049
2001-01-01,72.7469358327325
2002-01-01,72.8670992549868
2003-01-01,73.2516222062004
2004-01-01,76.1355443403028
2005-01-01,80.7017543859649
2006-01-01,87.0944484498919
2007-01-01,89.1131939437635
2008-01-01,96.5152607546263
2009-01-01,91.2761355443403
2010-01-01,93.0064888248018
2011-01-01,96.1547704878635
2012-01-01,95.6981494832973
2013-01-01,96.7315549146840
2014-01-01,99.7356404710406
2015-01-01,100.0000000000000
2016-01-01,99.4232155731796
2017-01-01,102.5955299206920
2018-01-01,107.9067531843310
2019-01-01,111.5837539053110
2020-01-01,112.6411920211490
2021-01-01,119.1059841384280
2022-01-01,136.3374188896900
