date,intensity
2026-06-20 00:00:00+00:00,12.211
2026-06-21 00:00:00+00:00,12.5399
2026-06-22 00:00:00+00:00,11.1249
2026-06-23 00:00:00+00:00,10.1369
2026-06-24 00:00:00+00:00,10.3221
2026-06-25 00:00:00+00:00,10.1705
2026-06-26 00:00:00+00:00,9.5124
2026-06-27 00:00:00+00:00,10.2406
2026-06-28 00:00:00+00:00,11.1272
2026-06-29 00:00:00+00:00,10.0924
2026-06-30 00:00:00+00:00,9.5734
2026-07-05 00:00:00+00:00,11.6797
2026-07-06 00:00:00+00:00,10.8384
2026-07-07 00:00:00+00:00,10.6212
2026-07-08 00:00:00+00:00,12.2842
2026-07-09 00:00:00+00:00,11.03
2026-07-10 00:00:00+00:00,9.7226
2026-07-11 00:00:00+00:00,10.4292
2026-07-12 00:00:00+00:00,12.5137
2026-07-13 00:00:00+00:00,11.393
2026-07-14 00:00:00+00:00,11.3139
2026-07-15 00:00:00+00:00,10.9203
2026-07-16 00:00:00+00:00,11.2537
2026-07-17 00:00:00+00:00,10.0396
2026-07-18 00:00:00+00:00,10.8801
2026-07-19 00:00:00+00:00,12.4948
2026-07-20 00:00:00+00:00,11.5263
2026-07-21 00:00:00+00:00,11.0832
2026-07-22 00:00:00+00:00,11.4196
2026-07-23 00:00:00+00:00,11.166
2026-07-24 00:00:00+00:00,10.6115
2026-07-25 00:00:00+00:00,10.9784
2026-07-26 00:00:00+00:00,12.1097
2026-07-27 00:00:00+00:00,10.6296
2026-07-28 00:00:00+00:00,9.7713
2026-07-29 00:00:00+00:00,10.2075
2026-07-30 00:00:00+00:00,10.5132
2026-07-31 00:00:00+00:00,9.9984
2026-08-01 00:00:00+00:00,10.5875
2026-08-02 00:00:00+00:00,11.5401
2026-08-03 00:00:00+00:00,10.5241
2026-08-04 00:00:00+00:00,10.0278
2026-08-05 00:00:00+00:00,10.3069
2026-08-06 00:00:00+00:00,10.3872
2026-08-07 00:00:00+00:00,9.5659
2026-08-08 00:00:00+00:00,11.2863
2026-08-09 00:00:00+00:00,12.1321
2026-08-10 00:00:00+00:00,10.0194
2026-08-11 00:00:00+00:00,9.0348
2026-08-12 00:00:00+00:00,9.3665
2026-08-13 00:00:00+00:00,9.8607
2026-08-14 00:00:00+00:00,9.912
2026-08-15 00:00:00+00:00,10.8536
2026-08-16 00:00:00+00:00,10.6515
2026-08-17 00:00:00+00:00,10.9223
2026-08-18 00:00:00+00:00,10.4431
2026-08-19 00:00:00+00:00,9.7735
2026-08-20 00:00:00+00:00,10.2378
2026-08-21 00:00:00+00:00,9.6428
2026-08-22 00:00:00+00:00,10.2595
2026-08-23 00:00:00+00:00,11.7244
2026-08-24 00:00:00+00:00,11.1303
2026-08-25 00:00:00+00:00,10.6055
2026-08-26 00:00:00+00:00,9.3805
2026-08-27 00:00:00+00:00,9.693
2026-08-28 00:00:00+00:00,9.7566
2026-08-29 00:00:00+00:00,10.3459
2026-08-30 00:00:00+00:00,10.6034
2026-08-31 00:00:00+00:00,11.3068
2026-09-01 00:00:00+00:00,10.7674
2026-09-02 00:00:00+00:00,11.2841
2026-09-03 00:00:00+00:00,10.7121
2026-09-04 00:00:00+00:00,10.8582
2026-09-05 00:00:00+00:00,11.9213
2026-09-06 00:00:00+00:00,13.0731
2026-09-07 00:00:00+00:00,10.7631
2026-09-08 00:00:00+00:00,11.0143
2026-09-09 00:00:00+00:00,11.1024
2026-09-10 00:00:00+00:00,11.0324
2026-09-11 00:00:00+00:00,11.8273
2026-09-12 00:00:00+00:00,12.7343
2026-09-13 00:00:00+00:00,12.4713
